TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074897,لطیف,محصولات کاغذی لطیف,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۰۹:۳۸:۱۷,۱۴۰۲/۰۶/۰۵ ۰۹:۳۸:۱۷,/Reports/Decision.aspx?LetterSerial=2y56mrRYdqvUVoDaRDUgGQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1063016,لطیف,محصولات کاغذی لطیف,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۳ ۱۸:۰۱:۴۶,۱۴۰۲/۰۵/۰۳ ۱۸:۰۱:۴۶,/Reports/Decision.aspx?LetterSerial=bI%2bY0KAa%2bPn1pRQQQaQQQ3QuCQww%3d%3d&rt=0&let=58&ct=0&ft=-1
1045015,لطیف,محصولات کاغذی لطیف,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۴ ۲۰:۰۲:۳۸,۱۴۰۲/۰۴/۰۴ ۲۰:۰۲:۳۸,/Reports/Decision.aspx?LetterSerial=3sg1ImJtaY0E72lDkA3iDw%3d%3d&rt=0&let=58&ct=0&ft=-1
1030464,لطیف,محصولات کاغذی لطیف,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۴ ۱۲:۳۱:۱۹,۱۴۰۲/۰۳/۰۴ ۱۲:۳۱:۱۹,/Reports/Decision.aspx?LetterSerial=QQQaQQQvkrid2DsbgYIKd5RD%2br7w%3d%3d&rt=0&let=58&ct=0&ft=-1
1016713,لطیف,محصولات کاغذی لطیف,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۶ ۲۲:۱۶:۵۶,۱۴۰۲/۰۲/۰۶ ۲۲:۱۶:۵۶,/Reports/Decision.aspx?LetterSerial=QE8rsRXaKkkPuMP%2bj4svvA%3d%3d&rt=0&let=58&ct=0&ft=-1
1008700,لطیف,محصولات کاغذی لطیف,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۹ ۱۶:۲۹:۱۷,۱۴۰۲/۰۱/۰۹ ۱۶:۲۹:۱۷,/Reports/Decision.aspx?LetterSerial=NQesefHSQQQaQQQjySjCGvDmxfkw%3d%3d&rt=0&let=58&ct=0&ft=-1
996019,لطیف,محصولات کاغذی لطیف,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۶ ۱۸:۲۰:۳۵,۱۴۰۱/۱۲/۰۶ ۱۸:۲۰:۳۵,/Reports/Decision.aspx?LetterSerial=ySiikJMmwKyL1MrMnZFhrQ%3d%3d&rt=0&let=58&ct=0&ft=-1
986291,لطیف,محصولات کاغذی لطیف,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۳:۰۸:۴۵,۱۴۰۱/۱۱/۰۵ ۱۳:۰۸:۴۵,/Reports/Decision.aspx?LetterSerial=WZjQQQaQQQOvgLMlvApY7f%2bI7o4Q%3d%3d&rt=0&let=58&ct=0&ft=-1
978269,لطیف,محصولات کاغذی لطیف,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۱۴ ۱۷:۵۸:۰۳,۱۴۰۱/۱۰/۱۴ ۱۷:۵۸:۰۳,/Reports/Decision.aspx?LetterSerial=D3kLPFb9mYyU872v6XlRnA%3d%3d&rt=0&let=58&ct=0&ft=-1
974832,لطیف,محصولات کاغذی لطیف,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۱۷:۳۷:۳۸,۱۴۰۱/۱۰/۰۵ ۱۷:۳۷:۳۸,/Reports/Decision.aspx?LetterSerial=fsMDe4Eb33WQgvxxoBlBlg%3d%3d&rt=0&let=58&ct=0&ft=-1
962348,لطیف,محصولات کاغذی لطیف,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۲ ۱۸:۴۹:۴۱,۱۴۰۱/۰۹/۰۲ ۱۸:۴۹:۴۱,/Reports/Decision.aspx?LetterSerial=cQ9JQQQaQQQGhZKm8Tc8UIsiryrg%3d%3d&rt=0&let=58&ct=0&ft=-1
956644,لطیف,محصولات کاغذی لطیف,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۸/۲۱ ۱۷:۵۷:۲۷,۱۴۰۱/۰۸/۲۱ ۱۷:۵۷:۲۷,/Reports/Decision.aspx?LetterSerial=OqJMo4PVSoFosPdvSNC8Aw%3d%3d&rt=0&let=58&ct=0&ft=-1
951592,لطیف,محصولات کاغذی لطیف,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۵ ۱۲:۳۵:۴۱,۱۴۰۱/۰۸/۰۵ ۱۲:۳۵:۴۱,/Reports/Decision.aspx?LetterSerial=%2bgriHegsc5WquMGujpb3ZA%3d%3d&rt=0&let=58&ct=0&ft=-1
947745,لطیف,محصولات کاغذی لطیف,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۲۷ ۱۵:۰۷:۱۷,۱۴۰۱/۰۷/۲۷ ۱۵:۰۷:۱۷,/Reports/Decision.aspx?LetterSerial=ptVs0zQNyaGWnnDUG0r3pg%3d%3d&rt=0&let=58&ct=0&ft=-1
941391,لطیف,محصولات کاغذی لطیف,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۴ ۱۷:۰۳:۱۴,۱۴۰۱/۰۷/۰۴ ۱۷:۰۳:۱۴,/Reports/Decision.aspx?LetterSerial=rIh6UkEc0gghkI9mLgL4Pw%3d%3d&rt=0&let=58&ct=0&ft=-1
930493,لطیف,محصولات کاغذی لطیف,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۵ ۱۷:۴۸:۲۲,۱۴۰۱/۰۶/۰۵ ۱۷:۴۸:۲۲,/Reports/Decision.aspx?LetterSerial=J4vjI89Zj21f3FdiT5H1Yw%3d%3d&rt=0&let=58&ct=0&ft=-1
919160,لطیف,محصولات کاغذی لطیف,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۵ ۱۷:۴۷:۲۲,۱۴۰۱/۰۵/۰۵ ۱۷:۴۷:۲۲,/Reports/Decision.aspx?LetterSerial=hFw51nBD8lQQQaQQQLFOEP2JE2Iw%3d%3d&rt=0&let=58&ct=0&ft=-1
902178,لطیف,محصولات کاغذی لطیف,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۰,۱۴۰۱/۰۴/۰۵ ۱۸:۱۶:۳۶,۱۴۰۱/۰۴/۰۵ ۱۸:۱۶:۳۶,/Reports/Decision.aspx?LetterSerial=uBuwyIEcGmsc2oAN3BxE4w%3d%3d&rt=0&let=58&ct=0&ft=-1
886611,لطیف,محصولات کاغذی لطیف,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۰,۱۴۰۱/۰۳/۰۴ ۱۸:۴۷:۳۹,۱۴۰۱/۰۳/۰۴ ۱۸:۴۷:۳۹,/Reports/Decision.aspx?LetterSerial=JCg%2bnS%2bOk7OKOmuzzEPZSw%3d%3d&rt=0&let=58&ct=0&ft=-1
883347,لطیف,محصولات کاغذی لطیف,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۰/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۱/۰۲/۲۸ ۱۷:۵۰:۳۳,۱۴۰۱/۰۲/۲۸ ۱۷:۵۰:۳۳,/Reports/Decision.aspx?LetterSerial=X3TqI7DOm5nj6cfUFy8O6A%3d%3d&rt=0&let=58&ct=0&ft=-1
878432,لطیف,محصولات کاغذی لطیف,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۲/۲۰ ۱۸:۵۰:۴۵,۱۴۰۱/۰۲/۲۰ ۱۸:۵۰:۴۵,/Reports/Decision.aspx?LetterSerial=4JLi8IiRk20DdmeI8mQCMQ%3D%3D&rt=0&let=58&ct=0&ft=-1
874376,لطیف,محصولات کاغذی لطیف,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۰,۱۴۰۱/۰۲/۰۵ ۱۸:۲۸:۴۵,۱۴۰۱/۰۲/۰۵ ۱۸:۲۸:۴۵,/Reports/Decision.aspx?LetterSerial=vSj7SCQqCfnzr5aYkBbDCw%3D%3D&rt=0&let=58&ct=0&ft=-1
865404,لطیف,محصولات کاغذی لطیف,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۰,۱۴۰۱/۰۱/۰۹ ۰۹:۳۰:۴۰,۱۴۰۱/۰۱/۰۹ ۰۹:۳۰:۴۰,/Reports/Decision.aspx?LetterSerial=2PLnjA2XIdWrALqXoWVlyg%3D%3D&rt=0&let=58&ct=0&ft=-1
856448,لطیف,محصولات کاغذی لطیف,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰,ن-۳۰,۱۴۰۰/۱۲/۰۵ ۰۹:۰۴:۳۵,۱۴۰۰/۱۲/۰۵ ۰۹:۰۴:۳۵,/Reports/Decision.aspx?LetterSerial=E1omb1GfLoAIYjPq27bbHA%3D%3D&rt=0&let=58&ct=0&ft=-1
845619,لطیف,محصولات کاغذی لطیف,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰,ن-۳۰,۱۴۰۰/۱۱/۰۴ ۱۵:۴۵:۴۱,۱۴۰۰/۱۱/۰۴ ۱۵:۴۵:۴۱,/Reports/Decision.aspx?LetterSerial=kBvtXpkdwd3NDcA4qFToPQ%3D%3D&rt=0&let=58&ct=0&ft=-1
834679,لطیف,محصولات کاغذی لطیف,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۹/۳۰,ن-۳۰,۱۴۰۰/۱۰/۰۵ ۱۲:۴۵:۰۷,۱۴۰۰/۱۰/۰۵ ۱۲:۴۵:۰۷,/Reports/Decision.aspx?LetterSerial=G0mF8ufPmRlKFQrSYLnmEA%3D%3D&rt=0&let=58&ct=0&ft=-1
821561,لطیف,محصولات کاغذی لطیف,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۸/۳۰,ن-۳۰,۱۴۰۰/۰۹/۰۳ ۱۸:۳۳:۳۷,۱۴۰۰/۰۹/۰۳ ۱۸:۳۳:۳۷,/Reports/Decision.aspx?LetterSerial=1rufxQQQaQQQrQ8fxBfvOpCAO2ig%3D%3D&rt=0&let=58&ct=0&ft=-1
810141,لطیف,محصولات کاغذی لطیف,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۷/۳۰,ن-۳۰,۱۴۰۰/۰۸/۰۵ ۱۳:۱۴:۲۲,۱۴۰۰/۰۸/۰۵ ۱۳:۱۴:۲۲,/Reports/Decision.aspx?LetterSerial=EbH37SkqiJe9KbPSknHUfw%3D%3D&rt=0&let=58&ct=0&ft=-1
799943,لطیف,محصولات کاغذی لطیف,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۶/۳۱,ن-۳۰,۱۴۰۰/۰۷/۰۵ ۱۱:۲۴:۱۵,۱۴۰۰/۰۷/۰۵ ۱۱:۲۴:۱۵,/Reports/Decision.aspx?LetterSerial=GPe6XeniEAlasVvwxMpw2w%3D%3D&rt=0&let=58&ct=0&ft=-1
785293,لطیف,محصولات کاغذی لطیف,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۵/۳۱,ن-۳۰,۱۴۰۰/۰۶/۰۴ ۱۸:۴۵:۵۸,۱۴۰۰/۰۶/۰۴ ۱۸:۴۵:۵۸,/Reports/Decision.aspx?LetterSerial=Cpx5CN45ceGe4OlPSQQQaQQQTC5A%3D%3D&rt=0&let=58&ct=0&ft=-1
776257,لطیف,محصولات کاغذی لطیف,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۴/۳۱,ن-۳۰,۱۴۰۰/۰۵/۰۶ ۱۶:۳۲:۲۹,۱۴۰۰/۰۵/۰۶ ۱۶:۳۲:۲۹,/Reports/Decision.aspx?LetterSerial=fC0HQQQaQQQupyMyln3zJicRGtng%3D%3D&rt=0&let=58&ct=0&ft=-1
