TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075770,لپارس,کارخانجات پارس الکتریک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۷:۴۳:۰۱,۱۴۰۲/۰۶/۰۵ ۱۷:۴۳:۰۱,/Reports/Decision.aspx?LetterSerial=rQQQaQQQW2xdb4ue7CFHwIGtfLGg%3d%3d&rt=0&let=58&ct=0&ft=-1
1063738,لپارس,کارخانجات پارس الکتریک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۲:۲۲:۱۲,۱۴۰۲/۰۵/۰۴ ۱۲:۲۲:۱۲,/Reports/Decision.aspx?LetterSerial=QZTOGFQuqie3eX0EB6GRRA%3d%3d&rt=0&let=58&ct=0&ft=-1
1046391,لپارس,کارخانجات پارس الکتریک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۵ ۱۹:۴۱:۰۶,۱۴۰۲/۰۴/۰۵ ۱۹:۴۱:۰۶,/Reports/Decision.aspx?LetterSerial=QQD%2bQ52eeZNaQQQaQQQUSUfPQh2w%3d%3d&rt=0&let=58&ct=0&ft=-1
1040730,لپارس,کارخانجات پارس الکتریک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۳/۲۵ ۱۹:۲۶:۱۷,۱۴۰۲/۰۳/۲۵ ۱۹:۲۶:۱۷,/Reports/Decision.aspx?LetterSerial=PlwN01WVXynh9ZxrdyDOjg%3d%3d&rt=0&let=58&ct=0&ft=-1
1031881,لپارس,کارخانجات پارس الکتریک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۶ ۱۸:۳۶:۰۲,۱۴۰۲/۰۳/۰۶ ۱۸:۳۶:۰۲,/Reports/Decision.aspx?LetterSerial=T8hRwBvLVS2qazgVrVvong%3d%3d&rt=0&let=58&ct=0&ft=-1
1016551,لپارس,کارخانجات پارس الکتریک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۶ ۱۰:۱۷:۳۷,۱۴۰۲/۰۲/۰۶ ۱۰:۱۷:۳۷,/Reports/Decision.aspx?LetterSerial=4TQQQaQQQVH8lo69WcBRvK%2beJW2Q%3d%3d&rt=0&let=58&ct=0&ft=-1
1006158,لپارس,کارخانجات پارس الکتریک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۵ ۱۲:۲۹:۵۴,۱۴۰۲/۰۱/۰۵ ۱۲:۲۹:۵۴,/Reports/Decision.aspx?LetterSerial=Zhvfqm5lk6cxtp%2bdLjr8wA%3d%3d&rt=0&let=58&ct=0&ft=-1
995740,لپارس,کارخانجات پارس الکتریک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۴ ۱۷:۳۴:۲۴,۱۴۰۱/۱۲/۰۴ ۱۷:۳۴:۲۴,/Reports/Decision.aspx?LetterSerial=6Eo4q7bJQiQg9WlrKd%2bWPQ%3d%3d&rt=0&let=58&ct=0&ft=-1
987584,لپارس,کارخانجات پارس الکتریک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۵:۵۳:۱۷,۱۴۰۱/۱۱/۰۵ ۱۵:۵۳:۱۷,/Reports/Decision.aspx?LetterSerial=YIRYtN4wd1T0I9E4%2b2czWw%3d%3d&rt=0&let=58&ct=0&ft=-1
974546,لپارس,کارخانجات پارس الکتریک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۱۶:۱۸:۱۷,۱۴۰۱/۱۰/۰۵ ۱۶:۱۸:۱۷,/Reports/Decision.aspx?LetterSerial=kYYuyBXPEuGClNbpRf%2bx1A%3d%3d&rt=0&let=58&ct=0&ft=-1
