TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1071533,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۶ ۱۵:۰۵:۵۶,۱۴۰۲/۰۶/۰۶ ۱۵:۰۵:۵۶,/Reports/Decision.aspx?LetterSerial=hVvnrhDC8bEIeQQQaQQQQoIgyodw%3d%3d&rt=0&let=58&ct=0&ft=-1
1061822,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۷ ۱۴:۰۵:۲۸,۱۴۰۲/۰۵/۰۷ ۱۴:۰۵:۲۸,/Reports/Decision.aspx?LetterSerial=nNDhyBVmtEvMFsM0AW3caA%3d%3d&rt=0&let=58&ct=0&ft=-1
1058533,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۲۸ ۱۳:۵۹:۳۲,۱۴۰۲/۰۴/۲۸ ۱۳:۵۹:۳۲,/Reports/Decision.aspx?LetterSerial=XAz99goykco3hBAYlnN46g%3d%3d&rt=0&let=58&ct=0&ft=-1
1041405,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۲:۴۰:۲۸,۱۴۰۲/۰۴/۰۷ ۱۲:۴۰:۲۸,/Reports/Decision.aspx?LetterSerial=tQNwOBo91oFXemyECkXf2Q%3d%3d&rt=0&let=58&ct=0&ft=-1
1018538,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۳/۲۴ ۱۲:۰۴:۴۸,۱۴۰۲/۰۳/۲۴ ۱۲:۰۴:۴۸,/Reports/Decision.aspx?LetterSerial=CzTzU518ds2BPYCqQdQOrQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1031356,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۲:۵۷:۰۱,۱۴۰۲/۰۳/۰۷ ۱۲:۵۷:۰۱,/Reports/Decision.aspx?LetterSerial=NChKOogMvE2bQwjP5w0h7w%3d%3d&rt=0&let=58&ct=0&ft=-1
1017366,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۰ ۱۰:۴۴:۴۱,۱۴۰۲/۰۲/۱۰ ۱۰:۴۴:۴۱,/Reports/Decision.aspx?LetterSerial=R1EwcJKPsnkzXsUv9za05A%3d%3d&rt=0&let=58&ct=0&ft=-1
1003910,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۹ ۱۳:۰۷:۴۵,۱۴۰۲/۰۱/۰۹ ۱۳:۰۷:۴۵,/Reports/Decision.aspx?LetterSerial=RtORbmZjlzNCKFbf6JV8oA%3d%3d&rt=0&let=58&ct=0&ft=-1
995287,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۷ ۱۴:۰۷:۲۵,۱۴۰۱/۱۲/۰۷ ۱۴:۰۷:۲۵,/Reports/Decision.aspx?LetterSerial=NOWCXrA%2b6pWvbIkElVREyQ%3d%3d&rt=0&let=58&ct=0&ft=-1
985655,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۵:۲۰:۴۴,۱۴۰۱/۱۱/۰۵ ۱۵:۲۰:۴۴,/Reports/Decision.aspx?LetterSerial=Il8b32Aj4hYiabdQQQaQQQQmk6CQ%3d%3d&rt=0&let=58&ct=0&ft=-1
983551,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۲۸ ۱۰:۵۱:۴۰,۱۴۰۱/۱۰/۲۸ ۱۰:۵۱:۴۰,/Reports/Decision.aspx?LetterSerial=CZZLrFLG5rvXewNwu8PorQ%3d%3d&rt=0&let=58&ct=0&ft=-1
975105,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۱۰ ۱۲:۵۷:۱۹,۱۴۰۱/۱۰/۱۰ ۱۲:۵۷:۱۹,/Reports/Decision.aspx?LetterSerial=nSJHaYGpBAOW2ukKbTHxgQ%3d%3d&rt=0&let=58&ct=0&ft=-1
975009,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۰۵ ۱۰:۲۸:۳۵,۱۴۰۱/۱۰/۰۵ ۱۰:۲۸:۳۵,/Reports/Decision.aspx?LetterSerial=wpbx%2bBffGTPQQQaQQQZcF0JQBEmw%3d%3d&rt=0&let=58&ct=0&ft=-1
975010,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۰۵ ۰۹:۳۹:۴۷,۱۴۰۱/۱۰/۰۵ ۰۹:۳۹:۴۷,/Reports/Decision.aspx?LetterSerial=Yx61NXdSee5Jjxdp7lbxuw%3d%3d&rt=0&let=58&ct=0&ft=-1
965845,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۹/۰۹ ۱۲:۵۲:۰۳,۱۴۰۱/۰۹/۰۹ ۱۲:۵۲:۰۳,/Reports/Decision.aspx?LetterSerial=pKa3R1W27soXqdpVIzsE6w%3d%3d&rt=0&let=58&ct=0&ft=-1
963123,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۷ ۱۵:۴۰:۳۳,۱۴۰۱/۰۹/۰۷ ۱۵:۴۰:۳۳,/Reports/Decision.aspx?LetterSerial=ezoZEYJwjpG5AyDhAvPejg%3d%3d&rt=0&let=58&ct=0&ft=-1
951843,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۷ ۱۵:۳۹:۴۲,۱۴۰۱/۰۸/۰۷ ۱۵:۳۹:۴۲,/Reports/Decision.aspx?LetterSerial=AneYYLnHmTT9Cm9HyMjFrg%3d%3d&rt=0&let=58&ct=0&ft=-1
949077,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۳۰ ۱۹:۱۰:۰۳,۱۴۰۱/۰۷/۳۰ ۱۹:۱۰:۰۳,/Reports/Decision.aspx?LetterSerial=Y%2b9TjgUzjzLLuFTfkQyQLQ%3d%3d&rt=0&let=58&ct=0&ft=-1
947222,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۲۷ ۱۵:۵۳:۰۱,۱۴۰۱/۰۷/۲۷ ۱۵:۵۳:۰۱,/Reports/Decision.aspx?LetterSerial=xsQioaeO4flHQQQaQQQPBKtDhA8w%3d%3d&rt=0&let=58&ct=0&ft=-1
939262,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۱۰ ۱۳:۰۸:۵۴,۱۴۰۱/۰۷/۱۰ ۱۳:۰۸:۵۴,/Reports/Decision.aspx?LetterSerial=iFGsKdgJGDAQAKuUfbG79g%3d%3d&rt=0&let=58&ct=0&ft=-1
930304,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۷ ۱۷:۲۰:۱۹,۱۴۰۱/۰۶/۰۷ ۱۷:۲۰:۱۹,/Reports/Decision.aspx?LetterSerial=QQQaQQQ7cNfPSuFeNUigF8XNkxpg%3d%3d&rt=0&let=58&ct=0&ft=-1
916421,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۵ ۱۲:۳۴:۰۷,۱۴۰۱/۰۵/۰۵ ۱۲:۳۴:۰۷,/Reports/Decision.aspx?LetterSerial=U59YvoXhNdJQQQaQQQcXmKd7mQ6A%3d%3d&rt=0&let=58&ct=0&ft=-1
914756,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۴/۲۹ ۰۸:۲۸:۳۵,۱۴۰۱/۰۴/۲۹ ۰۸:۲۸:۳۵,/Reports/Decision.aspx?LetterSerial=b1oxywA76cFBn3iwLHgzVQ%3d%3d&rt=0&let=58&ct=0&ft=-1
901083,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۰,۱۴۰۱/۰۴/۰۷ ۱۶:۴۳:۴۵,۱۴۰۱/۰۴/۰۷ ۱۶:۴۳:۴۵,/Reports/Decision.aspx?LetterSerial=0f5mBgQQQaQQQCUo9TNe1OiRGs6w%3d%3d&rt=0&let=58&ct=0&ft=-1
893237,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۰/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۱/۰۳/۲۸ ۱۶:۰۱:۱۵,۱۴۰۱/۰۳/۲۸ ۱۶:۰۱:۱۵,/Reports/Decision.aspx?LetterSerial=4xcSpJHj7nPillpIbQhbDw%3d%3d&rt=0&let=58&ct=0&ft=-1
888680,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۰,۱۴۰۱/۰۳/۰۷ ۱۵:۱۳:۴۰,۱۴۰۱/۰۳/۰۷ ۱۵:۱۳:۴۰,/Reports/Decision.aspx?LetterSerial=tAQSL32aUfFmRWcgUPXEgw%3d%3d&rt=0&let=58&ct=0&ft=-1
876171,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۰,۱۴۰۱/۰۲/۱۰ ۱۵:۲۵:۴۹,۱۴۰۱/۰۲/۱۰ ۱۵:۲۵:۴۹,/Reports/Decision.aspx?LetterSerial=y27xHDmFngq6oiAguPnVNg%3D%3D&rt=0&let=58&ct=0&ft=-1
865380,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۰,۱۴۰۱/۰۱/۱۰ ۱۰:۳۵:۰۸,۱۴۰۱/۰۱/۱۰ ۱۰:۳۵:۰۸,/Reports/Decision.aspx?LetterSerial=WawZ5P3T5ecZjKRicecgfw%3D%3D&rt=0&let=58&ct=0&ft=-1
857803,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰,ن-۳۰,۱۴۰۰/۱۲/۰۷ ۱۶:۰۰:۰۲,۱۴۰۰/۱۲/۰۷ ۱۶:۰۰:۰۲,/Reports/Decision.aspx?LetterSerial=NhsFAT2A3wAYrvNu%2Bdxzpg%3D%3D&rt=0&let=58&ct=0&ft=-1
847873,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰,ن-۳۰,۱۴۰۰/۱۱/۰۶ ۱۴:۲۴:۰۴,۱۴۰۰/۱۱/۰۶ ۱۴:۲۴:۰۴,/Reports/Decision.aspx?LetterSerial=VR92Irzw1jZP8KeyyPxRZw%3D%3D&rt=0&let=58&ct=0&ft=-1
835959,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۹/۳۰,ن-۳۰,۱۴۰۰/۱۰/۰۷ ۱۵:۴۰:۵۰,۱۴۰۰/۱۰/۰۷ ۱۵:۴۰:۵۰,/Reports/Decision.aspx?LetterSerial=Wu6qpdjOjqMxsvZBpMYdvw%3D%3D&rt=0&let=58&ct=0&ft=-1
823479,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۸/۳۰,ن-۳۰,۱۴۰۰/۰۹/۰۷ ۱۳:۲۹:۴۳,۱۴۰۰/۰۹/۰۷ ۱۳:۲۹:۴۳,/Reports/Decision.aspx?LetterSerial=AJPxoTHhhRD2AnEwV%2BJudA%3D%3D&rt=0&let=58&ct=0&ft=-1
810793,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۷/۳۰,ن-۳۰,۱۴۰۰/۰۸/۰۸ ۱۴:۳۶:۴۹,۱۴۰۰/۰۸/۰۸ ۱۴:۳۶:۴۹,/Reports/Decision.aspx?LetterSerial=Y%2BtG2BVBBiCXoCFus1tyEA%3D%3D&rt=0&let=58&ct=0&ft=-1
800934,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۶/۳۱,ن-۳۰,۱۴۰۰/۰۷/۱۰ ۱۵:۳۱:۲۴,۱۴۰۰/۰۷/۱۰ ۱۵:۳۱:۲۴,/Reports/Decision.aspx?LetterSerial=BkE5U6o2Cj5NVosZES%2BE0w%3D%3D&rt=0&let=58&ct=0&ft=-1
787098,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۵/۳۱,ن-۳۰,۱۴۰۰/۰۶/۰۷ ۱۷:۵۴:۱۷,۱۴۰۰/۰۶/۰۷ ۱۷:۵۴:۱۷,/Reports/Decision.aspx?LetterSerial=E3eZsUCQQ55oM4ZE6rM9KA%3D%3D&rt=0&let=58&ct=0&ft=-1
777942,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۴/۳۱,ن-۳۰,۱۴۰۰/۰۵/۰۶ ۱۴:۳۳:۲۷,۱۴۰۰/۰۵/۰۶ ۱۴:۳۳:۲۷,/Reports/Decision.aspx?LetterSerial=MarN3tP59C8ffsx1qehrEw%3D%3D&rt=0&let=58&ct=0&ft=-1
762416,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۳/۳۱,ن-۳۰,۱۴۰۰/۰۴/۰۷ ۱۶:۳۹:۵۲,۱۴۰۰/۰۴/۰۷ ۱۶:۳۹:۵۲,/Reports/Decision.aspx?LetterSerial=aw2QQQaQQQWo9QLfVLeCwZJctJXA%3D%3D&rt=0&let=58&ct=0&ft=-1
751419,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۲/۳۱,ن-۳۰,۱۴۰۰/۰۳/۰۵ ۱۴:۱۷:۰۲,۱۴۰۰/۰۳/۰۵ ۱۴:۱۷:۰۲,/Reports/Decision.aspx?LetterSerial=Shv5ThwlbF2BK69P9o4uFA%3D%3D&rt=0&let=58&ct=0&ft=-1
740606,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۱/۳۱,ن-۳۰,۱۴۰۰/۰۲/۰۷ ۱۴:۱۶:۳۲,۱۴۰۰/۰۲/۰۷ ۱۴:۱۶:۳۲,/Reports/Decision.aspx?LetterSerial=k3vsOkZV80o816EryUkqpA%3D%3D&rt=0&let=58&ct=0&ft=-1
732960,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۲/۳۰,ن-۳۰,۱۴۰۰/۰۱/۱۴ ۱۴:۵۵:۲۸,۱۴۰۰/۰۱/۱۴ ۱۴:۵۵:۲۸,/Reports/Decision.aspx?LetterSerial=FrQQQaQQQMXcBnJqlM8xr6Vk5Y4Q%3D%3D&rt=0&let=58&ct=0&ft=-1
725661,مبین,مبین انرژی خلیج فارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۱/۳۰,ن-۳۰,۱۳۹۹/۱۲/۰۶ ۱۸:۱۵:۴۸,۱۳۹۹/۱۲/۰۶ ۱۸:۱۵:۴۸,/Reports/Decision.aspx?LetterSerial=ALrCfsHlsG5CWQQQaQQQQQQaQQQvTaLQQQaQQQDw%3D%3D&rt=0&let=58&ct=0&ft=-1
