TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1076144,مرقام,ایران ارقام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۷ ۰۸:۴۲:۰۵,۱۴۰۲/۰۶/۰۷ ۰۸:۴۲:۰۵,/Reports/Decision.aspx?LetterSerial=QYkvxIxqLJOJM7firW9Uhg%3d%3d&rt=5&let=58&ct=0&ft=-1
1064551,مرقام,ایران ارقام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۷ ۱۱:۲۳:۱۴,۱۴۰۲/۰۵/۰۷ ۱۱:۲۳:۱۴,/Reports/Decision.aspx?LetterSerial=MAucWM8IVwu1BgQQQaQQQfQQQaQQQshALA%3d%3d&rt=5&let=58&ct=0&ft=-1
1046307,مرقام,ایران ارقام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۲:۰۶:۲۱,۱۴۰۲/۰۴/۰۷ ۱۲:۰۶:۲۱,/Reports/Decision.aspx?LetterSerial=EaVgx4IsQQQaQQQq%2be%2b16x1oz4qA%3d%3d&rt=5&let=58&ct=0&ft=-1
1030441,مرقام,ایران ارقام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۶ ۱۷:۴۹:۵۶,۱۴۰۲/۰۳/۰۶ ۱۷:۴۹:۵۶,/Reports/Decision.aspx?LetterSerial=dd0mkp1RwxbHqCsyXxjwRw%3d%3d&rt=5&let=58&ct=0&ft=-1
1018749,مرقام,ایران ارقام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۰ ۱۴:۰۶:۴۸,۱۴۰۲/۰۲/۱۰ ۱۴:۰۶:۴۸,/Reports/Decision.aspx?LetterSerial=Un0n9xCDjiD%2b%2b3j6oZmMSg%3d%3d&rt=5&let=58&ct=0&ft=-1
1006676,مرقام,ایران ارقام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۷ ۱۰:۴۹:۵۹,۱۴۰۲/۰۱/۰۷ ۱۰:۴۹:۵۹,/Reports/Decision.aspx?LetterSerial=Y08iYkV1m0iVweUwSh47eg%3d%3d&rt=5&let=58&ct=0&ft=-1
997023,مرقام,ایران ارقام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۶ ۱۷:۲۷:۲۸,۱۴۰۱/۱۲/۰۶ ۱۷:۲۷:۲۸,/Reports/Decision.aspx?LetterSerial=aPMXDIkHi4995ghQQQaQQQ7g3CSQ%3d%3d&rt=5&let=58&ct=0&ft=-1
987752,مرقام,ایران ارقام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۵:۵۷:۵۹,۱۴۰۱/۱۱/۰۵ ۱۵:۵۷:۵۹,/Reports/Decision.aspx?LetterSerial=x9YLNUH5UVcLp5aVUvbZjw%3d%3d&rt=5&let=58&ct=0&ft=-1
976795,مرقام,ایران ارقام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۱۰ ۱۶:۳۸:۴۳,۱۴۰۱/۱۰/۱۰ ۱۶:۳۸:۴۳,/Reports/Decision.aspx?LetterSerial=waT5fIHd0wzYVuPYamadjQ%3d%3d&rt=5&let=58&ct=0&ft=-1
965663,مرقام,ایران ارقام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۹/۰۹ ۱۲:۲۸:۰۷,۱۴۰۱/۰۹/۰۹ ۱۲:۲۸:۰۷,/Reports/Decision.aspx?LetterSerial=SCdzWzy4n1lUwRiRxRetgg%3d%3d&rt=5&let=58&ct=0&ft=-1
965032,مرقام,ایران ارقام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۷ ۱۷:۴۶:۱۰,۱۴۰۱/۰۹/۰۷ ۱۷:۴۶:۱۰,/Reports/Decision.aspx?LetterSerial=uDPYYd5EcfwkHQQQaQQQ7WTSuJlw%3d%3d&rt=5&let=58&ct=0&ft=-1
964290,مرقام,ایران ارقام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۹/۰۷ ۱۷:۲۲:۵۲,۱۴۰۱/۰۹/۰۷ ۱۷:۲۲:۵۲,/Reports/Decision.aspx?LetterSerial=F509H3RAskna7hggV3cV3Q%3d%3d&rt=5&let=58&ct=0&ft=-1
952175,مرقام,ایران ارقام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۷ ۲۰:۱۳:۳۸,۱۴۰۱/۰۸/۰۷ ۲۰:۱۳:۳۸,/Reports/Decision.aspx?LetterSerial=i9yUZ0gi2ZVNv6vEgkziuw%3d%3d&rt=5&let=58&ct=0&ft=-1
943206,مرقام,ایران ارقام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۱۰ ۲۲:۱۷:۵۵,۱۴۰۱/۰۷/۱۰ ۲۲:۱۷:۵۵,/Reports/Decision.aspx?LetterSerial=5E7juVwBHgIV5H67LaGK6w%3d%3d&rt=5&let=58&ct=0&ft=-1
928912,مرقام,ایران ارقام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۶ ۱۲:۰۹:۰۹,۱۴۰۱/۰۶/۰۶ ۱۲:۰۹:۰۹,/Reports/Decision.aspx?LetterSerial=Xgtq5DdRn2XedOUDNrcMzw%3d%3d&rt=5&let=58&ct=0&ft=-1
918892,مرقام,ایران ارقام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۵ ۰۸:۴۸:۰۵,۱۴۰۱/۰۵/۰۵ ۰۸:۴۸:۰۵,/Reports/Decision.aspx?LetterSerial=ttWMycOzdMUrscLi1iUXIA%3d%3d&rt=5&let=58&ct=0&ft=-1
902884,مرقام,ایران ارقام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۰,۱۴۰۱/۰۴/۰۶ ۱۶:۱۰:۵۶,۱۴۰۱/۰۴/۰۶ ۱۶:۱۰:۵۶,/Reports/Decision.aspx?LetterSerial=OQrqBfZCZBwE91QQQaQQQCplkVzg%3d%3d&rt=5&let=58&ct=0&ft=-1
888372,مرقام,ایران ارقام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۰,۱۴۰۱/۰۳/۰۷ ۱۴:۰۳:۵۳,۱۴۰۱/۰۳/۰۷ ۱۴:۰۳:۵۳,/Reports/Decision.aspx?LetterSerial=6sFUQn6uaZpQkuMvuyfrFQ%3d%3d&rt=5&let=58&ct=0&ft=-1
876476,مرقام,ایران ارقام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۰,۱۴۰۱/۰۲/۱۰ ۱۷:۲۶:۳۶,۱۴۰۱/۰۲/۱۰ ۱۷:۲۶:۳۶,/Reports/Decision.aspx?LetterSerial=M55ksT%2Brn0BZLYqxKonqRQ%3D%3D&rt=5&let=58&ct=0&ft=-1
865798,مرقام,ایران ارقام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۰,۱۴۰۱/۰۱/۱۰ ۱۰:۱۱:۲۰,۱۴۰۱/۰۱/۱۰ ۱۰:۱۱:۲۰,/Reports/Decision.aspx?LetterSerial=kRCLXNedV%2BWMU%2BQTcoUEzA%3D%3D&rt=5&let=58&ct=0&ft=-1
856964,مرقام,ایران ارقام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰,ن-۳۰,۱۴۰۰/۱۲/۰۷ ۱۵:۲۹:۴۲,۱۴۰۰/۱۲/۰۷ ۱۵:۲۹:۴۲,/Reports/Decision.aspx?LetterSerial=tlUhQJK9ilPVqjHfQQQaQQQOeaxA%3D%3D&rt=5&let=58&ct=0&ft=-1
846551,مرقام,ایران ارقام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰,ن-۳۰,۱۴۰۰/۱۱/۰۶ ۱۱:۱۳:۱۴,۱۴۰۰/۱۱/۰۶ ۱۱:۱۳:۱۴,/Reports/Decision.aspx?LetterSerial=AXQuTZhCwdu1YLjBRPwfXg%3D%3D&rt=5&let=58&ct=0&ft=-1
839943,مرقام,ایران ارقام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۰/۱۰/۱۸ ۱۸:۲۲:۰۱,۱۴۰۰/۱۰/۱۸ ۱۸:۲۲:۰۱,/Reports/Decision.aspx?LetterSerial=qJgV5tERLiH9TWNL29GbWg%3D%3D&rt=5&let=58&ct=0&ft=-1
836765,مرقام,ایران ارقام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۰/۱۰/۰۸ ۱۰:۱۵:۵۲,۱۴۰۰/۱۰/۰۸ ۱۰:۱۵:۵۲,/Reports/Decision.aspx?LetterSerial=PDXE4VUub93OsjzUDPv0hw%3D%3D&rt=5&let=58&ct=0&ft=-1
832483,مرقام,ایران ارقام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۹/۳۰,ن-۳۰,۱۴۰۰/۱۰/۰۷ ۱۸:۱۳:۵۵,۱۴۰۰/۱۰/۰۷ ۱۸:۱۳:۵۵,/Reports/Decision.aspx?LetterSerial=dKh%2BbZcwB5AHI3GDQQQaQQQcVjQw%3D%3D&rt=5&let=58&ct=0&ft=-1
824849,مرقام,ایران ارقام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۰/۰۹/۱۰ ۱۷:۲۷:۰۷,۱۴۰۰/۰۹/۱۰ ۱۷:۲۷:۰۷,/Reports/Decision.aspx?LetterSerial=pjyJCrjQQQaQQQ9rA1KdFPydyXdw%3D%3D&rt=0&let=58&ct=0&ft=-1
822939,مرقام,ایران ارقام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۸/۳۰,ن-۳۰,۱۴۰۰/۰۹/۰۷ ۱۰:۵۳:۴۰,۱۴۰۰/۰۹/۰۷ ۱۰:۵۳:۴۰,/Reports/Decision.aspx?LetterSerial=1pZj1vCeg1TsH0R6TJsRxQ%3D%3D&rt=0&let=58&ct=0&ft=-1
811298,مرقام,ایران ارقام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۷/۳۰,ن-۳۰,۱۴۰۰/۰۸/۰۶ ۱۶:۳۷:۰۰,۱۴۰۰/۰۸/۰۶ ۱۶:۳۷:۰۰,/Reports/Decision.aspx?LetterSerial=mcfCXgYQQQaQQQMiLY4q2Juht2zg%3D%3D&rt=0&let=58&ct=0&ft=-1
801013,مرقام,ایران ارقام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۶/۳۱,ن-۳۰,۱۴۰۰/۰۷/۱۰ ۱۸:۳۹:۴۲,۱۴۰۰/۰۷/۱۰ ۱۸:۳۹:۴۲,/Reports/Decision.aspx?LetterSerial=NO9DPVMc6siLBq3HPGoclQ%3D%3D&rt=0&let=58&ct=0&ft=-1
786874,مرقام,ایران ارقام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۵/۳۱,ن-۳۰,۱۴۰۰/۰۶/۰۷ ۱۶:۳۱:۳۶,۱۴۰۰/۰۶/۰۷ ۱۶:۳۱:۳۶,/Reports/Decision.aspx?LetterSerial=Dc9jbJIbAVMV7s0begz71Q%3D%3D&rt=0&let=58&ct=0&ft=-1
779581,مرقام,ایران ارقام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۴/۳۱,ن-۳۰,۱۴۰۰/۰۵/۱۰ ۱۷:۴۴:۰۵,۱۴۰۰/۰۵/۱۰ ۱۷:۴۴:۰۵,/Reports/Decision.aspx?LetterSerial=jh1CY2M%2Bs41dcNKDzuN3Ow%3D%3D&rt=0&let=58&ct=0&ft=-1
