TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1076258,مفاخر,توسعه فناوری اطلاعات خوارزمی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۶ ۱۳:۴۹:۲۲,۱۴۰۲/۰۶/۰۶ ۱۳:۴۹:۲۲,/Reports/Decision.aspx?LetterSerial=c8U23Zb7s53ouXxLsrlPzA%3d%3d&rt=5&let=58&ct=0&ft=-1
1065022,مفاخر,توسعه فناوری اطلاعات خوارزمی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۷ ۱۳:۲۰:۳۹,۱۴۰۲/۰۵/۰۷ ۱۳:۲۰:۳۹,/Reports/Decision.aspx?LetterSerial=vGnLuapmWAVbwvowqyHG%2bw%3d%3d&rt=5&let=58&ct=0&ft=-1
1046915,مفاخر,توسعه فناوری اطلاعات خوارزمی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۶ ۱۲:۱۲:۵۶,۱۴۰۲/۰۴/۰۶ ۱۲:۱۲:۵۶,/Reports/Decision.aspx?LetterSerial=WiJQ9wJ0wnlxQQQaQQQqRC%2bMm%2bZg%3d%3d&rt=5&let=58&ct=0&ft=-1
1031875,مفاخر,توسعه فناوری اطلاعات خوارزمی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۶ ۱۸:۰۸:۲۷,۱۴۰۲/۰۳/۰۶ ۱۸:۰۸:۲۷,/Reports/Decision.aspx?LetterSerial=NUp7HmMhuz7EJzTRZg8Bzw%3d%3d&rt=5&let=58&ct=0&ft=-1
1018600,مفاخر,توسعه فناوری اطلاعات خوارزمی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۹ ۱۳:۲۹:۰۰,۱۴۰۲/۰۲/۰۹ ۱۳:۲۹:۰۰,/Reports/Decision.aspx?LetterSerial=oM5UPaDi6foVq0zklA9QQQaQQQ0g%3d%3d&rt=5&let=58&ct=0&ft=-1
1005865,مفاخر,توسعه فناوری اطلاعات خوارزمی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۳۰,ن-۳۰,۱۴۰۱/۱۲/۲۸ ۱۲:۵۴:۱۴,۱۴۰۱/۱۲/۲۸ ۱۲:۵۴:۱۴,/Reports/Decision.aspx?LetterSerial=Nqkd%2bjWUwzqiGtQX6M0smQ%3d%3d&rt=5&let=58&ct=0&ft=-1
997008,مفاخر,توسعه فناوری اطلاعات خوارزمی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۶ ۱۵:۳۶:۵۵,۱۴۰۱/۱۲/۰۶ ۱۵:۳۶:۵۵,/Reports/Decision.aspx?LetterSerial=olV%2bj1mVau5Lf9IGLzhKoQ%3d%3d&rt=5&let=58&ct=0&ft=-1
987822,مفاخر,توسعه فناوری اطلاعات خوارزمی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۵:۴۵:۵۹,۱۴۰۱/۱۱/۰۵ ۱۵:۴۵:۵۹,/Reports/Decision.aspx?LetterSerial=B7hq74bDcSdjXLJ1pEQQQaQQQ4AA%3d%3d&rt=5&let=58&ct=0&ft=-1
976078,مفاخر,توسعه فناوری اطلاعات خوارزمی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۷ ۱۵:۲۴:۲۱,۱۴۰۱/۱۰/۰۷ ۱۵:۲۴:۲۱,/Reports/Decision.aspx?LetterSerial=gvyK4lPqHDnIek5PMmVw0w%3d%3d&rt=5&let=58&ct=0&ft=-1
964876,مفاخر,توسعه فناوری اطلاعات خوارزمی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۷ ۱۵:۲۵:۵۴,۱۴۰۱/۰۹/۰۷ ۱۵:۲۵:۵۴,/Reports/Decision.aspx?LetterSerial=2zPcPetV286x0hQQQaQQQ6ia3irg%3d%3d&rt=5&let=58&ct=0&ft=-1
952707,مفاخر,توسعه فناوری اطلاعات خوارزمی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۸/۰۸ ۱۵:۲۹:۲۱,۱۴۰۱/۰۸/۰۸ ۱۵:۲۹:۲۱,/Reports/Decision.aspx?LetterSerial=qJYccKFiFQtDQEivIpBfww%3d%3d&rt=5&let=58&ct=0&ft=-1
950929,مفاخر,توسعه فناوری اطلاعات خوارزمی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۴ ۰۹:۵۵:۴۶,۱۴۰۱/۰۸/۰۴ ۰۹:۵۵:۴۶,/Reports/Decision.aspx?LetterSerial=0GiOI5vgVNiXu8AleRKflA%3d%3d&rt=5&let=58&ct=0&ft=-1
943386,مفاخر,توسعه فناوری اطلاعات خوارزمی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۱۱ ۱۲:۳۴:۳۹,۱۴۰۱/۰۷/۱۱ ۱۲:۳۴:۳۹,/Reports/Decision.aspx?LetterSerial=Ck9QQQaQQQmlnApIQQQaQQQFvTnYQjiBvA%3d%3d&rt=5&let=58&ct=0&ft=-1
943233,مفاخر,توسعه فناوری اطلاعات خوارزمی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۱۰ ۱۹:۳۲:۴۲,۱۴۰۱/۰۷/۱۰ ۱۹:۳۲:۴۲,/Reports/Decision.aspx?LetterSerial=1HGqvw6vkvji%2bzBPl3qOlw%3d%3d&rt=5&let=58&ct=0&ft=-1
936261,مفاخر,توسعه فناوری اطلاعات خوارزمی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۶/۱۶ ۱۲:۱۷:۲۶,۱۴۰۱/۰۶/۱۶ ۱۲:۱۷:۲۶,/Reports/Decision.aspx?LetterSerial=Gb7fZDiyrRY7FS4Tg0Q80A%3d%3d&rt=5&let=58&ct=0&ft=-1
932119,مفاخر,توسعه فناوری اطلاعات خوارزمی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۷ ۲۲:۲۷:۲۶,۱۴۰۱/۰۶/۰۷ ۲۲:۲۷:۲۶,/Reports/Decision.aspx?LetterSerial=m5PEBBNVYRJ7gDeVLQQQaQQQ1wbQ%3d%3d&rt=5&let=58&ct=0&ft=-1
919432,مفاخر,توسعه فناوری اطلاعات خوارزمی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۵ ۱۸:۵۴:۱۲,۱۴۰۱/۰۵/۰۵ ۱۸:۵۴:۱۲,/Reports/Decision.aspx?LetterSerial=Mr43c8CVYBHCInOiagSf0Q%3d%3d&rt=5&let=58&ct=0&ft=-1
919476,مفاخر,توسعه فناوری اطلاعات خوارزمی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۵/۰۵ ۱۴:۱۱:۰۹,۱۴۰۱/۰۵/۰۵ ۱۴:۱۱:۰۹,/Reports/Decision.aspx?LetterSerial=Ra2ZGFHBGVW7UYT6o%2buQrQ%3d%3d&rt=5&let=58&ct=0&ft=-1
