TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1085193,میدکو,مادر تخصصی توسعه معادن و صنایع معدنی خاورمیانه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۶/۳۱,ن-۳۱,۱۴۰۲/۰۷/۰۱ ۱۴:۲۹:۳۱,۱۴۰۲/۰۷/۰۱ ۱۴:۲۹:۳۱,/Reports/Decision.aspx?LetterSerial=0kp5jRPE0RS2hPXrbS3xMw%3d%3d&rt=2&let=8&ct=0&ft=-1
1074740,میدکو,مادر تخصصی توسعه معادن و صنایع معدنی خاورمیانه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۱,۱۴۰۲/۰۶/۰۴ ۰۸:۳۵:۲۳,۱۴۰۲/۰۶/۰۴ ۰۸:۳۵:۲۳,/Reports/Decision.aspx?LetterSerial=LrgmLrw4xOUKsG0I6fDz0g%3d%3d&rt=2&let=8&ct=0&ft=-1
1068238,میدکو,مادر تخصصی توسعه معادن و صنایع معدنی خاورمیانه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱(اصلاحیه),ن-۳۱,۱۴۰۲/۰۵/۱۵ ۱۶:۴۸:۰۸,۱۴۰۲/۰۵/۱۵ ۱۶:۴۸:۰۸,/Reports/Decision.aspx?LetterSerial=mpR%2bql9l9bT3W9QRi%2bahww%3d%3d&rt=2&let=8&ct=0&ft=-1
1061989,میدکو,مادر تخصصی توسعه معادن و صنایع معدنی خاورمیانه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۱,۱۴۰۲/۰۵/۰۱ ۱۱:۴۷:۲۵,۱۴۰۲/۰۵/۰۱ ۱۱:۴۷:۲۵,/Reports/Decision.aspx?LetterSerial=EACnqMQNU6sxOcUclD6lrA%3d%3d&rt=2&let=8&ct=0&ft=-1
1041188,میدکو,مادر تخصصی توسعه معادن و صنایع معدنی خاورمیانه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۱,۱۴۰۲/۰۴/۰۳ ۱۶:۲۵:۴۱,۱۴۰۲/۰۴/۰۳ ۱۶:۲۵:۴۱,/Reports/Decision.aspx?LetterSerial=CbZQ7iCJP3jYQO7FQQQaQQQlt54Q%3d%3d&rt=2&let=8&ct=0&ft=-1
1029354,میدکو,مادر تخصصی توسعه معادن و صنایع معدنی خاورمیانه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۱,۱۴۰۲/۰۳/۰۱ ۱۷:۰۶:۱۳,۱۴۰۲/۰۳/۰۱ ۱۷:۰۶:۱۳,/Reports/Decision.aspx?LetterSerial=ixqDFKq126SL1QQQaQQQZLmZ6zEQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1016160,میدکو,مادر تخصصی توسعه معادن و صنایع معدنی خاورمیانه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۱,۱۴۰۲/۰۲/۰۴ ۱۴:۱۴:۴۳,۱۴۰۲/۰۲/۰۴ ۱۴:۱۴:۴۳,/Reports/Decision.aspx?LetterSerial=RUL3G5EgRLxUrzrfdzCZTg%3d%3d&rt=2&let=8&ct=0&ft=-1
1007117,میدکو,مادر تخصصی توسعه معادن و صنایع معدنی خاورمیانه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۱,۱۴۰۲/۰۱/۰۸ ۰۸:۲۶:۳۵,۱۴۰۲/۰۱/۰۸ ۰۸:۲۶:۳۵,/Reports/Decision.aspx?LetterSerial=P97sRGI7xFSFf8BQQQaQQQM6wEJA%3d%3d&rt=2&let=8&ct=0&ft=-1
995504,میدکو,مادر تخصصی توسعه معادن و صنایع معدنی خاورمیانه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۱,۱۴۰۱/۱۲/۰۲ ۱۳:۱۳:۵۹,۱۴۰۱/۱۲/۰۲ ۱۳:۱۳:۵۹,/Reports/Decision.aspx?LetterSerial=Pl4bZphScFO6UoMDufvV5A%3d%3d&rt=2&let=8&ct=0&ft=-1
985501,میدکو,مادر تخصصی توسعه معادن و صنایع معدنی خاورمیانه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۱,۱۴۰۱/۱۱/۰۳ ۰۸:۳۳:۰۰,۱۴۰۱/۱۱/۰۳ ۰۸:۳۳:۰۰,/Reports/Decision.aspx?LetterSerial=ZouN4bsvPMmW9JsOxCiH%2bw%3d%3d&rt=2&let=8&ct=0&ft=-1
974515,میدکو,مادر تخصصی توسعه معادن و صنایع معدنی خاورمیانه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۱,۱۴۰۱/۱۰/۰۴ ۱۱:۴۱:۱۹,۱۴۰۱/۱۰/۰۴ ۱۱:۴۱:۱۹,/Reports/Decision.aspx?LetterSerial=fl2Bf2Hu6SXeY17aBh04sQ%3d%3d&rt=2&let=8&ct=0&ft=-1
962868,میدکو,مادر تخصصی توسعه معادن و صنایع معدنی خاورمیانه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۱,۱۴۰۱/۰۹/۰۳ ۱۶:۰۳:۴۱,۱۴۰۱/۰۹/۰۳ ۱۶:۰۳:۴۱,/Reports/Decision.aspx?LetterSerial=Vu8KSPYVxqHkXyIKbggywA%3d%3d&rt=2&let=8&ct=0&ft=-1
