TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075504,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۲:۰۹:۴۲,۱۴۰۲/۰۶/۰۵ ۱۲:۰۹:۴۲,/Reports/Decision.aspx?LetterSerial=dQQQaQQQQjxc5ksQbqrVbqlOI1aA%3d%3d&rt=5&let=58&ct=0&ft=-1
1064319,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۳:۵۰:۲۴,۱۴۰۲/۰۵/۰۴ ۱۳:۵۰:۲۴,/Reports/Decision.aspx?LetterSerial=EyV8Gu9SvuZELFVqQQQaQQQ1Qb7A%3d%3d&rt=5&let=58&ct=0&ft=-1
1057885,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۲۶ ۱۳:۴۴:۱۹,۱۴۰۲/۰۴/۲۶ ۱۳:۴۴:۱۹,/Reports/Decision.aspx?LetterSerial=jACW20nS7YjLcFJDQt3CKw%3d%3d&rt=5&let=58&ct=0&ft=-1
1046062,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۵ ۱۲:۲۰:۲۵,۱۴۰۲/۰۴/۰۵ ۱۲:۲۰:۲۵,/Reports/Decision.aspx?LetterSerial=nLVUFdNq9zw91cmbzEh8qw%3d%3d&rt=5&let=58&ct=0&ft=-1
1030999,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۴ ۱۱:۴۰:۱۹,۱۴۰۲/۰۳/۰۴ ۱۱:۴۰:۱۹,/Reports/Decision.aspx?LetterSerial=a3eQA%2b4YI97c9bFe7a%2bz8g%3d%3d&rt=5&let=58&ct=0&ft=-1
1018155,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۷ ۱۰:۲۸:۵۷,۱۴۰۲/۰۲/۰۷ ۱۰:۲۸:۵۷,/Reports/Decision.aspx?LetterSerial=Fd9w5GAvkmQH7c0S4dnDSA%3d%3d&rt=5&let=58&ct=0&ft=-1
1008703,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۸ ۱۳:۱۶:۳۹,۱۴۰۲/۰۱/۰۸ ۱۳:۱۶:۳۹,/Reports/Decision.aspx?LetterSerial=HQ3QQQaQQQ4GLdWJ9tbl0IyoBvqA%3d%3d&rt=5&let=58&ct=0&ft=-1
996460,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۴ ۱۱:۲۶:۵۶,۱۴۰۱/۱۲/۰۴ ۱۱:۲۶:۵۶,/Reports/Decision.aspx?LetterSerial=E3CRwtKdOEPQQQaQQQlp20X07F6Q%3d%3d&rt=5&let=58&ct=0&ft=-1
987407,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۰:۲۱:۱۲,۱۴۰۱/۱۱/۰۵ ۱۰:۲۱:۱۲,/Reports/Decision.aspx?LetterSerial=0DQjvDLWbrYpfi8IsDeDJw%3d%3d&rt=5&let=58&ct=0&ft=-1
974752,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۴ ۱۵:۱۵:۲۰,۱۴۰۱/۱۰/۰۴ ۱۵:۱۵:۲۰,/Reports/Decision.aspx?LetterSerial=iK81kJ%2bVSUzxGAclJ6zMhg%3d%3d&rt=5&let=58&ct=0&ft=-1
962813,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۳ ۱۰:۴۰:۳۳,۱۴۰۱/۰۹/۰۳ ۱۰:۴۰:۳۳,/Reports/Decision.aspx?LetterSerial=2Tdx843Csox6if2H7xaR0Q%3d%3d&rt=5&let=58&ct=0&ft=-1
951630,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۵ ۱۱:۰۴:۳۵,۱۴۰۱/۰۸/۰۵ ۱۱:۰۴:۳۵,/Reports/Decision.aspx?LetterSerial=hemQQQaQQQqn5UslzqhIOCmfUn6w%3d%3d&rt=5&let=58&ct=0&ft=-1
941694,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۶ ۱۰:۲۱:۰۳,۱۴۰۱/۰۷/۰۶ ۱۰:۲۱:۰۳,/Reports/Decision.aspx?LetterSerial=BfYHsmGX3hwtYnO33C%2bUmQ%3d%3d&rt=5&let=58&ct=0&ft=-1
930344,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۵ ۱۰:۰۸:۰۷,۱۴۰۱/۰۶/۰۵ ۱۰:۰۸:۰۷,/Reports/Decision.aspx?LetterSerial=3wu3dbpahai%2bK4gQ7MFCjw%3d%3d&rt=5&let=58&ct=0&ft=-1
918931,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۴ ۱۶:۲۷:۵۹,۱۴۰۱/۰۵/۰۴ ۱۶:۲۷:۵۹,/Reports/Decision.aspx?LetterSerial=Nv0coT9I6BAhWrMxCU9PXg%3d%3d&rt=5&let=58&ct=0&ft=-1
901478,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۰,۱۴۰۱/۰۴/۰۴ ۱۵:۱۱:۲۳,۱۴۰۱/۰۴/۰۴ ۱۵:۱۱:۲۳,/Reports/Decision.aspx?LetterSerial=kiw0NsGUYhjwV3EykTeO0w%3d%3d&rt=5&let=58&ct=0&ft=-1
887351,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۰,۱۴۰۱/۰۳/۰۴ ۱۴:۰۰:۱۹,۱۴۰۱/۰۳/۰۴ ۱۴:۰۰:۱۹,/Reports/Decision.aspx?LetterSerial=CF6tMilSQszddzQQQaQQQhOAZS9A%3d%3d&rt=5&let=58&ct=0&ft=-1
874738,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۰,۱۴۰۱/۰۲/۰۵ ۱۵:۲۹:۰۷,۱۴۰۱/۰۲/۰۵ ۱۵:۲۹:۰۷,/Reports/Decision.aspx?LetterSerial=voXuZtzpF4xvFStVGIIQvw%3D%3D&rt=5&let=58&ct=0&ft=-1
865316,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۰,۱۴۰۱/۰۱/۰۸ ۱۳:۲۰:۰۰,۱۴۰۱/۰۱/۰۸ ۱۳:۲۰:۰۰,/Reports/Decision.aspx?LetterSerial=ivhIxFlUUGQ05yFCaZGQUA%3D%3D&rt=5&let=58&ct=0&ft=-1
859244,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰(اصلاحیه),ن-۳۰,۱۴۰۰/۱۲/۱۱ ۱۳:۳۰:۰۲,۱۴۰۰/۱۲/۱۱ ۱۳:۳۰:۰۲,/Reports/Decision.aspx?LetterSerial=%2BDxWzhGnaB7WKjwM8rqqWw%3D%3D&rt=5&let=58&ct=0&ft=-1
857114,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰,ن-۳۰,۱۴۰۰/۱۲/۰۴ ۱۷:۰۵:۲۱,۱۴۰۰/۱۲/۰۴ ۱۷:۰۵:۲۱,/Reports/Decision.aspx?LetterSerial=PtukTsZ0jumsNVsh1eUYSQ%3D%3D&rt=5&let=58&ct=0&ft=-1
846374,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰,ن-۳۰,۱۴۰۰/۱۱/۰۴ ۱۸:۴۲:۰۶,۱۴۰۰/۱۱/۰۴ ۱۸:۴۲:۰۶,/Reports/Decision.aspx?LetterSerial=CLk1hVNadVpLMMSEtnBcGw%3D%3D&rt=5&let=58&ct=0&ft=-1
835165,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۹/۳۰,ن-۳۰,۱۴۰۰/۱۰/۰۵ ۰۹:۵۸:۰۶,۱۴۰۰/۱۰/۰۵ ۰۹:۵۸:۰۶,/Reports/Decision.aspx?LetterSerial=fLWmRmNQQQaQQQtJ%2BbNMoTe3Ivxw%3D%3D&rt=5&let=58&ct=0&ft=-1
822549,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۸/۳۰,ن-۳۰,۱۴۰۰/۰۹/۰۶ ۰۸:۳۴:۰۴,۱۴۰۰/۰۹/۰۶ ۰۸:۳۴:۰۴,/Reports/Decision.aspx?LetterSerial=ZQWoyF07kJJLLB5BXadexw%3D%3D&rt=5&let=58&ct=0&ft=-1
811021,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۷/۳۰,ن-۳۰,۱۴۰۰/۰۸/۰۵ ۱۷:۳۹:۴۸,۱۴۰۰/۰۸/۰۵ ۱۷:۳۹:۴۸,/Reports/Decision.aspx?LetterSerial=5zPeeCgRMN0OikieIeSVmw%3D%3D&rt=5&let=58&ct=0&ft=-1
800683,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۶/۳۱,ن-۳۰,۱۴۰۰/۰۷/۰۷ ۱۵:۳۳:۵۰,۱۴۰۰/۰۷/۰۷ ۱۵:۳۳:۵۰,/Reports/Decision.aspx?LetterSerial=NQQQaQQQTSb6uHY8jj2kMKfupx3g%3D%3D&rt=5&let=58&ct=0&ft=-1
786517,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۵/۳۱,ن-۳۰,۱۴۰۰/۰۶/۰۶ ۱۴:۴۴:۳۲,۱۴۰۰/۰۶/۰۶ ۱۴:۴۴:۳۲,/Reports/Decision.aspx?LetterSerial=BhxQQQaQQQ7lLyg5n1pbK1D273HA%3D%3D&rt=5&let=58&ct=0&ft=-1
777608,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۴/۳۱,ن-۳۰,۱۴۰۰/۰۵/۰۵ ۱۶:۵۶:۰۰,۱۴۰۰/۰۵/۰۵ ۱۶:۵۶:۰۰,/Reports/Decision.aspx?LetterSerial=pYps5L%2BSLqS8E3kMAVaExw%3D%3D&rt=5&let=58&ct=0&ft=-1
762369,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۳/۳۱,ن-۳۰,۱۴۰۰/۰۴/۰۵ ۱۴:۲۴:۳۴,۱۴۰۰/۰۴/۰۵ ۱۴:۲۴:۳۴,/Reports/Decision.aspx?LetterSerial=BGh%2B%2BPjrUb9CKFatCeGmpg%3D%3D&rt=5&let=58&ct=0&ft=-1
750597,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۲/۳۱,ن-۳۰,۱۴۰۰/۰۳/۰۴ ۰۹:۲۲:۲۰,۱۴۰۰/۰۳/۰۴ ۰۹:۲۲:۲۰,/Reports/Decision.aspx?LetterSerial=VF9LLYiP4BWg4%2BRlyGMDMQ%3D%3D&rt=5&let=58&ct=0&ft=-1
740817,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۱/۳۱,ن-۳۰,۱۴۰۰/۰۲/۰۶ ۱۴:۱۸:۰۸,۱۴۰۰/۰۲/۰۶ ۱۴:۱۸:۰۸,/Reports/Decision.aspx?LetterSerial=THS8hyykAv1wQQQaQQQlXYjaKw7A%3D%3D&rt=5&let=58&ct=0&ft=-1
740793,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۲/۳۰(اصلاحیه),ن-۳۰,۱۴۰۰/۰۲/۰۶ ۱۲:۲۲:۵۷,۱۴۰۰/۰۲/۰۶ ۱۲:۲۲:۵۷,/Reports/Decision.aspx?LetterSerial=mMAY5MNtLRiTQQQaQQQocWHnuOVw%3D%3D&rt=5&let=58&ct=0&ft=-1
732451,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۲/۳۰,ن-۳۰,۱۴۰۰/۰۱/۱۰ ۱۰:۵۹:۲۳,۱۴۰۰/۰۱/۱۰ ۱۰:۵۹:۲۳,/Reports/Decision.aspx?LetterSerial=LaqFFmJvFOOWQQQaQQQpLJaiErBw%3D%3D&rt=5&let=58&ct=0&ft=-1
724273,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۱/۳۰,ن-۳۰,۱۳۹۹/۱۲/۰۴ ۰۸:۴۹:۰۰,۱۳۹۹/۱۲/۰۴ ۰۸:۴۹:۰۰,/Reports/Decision.aspx?LetterSerial=to%2BcRH20hrMOLPmqM8s0og%3D%3D&rt=5&let=58&ct=0&ft=-1
716136,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۰/۳۰,ن-۳۰,۱۳۹۹/۱۱/۰۵ ۱۵:۳۲:۰۱,۱۳۹۹/۱۱/۰۵ ۱۵:۳۲:۰۱,/Reports/Decision.aspx?LetterSerial=Ph6I%2BtC%2Bl0ATlKx6kEWQxQ%3D%3D&rt=5&let=58&ct=0&ft=-1
705723,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۹/۳۰,ن-۳۰,۱۳۹۹/۱۰/۰۳ ۱۶:۱۲:۰۷,۱۳۹۹/۱۰/۰۳ ۱۶:۱۲:۰۷,/Reports/Decision.aspx?LetterSerial=D%2BQQQaQQQFTvr4VAAzYeQWxDlzCw%3D%3D&rt=5&let=58&ct=0&ft=-1
697273,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۸/۳۰,ن-۳۰,۱۳۹۹/۰۹/۰۵ ۰۸:۵۱:۵۳,۱۳۹۹/۰۹/۰۵ ۰۸:۵۱:۵۳,/Reports/Decision.aspx?LetterSerial=NTsrPQVgoiB4rVa883Zghw%3D%3D&rt=5&let=58&ct=0&ft=-1
687218,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۷/۳۰,ن-۳۰,۱۳۹۹/۰۸/۰۶ ۱۶:۱۳:۵۶,۱۳۹۹/۰۸/۰۶ ۱۶:۱۳:۵۶,/Reports/Decision.aspx?LetterSerial=sRp3OxDVg%2BcErJ%2BLSFD5tQ%3D%3D&rt=5&let=58&ct=0&ft=-1
675848,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۶/۳۱,ن-۳۰,۱۳۹۹/۰۷/۰۵ ۱۱:۲۵:۳۲,۱۳۹۹/۰۷/۰۵ ۱۱:۲۵:۳۲,/Reports/Decision.aspx?LetterSerial=V53RgzEZQQQaQQQjvx4VYy6fGXOg%3D%3D&rt=5&let=58&ct=0&ft=-1
667290,هجرت,پخش هجرت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۵/۳۱,ن-۳۰,۱۳۹۹/۰۶/۰۴ ۰۹:۴۸:۵۷,۱۳۹۹/۰۶/۰۴ ۰۹:۴۸:۵۷,/Reports/Decision.aspx?LetterSerial=JN5n6QQQQaQQQI6yOKc3CPLskUXg%3D%3D&rt=5&let=58&ct=0&ft=-1
