TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1076253,وآذر,سرمایه گذاری توسعه آذربایجان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۱,۱۴۰۲/۰۶/۰۶ ۲۰:۲۱:۵۱,۱۴۰۲/۰۶/۰۶ ۲۰:۲۱:۵۱,/Reports/Decision.aspx?LetterSerial=rTp0zLMNoS8NvsQQQaQQQqQL6j%2bA%3d%3d&rt=2&let=8&ct=0&ft=-1
1062718,وآذر,سرمایه گذاری توسعه آذربایجان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۱,۱۴۰۲/۰۵/۰۲ ۱۵:۵۱:۱۹,۱۴۰۲/۰۵/۰۲ ۱۵:۵۱:۱۹,/Reports/Decision.aspx?LetterSerial=tIzYRyQ9IqzaMZfAotRkcg%3d%3d&rt=2&let=8&ct=0&ft=-1
1043185,وآذر,سرمایه گذاری توسعه آذربایجان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۱,۱۴۰۲/۰۴/۰۵ ۲۰:۱۲:۲۱,۱۴۰۲/۰۴/۰۵ ۲۰:۱۲:۲۱,/Reports/Decision.aspx?LetterSerial=SE6I8KZ7mxSrKN%2bKPOrwQw%3d%3d&rt=2&let=8&ct=0&ft=-1
1029278,وآذر,سرمایه گذاری توسعه آذربایجان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۱,۱۴۰۲/۰۳/۰۳ ۲۱:۰۵:۵۴,۱۴۰۲/۰۳/۰۳ ۲۱:۰۵:۵۴,/Reports/Decision.aspx?LetterSerial=aUWjplZNI5uP%2bhlSqEdYrw%3d%3d&rt=2&let=8&ct=0&ft=-1
1015707,وآذر,سرمایه گذاری توسعه آذربایجان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۱,۱۴۰۲/۰۲/۰۱ ۲۳:۴۵:۵۰,۱۴۰۲/۰۲/۰۱ ۲۳:۴۵:۵۰,/Reports/Decision.aspx?LetterSerial=VAWe0MkDd4iuAawQMBdPgg%3d%3d&rt=2&let=8&ct=0&ft=-1
1006156,وآذر,سرمایه گذاری توسعه آذربایجان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۱,۱۴۰۲/۰۱/۰۶ ۰۹:۳۶:۴۵,۱۴۰۲/۰۱/۰۶ ۰۹:۳۶:۴۵,/Reports/Decision.aspx?LetterSerial=mQQQaQQQmZNXXoKtywWiSGilz%2bwA%3d%3d&rt=2&let=8&ct=0&ft=-1
990770,وآذر,سرمایه گذاری توسعه آذربایجان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۱,۱۴۰۱/۱۲/۰۴ ۱۴:۲۳:۱۷,۱۴۰۱/۱۲/۰۴ ۱۴:۲۳:۱۷,/Reports/Decision.aspx?LetterSerial=v3zsaAmruHCIz5GTjWWlAw%3d%3d&rt=2&let=8&ct=0&ft=-1
986343,وآذر,سرمایه گذاری توسعه آذربایجان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۱,۱۴۰۱/۱۱/۰۵ ۱۹:۰۳:۴۶,۱۴۰۱/۱۱/۰۵ ۱۹:۰۳:۴۶,/Reports/Decision.aspx?LetterSerial=aXm2p2eDwUXewPf2UMzbIw%3d%3d&rt=2&let=8&ct=0&ft=-1
964118,وآذر,سرمایه گذاری توسعه آذربایجان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۱,۱۴۰۱/۱۰/۰۵ ۲۱:۱۸:۲۳,۱۴۰۱/۱۰/۰۵ ۲۱:۱۸:۲۳,/Reports/Decision.aspx?LetterSerial=vAYZsjmak2LpPZMEuc8zWg%3d%3d&rt=2&let=8&ct=0&ft=-1
962780,وآذر,سرمایه گذاری توسعه آذربایجان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۱,۱۴۰۱/۰۹/۰۵ ۱۲:۱۱:۲۱,۱۴۰۱/۰۹/۰۵ ۱۲:۱۱:۲۱,/Reports/Decision.aspx?LetterSerial=rg6QQQaQQQ2KME4Gs42Y8fAzEqZg%3d%3d&rt=2&let=8&ct=0&ft=-1
951713,وآذر,سرمایه گذاری توسعه آذربایجان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۱,۱۴۰۱/۰۸/۰۵ ۱۹:۵۲:۰۰,۱۴۰۱/۰۸/۰۵ ۱۹:۵۲:۰۰,/Reports/Decision.aspx?LetterSerial=vaC8cnCpKY47z5MI5PYSQQQaQQQw%3d%3d&rt=2&let=8&ct=0&ft=-1
941447,وآذر,سرمایه گذاری توسعه آذربایجان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۱,۱۴۰۱/۰۷/۰۴ ۱۸:۲۸:۴۱,۱۴۰۱/۰۷/۰۴ ۱۸:۲۸:۴۱,/Reports/Decision.aspx?LetterSerial=ZzNigQ2Q2yg%2bQKk0mVRZ8g%3d%3d&rt=2&let=8&ct=0&ft=-1
927855,وآذر,سرمایه گذاری توسعه آذربایجان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۱,۱۴۰۱/۰۶/۰۵ ۱۳:۱۶:۴۲,۱۴۰۱/۰۶/۰۵ ۱۳:۱۶:۴۲,/Reports/Decision.aspx?LetterSerial=mccGhyPbacUeTuOgQR0qkw%3d%3d&rt=2&let=8&ct=0&ft=-1
915236,وآذر,سرمایه گذاری توسعه آذربایجان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۱,۱۴۰۱/۰۵/۰۴ ۱۳:۱۹:۵۴,۱۴۰۱/۰۵/۰۴ ۱۳:۱۹:۵۴,/Reports/Decision.aspx?LetterSerial=B4z5MTW7KN2ia4IMcRMlnw%3d%3d&rt=2&let=8&ct=0&ft=-1
901066,وآذر,سرمایه گذاری توسعه آذربایجان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۱,۱۴۰۱/۰۴/۰۴ ۱۲:۰۸:۳۴,۱۴۰۱/۰۴/۰۴ ۱۲:۰۸:۳۴,/Reports/Decision.aspx?LetterSerial=LMVDHS7rkGlCawoYWrbCVw%3d%3d&rt=2&let=8&ct=0&ft=-1
883914,وآذر,سرمایه گذاری توسعه آذربایجان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۱,۱۴۰۱/۰۳/۰۲ ۱۳:۲۸:۴۳,۱۴۰۱/۰۳/۰۲ ۱۳:۲۸:۴۳,/Reports/Decision.aspx?LetterSerial=pzwXAaaLnpadeP7MMd3FYw%3d%3d&rt=2&let=8&ct=0&ft=-1
873421,وآذر,سرمایه گذاری توسعه آذربایجان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۱,۱۴۰۱/۰۲/۰۴ ۲۳:۲۲:۰۵,۱۴۰۱/۰۲/۰۴ ۲۳:۲۲:۰۵,/Reports/Decision.aspx?LetterSerial=LWicMby2MDpmboYgKTItug%3D%3D&rt=2&let=8&ct=0&ft=-1
864346,وآذر,سرمایه گذاری توسعه آذربایجان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۱,۱۴۰۰/۱۲/۲۸ ۲۳:۲۸:۵۰,۱۴۰۰/۱۲/۲۸ ۲۳:۲۸:۵۰,/Reports/Decision.aspx?LetterSerial=imeMVIj7RBBGDmLd%2BCDFww%3D%3D&rt=2&let=8&ct=0&ft=-1
855626,وآذر,سرمایه گذاری توسعه آذربایجان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰,ن-۳۱,۱۴۰۰/۱۲/۰۳ ۰۹:۵۷:۳۱,۱۴۰۰/۱۲/۰۳ ۰۹:۵۷:۳۱,/Reports/Decision.aspx?LetterSerial=8dBuHFRG0OAQ6RZ9ZXdU8A%3D%3D&rt=2&let=8&ct=0&ft=-1
845714,وآذر,سرمایه گذاری توسعه آذربایجان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰,ن-۳۱,۱۴۰۰/۱۱/۰۵ ۱۶:۰۷:۵۲,۱۴۰۰/۱۱/۰۵ ۱۶:۰۷:۵۲,/Reports/Decision.aspx?LetterSerial=2XvDNR1ChC86btDKQQQaQQQcB7NA%3D%3D&rt=2&let=8&ct=0&ft=-1
835089,وآذر,سرمایه گذاری توسعه آذربایجان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۹/۳۰,ن-۳۱,۱۴۰۰/۱۰/۰۵ ۱۷:۵۶:۲۷,۱۴۰۰/۱۰/۰۵ ۱۷:۵۶:۲۷,/Reports/Decision.aspx?LetterSerial=odYvRzKTFw5BfCRGBExqsA%3D%3D&rt=2&let=8&ct=0&ft=-1
821127,وآذر,سرمایه گذاری توسعه آذربایجان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۸/۳۰,ن-۳۱,۱۴۰۰/۰۹/۰۵ ۱۴:۰۱:۳۸,۱۴۰۰/۰۹/۰۵ ۱۴:۰۱:۳۸,/Reports/Decision.aspx?LetterSerial=%2B6C8GKmyjDCOAiAvPrvQQQaQQQYQ%3D%3D&rt=2&let=8&ct=0&ft=-1
809265,وآذر,سرمایه گذاری توسعه آذربایجان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۷/۳۰,ن-۳۱,۱۴۰۰/۰۸/۰۳ ۱۵:۲۵:۵۱,۱۴۰۰/۰۸/۰۳ ۱۵:۲۵:۵۱,/Reports/Decision.aspx?LetterSerial=c%2BgZbmMTf9c2VkyJgSSKdw%3D%3D&rt=2&let=8&ct=0&ft=-1
798575,وآذر,سرمایه گذاری توسعه آذربایجان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۶/۳۱,ن-۳۱,۱۴۰۰/۰۷/۰۴ ۰۹:۳۳:۵۲,۱۴۰۰/۰۷/۰۴ ۰۹:۳۳:۵۲,/Reports/Decision.aspx?LetterSerial=L9xwWI00%2BtNOLgwAhcTf2w%3D%3D&rt=2&let=8&ct=0&ft=-1
786408,وآذر,سرمایه گذاری توسعه آذربایجان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۵/۳۱,ن-۳۱,۱۴۰۰/۰۶/۰۶ ۱۳:۵۷:۵۲,۱۴۰۰/۰۶/۰۶ ۱۳:۵۷:۵۲,/Reports/Decision.aspx?LetterSerial=02sfaUljAaUHf9jTA9gKRw%3D%3D&rt=2&let=8&ct=0&ft=-1
776174,وآذر,سرمایه گذاری توسعه آذربایجان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۴/۳۱,ن-۳۱,۱۴۰۰/۰۵/۰۳ ۱۹:۲۷:۰۸,۱۴۰۰/۰۵/۰۳ ۱۹:۲۷:۰۸,/Reports/Decision.aspx?LetterSerial=K1ImeP6m2g4J8qxVs2HmYw%3D%3D&rt=2&let=8&ct=0&ft=-1
774551,وآذر,سرمایه گذاری توسعه آذربایجان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۳/۳۱(اصلاحیه),ن-۳۱,۱۴۰۰/۰۴/۲۸ ۱۲:۴۸:۰۹,۱۴۰۰/۰۴/۲۸ ۱۲:۴۸:۰۹,/Reports/Decision.aspx?LetterSerial=39kgqRPno2q1Bh2B0MrMLg%3D%3D&rt=2&let=8&ct=0&ft=-1
773491,وآذر,سرمایه گذاری توسعه آذربایجان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۳/۳۱,ن-۳۱,۱۴۰۰/۰۴/۲۶ ۲۰:۵۸:۰۳,۱۴۰۰/۰۴/۲۶ ۲۰:۵۸:۰۳,/Reports/Decision.aspx?LetterSerial=JEcfkLPojWyrdjPiiBxp5Q%3D%3D&rt=2&let=8&ct=0&ft=-1
773438,وآذر,سرمایه گذاری توسعه آذربایجان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۲/۳۱,ن-۳۱,۱۴۰۰/۰۴/۲۶ ۲۰:۴۵:۱۷,۱۴۰۰/۰۴/۲۶ ۲۰:۴۵:۱۷,/Reports/Decision.aspx?LetterSerial=yaxSZZc%2BO1rGTr%2BoM93KGA%3D%3D&rt=2&let=8&ct=0&ft=-1
738812,وآذر,سرمایه گذاری توسعه آذربایجان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۱/۳۱,ن-۳۱,۱۴۰۰/۰۲/۰۴ ۱۵:۳۳:۴۸,۱۴۰۰/۰۲/۰۴ ۱۵:۳۳:۴۸,/Reports/Decision.aspx?LetterSerial=88VbRJUzi2riVG7VEvmEWA%3D%3D&rt=2&let=8&ct=0&ft=-1
731721,وآذر,سرمایه گذاری توسعه آذربایجان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۲/۳۰,ن-۳۱,۱۴۰۰/۰۱/۰۷ ۱۱:۰۰:۳۴,۱۴۰۰/۰۱/۰۷ ۱۱:۰۰:۳۴,/Reports/Decision.aspx?LetterSerial=H7ppWKyv5AhB3dJ1k5vCIQ%3D%3D&rt=2&let=8&ct=0&ft=-1
