TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1084959,وآوا,سرمایه گذاری آوا نوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۶/۳۱,ن-۳۱,۱۴۰۲/۰۷/۰۱ ۱۴:۳۹:۵۷,۱۴۰۲/۰۷/۰۱ ۱۴:۳۹:۵۷,/Reports/Decision.aspx?LetterSerial=w9Ef%2bvdCVaDXNfa5xf0dxQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1074780,وآوا,سرمایه گذاری آوا نوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۱,۱۴۰۲/۰۶/۰۴ ۱۱:۵۷:۴۸,۱۴۰۲/۰۶/۰۴ ۱۱:۵۷:۴۸,/Reports/Decision.aspx?LetterSerial=vtUNmd83C3QolM87GXgT4g%3d%3d&rt=2&let=8&ct=0&ft=-1
1063611,وآوا,سرمایه گذاری آوا نوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۱,۱۴۰۲/۰۵/۰۳ ۱۶:۵۰:۰۴,۱۴۰۲/۰۵/۰۳ ۱۶:۵۰:۰۴,/Reports/Decision.aspx?LetterSerial=zn4hl%2bCdmDPsVxiU%2bA3JPA%3d%3d&rt=2&let=8&ct=0&ft=-1
1044117,وآوا,سرمایه گذاری آوا نوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۱,۱۴۰۲/۰۴/۰۳ ۱۷:۱۲:۰۵,۱۴۰۲/۰۴/۰۳ ۱۷:۱۲:۰۵,/Reports/Decision.aspx?LetterSerial=ou4QQQaQQQZWO8igQLRKiIYo7gUA%3d%3d&rt=2&let=8&ct=0&ft=-1
1029775,وآوا,سرمایه گذاری آوا نوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۱,۱۴۰۲/۰۳/۰۲ ۱۷:۴۳:۱۸,۱۴۰۲/۰۳/۰۲ ۱۷:۴۳:۱۸,/Reports/Decision.aspx?LetterSerial=EY0MApnWnMtQQQaQQQSgqQQQaQQQMC1IYw%3d%3d&rt=2&let=8&ct=0&ft=-1
1016777,وآوا,سرمایه گذاری آوا نوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۱,۱۴۰۲/۰۲/۰۵ ۱۹:۰۲:۱۴,۱۴۰۲/۰۲/۰۵ ۱۹:۰۲:۱۴,/Reports/Decision.aspx?LetterSerial=JmQQQaQQQQQQaQQQ4mI7LQQQaQQQIr4nNiSUkveg%3d%3d&rt=2&let=8&ct=0&ft=-1
1006811,وآوا,سرمایه گذاری آوا نوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۱,۱۴۰۲/۰۱/۰۷ ۱۱:۲۰:۱۴,۱۴۰۲/۰۱/۰۷ ۱۱:۲۰:۱۴,/Reports/Decision.aspx?LetterSerial=e6aC4f%2bO3hOZSYAnQHbjKA%3d%3d&rt=2&let=8&ct=0&ft=-1
998144,وآوا,سرمایه گذاری آوا نوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰(اصلاحیه),ن-۳۱,۱۴۰۱/۱۲/۰۹ ۱۵:۰۸:۴۴,۱۴۰۱/۱۲/۰۹ ۱۵:۰۸:۴۴,/Reports/Decision.aspx?LetterSerial=A0cJbH8aYUFCky4ochJCWQ%3d%3d&rt=2&let=8&ct=0&ft=-1
995993,وآوا,سرمایه گذاری آوا نوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۱,۱۴۰۱/۱۲/۰۷ ۱۸:۱۹:۴۴,۱۴۰۱/۱۲/۰۷ ۱۸:۱۹:۴۴,/Reports/Decision.aspx?LetterSerial=ku5%2bfL7HdmxD4W5WD6XMGg%3d%3d&rt=2&let=8&ct=0&ft=-1
985787,وآوا,سرمایه گذاری آوا نوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۱,۱۴۰۱/۱۱/۰۵ ۱۵:۴۰:۲۶,۱۴۰۱/۱۱/۰۵ ۱۵:۴۰:۲۶,/Reports/Decision.aspx?LetterSerial=0pWulsgsiHglSWBfzpiuXQ%3d%3d&rt=2&let=8&ct=0&ft=-1
974862,وآوا,سرمایه گذاری آوا نوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۱,۱۴۰۱/۱۰/۰۷ ۱۳:۰۰:۴۷,۱۴۰۱/۱۰/۰۷ ۱۳:۰۰:۴۷,/Reports/Decision.aspx?LetterSerial=L3sMHVRjOQc5H2felRSTTA%3d%3d&rt=2&let=8&ct=0&ft=-1
961780,وآوا,سرمایه گذاری آوا نوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۱,۱۴۰۱/۰۹/۰۶ ۱۶:۲۶:۵۵,۱۴۰۱/۰۹/۰۶ ۱۶:۲۶:۵۵,/Reports/Decision.aspx?LetterSerial=Jl7fIPWre7B%2bZ8wjNTJD3w%3d%3d&rt=2&let=8&ct=0&ft=-1
950088,وآوا,سرمایه گذاری آوا نوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۱,۱۴۰۱/۰۸/۰۴ ۱۵:۲۷:۰۷,۱۴۰۱/۰۸/۰۴ ۱۵:۲۷:۰۷,/Reports/Decision.aspx?LetterSerial=2eByNhrF5uM1ER5V1SaytQ%3d%3d&rt=2&let=8&ct=0&ft=-1
940684,وآوا,سرمایه گذاری آوا نوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۱,۱۴۰۱/۰۷/۱۰ ۱۰:۰۵:۳۹,۱۴۰۱/۰۷/۱۰ ۱۰:۰۵:۳۹,/Reports/Decision.aspx?LetterSerial=kahsbw7HKXLDQplauh0kaQ%3d%3d&rt=2&let=8&ct=0&ft=-1
928015,وآوا,سرمایه گذاری آوا نوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۱,۱۴۰۱/۰۶/۰۷ ۱۰:۲۷:۴۹,۱۴۰۱/۰۶/۰۷ ۱۰:۲۷:۴۹,/Reports/Decision.aspx?LetterSerial=7fyck4Ea8STapYYmKXCaxQ%3d%3d&rt=2&let=8&ct=0&ft=-1
916785,وآوا,سرمایه گذاری آوا نوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۱,۱۴۰۱/۰۵/۰۵ ۰۹:۳۵:۱۴,۱۴۰۱/۰۵/۰۵ ۰۹:۳۵:۱۴,/Reports/Decision.aspx?LetterSerial=5csFzEwDOq%2blkn0cMXFToA%3d%3d&rt=2&let=8&ct=0&ft=-1
900691,وآوا,سرمایه گذاری آوا نوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۱,۱۴۰۱/۰۴/۰۵ ۱۷:۲۰:۴۱,۱۴۰۱/۰۴/۰۵ ۱۷:۲۰:۴۱,/Reports/Decision.aspx?LetterSerial=Ck2gWjUdX0YQ6P8zD4P1vg%3d%3d&rt=2&let=8&ct=0&ft=-1
887748,وآوا,سرمایه گذاری آوا نوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۱,۱۴۰۱/۰۳/۰۷ ۱۶:۲۴:۱۲,۱۴۰۱/۰۳/۰۷ ۱۶:۲۴:۱۲,/Reports/Decision.aspx?LetterSerial=JNzxRYxMoX5FjCVbEGZlOA%3d%3d&rt=2&let=8&ct=0&ft=-1
877177,وآوا,سرمایه گذاری آوا نوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱(اصلاحیه),ن-۳۱,۱۴۰۱/۰۲/۱۱ ۱۲:۱۶:۲۴,۱۴۰۱/۰۲/۱۱ ۱۲:۱۶:۲۴,/Reports/Decision.aspx?LetterSerial=LUgdppzAOCCAi0lWgMAsvw%3D%3D&rt=2&let=8&ct=0&ft=-1
876135,وآوا,سرمایه گذاری آوا نوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۱,۱۴۰۱/۰۲/۱۰ ۱۹:۱۰:۰۴,۱۴۰۱/۰۲/۱۰ ۱۹:۱۰:۰۴,/Reports/Decision.aspx?LetterSerial=zGuQQQaQQQQVeNWJpLEJZkErzxhw%3D%3D&rt=2&let=8&ct=0&ft=-1
864798,وآوا,سرمایه گذاری آوا نوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۱,۱۴۰۱/۰۱/۰۸ ۱۶:۳۹:۳۹,۱۴۰۱/۰۱/۰۸ ۱۶:۳۹:۳۹,/Reports/Decision.aspx?LetterSerial=tVlbGIWgH7uRle975t6MbA%3D%3D&rt=2&let=8&ct=0&ft=-1
856839,وآوا,سرمایه گذاری آوا نوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰,ن-۳۱,۱۴۰۰/۱۲/۰۴ ۱۷:۱۶:۳۶,۱۴۰۰/۱۲/۰۴ ۱۷:۱۶:۳۶,/Reports/Decision.aspx?LetterSerial=n2DiGiQ37nULYuimNpOSVQ%3D%3D&rt=2&let=8&ct=0&ft=-1
846712,وآوا,سرمایه گذاری آوا نوین,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰,ن-۳۱,۱۴۰۰/۱۱/۰۵ ۰۹:۵۸:۵۴,۱۴۰۰/۱۱/۰۵ ۰۹:۵۸:۵۴,/Reports/Decision.aspx?LetterSerial=JeBU9YlO68xOHg67yQQQaQQQPMtg%3D%3D&rt=2&let=8&ct=0&ft=-1
