TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1076620,واتی,گروه سرمایه گذاری آتیه دماوند,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۱,۱۴۰۲/۰۶/۰۷ ۲۰:۱۹:۴۲,۱۴۰۲/۰۶/۰۷ ۲۰:۱۹:۴۲,/Reports/Decision.aspx?LetterSerial=uQNsKAvDPrLRCuhvyZwZFw%3d%3d&rt=2&let=8&ct=0&ft=-1
1064839,واتی,گروه سرمایه گذاری آتیه دماوند,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۱,۱۴۰۲/۰۵/۰۷ ۲۲:۵۹:۵۶,۱۴۰۲/۰۵/۰۷ ۲۲:۵۹:۵۶,/Reports/Decision.aspx?LetterSerial=EyJtw7zz4w4pZHM1cX2OlQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1048191,واتی,گروه سرمایه گذاری آتیه دماوند,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۱,۱۴۰۲/۰۴/۰۷ ۲۳:۰۵:۳۷,۱۴۰۲/۰۴/۰۷ ۲۳:۰۵:۳۷,/Reports/Decision.aspx?LetterSerial=FhGybwOSoFtxYGMQQQaQQQpdZ7Bg%3d%3d&rt=2&let=8&ct=0&ft=-1
1032257,واتی,گروه سرمایه گذاری آتیه دماوند,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۱,۱۴۰۲/۰۳/۰۷ ۱۶:۴۹:۵۱,۱۴۰۲/۰۳/۰۷ ۱۶:۴۹:۵۱,/Reports/Decision.aspx?LetterSerial=e8HfJSsYG7NEBaY9AFMwJg%3d%3d&rt=2&let=8&ct=0&ft=-1
1018835,واتی,گروه سرمایه گذاری آتیه دماوند,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۱,۱۴۰۲/۰۲/۱۰ ۱۵:۲۱:۴۹,۱۴۰۲/۰۲/۱۰ ۱۵:۲۱:۴۹,/Reports/Decision.aspx?LetterSerial=wbD9sycNLyQQQaQQQkQaQQQaQQQzLRd1lA%3d%3d&rt=2&let=8&ct=0&ft=-1
1006726,واتی,گروه سرمایه گذاری آتیه دماوند,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۱,۱۴۰۲/۰۱/۰۹ ۱۳:۳۶:۱۲,۱۴۰۲/۰۱/۰۹ ۱۳:۳۶:۱۲,/Reports/Decision.aspx?LetterSerial=2iRpJYLvQQQaQQQ5956YuYxEI8Hg%3d%3d&rt=2&let=8&ct=0&ft=-1
997529,واتی,گروه سرمایه گذاری آتیه دماوند,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۱,۱۴۰۱/۱۲/۰۷ ۲۲:۲۳:۵۷,۱۴۰۱/۱۲/۰۷ ۲۲:۲۳:۵۷,/Reports/Decision.aspx?LetterSerial=FgIvSZhmZdXU5mavXoDw%2bw%3d%3d&rt=2&let=8&ct=0&ft=-1
987010,واتی,گروه سرمایه گذاری آتیه دماوند,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۱,۱۴۰۱/۱۱/۰۵ ۲۰:۵۱:۰۹,۱۴۰۱/۱۱/۰۵ ۲۰:۵۱:۰۹,/Reports/Decision.aspx?LetterSerial=vHBwRfQkkIocQQQaQQQNpQQQaQQQxYYRMA%3d%3d&rt=2&let=8&ct=0&ft=-1
976890,واتی,گروه سرمایه گذاری آتیه دماوند,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۱,۱۴۰۱/۱۰/۱۰ ۲۱:۳۵:۱۷,۱۴۰۱/۱۰/۱۰ ۲۱:۳۵:۱۷,/Reports/Decision.aspx?LetterSerial=tAtiYftBLlBbA7S3QnW1Qg%3d%3d&rt=2&let=8&ct=0&ft=-1
964789,واتی,گروه سرمایه گذاری آتیه دماوند,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۱,۱۴۰۱/۰۹/۰۷ ۱۷:۳۸:۵۳,۱۴۰۱/۰۹/۰۷ ۱۷:۳۸:۵۳,/Reports/Decision.aspx?LetterSerial=oxkzW3NynMox4xh6QQQaQQQ%2bKi7Q%3d%3d&rt=2&let=8&ct=0&ft=-1
952025,واتی,گروه سرمایه گذاری آتیه دماوند,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۱,۱۴۰۱/۰۸/۰۷ ۱۷:۱۶:۳۲,۱۴۰۱/۰۸/۰۷ ۱۷:۱۶:۳۲,/Reports/Decision.aspx?LetterSerial=WrIfLqoEFJB7uQQQaQQQ1et9Lv6w%3d%3d&rt=2&let=8&ct=0&ft=-1
943025,واتی,گروه سرمایه گذاری آتیه دماوند,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۱,۱۴۰۱/۰۷/۱۰ ۱۸:۳۱:۱۳,۱۴۰۱/۰۷/۱۰ ۱۸:۳۱:۱۳,/Reports/Decision.aspx?LetterSerial=0jRwXKMxdewcC%2b0GFfIeLQ%3d%3d&rt=2&let=8&ct=0&ft=-1
930723,واتی,گروه سرمایه گذاری آتیه دماوند,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۱,۱۴۰۱/۰۶/۰۷ ۱۷:۵۶:۱۳,۱۴۰۱/۰۶/۰۷ ۱۷:۵۶:۱۳,/Reports/Decision.aspx?LetterSerial=N4FlwZMt17c1wB8vUzRuKw%3d%3d&rt=2&let=8&ct=0&ft=-1
918596,واتی,گروه سرمایه گذاری آتیه دماوند,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۱,۱۴۰۱/۰۵/۰۵ ۱۱:۰۱:۳۵,۱۴۰۱/۰۵/۰۵ ۱۱:۰۱:۳۵,/Reports/Decision.aspx?LetterSerial=ay0JlXudM7AgXp4Slmg9JA%3d%3d&rt=2&let=8&ct=0&ft=-1
902414,واتی,گروه سرمایه گذاری آتیه دماوند,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۱,۱۴۰۱/۰۴/۰۷ ۱۵:۵۸:۲۳,۱۴۰۱/۰۴/۰۷ ۱۵:۵۸:۲۳,/Reports/Decision.aspx?LetterSerial=5c8CADchqoMYHG5rP%2bDhDA%3d%3d&rt=2&let=8&ct=0&ft=-1
886819,واتی,گروه سرمایه گذاری آتیه دماوند,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۱,۱۴۰۱/۰۳/۰۷ ۱۸:۵۲:۴۷,۱۴۰۱/۰۳/۰۷ ۱۸:۵۲:۴۷,/Reports/Decision.aspx?LetterSerial=K8DOMugkjmSZPnDQQQaQQQjv0Wpw%3d%3d&rt=2&let=8&ct=0&ft=-1
877010,واتی,گروه سرمایه گذاری آتیه دماوند(سرمایه گذاری آتیه دماوند),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۱,۱۴۰۱/۰۲/۱۰ ۲۰:۴۶:۴۵,۱۴۰۱/۰۲/۱۰ ۲۰:۴۶:۴۵,/Reports/Decision.aspx?LetterSerial=RbliYQzI1hNAied06qQQQaQQQLQQQaQQQA%3D%3D&rt=2&let=8&ct=0&ft=-1
863887,واتی,گروه سرمایه گذاری آتیه دماوند(سرمایه گذاری آتیه دماوند),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۱,۱۴۰۱/۰۱/۰۵ ۲۲:۳۴:۱۰,۱۴۰۱/۰۱/۰۵ ۲۲:۳۴:۱۰,/Reports/Decision.aspx?LetterSerial=8b1GQQQaQQQKWYYqZdG5xvYgBTww%3D%3D&rt=2&let=8&ct=0&ft=-1
856931,واتی,گروه سرمایه گذاری آتیه دماوند(سرمایه گذاری آتیه دماوند),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰,ن-۳۱,۱۴۰۰/۱۲/۰۷ ۱۶:۳۹:۴۰,۱۴۰۰/۱۲/۰۷ ۱۶:۳۹:۴۰,/Reports/Decision.aspx?LetterSerial=jmg280QQQaQQQ1Smyfgbk6PhaR0g%3D%3D&rt=2&let=8&ct=0&ft=-1
848732,واتی,گروه سرمایه گذاری آتیه دماوند(سرمایه گذاری آتیه دماوند),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰,ن-۳۱,۱۴۰۰/۱۱/۰۶ ۱۸:۵۶:۰۹,۱۴۰۰/۱۱/۰۶ ۱۸:۵۶:۰۹,/Reports/Decision.aspx?LetterSerial=tjnkqJ6NnvCSvarRzqr%2BZw%3D%3D&rt=2&let=8&ct=0&ft=-1
836429,واتی,گروه سرمایه گذاری آتیه دماوند(سرمایه گذاری آتیه دماوند),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۹/۳۰,ن-۳۱,۱۴۰۰/۱۰/۰۷ ۱۹:۰۵:۳۴,۱۴۰۰/۱۰/۰۷ ۱۹:۰۵:۳۴,/Reports/Decision.aspx?LetterSerial=wnxBQtnQchFliITYVDx24g%3D%3D&rt=2&let=8&ct=0&ft=-1
823189,واتی,گروه سرمایه گذاری آتیه دماوند(سرمایه گذاری آتیه دماوند),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۸/۳۰,ن-۳۱,۱۴۰۰/۰۹/۰۷ ۱۰:۴۱:۱۶,۱۴۰۰/۰۹/۰۷ ۱۰:۴۱:۱۶,/Reports/Decision.aspx?LetterSerial=qVVkzt4iHxQavSL%2B%2BorP1A%3D%3D&rt=2&let=8&ct=0&ft=-1
810446,واتی,گروه سرمایه گذاری آتیه دماوند(سرمایه گذاری آتیه دماوند),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۷/۳۰,ن-۳۱,۱۴۰۰/۰۸/۰۸ ۱۲:۵۲:۰۲,۱۴۰۰/۰۸/۰۸ ۱۲:۵۲:۰۲,/Reports/Decision.aspx?LetterSerial=KHryyT6rAwQaD3jeLE0kSA%3D%3D&rt=2&let=8&ct=0&ft=-1
800335,واتی,گروه سرمایه گذاری آتیه دماوند(سرمایه گذاری آتیه دماوند),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۶/۳۱,ن-۳۱,۱۴۰۰/۰۷/۱۰ ۱۵:۱۶:۳۱,۱۴۰۰/۰۷/۱۰ ۱۵:۱۶:۳۱,/Reports/Decision.aspx?LetterSerial=lD0LvnCSppEB1bel8PNQQQaQQQNQ%3D%3D&rt=2&let=8&ct=0&ft=-1
787125,واتی,گروه سرمایه گذاری آتیه دماوند(سرمایه گذاری آتیه دماوند),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۵/۳۱,ن-۳۱,۱۴۰۰/۰۶/۰۷ ۱۸:۵۵:۳۷,۱۴۰۰/۰۶/۰۷ ۱۸:۵۵:۳۷,/Reports/Decision.aspx?LetterSerial=SGN1zcoy0GSMZ4SrQQQaQQQuWd3g%3D%3D&rt=2&let=8&ct=0&ft=-1
776298,واتی,گروه سرمایه گذاری آتیه دماوند(سرمایه گذاری آتیه دماوند),گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۴/۳۱,ن-۳۱,۱۴۰۰/۰۵/۰۶ ۱۳:۱۷:۵۸,۱۴۰۰/۰۵/۰۶ ۱۳:۱۷:۵۸,/Reports/Decision.aspx?LetterSerial=PInepXkSG7vhOD08IDQQQaQQQnoA%3D%3D&rt=2&let=8&ct=0&ft=-1
