TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1073057,وبوعلی,سرمایه گذاری بوعلی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۱,۱۴۰۲/۰۶/۰۷ ۱۲:۵۲:۳۶,۱۴۰۲/۰۶/۰۷ ۱۲:۵۲:۳۶,/Reports/Decision.aspx?LetterSerial=8xWuykD0JyrGG3ckutqZEQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1065067,وبوعلی,سرمایه گذاری بوعلی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱(اصلاحیه),ن-۳۱,۱۴۰۲/۰۵/۰۷ ۱۳:۵۳:۲۴,۱۴۰۲/۰۵/۰۷ ۱۳:۵۳:۲۴,/Reports/Decision.aspx?LetterSerial=8NjN26WtegX6lOfjixwJeA%3d%3d&rt=2&let=8&ct=0&ft=-1
1061603,وبوعلی,سرمایه گذاری بوعلی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۱,۱۴۰۲/۰۵/۰۴ ۱۲:۳۰:۳۳,۱۴۰۲/۰۵/۰۴ ۱۲:۳۰:۳۳,/Reports/Decision.aspx?LetterSerial=tGjm7nQQQaQQQoq4twwnEs2jDZZQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1044101,وبوعلی,سرمایه گذاری بوعلی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۱,۱۴۰۲/۰۴/۰۷ ۰۹:۰۴:۴۷,۱۴۰۲/۰۴/۰۷ ۰۹:۰۴:۴۷,/Reports/Decision.aspx?LetterSerial=XiVmVeG2FlF9QQQaQQQhdx2C6sDw%3d%3d&rt=2&let=8&ct=0&ft=-1
1028697,وبوعلی,سرمایه گذاری بوعلی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۱,۱۴۰۲/۰۳/۰۶ ۱۳:۲۲:۴۶,۱۴۰۲/۰۳/۰۶ ۱۳:۲۲:۴۶,/Reports/Decision.aspx?LetterSerial=4eJW7QWKNYyJyTPQQQaQQQam%2bqtA%3d%3d&rt=2&let=8&ct=0&ft=-1
1018389,وبوعلی,سرمایه گذاری بوعلی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱(اصلاحیه),ن-۳۱,۱۴۰۲/۰۲/۰۹ ۱۰:۲۹:۲۰,۱۴۰۲/۰۲/۰۹ ۱۰:۲۹:۲۰,/Reports/Decision.aspx?LetterSerial=QefMrllbBnxe4CQQQaQQQpR6xjfg%3d%3d&rt=2&let=8&ct=0&ft=-1
1015815,وبوعلی,سرمایه گذاری بوعلی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۱,۱۴۰۲/۰۲/۰۶ ۱۲:۴۰:۵۴,۱۴۰۲/۰۲/۰۶ ۱۲:۴۰:۵۴,/Reports/Decision.aspx?LetterSerial=xmfGsdOP9FwJKOxeLa325A%3d%3d&rt=2&let=8&ct=0&ft=-1
1005136,وبوعلی,سرمایه گذاری بوعلی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۱,۱۴۰۱/۱۲/۲۸ ۱۵:۳۴:۱۹,۱۴۰۱/۱۲/۲۸ ۱۵:۳۴:۱۹,/Reports/Decision.aspx?LetterSerial=IcEfmUkKxQQQaQQQebf3TSabc19Q%3d%3d&rt=2&let=8&ct=0&ft=-1
996358,وبوعلی,سرمایه گذاری بوعلی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۱,۱۴۰۱/۱۲/۰۷ ۱۵:۲۴:۲۷,۱۴۰۱/۱۲/۰۷ ۱۵:۲۴:۲۷,/Reports/Decision.aspx?LetterSerial=tfA5xQQQaQQQvxhyTtIR9KUSrg0g%3d%3d&rt=2&let=8&ct=0&ft=-1
986338,وبوعلی,سرمایه گذاری بوعلی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰(اصلاحیه),ن-۳۱,۱۴۰۱/۱۱/۰۳ ۱۳:۰۶:۴۴,۱۴۰۱/۱۱/۰۳ ۱۳:۰۶:۴۴,/Reports/Decision.aspx?LetterSerial=NkZqKPjzDrwUjb6rDYoaqw%3d%3d&rt=2&let=8&ct=0&ft=-1
984744,وبوعلی,سرمایه گذاری بوعلی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۱,۱۴۰۱/۱۱/۰۳ ۰۸:۱۲:۰۹,۱۴۰۱/۱۱/۰۳ ۰۸:۱۲:۰۹,/Reports/Decision.aspx?LetterSerial=OpfFizJyqdDpnK6MGb3Odg%3d%3d&rt=2&let=8&ct=0&ft=-1
973780,وبوعلی,سرمایه گذاری بوعلی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۱,۱۴۰۱/۱۰/۰۵ ۰۸:۵۰:۴۵,۱۴۰۱/۱۰/۰۵ ۰۸:۵۰:۴۵,/Reports/Decision.aspx?LetterSerial=8QQQaQQQfGS9QQQaQQQJAB78nTQj5F9SQQQaQQQQ%3d%3d&rt=2&let=8&ct=0&ft=-1
960028,وبوعلی,سرمایه گذاری بوعلی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۱,۱۴۰۱/۰۹/۰۲ ۱۵:۱۲:۲۳,۱۴۰۱/۰۹/۰۲ ۱۵:۱۲:۲۳,/Reports/Decision.aspx?LetterSerial=9rokXDfdrgNtdc9xtc8c0g%3d%3d&rt=2&let=8&ct=0&ft=-1
948541,وبوعلی,سرمایه گذاری بوعلی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۱,۱۴۰۱/۰۸/۰۳ ۱۳:۲۸:۲۹,۱۴۰۱/۰۸/۰۳ ۱۳:۲۸:۲۹,/Reports/Decision.aspx?LetterSerial=yOeM1pEAQQQaQQQxwcZwHULRuk9w%3d%3d&rt=2&let=8&ct=0&ft=-1
940613,وبوعلی,سرمایه گذاری بوعلی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۱,۱۴۰۱/۰۷/۰۴ ۱۵:۲۴:۵۳,۱۴۰۱/۰۷/۰۴ ۱۵:۲۴:۵۳,/Reports/Decision.aspx?LetterSerial=0uuBroEfAB7rv1jlE4AQrQ%3d%3d&rt=2&let=8&ct=0&ft=-1
926348,وبوعلی,سرمایه گذاری بوعلی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۱,۱۴۰۱/۰۶/۰۶ ۱۴:۲۱:۵۱,۱۴۰۱/۰۶/۰۶ ۱۴:۲۱:۵۱,/Reports/Decision.aspx?LetterSerial=CXA5t14TwqMDQQQaQQQjwCQQQaQQQp3cUw%3d%3d&rt=2&let=8&ct=0&ft=-1
912663,وبوعلی,سرمایه گذاری بوعلی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۱,۱۴۰۱/۰۵/۰۲ ۱۳:۲۶:۵۹,۱۴۰۱/۰۵/۰۲ ۱۳:۲۶:۵۹,/Reports/Decision.aspx?LetterSerial=xsJI4TyfQQQaQQQHKCv8OQojQh1Q%3d%3d&rt=2&let=8&ct=0&ft=-1
897799,وبوعلی,سرمایه گذاری بوعلی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۱,۱۴۰۱/۰۴/۰۴ ۱۳:۳۷:۴۸,۱۴۰۱/۰۴/۰۴ ۱۳:۳۷:۴۸,/Reports/Decision.aspx?LetterSerial=ImYEF5pyYZtFd3ns0XW2MA%3d%3d&rt=2&let=8&ct=0&ft=-1
883530,وبوعلی,سرمایه گذاری بوعلی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۱,۱۴۰۱/۰۳/۰۲ ۱۴:۲۶:۵۲,۱۴۰۱/۰۳/۰۲ ۱۴:۲۶:۵۲,/Reports/Decision.aspx?LetterSerial=UtzecJpLUXsbQd8fE9KeHw%3d%3d&rt=2&let=8&ct=0&ft=-1
873664,وبوعلی,سرمایه گذاری بوعلی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۱,۱۴۰۱/۰۲/۰۶ ۱۱:۱۷:۵۱,۱۴۰۱/۰۲/۰۶ ۱۱:۱۷:۵۱,/Reports/Decision.aspx?LetterSerial=rBPyCqE5z8Yd658JDKKZHg%3D%3D&rt=2&let=8&ct=0&ft=-1
