TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074997,وتوصا,گروه سرمایه گذاری توسعه صنعتی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۱,۱۴۰۲/۰۶/۰۵ ۱۰:۱۰:۰۲,۱۴۰۲/۰۶/۰۵ ۱۰:۱۰:۰۲,/Reports/Decision.aspx?LetterSerial=gsaTwituJKKLQQQaQQQUhv9csWCQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1063543,وتوصا,گروه سرمایه گذاری توسعه صنعتی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۱,۱۴۰۲/۰۵/۰۴ ۱۰:۰۶:۵۰,۱۴۰۲/۰۵/۰۴ ۱۰:۰۶:۵۰,/Reports/Decision.aspx?LetterSerial=av6r7QE6lJB%2bR%2bIrQHmMCA%3d%3d&rt=2&let=8&ct=0&ft=-1
1046543,وتوصا,گروه سرمایه گذاری توسعه صنعتی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۱,۱۴۰۲/۰۴/۰۶ ۱۱:۰۱:۰۸,۱۴۰۲/۰۴/۰۶ ۱۱:۰۱:۰۸,/Reports/Decision.aspx?LetterSerial=3ZoRaHuSnylrt7W%2bXIaaZQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1029671,وتوصا,گروه سرمایه گذاری توسعه صنعتی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۱,۱۴۰۲/۰۳/۰۶ ۱۶:۱۶:۱۹,۱۴۰۲/۰۳/۰۶ ۱۶:۱۶:۱۹,/Reports/Decision.aspx?LetterSerial=YJlEhLFO8FvA7QmbO2b2LA%3d%3d&rt=2&let=8&ct=0&ft=-1
1016044,وتوصا,گروه سرمایه گذاری توسعه صنعتی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۱,۱۴۰۲/۰۲/۰۴ ۱۵:۴۳:۱۸,۱۴۰۲/۰۲/۰۴ ۱۵:۴۳:۱۸,/Reports/Decision.aspx?LetterSerial=qTjVujYItBcBB9viH6jTsw%3d%3d&rt=2&let=8&ct=0&ft=-1
1005882,وتوصا,گروه سرمایه گذاری توسعه صنعتی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۱,۱۴۰۱/۱۲/۲۸ ۱۵:۳۹:۴۲,۱۴۰۱/۱۲/۲۸ ۱۵:۳۹:۴۲,/Reports/Decision.aspx?LetterSerial=c10FDzsMQhC0O0zKfJmX8A%3d%3d&rt=2&let=8&ct=0&ft=-1
995156,وتوصا,گروه سرمایه گذاری توسعه صنعتی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۱,۱۴۰۱/۱۲/۰۳ ۱۶:۰۷:۳۹,۱۴۰۱/۱۲/۰۳ ۱۶:۰۷:۳۹,/Reports/Decision.aspx?LetterSerial=XRZEYDLJYzin0XyB7hUg9Q%3d%3d&rt=2&let=8&ct=0&ft=-1
986280,وتوصا,گروه سرمایه گذاری توسعه صنعتی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۱,۱۴۰۱/۱۱/۰۳ ۱۵:۳۷:۰۷,۱۴۰۱/۱۱/۰۳ ۱۵:۳۷:۰۷,/Reports/Decision.aspx?LetterSerial=%2bNbrN04ACnhO66sutQQQaQQQ03Ug%3d%3d&rt=2&let=8&ct=0&ft=-1
974572,وتوصا,گروه سرمایه گذاری توسعه صنعتی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۱,۱۴۰۱/۱۰/۰۷ ۱۸:۲۲:۵۸,۱۴۰۱/۱۰/۰۷ ۱۸:۲۲:۵۸,/Reports/Decision.aspx?LetterSerial=PCoF5WY0z22V3cOupMxycA%3d%3d&rt=2&let=8&ct=0&ft=-1
961919,وتوصا,گروه سرمایه گذاری توسعه صنعتی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۱,۱۴۰۱/۰۹/۰۱ ۱۸:۳۶:۳۲,۱۴۰۱/۰۹/۰۱ ۱۸:۳۶:۳۲,/Reports/Decision.aspx?LetterSerial=4dAUyA7KRByAyfuvSnJQ6g%3d%3d&rt=2&let=8&ct=0&ft=-1
951818,وتوصا,گروه سرمایه گذاری توسعه صنعتی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۱,۱۴۰۱/۰۸/۰۷ ۱۵:۱۹:۰۶,۱۴۰۱/۰۸/۰۷ ۱۵:۱۹:۰۶,/Reports/Decision.aspx?LetterSerial=wvFtdQHAntEEHfEjDOedzQ%3d%3d&rt=2&let=8&ct=0&ft=-1
940556,وتوصا,گروه سرمایه گذاری توسعه صنعتی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۱,۱۴۰۱/۰۷/۰۲ ۱۷:۱۷:۵۰,۱۴۰۱/۰۷/۰۲ ۱۷:۱۷:۵۰,/Reports/Decision.aspx?LetterSerial=FPJ%2by3maHqpYhQQQaQQQXbPqiASg%3d%3d&rt=2&let=8&ct=0&ft=-1
928308,وتوصا,گروه سرمایه گذاری توسعه صنعتی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۱,۱۴۰۱/۰۶/۰۵ ۱۳:۰۲:۴۷,۱۴۰۱/۰۶/۰۵ ۱۳:۰۲:۴۷,/Reports/Decision.aspx?LetterSerial=pqhuajC0OcmQ35IJiNGC%2bQ%3d%3d&rt=2&let=8&ct=0&ft=-1
916731,وتوصا,گروه سرمایه گذاری توسعه صنعتی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۱,۱۴۰۱/۰۵/۰۱ ۱۶:۴۹:۲۵,۱۴۰۱/۰۵/۰۱ ۱۶:۴۹:۲۵,/Reports/Decision.aspx?LetterSerial=p0oKCwWyHT1cFeQLAsQHYA%3d%3d&rt=2&let=8&ct=0&ft=-1
900240,وتوصا,گروه سرمایه گذاری توسعه صنعتی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۱,۱۴۰۱/۰۴/۰۴ ۱۸:۵۴:۴۴,۱۴۰۱/۰۴/۰۴ ۱۸:۵۴:۴۴,/Reports/Decision.aspx?LetterSerial=ZJRyDQQQaQQQ6AGI%2bSSCDGQS9GQQ%3d%3d&rt=2&let=8&ct=0&ft=-1
885348,وتوصا,گروه سرمایه گذاری توسعه صنعتی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۱,۱۴۰۱/۰۳/۰۱ ۱۷:۱۵:۴۰,۱۴۰۱/۰۳/۰۱ ۱۷:۱۵:۴۰,/Reports/Decision.aspx?LetterSerial=nRPQooSdeHnRh8xafiY0DQ%3d%3d&rt=2&let=8&ct=0&ft=-1
873120,وتوصا,گروه سرمایه گذاری توسعه صنعتی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۱,۱۴۰۱/۰۲/۱۰ ۱۵:۴۵:۲۸,۱۴۰۱/۰۲/۱۰ ۱۵:۴۵:۲۸,/Reports/Decision.aspx?LetterSerial=vRa2GCu6MKdJazdoTeTS7Q%3D%3D&rt=2&let=8&ct=0&ft=-1
864252,وتوصا,گروه سرمایه گذاری توسعه صنعتی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۱,۱۴۰۰/۱۲/۲۸ ۱۴:۲۲:۳۲,۱۴۰۰/۱۲/۲۸ ۱۴:۲۲:۳۲,/Reports/Decision.aspx?LetterSerial=8MK5JwiCxqQqhof71iudpQ%3D%3D&rt=2&let=8&ct=0&ft=-1
854766,وتوصا,گروه سرمایه گذاری توسعه صنعتی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰,ن-۳۱,۱۴۰۰/۱۲/۰۴ ۱۰:۲۵:۵۶,۱۴۰۰/۱۲/۰۴ ۱۰:۲۵:۵۶,/Reports/Decision.aspx?LetterSerial=agZhyf6FpXCK2L6Rwxg1dA%3D%3D&rt=2&let=8&ct=0&ft=-1
845579,وتوصا,گروه سرمایه گذاری توسعه صنعتی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰,ن-۳۱,۱۴۰۰/۱۱/۰۳ ۱۶:۴۹:۴۳,۱۴۰۰/۱۱/۰۳ ۱۶:۴۹:۴۳,/Reports/Decision.aspx?LetterSerial=EbFt4jgOqdcb7qVJHIreiA%3D%3D&rt=2&let=8&ct=0&ft=-1
834083,وتوصا,گروه سرمایه گذاری توسعه صنعتی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۹/۳۰,ن-۳۱,۱۴۰۰/۱۰/۰۱ ۱۹:۳۶:۱۰,۱۴۰۰/۱۰/۰۱ ۱۹:۳۶:۱۰,/Reports/Decision.aspx?LetterSerial=bMOg1j4Mg3QQQaQQQMxzayDH9XZA%3D%3D&rt=2&let=8&ct=0&ft=-1
820245,وتوصا,گروه سرمایه گذاری توسعه صنعتی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۸/۳۰,ن-۳۱,۱۴۰۰/۰۹/۰۷ ۱۲:۳۷:۱۳,۱۴۰۰/۰۹/۰۷ ۱۲:۳۷:۱۳,/Reports/Decision.aspx?LetterSerial=97azWkVOouHEI9wJG8bmLA%3D%3D&rt=2&let=8&ct=0&ft=-1
808137,وتوصا,گروه سرمایه گذاری توسعه صنعتی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۷/۳۰,ن-۳۱,۱۴۰۰/۰۸/۰۴ ۱۵:۰۹:۴۷,۱۴۰۰/۰۸/۰۴ ۱۵:۰۹:۴۷,/Reports/Decision.aspx?LetterSerial=a99puqalTrWZQwmQTL5S1A%3D%3D&rt=2&let=8&ct=0&ft=-1
800237,وتوصا,گروه سرمایه گذاری توسعه صنعتی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۶/۳۱,ن-۳۱,۱۴۰۰/۰۷/۱۰ ۱۲:۱۲:۰۶,۱۴۰۰/۰۷/۱۰ ۱۲:۱۲:۰۶,/Reports/Decision.aspx?LetterSerial=ZyAWXiJOGi7Nz7K88uHdHg%3D%3D&rt=2&let=8&ct=0&ft=-1
784405,وتوصا,گروه سرمایه گذاری توسعه صنعتی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۵/۳۱,ن-۳۱,۱۴۰۰/۰۶/۰۶ ۱۲:۳۸:۴۴,۱۴۰۰/۰۶/۰۶ ۱۲:۳۸:۴۴,/Reports/Decision.aspx?LetterSerial=oz8QhilnDwC0CeI6HF6CDg%3D%3D&rt=2&let=8&ct=0&ft=-1
778390,وتوصا,گروه سرمایه گذاری توسعه صنعتی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۴/۳۱,ن-۳۱,۱۴۰۰/۰۵/۱۱ ۰۹:۵۹:۵۴,۱۴۰۰/۰۵/۱۱ ۰۹:۵۹:۵۴,/Reports/Decision.aspx?LetterSerial=LcOGBr0RYQQQaQQQOArOvGjmuGIA%3D%3D&rt=2&let=8&ct=0&ft=-1
761204,وتوصا,گروه سرمایه گذاری توسعه صنعتی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۳/۳۱,ن-۳۱,۱۴۰۰/۰۴/۰۵ ۱۰:۵۴:۳۸,۱۴۰۰/۰۴/۰۵ ۱۰:۵۴:۳۸,/Reports/Decision.aspx?LetterSerial=JQRH3gECTH2q3XcojMaqfw%3D%3D&rt=2&let=8&ct=0&ft=-1
749219,وتوصا,گروه سرمایه گذاری توسعه صنعتی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۲/۳۱,ن-۳۱,۱۴۰۰/۰۳/۰۳ ۱۱:۰۲:۵۰,۱۴۰۰/۰۳/۰۳ ۱۱:۰۲:۵۰,/Reports/Decision.aspx?LetterSerial=FqNPeTQQQaQQQyVjfNPqb1sdWUow%3D%3D&rt=2&let=8&ct=0&ft=-1
738831,وتوصا,گروه سرمایه گذاری توسعه صنعتی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۱/۳۱,ن-۳۱,۱۴۰۰/۰۲/۰۴ ۱۵:۴۲:۲۳,۱۴۰۰/۰۲/۰۴ ۱۵:۴۲:۲۳,/Reports/Decision.aspx?LetterSerial=md17kaWQQQaQQQyyEu9QQQaQQQh17ZdthQ%3D%3D&rt=2&let=8&ct=0&ft=-1
739095,وتوصا,گروه سرمایه گذاری توسعه صنعتی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۲/۳۰(اصلاحیه),ن-۳۱,۱۴۰۰/۰۲/۰۱ ۱۸:۳۱:۱۱,۱۴۰۰/۰۲/۰۱ ۱۸:۳۱:۱۱,/Reports/Decision.aspx?LetterSerial=coAO2ABmPjXHRz9viBxb5w%3D%3D&rt=2&let=8&ct=0&ft=-1
731170,وتوصا,گروه سرمایه گذاری توسعه صنعتی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۲/۳۰,ن-۳۱,۱۴۰۰/۰۱/۱۰ ۰۹:۵۱:۲۴,۱۴۰۰/۰۱/۱۰ ۰۹:۵۱:۲۴,/Reports/Decision.aspx?LetterSerial=KhlsAciw4nMe%2B6LjCqZWmg%3D%3D&rt=2&let=8&ct=0&ft=-1
723681,وتوصا,گروه سرمایه گذاری توسعه صنعتی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۱/۳۰,ن-۳۱,۱۳۹۹/۱۲/۰۳ ۱۵:۴۴:۴۶,۱۳۹۹/۱۲/۰۳ ۱۵:۴۴:۴۶,/Reports/Decision.aspx?LetterSerial=gDyEPoSNh1SQYQQQaQQQQQQaQQQedrMD5g%3D%3D&rt=2&let=8&ct=0&ft=-1
714341,وتوصا,گروه سرمایه گذاری توسعه صنعتی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۰/۳۰,ن-۳۱,۱۳۹۹/۱۱/۰۴ ۱۵:۵۳:۴۷,۱۳۹۹/۱۱/۰۴ ۱۵:۵۳:۴۷,/Reports/Decision.aspx?LetterSerial=N1V8N%2B3EZeCS2oIZSVT7Ag%3D%3D&rt=2&let=8&ct=0&ft=-1
704388,وتوصا,گروه سرمایه گذاری توسعه صنعتی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۹/۳۰,ن-۳۱,۱۳۹۹/۱۰/۰۱ ۱۹:۳۲:۴۷,۱۳۹۹/۱۰/۰۱ ۱۹:۳۲:۴۷,/Reports/Decision.aspx?LetterSerial=7vO6HM9GIVYgIUO8w2rU8Q%3D%3D&rt=2&let=8&ct=0&ft=-1
