TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1072799,ورنا,سرمایه گذاری گروه صنعتی رنا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۱,۱۴۰۲/۰۶/۰۶ ۰۹:۵۵:۴۷,۱۴۰۲/۰۶/۰۶ ۰۹:۵۵:۴۷,/Reports/Decision.aspx?LetterSerial=3YqvtVbY2Gj%2bYhbQ0EzCyA%3d%3d&rt=2&let=8&ct=0&ft=-1
1059574,ورنا,سرمایه گذاری گروه صنعتی رنا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۱,۱۴۰۲/۰۵/۰۳ ۱۳:۰۳:۱۷,۱۴۰۲/۰۵/۰۳ ۱۳:۰۳:۱۷,/Reports/Decision.aspx?LetterSerial=YBjFt2RwxVENQQQaQQQIUKc4cVLQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1045045,ورنا,سرمایه گذاری گروه صنعتی رنا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۱,۱۴۰۲/۰۴/۰۶ ۱۱:۲۲:۱۲,۱۴۰۲/۰۴/۰۶ ۱۱:۲۲:۱۲,/Reports/Decision.aspx?LetterSerial=%2bau9Y4IHLpqvBZuWWC0pYA%3d%3d&rt=2&let=8&ct=0&ft=-1
1045012,ورنا,سرمایه گذاری گروه صنعتی رنا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱(اصلاحیه),ن-۳۱,۱۴۰۲/۰۴/۰۴ ۰۸:۵۶:۴۵,۱۴۰۲/۰۴/۰۴ ۰۸:۵۶:۴۵,/Reports/Decision.aspx?LetterSerial=%2byOmt7PQj63pfpsQQQaQQQ4sNIzA%3d%3d&rt=2&let=8&ct=0&ft=-1
1028827,ورنا,سرمایه گذاری گروه صنعتی رنا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۱,۱۴۰۲/۰۳/۰۳ ۱۳:۴۱:۵۷,۱۴۰۲/۰۳/۰۳ ۱۳:۴۱:۵۷,/Reports/Decision.aspx?LetterSerial=4ZFKOrSQ2rRY0uArGS4%2b1g%3d%3d&rt=2&let=8&ct=0&ft=-1
1014974,ورنا,سرمایه گذاری گروه صنعتی رنا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۱,۱۴۰۲/۰۲/۰۹ ۱۲:۰۳:۴۱,۱۴۰۲/۰۲/۰۹ ۱۲:۰۳:۴۱,/Reports/Decision.aspx?LetterSerial=bDNYeal29AG0SPJXHlgHCw%3d%3d&rt=2&let=8&ct=0&ft=-1
1014428,ورنا,سرمایه گذاری گروه صنعتی رنا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۱,۱۴۰۲/۰۱/۲۹ ۱۳:۱۳:۵۰,۱۴۰۲/۰۱/۲۹ ۱۳:۱۳:۵۰,/Reports/Decision.aspx?LetterSerial=lw6e9QJBQvse4Ki35l60vQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1000511,ورنا,سرمایه گذاری گروه صنعتی رنا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۱,۱۴۰۲/۰۱/۰۷ ۱۱:۱۲:۴۳,۱۴۰۲/۰۱/۰۷ ۱۱:۱۲:۴۳,/Reports/Decision.aspx?LetterSerial=ZppXwkg6CtuKcCeYzZK5CQ%3d%3d&rt=2&let=8&ct=0&ft=-1
994159,ورنا,سرمایه گذاری گروه صنعتی رنا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۱,۱۴۰۱/۱۲/۰۶ ۰۶:۵۰:۲۴,۱۴۰۱/۱۲/۰۶ ۰۶:۵۰:۲۴,/Reports/Decision.aspx?LetterSerial=mQDleGK1bq1ThoVoI5lqTg%3d%3d&rt=2&let=8&ct=0&ft=-1
985083,ورنا,سرمایه گذاری گروه صنعتی رنا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۱,۱۴۰۱/۱۱/۰۳ ۱۵:۰۷:۳۷,۱۴۰۱/۱۱/۰۳ ۱۵:۰۷:۳۷,/Reports/Decision.aspx?LetterSerial=T3saGVhrgrHpjbv6aisiHA%3d%3d&rt=2&let=8&ct=0&ft=-1
973240,ورنا,سرمایه گذاری گروه صنعتی رنا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۱,۱۴۰۱/۱۰/۰۴ ۱۱:۳۱:۰۶,۱۴۰۱/۱۰/۰۴ ۱۱:۳۱:۰۶,/Reports/Decision.aspx?LetterSerial=cV7V00da55FQzfa7ysl9EQ%3d%3d&rt=2&let=8&ct=0&ft=-1
960407,ورنا,سرمایه گذاری گروه صنعتی رنا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۱,۱۴۰۱/۰۹/۰۶ ۱۰:۲۵:۳۴,۱۴۰۱/۰۹/۰۶ ۱۰:۲۵:۳۴,/Reports/Decision.aspx?LetterSerial=LmDCw1kv0LcGNJrt7iE%2bRA%3d%3d&rt=2&let=8&ct=0&ft=-1
948651,ورنا,سرمایه گذاری گروه صنعتی رنا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۱,۱۴۰۱/۰۸/۰۳ ۰۸:۵۷:۰۷,۱۴۰۱/۰۸/۰۳ ۰۸:۵۷:۰۷,/Reports/Decision.aspx?LetterSerial=2Hx%2bbR3pcNVxED7DrKr4xw%3d%3d&rt=2&let=8&ct=0&ft=-1
938638,ورنا,سرمایه گذاری گروه صنعتی رنا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۱,۱۴۰۱/۰۷/۱۰ ۰۹:۱۳:۲۶,۱۴۰۱/۰۷/۱۰ ۰۹:۱۳:۲۶,/Reports/Decision.aspx?LetterSerial=Xh136cfPiIY1EoF5HxToUw%3d%3d&rt=2&let=8&ct=0&ft=-1
926718,ورنا,سرمایه گذاری گروه صنعتی رنا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۱,۱۴۰۱/۰۶/۰۵ ۱۰:۵۱:۵۴,۱۴۰۱/۰۶/۰۵ ۱۰:۵۱:۵۴,/Reports/Decision.aspx?LetterSerial=uE61Q9kbkOoCl86hRTVjzA%3d%3d&rt=2&let=8&ct=0&ft=-1
911223,ورنا,سرمایه گذاری گروه صنعتی رنا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۱,۱۴۰۱/۰۵/۰۱ ۱۲:۵۵:۱۴,۱۴۰۱/۰۵/۰۱ ۱۲:۵۵:۱۴,/Reports/Decision.aspx?LetterSerial=39HYrAxoSbEU2c1rV9EMcw%3d%3d&rt=2&let=8&ct=0&ft=-1
896120,ورنا,سرمایه گذاری گروه صنعتی رنا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۱,۱۴۰۱/۰۴/۰۷ ۰۹:۱۹:۳۲,۱۴۰۱/۰۴/۰۷ ۰۹:۱۹:۳۲,/Reports/Decision.aspx?LetterSerial=coppdc1AwwWeRZQ1lUdyKw%3d%3d&rt=2&let=8&ct=0&ft=-1
885072,ورنا,سرمایه گذاری گروه صنعتی رنا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۱,۱۴۰۱/۰۳/۰۴ ۰۸:۰۳:۱۱,۱۴۰۱/۰۳/۰۴ ۰۸:۰۳:۱۱,/Reports/Decision.aspx?LetterSerial=ipDZiaEXwvehD44Tr%2bvQQQaQQQkQ%3d%3d&rt=2&let=8&ct=0&ft=-1
870035,ورنا,سرمایه گذاری گروه صنعتی رنا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۱,۱۴۰۱/۰۲/۰۵ ۱۴:۳۴:۵۴,۱۴۰۱/۰۲/۰۵ ۱۴:۳۴:۵۴,/Reports/Decision.aspx?LetterSerial=b1%2BZBkI4L52N9RQQQaQQQlKrSjBQ%3D%3D&rt=2&let=8&ct=0&ft=-1
861007,ورنا,سرمایه گذاری گروه صنعتی رنا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۱,۱۴۰۱/۰۱/۰۸ ۰۸:۲۹:۱۹,۱۴۰۱/۰۱/۰۸ ۰۸:۲۹:۱۹,/Reports/Decision.aspx?LetterSerial=iPj7Lgto0VwQQQaQQQNtmSk7qmOg%3D%3D&rt=2&let=8&ct=0&ft=-1
854317,ورنا,سرمایه گذاری گروه صنعتی رنا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰,ن-۳۱,۱۴۰۰/۱۲/۰۷ ۰۶:۴۴:۱۰,۱۴۰۰/۱۲/۰۷ ۰۶:۴۴:۱۰,/Reports/Decision.aspx?LetterSerial=2EH7%2BTXL0EYhezNRvRsQdw%3D%3D&rt=2&let=8&ct=0&ft=-1
841816,ورنا,سرمایه گذاری گروه صنعتی رنا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰,ن-۳۱,۱۴۰۰/۱۱/۰۴ ۱۳:۲۲:۵۱,۱۴۰۰/۱۱/۰۴ ۱۳:۲۲:۵۱,/Reports/Decision.aspx?LetterSerial=ytIuc8mxG5WljA9XB5MpvQ%3D%3D&rt=2&let=8&ct=0&ft=-1
835097,ورنا,سرمایه گذاری گروه صنعتی رنا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۹/۳۰,ن-۳۱,۱۴۰۰/۱۰/۰۷ ۱۲:۴۶:۱۶,۱۴۰۰/۱۰/۰۷ ۱۲:۴۶:۱۶,/Reports/Decision.aspx?LetterSerial=OkCSB7Hr1C%2BzYKOvbREidw%3D%3D&rt=2&let=8&ct=0&ft=-1
