TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1072469,وساخت,سرمایه گذاری ساختمان ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۱,۱۴۰۲/۰۶/۰۱ ۱۴:۳۵:۳۷,۱۴۰۲/۰۶/۰۱ ۱۴:۳۵:۳۷,/Reports/Decision.aspx?LetterSerial=EI6zmO678bMfEURf8dQTjA%3d%3d&rt=2&let=8&ct=0&ft=-1
1062019,وساخت,سرمایه گذاری ساختمان ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۱,۱۴۰۲/۰۵/۰۲ ۱۵:۵۶:۱۱,۱۴۰۲/۰۵/۰۲ ۱۵:۵۶:۱۱,/Reports/Decision.aspx?LetterSerial=b86OX3XOXc6bh6ueJ%2bMmzQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1039601,وساخت,سرمایه گذاری ساختمان ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۱,۱۴۰۲/۰۴/۰۴ ۱۰:۳۹:۱۲,۱۴۰۲/۰۴/۰۴ ۱۰:۳۹:۱۲,/Reports/Decision.aspx?LetterSerial=QQQaQQQ2xAYWScEcH7UWT0wVKngg%3d%3d&rt=2&let=8&ct=0&ft=-1
1026615,وساخت,سرمایه گذاری ساختمان ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۱,۱۴۰۲/۰۳/۰۳ ۰۸:۱۱:۲۲,۱۴۰۲/۰۳/۰۳ ۰۸:۱۱:۲۲,/Reports/Decision.aspx?LetterSerial=DOSc9neD64goHmmVFxMFow%3d%3d&rt=2&let=8&ct=0&ft=-1
1013912,وساخت,سرمایه گذاری ساختمان ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۱,۱۴۰۲/۰۲/۰۶ ۱۵:۳۴:۳۷,۱۴۰۲/۰۲/۰۶ ۱۵:۳۴:۳۷,/Reports/Decision.aspx?LetterSerial=QUJMf7zQ%2bF1%2bkFfmIeTJLA%3d%3d&rt=2&let=8&ct=0&ft=-1
1005157,وساخت,سرمایه گذاری ساختمان ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۱,۱۴۰۱/۱۲/۲۸ ۱۵:۴۴:۳۸,۱۴۰۱/۱۲/۲۸ ۱۵:۴۴:۳۸,/Reports/Decision.aspx?LetterSerial=hjaVcnzitOQn07m7hBUuEQ%3d%3d&rt=2&let=8&ct=0&ft=-1
995343,وساخت,سرمایه گذاری ساختمان ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۱,۱۴۰۱/۱۲/۰۲ ۱۴:۳۷:۳۸,۱۴۰۱/۱۲/۰۲ ۱۴:۳۷:۳۸,/Reports/Decision.aspx?LetterSerial=xqJGAwwrBZ8SGZJn15SErg%3d%3d&rt=2&let=8&ct=0&ft=-1
984888,وساخت,سرمایه گذاری ساختمان ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۱,۱۴۰۱/۱۱/۰۲ ۱۳:۲۳:۵۱,۱۴۰۱/۱۱/۰۲ ۱۳:۲۳:۵۱,/Reports/Decision.aspx?LetterSerial=38gSzfXeoIR6iK2iAcXEog%3d%3d&rt=2&let=8&ct=0&ft=-1
972491,وساخت,سرمایه گذاری ساختمان ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۱,۱۴۰۱/۱۰/۰۳ ۱۶:۴۱:۰۲,۱۴۰۱/۱۰/۰۳ ۱۶:۴۱:۰۲,/Reports/Decision.aspx?LetterSerial=l%2bRNwqD%2bA%2bE9%2bFQQQaQQQj1jsbPA%3d%3d&rt=2&let=8&ct=0&ft=-1
960626,وساخت,سرمایه گذاری ساختمان ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۱,۱۴۰۱/۰۹/۰۲ ۱۴:۲۸:۱۱,۱۴۰۱/۰۹/۰۲ ۱۴:۲۸:۱۱,/Reports/Decision.aspx?LetterSerial=wEn%2bH0Wu1VuJVOfFk41Fzw%3d%3d&rt=2&let=8&ct=0&ft=-1
949938,وساخت,سرمایه گذاری ساختمان ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۱,۱۴۰۱/۰۸/۰۳ ۱۶:۴۵:۵۸,۱۴۰۱/۰۸/۰۳ ۱۶:۴۵:۵۸,/Reports/Decision.aspx?LetterSerial=2o8og0zuO9FcH6a4ZrQQQaQQQy0Q%3d%3d&rt=2&let=8&ct=0&ft=-1
