TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1079638,وسالت,بانک قرض الحسنه رسالت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۶/۱۲ ۱۲:۵۷:۳۱,۱۴۰۲/۰۶/۱۲ ۱۲:۵۷:۳۱,/Reports/Decision.aspx?LetterSerial=fftj1NrPuhu50gqP2%2bWSuA%3d%3d&rt=3&let=58&ct=0&ft=-1
1062932,وسالت,بانک قرض الحسنه رسالت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۲ ۱۵:۴۸:۳۷,۱۴۰۲/۰۵/۰۲ ۱۵:۴۸:۳۷,/Reports/Decision.aspx?LetterSerial=0rPXU1vfUEQ42MTq5JgZLw%3d%3d&rt=3&let=58&ct=0&ft=-1
1054154,وسالت,بانک قرض الحسنه رسالت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۴/۱۹ ۱۵:۴۰:۵۳,۱۴۰۲/۰۴/۱۹ ۱۵:۴۰:۵۳,/Reports/Decision.aspx?LetterSerial=MqC%2bGOCj1nJIbLFpxaJJ7w%3d%3d&rt=3&let=58&ct=0&ft=-1
1054131,وسالت,بانک قرض الحسنه رسالت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۴/۱۹ ۱۵:۰۴:۳۹,۱۴۰۲/۰۴/۱۹ ۱۵:۰۴:۳۹,/Reports/Decision.aspx?LetterSerial=O7MVlsmqjaJor1mkmVuF7A%3d%3d&rt=3&let=58&ct=0&ft=-1
1032770,وسالت,بانک قرض الحسنه رسالت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۴/۱۹ ۱۴:۳۴:۴۷,۱۴۰۲/۰۴/۱۹ ۱۴:۳۴:۴۷,/Reports/Decision.aspx?LetterSerial=6K7btnymhjNFOJ%2boliBCWw%3d%3d&rt=3&let=58&ct=0&ft=-1
1002641,وسالت,بانک قرض الحسنه رسالت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۲۸ ۱۱:۰۱:۳۸,۱۴۰۱/۱۲/۲۸ ۱۱:۰۱:۳۸,/Reports/Decision.aspx?LetterSerial=GIxQxtJnG8fEQvuAO5gwxg%3d%3d&rt=3&let=58&ct=0&ft=-1
991285,وسالت,بانک قرض الحسنه رسالت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۱۹ ۱۵:۳۶:۱۸,۱۴۰۱/۱۱/۱۹ ۱۵:۳۶:۱۸,/Reports/Decision.aspx?LetterSerial=HHs2jPRQuxRAWJOSIvNeoQ%3d%3d&rt=3&let=58&ct=0&ft=-1
990981,وسالت,بانک قرض الحسنه رسالت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۱/۱۷ ۰۹:۴۴:۵۴,۱۴۰۱/۱۱/۱۷ ۰۹:۴۴:۵۴,/Reports/Decision.aspx?LetterSerial=v1yJP8SPtVODrcTkopS%2bAw%3d%3d&rt=3&let=58&ct=0&ft=-1
971473,وسالت,بانک قرض الحسنه رسالت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۲۶ ۱۱:۰۶:۲۹,۱۴۰۱/۰۹/۲۶ ۱۱:۰۶:۲۹,/Reports/Decision.aspx?LetterSerial=a83wcmagk9u2FBUnQCALfA%3d%3d&rt=3&let=58&ct=0&ft=-1
955562,وسالت,بانک قرض الحسنه رسالت,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۱۷ ۰۹:۴۷:۰۹,۱۴۰۱/۰۸/۱۷ ۰۹:۴۷:۰۹,/Reports/Decision.aspx?LetterSerial=sjiMmoiAtHcSMhQQQaQQQ2ZXKosw%3d%3d&rt=3&let=58&ct=0&ft=-1
