TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
184962,وسدید,گروه صنعتی سدید,صورت وضعیت پورتفوی دوره ۱ ماهه منتهی به ۱۳۹۳/۰۷/۳۰,ن-۳۱,۱۳۹۳/۰۸/۰۴ ۱۲:۳۷:۵۳,۱۳۹۳/۰۸/۰۴ ۱۲:۳۷:۵۳,/Reports/Decision.aspx?LetterSerial=dnbZEfy5mHQ3Mk8sP3Sz5w%3d%3d&rt=2&let=8
180068,وسدید,گروه صنعتی سدید,صورت وضعیت پورتفوی دوره ۱ ماهه منتهی به ۱۳۹۳/۰۶/۳۱,ن-۳۱,۱۳۹۳/۰۷/۱۰ ۰۹:۵۷:۲۸,۱۳۹۳/۰۷/۱۰ ۰۹:۵۷:۲۸,/Reports/Decision.aspx?LetterSerial=LDXviEsIvyEx7WHyqE7bZQ%3d%3d&rt=2&let=8
180054,وسدید,گروه صنعتی سدید,صورت وضعیت پورتفوی دوره ۱ ماهه منتهی به ۱۳۹۳/۰۵/۳۱,ن-۳۱,۱۳۹۳/۰۶/۱۸ ۱۵:۳۲:۱۳,۱۳۹۳/۰۶/۱۸ ۱۵:۳۲:۱۳,/Reports/Decision.aspx?LetterSerial=XFZ%2b0tLGpymIuxEFgwoVig%3d%3d&rt=2&let=8
170723,وسدید,گروه صنعتی سدید,صورت وضعیت پورتفوی دوره ۱ ماهه منتهی به ۱۳۹۳/۰۴/۳۱,ن-۳۱,۱۳۹۳/۰۵/۰۱ ۱۰:۳۶:۵۰,۱۳۹۳/۰۵/۰۱ ۱۰:۳۶:۵۰,/Reports/Decision.aspx?LetterSerial=QHAnDYCnCdSS5dDI8oGBtg%3d%3d&rt=2&let=8
169914,وسدید,گروه صنعتی سدید,صورت وضعیت پورتفوی دوره ۱ ماهه منتهی به ۱۳۹۳/۰۳/۳۱(اصلاحیه),ن-۳۱,۱۳۹۳/۰۴/۰۹ ۱۱:۴۰:۰۵,۱۳۹۳/۰۴/۰۹ ۱۱:۴۰:۰۵,/Reports/Decision.aspx?LetterSerial=abrSiD0z9pIq8YTU2GwMsA%3d%3d&rt=2&let=8
169916,وسدید,گروه صنعتی سدید,صورت وضعیت پورتفوی دوره ۱ ماهه منتهی به ۱۳۹۳/۰۲/۳۱(اصلاحیه),ن-۳۱,۱۳۹۳/۰۴/۰۹ ۱۱:۳۸:۱۲,۱۳۹۳/۰۴/۰۹ ۱۱:۳۸:۱۲,/Reports/Decision.aspx?LetterSerial=HDAQgFPYD8Nke4zOD7lN5g%3d%3d&rt=2&let=8
169915,وسدید,گروه صنعتی سدید,صورت وضعیت پورتفوی دوره ۱ ماهه منتهی به ۱۳۹۳/۰۱/۳۱(اصلاحیه),ن-۳۱,۱۳۹۳/۰۴/۰۹ ۱۱:۳۴:۲۵,۱۳۹۳/۰۴/۰۹ ۱۱:۳۴:۲۵,/Reports/Decision.aspx?LetterSerial=BMQ5JARJDeJdEPIB1tYJeA%3d%3d&rt=2&let=8
169819,وسدید,گروه صنعتی سدید,صورت وضعیت پورتفوی دوره ۱ ماهه منتهی به ۱۳۹۳/۰۳/۳۱(اصلاحیه),ن-۳۱,۱۳۹۳/۰۴/۰۸ ۱۵:۵۶:۰۱,۱۳۹۳/۰۴/۰۸ ۱۵:۵۶:۰۱,/Reports/Decision.aspx?LetterSerial=90KJp%2fWvP0JOk7sc%2fxwJDw%3d%3d&rt=2&let=8
166748,وسدید,گروه صنعتی سدید,صورت وضعیت پورتفوی دوره ۱ ماهه منتهی به ۱۳۹۳/۰۳/۳۱,ن-۳۱,۱۳۹۳/۰۴/۰۳ ۱۰:۳۱:۱۸,۱۳۹۳/۰۴/۰۳ ۱۰:۳۱:۱۸,/Reports/Decision.aspx?LetterSerial=t%2fNjIZtOfVpAzvO%2fMemATw%3d%3d&rt=2&let=8
165970,وسدید,گروه صنعتی سدید,صورت وضعیت پورتفوی دوره ۱ ماهه منتهی به ۱۳۹۳/۰۱/۳۱(اصلاحیه),ن-۳۱,۱۳۹۳/۰۳/۱۲ ۱۳:۴۲:۳۷,۱۳۹۳/۰۳/۱۲ ۱۳:۴۲:۳۷,/Reports/Decision.aspx?LetterSerial=DPemKQRJKXLKI5%2fUdtFaEg%3d%3d&rt=2&let=8
165952,وسدید,گروه صنعتی سدید,صورت وضعیت پورتفوی دوره ۱ ماهه منتهی به ۱۳۹۲/۱۲/۲۹(اصلاحیه),ن-۳۱,۱۳۹۳/۰۳/۱۲ ۱۲:۴۸:۴۳,۱۳۹۳/۰۳/۱۲ ۱۲:۴۸:۴۳,/Reports/Decision.aspx?LetterSerial=gd2XiKtDbLhbruXRoyhtoQ%3d%3d&rt=2&let=8
165746,وسدید,گروه صنعتی سدید,صورت وضعیت پورتفوی دوره ۱ ماهه منتهی به ۱۳۹۲/۱۲/۲۹(اصلاحیه),ن-۳۱,۱۳۹۳/۰۳/۱۲ ۱۲:۲۱:۵۳,۱۳۹۳/۰۳/۱۲ ۱۲:۲۱:۵۳,/Reports/Decision.aspx?LetterSerial=dDPAX1NQBlluk%2bTrZNrTJg%3d%3d&rt=2&let=8
