TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1084872,وغدیر,سرمایه گذاری غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۶/۳۱,ن-۳۱,۱۴۰۲/۰۷/۰۱ ۱۰:۱۹:۲۷,۱۴۰۲/۰۷/۰۱ ۱۰:۱۹:۲۷,/Reports/Decision.aspx?LetterSerial=bA2i4hPQtqUQCsWJetncZA%3d%3d&rt=2&let=8&ct=0&ft=-1
1076575,وغدیر,سرمایه گذاری غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۱,۱۴۰۲/۰۶/۰۷ ۱۰:۵۶:۱۷,۱۴۰۲/۰۶/۰۷ ۱۰:۵۶:۱۷,/Reports/Decision.aspx?LetterSerial=zXDmOzP9obAOCRkvG2lbiA%3d%3d&rt=2&let=8&ct=0&ft=-1
1061834,وغدیر,سرمایه گذاری غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۱,۱۴۰۲/۰۵/۰۱ ۱۱:۱۶:۳۳,۱۴۰۲/۰۵/۰۱ ۱۱:۱۶:۳۳,/Reports/Decision.aspx?LetterSerial=yguxyt%2bEj3DU3%2bWs3KVFDw%3d%3d&rt=2&let=8&ct=0&ft=-1
1043711,وغدیر,سرمایه گذاری غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۱,۱۴۰۲/۰۴/۰۱ ۱۰:۳۰:۴۳,۱۴۰۲/۰۴/۰۱ ۱۰:۳۰:۴۳,/Reports/Decision.aspx?LetterSerial=DRCSo8VnKJ3xnkWzytheKg%3d%3d&rt=2&let=8&ct=0&ft=-1
1030522,وغدیر,سرمایه گذاری غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۱,۱۴۰۲/۰۳/۰۳ ۱۴:۲۶:۵۴,۱۴۰۲/۰۳/۰۳ ۱۴:۲۶:۵۴,/Reports/Decision.aspx?LetterSerial=QQQaQQQlT4Yz%2bNhEP%2bKhN4l5xo3w%3d%3d&rt=2&let=8&ct=0&ft=-1
1015936,وغدیر,سرمایه گذاری غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۱,۱۴۰۲/۰۲/۰۶ ۰۹:۳۳:۲۵,۱۴۰۲/۰۲/۰۶ ۰۹:۳۳:۲۵,/Reports/Decision.aspx?LetterSerial=MX1PcyWyXlKOY0DqGEaajQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1006163,وغدیر,سرمایه گذاری غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۱,۱۴۰۲/۰۱/۰۶ ۰۹:۰۹:۵۷,۱۴۰۲/۰۱/۰۶ ۰۹:۰۹:۵۷,/Reports/Decision.aspx?LetterSerial=9Cli%2bm7dk5RL16UfWOLauw%3d%3d&rt=2&let=8&ct=0&ft=-1
996694,وغدیر,سرمایه گذاری غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۱,۱۴۰۱/۱۲/۰۶ ۱۲:۵۸:۵۷,۱۴۰۱/۱۲/۰۶ ۱۲:۵۸:۵۷,/Reports/Decision.aspx?LetterSerial=6%2bPNIVEcb2l0mlO3r7NCJw%3d%3d&rt=2&let=8&ct=0&ft=-1
985164,وغدیر,سرمایه گذاری غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۱,۱۴۰۱/۱۱/۰۱ ۱۶:۰۷:۱۴,۱۴۰۱/۱۱/۰۱ ۱۶:۰۷:۱۴,/Reports/Decision.aspx?LetterSerial=jpOp6rtKltkYK4HPFkJ0Gw%3d%3d&rt=2&let=8&ct=0&ft=-1
975722,وغدیر,سرمایه گذاری غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۱,۱۴۰۱/۱۰/۰۷ ۱۶:۰۸:۲۲,۱۴۰۱/۱۰/۰۷ ۱۶:۰۸:۲۲,/Reports/Decision.aspx?LetterSerial=dofuQQQaQQQzn1aj6JrAVljASlVA%3d%3d&rt=2&let=8&ct=0&ft=-1
961524,وغدیر,سرمایه گذاری غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۱,۱۴۰۱/۰۹/۰۱ ۰۹:۴۹:۴۵,۱۴۰۱/۰۹/۰۱ ۰۹:۴۹:۴۵,/Reports/Decision.aspx?LetterSerial=5dXmWwSicrfOzVmfvKd6Fg%3d%3d&rt=2&let=8&ct=0&ft=-1
949991,وغدیر,سرمایه گذاری غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۱,۱۴۰۱/۰۸/۰۳ ۰۸:۴۲:۵۸,۱۴۰۱/۰۸/۰۳ ۰۸:۴۲:۵۸,/Reports/Decision.aspx?LetterSerial=wSXWoVtiWKlQQQaQQQNlp5ZYqTtg%3d%3d&rt=2&let=8&ct=0&ft=-1
940611,وغدیر,سرمایه گذاری غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۱,۱۴۰۱/۰۷/۰۲ ۱۱:۰۱:۵۱,۱۴۰۱/۰۷/۰۲ ۱۱:۰۱:۵۱,/Reports/Decision.aspx?LetterSerial=YFagBeApHWVJrReBhF2ASA%3d%3d&rt=2&let=8&ct=0&ft=-1
930180,وغدیر,سرمایه گذاری غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۱,۱۴۰۱/۰۶/۰۶ ۰۸:۳۲:۴۴,۱۴۰۱/۰۶/۰۶ ۰۸:۳۲:۴۴,/Reports/Decision.aspx?LetterSerial=QQQaQQQFcPd2denZ%2bpp4gB3zVhNg%3d%3d&rt=2&let=8&ct=0&ft=-1
918500,وغدیر,سرمایه گذاری غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۱,۱۴۰۱/۰۵/۰۴ ۱۲:۱۰:۴۷,۱۴۰۱/۰۵/۰۴ ۱۲:۱۰:۴۷,/Reports/Decision.aspx?LetterSerial=eu9%2bNZIJkAA2oHFc8xOUFg%3d%3d&rt=2&let=8&ct=0&ft=-1
902283,وغدیر,سرمایه گذاری غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۱,۱۴۰۱/۰۴/۰۶ ۱۸:۳۲:۴۷,۱۴۰۱/۰۴/۰۶ ۱۸:۳۲:۴۷,/Reports/Decision.aspx?LetterSerial=fG4VBoPstbadEZ%2b8bk1RbA%3d%3d&rt=2&let=8&ct=0&ft=-1
886824,وغدیر,سرمایه گذاری غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۱,۱۴۰۱/۰۳/۰۳ ۱۳:۱۳:۲۳,۱۴۰۱/۰۳/۰۳ ۱۳:۱۳:۲۳,/Reports/Decision.aspx?LetterSerial=tqfp6n2LeFULPPY49gW0vw%3d%3d&rt=2&let=8&ct=0&ft=-1
874979,وغدیر,سرمایه گذاری غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۱,۱۴۰۱/۰۲/۰۶ ۱۰:۲۸:۵۹,۱۴۰۱/۰۲/۰۶ ۱۰:۲۸:۵۹,/Reports/Decision.aspx?LetterSerial=MkaZCtmvrh%2BTO4Nt%2B9B59A%3D%3D&rt=2&let=8&ct=0&ft=-1
865162,وغدیر,سرمایه گذاری غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۱,۱۴۰۱/۰۱/۰۸ ۱۳:۴۰:۵۳,۱۴۰۱/۰۱/۰۸ ۱۳:۴۰:۵۳,/Reports/Decision.aspx?LetterSerial=yQDYKnfVx7YEHLwFMFVVJg%3D%3D&rt=2&let=8&ct=0&ft=-1
857466,وغدیر,سرمایه گذاری غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰,ن-۳۱,۱۴۰۰/۱۲/۰۶ ۱۵:۱۱:۱۸,۱۴۰۰/۱۲/۰۶ ۱۵:۱۱:۱۸,/Reports/Decision.aspx?LetterSerial=jMQQQQaQQQWUzuF0MJdrBSpuhV9A%3D%3D&rt=2&let=8&ct=0&ft=-1
848166,وغدیر,سرمایه گذاری غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰(اصلاحیه),ن-۳۱,۱۴۰۰/۱۱/۰۵ ۱۵:۲۳:۴۱,۱۴۰۰/۱۱/۰۵ ۱۵:۲۳:۴۱,/Reports/Decision.aspx?LetterSerial=QQQaQQQGklkYqST6JbR9Ad4%2ByWHw%3D%3D&rt=2&let=8&ct=0&ft=-1
847922,وغدیر,سرمایه گذاری غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰,ن-۳۱,۱۴۰۰/۱۱/۰۵ ۱۲:۳۹:۴۶,۱۴۰۰/۱۱/۰۵ ۱۲:۳۹:۴۶,/Reports/Decision.aspx?LetterSerial=Dn1mx5Z1J8ZhrynBRCwSVg%3D%3D&rt=2&let=8&ct=0&ft=-1
835117,وغدیر,سرمایه گذاری غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۹/۳۰,ن-۳۱,۱۴۰۰/۱۰/۰۶ ۱۳:۲۵:۰۰,۱۴۰۰/۱۰/۰۶ ۱۳:۲۵:۰۰,/Reports/Decision.aspx?LetterSerial=RjMJMBa1v9YTxPBwoyQg5Q%3D%3D&rt=2&let=8&ct=0&ft=-1
