TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074058,وفتخار,سرمایه گذاری افتخار سهام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۱,۱۴۰۲/۰۶/۰۶ ۱۴:۵۴:۵۴,۱۴۰۲/۰۶/۰۶ ۱۴:۵۴:۵۴,/Reports/Decision.aspx?LetterSerial=zfrcTbvafkAmD4zYQQQaQQQTHEQQQaQQQQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1074283,وفتخار,سرمایه گذاری افتخار سهام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱(اصلاحیه),ن-۳۱,۱۴۰۲/۰۶/۰۵ ۱۰:۲۹:۴۹,۱۴۰۲/۰۶/۰۵ ۱۰:۲۹:۴۹,/Reports/Decision.aspx?LetterSerial=G5frShJZ0aztCiF8n1AwqA%3d%3d&rt=2&let=8&ct=0&ft=-1
1062419,وفتخار,سرمایه گذاری افتخار سهام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۱,۱۴۰۲/۰۵/۰۴ ۲۱:۵۲:۲۴,۱۴۰۲/۰۵/۰۴ ۲۱:۵۲:۲۴,/Reports/Decision.aspx?LetterSerial=2inZH3stPrER9MYAITRAbQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1044150,وفتخار,سرمایه گذاری افتخار سهام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۱,۱۴۰۲/۰۴/۰۷ ۱۷:۰۷:۰۱,۱۴۰۲/۰۴/۰۷ ۱۷:۰۷:۰۱,/Reports/Decision.aspx?LetterSerial=hjxNsZJ4SRQiww1uNL05QQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1030386,وفتخار,سرمایه گذاری افتخار سهام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۱,۱۴۰۲/۰۳/۰۷ ۱۵:۲۳:۲۶,۱۴۰۲/۰۳/۰۷ ۱۵:۲۳:۲۶,/Reports/Decision.aspx?LetterSerial=5K4rX1EFG6GhzeDQa3rgfA%3d%3d&rt=2&let=8&ct=0&ft=-1
1015942,وفتخار,سرمایه گذاری افتخار سهام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۱,۱۴۰۲/۰۲/۰۵ ۱۳:۱۲:۰۸,۱۴۰۲/۰۲/۰۵ ۱۳:۱۲:۰۸,/Reports/Decision.aspx?LetterSerial=f0tnr87HsGWzTR8Gxl3ZqQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1009059,وفتخار,سرمایه گذاری افتخار سهام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۱,۱۴۰۲/۰۱/۰۹ ۱۷:۴۷:۵۳,۱۴۰۲/۰۱/۰۹ ۱۷:۴۷:۵۳,/Reports/Decision.aspx?LetterSerial=Mdp32L02QWaAgTj5rJSXzQ%3d%3d&rt=2&let=8&ct=0&ft=-1
995859,وفتخار,سرمایه گذاری افتخار سهام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۱,۱۴۰۱/۱۲/۰۳ ۱۴:۰۹:۱۹,۱۴۰۱/۱۲/۰۳ ۱۴:۰۹:۱۹,/Reports/Decision.aspx?LetterSerial=do%2bpyx0FFXO1vImwOJKwPA%3d%3d&rt=2&let=8&ct=0&ft=-1
985108,وفتخار,سرمایه گذاری افتخار سهام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۱,۱۴۰۱/۱۱/۰۲ ۱۴:۱۴:۰۰,۱۴۰۱/۱۱/۰۲ ۱۴:۱۴:۰۰,/Reports/Decision.aspx?LetterSerial=n0l6CtOlrVG0WpqZH5WtQg%3d%3d&rt=2&let=8&ct=0&ft=-1
974638,وفتخار,سرمایه گذاری افتخار سهام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۱,۱۴۰۱/۱۰/۰۴ ۱۵:۱۸:۲۱,۱۴۰۱/۱۰/۰۴ ۱۵:۱۸:۲۱,/Reports/Decision.aspx?LetterSerial=wdC2TtbYeDQ5Ay7vZXhAyA%3d%3d&rt=2&let=8&ct=0&ft=-1
968281,وفتخار,سرمایه گذاری افتخار سهام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),ن-۳۱,۱۴۰۱/۰۹/۱۵ ۱۱:۵۸:۴۳,۱۴۰۱/۰۹/۱۵ ۱۱:۵۸:۴۳,/Reports/Decision.aspx?LetterSerial=rNBsjClgk3zEQQQaQQQP68AFrCSg%3d%3d&rt=2&let=8&ct=0&ft=-1
962129,وفتخار,سرمایه گذاری افتخار سهام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۱,۱۴۰۱/۰۹/۰۲ ۱۲:۳۹:۴۶,۱۴۰۱/۰۹/۰۲ ۱۲:۳۹:۴۶,/Reports/Decision.aspx?LetterSerial=fNxBWYH6neff4M%2bO0ykstA%3d%3d&rt=2&let=8&ct=0&ft=-1
953944,وفتخار,سرمایه گذاری افتخار سهام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۱,۱۴۰۱/۰۸/۱۵ ۱۱:۵۰:۰۷,۱۴۰۱/۰۸/۱۵ ۱۱:۵۰:۰۷,/Reports/Decision.aspx?LetterSerial=vYescQIYCzTBwZpwZqLqpg%3d%3d&rt=2&let=8&ct=0&ft=-1
951089,وفتخار,سرمایه گذاری افتخار سهام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۱,۱۴۰۱/۰۸/۰۴ ۱۲:۴۷:۰۸,۱۴۰۱/۰۸/۰۴ ۱۲:۴۷:۰۸,/Reports/Decision.aspx?LetterSerial=QQQaQQQFMoZyKu3kB2q2dD7QS84A%3d%3d&rt=2&let=8&ct=0&ft=-1
941144,وفتخار,سرمایه گذاری افتخار سهام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۱,۱۴۰۱/۰۷/۰۴ ۱۲:۴۹:۵۳,۱۴۰۱/۰۷/۰۴ ۱۲:۴۹:۵۳,/Reports/Decision.aspx?LetterSerial=u6EPqtQQQaQQQvYD3Z6L5hNUJ2aw%3d%3d&rt=2&let=8&ct=0&ft=-1
927950,وفتخار,سرمایه گذاری افتخار سهام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۱,۱۴۰۱/۰۶/۰۶ ۱۳:۲۹:۱۰,۱۴۰۱/۰۶/۰۶ ۱۳:۲۹:۱۰,/Reports/Decision.aspx?LetterSerial=BocSzWk%2biVs4%2bc6%2bIHQQQaQQQsHQ%3d%3d&rt=2&let=8&ct=0&ft=-1
916621,وفتخار,سرمایه گذاری افتخار سهام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۱,۱۴۰۱/۰۵/۰۳ ۰۹:۳۳:۴۴,۱۴۰۱/۰۵/۰۳ ۰۹:۳۳:۴۴,/Reports/Decision.aspx?LetterSerial=3QQOChZMGgQQQaQQQvJvhFpUe0dQ%3d%3d&rt=2&let=8&ct=0&ft=-1
901008,وفتخار,سرمایه گذاری افتخار سهام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۱,۱۴۰۱/۰۴/۰۴ ۰۹:۴۰:۳۹,۱۴۰۱/۰۴/۰۴ ۰۹:۴۰:۳۹,/Reports/Decision.aspx?LetterSerial=ZtL0r4WPFyyfFEfdVQQQaQQQFKsg%3d%3d&rt=2&let=8&ct=0&ft=-1
885295,وفتخار,سرمایه گذاری افتخار سهام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۱,۱۴۰۱/۰۳/۰۷ ۱۱:۳۴:۵۹,۱۴۰۱/۰۳/۰۷ ۱۱:۳۴:۵۹,/Reports/Decision.aspx?LetterSerial=nzNq6Jesh9c3Qjd0jUQQQaQQQCKg%3d%3d&rt=2&let=8&ct=0&ft=-1
875499,وفتخار,سرمایه گذاری افتخار سهام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۱,۱۴۰۱/۰۲/۰۷ ۰۹:۲۱:۰۰,۱۴۰۱/۰۲/۰۷ ۰۹:۲۱:۰۰,/Reports/Decision.aspx?LetterSerial=CqtdprmWFpRTRz6sjkesvg%3D%3D&rt=2&let=8&ct=0&ft=-1
864674,وفتخار,سرمایه گذاری افتخار سهام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۱,۱۴۰۱/۰۱/۰۶ ۱۲:۲۱:۲۸,۱۴۰۱/۰۱/۰۶ ۱۲:۲۱:۲۸,/Reports/Decision.aspx?LetterSerial=%2BSBeGmQ%2BLAFcV3YFYq0ANQ%3D%3D&rt=2&let=8&ct=0&ft=-1
855234,وفتخار,سرمایه گذاری افتخار سهام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰,ن-۳۱,۱۴۰۰/۱۲/۰۳ ۱۱:۴۴:۴۶,۱۴۰۰/۱۲/۰۳ ۱۱:۴۴:۴۶,/Reports/Decision.aspx?LetterSerial=CNCweEhDQQQaQQQi4EJyQQQaQQQGtyKEPw%3D%3D&rt=2&let=8&ct=0&ft=-1
845075,وفتخار,سرمایه گذاری افتخار سهام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰,ن-۳۱,۱۴۰۰/۱۱/۰۲ ۱۱:۴۵:۴۸,۱۴۰۰/۱۱/۰۲ ۱۱:۴۵:۴۸,/Reports/Decision.aspx?LetterSerial=v4U3Ee1%2B4oL%2BebCurcHy7g%3D%3D&rt=2&let=8&ct=0&ft=-1
834038,وفتخار,سرمایه گذاری افتخار سهام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۹/۳۰,ن-۳۱,۱۴۰۰/۱۰/۰۱ ۱۲:۲۲:۴۵,۱۴۰۰/۱۰/۰۱ ۱۲:۲۲:۴۵,/Reports/Decision.aspx?LetterSerial=NSALyCLIQC0L2vE4QQQaQQQUk9hg%3D%3D&rt=2&let=8&ct=0&ft=-1
820573,وفتخار,سرمایه گذاری افتخار سهام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۸/۳۰,ن-۳۱,۱۴۰۰/۰۹/۰۲ ۱۰:۱۱:۴۹,۱۴۰۰/۰۹/۰۲ ۱۰:۱۱:۴۹,/Reports/Decision.aspx?LetterSerial=0hSCKBjEih2LXGfTn3Ft6A%3D%3D&rt=2&let=8&ct=0&ft=-1
809611,وفتخار,سرمایه گذاری افتخار سهام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۷/۳۰,ن-۳۱,۱۴۰۰/۰۸/۰۳ ۱۴:۵۶:۴۴,۱۴۰۰/۰۸/۰۳ ۱۴:۵۶:۴۴,/Reports/Decision.aspx?LetterSerial=RHx%2B2WTAqJKSimSpv65j2A%3D%3D&rt=2&let=8&ct=0&ft=-1
798906,وفتخار,سرمایه گذاری افتخار سهام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۶/۳۱,ن-۳۱,۱۴۰۰/۰۷/۰۳ ۱۴:۰۱:۱۹,۱۴۰۰/۰۷/۰۳ ۱۴:۰۱:۱۹,/Reports/Decision.aspx?LetterSerial=7qrAY0Ow%2BMQQQaQQQ2C5GF626YBg%3D%3D&rt=2&let=8&ct=0&ft=-1
784639,وفتخار,سرمایه گذاری افتخار سهام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۵/۳۱,ن-۳۱,۱۴۰۰/۰۶/۰۱ ۱۴:۲۲:۴۰,۱۴۰۰/۰۶/۰۱ ۱۴:۲۲:۴۰,/Reports/Decision.aspx?LetterSerial=QQQaQQQ7N4Tvwh1hXq1QQQaQQQOYU3cSSg%3D%3D&rt=2&let=8&ct=0&ft=-1
776613,وفتخار,سرمایه گذاری افتخار سهام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۴/۳۱,ن-۳۱,۱۴۰۰/۰۵/۰۵ ۱۶:۵۲:۲۴,۱۴۰۰/۰۵/۰۵ ۱۶:۵۲:۲۴,/Reports/Decision.aspx?LetterSerial=zLJyC9iSHBrY0EiFHk9vfw%3D%3D&rt=2&let=8&ct=0&ft=-1
