TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
786451,ولراز,لیزینگ رازی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۵/۳۱,ن-۳۰,۱۴۰۰/۰۶/۰۶ ۱۳:۵۲:۱۳,۱۴۰۰/۰۶/۰۶ ۱۳:۵۲:۱۳,/Reports/Decision.aspx?LetterSerial=xpMVQQQaQQQMka6jpo0c1MlazTUg%3D%3D&rt=4&let=58&ct=0&ft=-1
780130,ولراز,لیزینگ رازی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۴/۳۱,ن-۳۰,۱۴۰۰/۰۵/۱۲ ۱۴:۲۲:۵۴,۱۴۰۰/۰۵/۱۲ ۱۴:۲۲:۵۴,/Reports/Decision.aspx?LetterSerial=hQbB4F6QQQaQQQxrQ%2BcQ5qRGUs6Q%3D%3D&rt=4&let=58&ct=0&ft=-1
763753,ولراز,لیزینگ رازی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۰/۰۴/۰۷ ۱۰:۵۴:۰۶,۱۴۰۰/۰۴/۰۷ ۱۰:۵۴:۰۶,/Reports/Decision.aspx?LetterSerial=sBQMgCuaowNH%2BRR5gWLvvQ%3D%3D&rt=4&let=58&ct=0&ft=-1
762386,ولراز,لیزینگ رازی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۳/۳۱,ن-۳۰,۱۴۰۰/۰۴/۰۶ ۱۱:۲۸:۱۶,۱۴۰۰/۰۴/۰۶ ۱۱:۲۸:۱۶,/Reports/Decision.aspx?LetterSerial=blqcGG7BHEd%2BA1h6klf57w%3D%3D&rt=4&let=58&ct=0&ft=-1
751429,ولراز,لیزینگ رازی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۲/۳۱,ن-۳۰,۱۴۰۰/۰۳/۰۵ ۱۳:۳۱:۰۱,۱۴۰۰/۰۳/۰۵ ۱۳:۳۱:۰۱,/Reports/Decision.aspx?LetterSerial=P7tpFczRjbYqqjKyG0kJzQ%3D%3D&rt=4&let=58&ct=0&ft=-1
740262,ولراز,لیزینگ رازی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۱/۳۱,ن-۳۰,۱۴۰۰/۰۲/۰۵ ۱۲:۲۱:۲۱,۱۴۰۰/۰۲/۰۵ ۱۲:۲۱:۲۱,/Reports/Decision.aspx?LetterSerial=gJyqIYTDRFtuPQLynxM9mg%3D%3D&rt=4&let=58&ct=0&ft=-1
734390,ولراز,لیزینگ رازی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۲/۳۰,ن-۳۰,۱۴۰۰/۰۱/۱۷ ۱۵:۴۲:۴۹,۱۴۰۰/۰۱/۱۷ ۱۵:۴۲:۴۹,/Reports/Decision.aspx?LetterSerial=3s307QQQaQQQafY7mD5ZFcaLsSlQ%3D%3D&rt=4&let=58&ct=0&ft=-1
724397,ولراز,لیزینگ رازی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۱/۳۰,ن-۳۰,۱۳۹۹/۱۲/۰۴ ۱۱:۱۹:۵۷,۱۳۹۹/۱۲/۰۴ ۱۱:۱۹:۵۷,/Reports/Decision.aspx?LetterSerial=7GYUOsUQiHXZyQQQaQQQaxcb4aEA%3D%3D&rt=4&let=58&ct=0&ft=-1
715443,ولراز,لیزینگ رازی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۰/۳۰,ن-۳۰,۱۳۹۹/۱۱/۰۴ ۱۲:۲۵:۵۹,۱۳۹۹/۱۱/۰۴ ۱۲:۲۵:۵۹,/Reports/Decision.aspx?LetterSerial=njwWfyIN7PnL0tk6qDqOjQ%3D%3D&rt=4&let=58&ct=0&ft=-1
705888,ولراز,لیزینگ رازی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۹/۳۰,ن-۳۰,۱۳۹۹/۱۰/۰۴ ۱۳:۰۹:۴۱,۱۳۹۹/۱۰/۰۴ ۱۳:۰۹:۴۱,/Reports/Decision.aspx?LetterSerial=QH%2BQQQaQQQqSY09lMCl4UsfGr8hw%3D%3D&rt=4&let=58&ct=0&ft=-1
