TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
845187,ولقمان,سرمایه گذاری لقمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰,ن-۳۱,۱۴۰۰/۱۱/۰۲ ۱۲:۳۷:۵۷,۱۴۰۰/۱۱/۰۲ ۱۲:۳۷:۵۷,/Reports/Decision.aspx?LetterSerial=F3VG4k%2Bn7DVrSfODr%2BHfMg%3D%3D&rt=2&let=8&ct=0&ft=-1
834372,ولقمان,سرمایه گذاری لقمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۹/۳۰,ن-۳۱,۱۴۰۰/۱۰/۰۴ ۱۸:۱۰:۳۶,۱۴۰۰/۱۰/۰۴ ۱۸:۱۰:۳۶,/Reports/Decision.aspx?LetterSerial=RBtwTTqSvXyPpEH1WFLUEA%3D%3D&rt=2&let=8&ct=0&ft=-1
820521,ولقمان,سرمایه گذاری لقمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۸/۳۰,ن-۳۱,۱۴۰۰/۰۹/۰۲ ۱۲:۱۸:۱۱,۱۴۰۰/۰۹/۰۲ ۱۲:۱۸:۱۱,/Reports/Decision.aspx?LetterSerial=s5PBQQQaQQQuj1JxTedA8WwEDF%2Bw%3D%3D&rt=2&let=8&ct=0&ft=-1
809539,ولقمان,سرمایه گذاری لقمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۷/۳۰,ن-۳۱,۱۴۰۰/۰۸/۰۳ ۱۳:۵۹:۳۹,۱۴۰۰/۰۸/۰۳ ۱۳:۵۹:۳۹,/Reports/Decision.aspx?LetterSerial=Y2UxUtY3Bd9%2BGLjF%2BSbL8g%3D%3D&rt=2&let=8&ct=0&ft=-1
798679,ولقمان,سرمایه گذاری لقمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۶/۳۱,ن-۳۱,۱۴۰۰/۰۷/۰۳ ۱۱:۲۵:۴۹,۱۴۰۰/۰۷/۰۳ ۱۱:۲۵:۴۹,/Reports/Decision.aspx?LetterSerial=MsLs4PuwObSWPJUFxTU6iA%3D%3D&rt=2&let=8&ct=0&ft=-1
785123,ولقمان,سرمایه گذاری لقمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۵/۳۱,ن-۳۱,۱۴۰۰/۰۶/۰۲ ۱۶:۳۲:۲۵,۱۴۰۰/۰۶/۰۲ ۱۶:۳۲:۲۵,/Reports/Decision.aspx?LetterSerial=v8EiiwyGMHrNG4vunioMpg%3D%3D&rt=2&let=8&ct=0&ft=-1
776004,ولقمان,سرمایه گذاری لقمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۴/۳۱,ن-۳۱,۱۴۰۰/۰۵/۰۳ ۱۳:۲۷:۰۴,۱۴۰۰/۰۵/۰۳ ۱۳:۲۷:۰۴,/Reports/Decision.aspx?LetterSerial=FF%2BN9go1yZfReiQQQaQQQ7FcyxIQ%3D%3D&rt=2&let=8&ct=0&ft=-1
761151,ولقمان,سرمایه گذاری لقمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۳/۳۱,ن-۳۱,۱۴۰۰/۰۴/۰۱ ۲۰:۰۶:۵۰,۱۴۰۰/۰۴/۰۱ ۲۰:۰۶:۵۰,/Reports/Decision.aspx?LetterSerial=dJDx0Sgx8qUKU1CureO3PA%3D%3D&rt=2&let=8&ct=0&ft=-1
750310,ولقمان,سرمایه گذاری لقمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۲/۳۱,ن-۳۱,۱۴۰۰/۰۳/۰۳ ۱۶:۵۷:۲۹,۱۴۰۰/۰۳/۰۳ ۱۶:۵۷:۲۹,/Reports/Decision.aspx?LetterSerial=UstGr8iWhltT33eYRuo9eQ%3D%3D&rt=2&let=8&ct=0&ft=-1
738787,ولقمان,سرمایه گذاری لقمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۱/۳۱,ن-۳۱,۱۴۰۰/۰۲/۰۱ ۱۶:۵۰:۴۵,۱۴۰۰/۰۲/۰۱ ۱۶:۵۰:۴۵,/Reports/Decision.aspx?LetterSerial=%2BqB7NzXoYk4UkrQQQaQQQQfOMWkw%3D%3D&rt=2&let=8&ct=0&ft=-1
731219,ولقمان,سرمایه گذاری لقمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۲/۳۰,ن-۳۱,۱۳۹۹/۱۲/۲۷ ۱۷:۲۲:۳۷,۱۳۹۹/۱۲/۲۷ ۱۷:۲۲:۳۷,/Reports/Decision.aspx?LetterSerial=kcMneU%2BwtNqz8n6T6GmUnw%3D%3D&rt=2&let=8&ct=0&ft=-1
723636,ولقمان,سرمایه گذاری لقمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۱/۳۰,ن-۳۱,۱۳۹۹/۱۲/۰۲ ۱۷:۵۵:۴۸,۱۳۹۹/۱۲/۰۲ ۱۷:۵۵:۴۸,/Reports/Decision.aspx?LetterSerial=y4TjXgMyQgLOLFkL2ZQQQaQQQ%2BMw%3D%3D&rt=2&let=8&ct=0&ft=-1
714872,ولقمان,سرمایه گذاری لقمان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۰/۳۰,ن-۳۱,۱۳۹۹/۱۱/۰۱ ۱۸:۴۰:۴۰,۱۳۹۹/۱۱/۰۱ ۱۸:۴۰:۴۰,/Reports/Decision.aspx?LetterSerial=7lcxG80YShJCOay3LGx0eA%3D%3D&rt=2&let=8&ct=0&ft=-1
