TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1072865,وملی,سرمایه گذاری گروه صنعتی ملی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۱,۱۴۰۲/۰۵/۳۱ ۱۵:۴۳:۴۹,۱۴۰۲/۰۵/۳۱ ۱۵:۴۳:۴۹,/Reports/Decision.aspx?LetterSerial=Ue3I9vveR0I9jOceFhMPJA%3d%3d&rt=2&let=8&ct=0&ft=-1
1059648,وملی,سرمایه گذاری گروه صنعتی ملی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۱,۱۴۰۲/۰۴/۳۱ ۱۲:۰۹:۱۶,۱۴۰۲/۰۴/۳۱ ۱۲:۰۹:۱۶,/Reports/Decision.aspx?LetterSerial=BA3T1crbP6n1RDiAfwVVIA%3d%3d&rt=2&let=8&ct=0&ft=-1
1043355,وملی,سرمایه گذاری گروه صنعتی ملی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۱,۱۴۰۲/۰۳/۳۱ ۱۳:۳۷:۵۱,۱۴۰۲/۰۳/۳۱ ۱۳:۳۷:۵۱,/Reports/Decision.aspx?LetterSerial=gDYu5p4iLHrMroJJS51zDw%3d%3d&rt=2&let=8&ct=0&ft=-1
1028426,وملی,سرمایه گذاری گروه صنعتی ملی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۱,۱۴۰۲/۰۲/۳۱ ۱۲:۴۲:۵۰,۱۴۰۲/۰۲/۳۱ ۱۲:۴۲:۵۰,/Reports/Decision.aspx?LetterSerial=37TMYJS%2b8rRnW6QQQaQQQGCRTQRQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1015882,وملی,سرمایه گذاری گروه صنعتی ملی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۱,۱۴۰۲/۰۲/۰۴ ۱۴:۳۹:۴۶,۱۴۰۲/۰۲/۰۴ ۱۴:۳۹:۴۶,/Reports/Decision.aspx?LetterSerial=T4M5KjSoH81a%2bsFfkB2MpA%3d%3d&rt=2&let=8&ct=0&ft=-1
1006298,وملی,سرمایه گذاری گروه صنعتی ملی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۱,۱۴۰۲/۰۲/۰۴ ۱۴:۳۴:۳۱,۱۴۰۲/۰۲/۰۴ ۱۴:۳۴:۳۱,/Reports/Decision.aspx?LetterSerial=3iOviW5mWL6B9pS6QQQaQQQX1uLA%3d%3d&rt=2&let=8&ct=0&ft=-1
994154,وملی,سرمایه گذاری گروه صنعتی ملی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۱,۱۴۰۲/۰۲/۰۴ ۱۴:۲۷:۴۵,۱۴۰۲/۰۲/۰۴ ۱۴:۲۷:۴۵,/Reports/Decision.aspx?LetterSerial=s7fvzytT5EdPBPEOaqL9eQ%3d%3d&rt=2&let=8&ct=0&ft=-1
984536,وملی,سرمایه گذاری گروه صنعتی ملی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۱,۱۴۰۲/۰۲/۰۴ ۱۴:۲۷:۰۰,۱۴۰۲/۰۲/۰۴ ۱۴:۲۷:۰۰,/Reports/Decision.aspx?LetterSerial=FK7ZIX94%2bYxMLUsts3yJyQ%3d%3d&rt=2&let=8&ct=0&ft=-1
973381,وملی,سرمایه گذاری گروه صنعتی ملی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۱,۱۴۰۱/۱۰/۰۳ ۰۸:۱۵:۴۰,۱۴۰۱/۱۰/۰۳ ۰۸:۱۵:۴۰,/Reports/Decision.aspx?LetterSerial=w7rQIKKHtY2Jad2UzAVm8w%3d%3d&rt=2&let=8&ct=0&ft=-1
960628,وملی,سرمایه گذاری گروه صنعتی ملی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۱,۱۴۰۱/۰۹/۰۱ ۰۸:۱۷:۴۱,۱۴۰۱/۰۹/۰۱ ۰۸:۱۷:۴۱,/Reports/Decision.aspx?LetterSerial=7lFJX5838E9aeeLBavDqmw%3d%3d&rt=2&let=8&ct=0&ft=-1
951260,وملی,سرمایه گذاری گروه صنعتی ملی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۱,۱۴۰۱/۰۸/۰۷ ۱۲:۱۲:۲۲,۱۴۰۱/۰۸/۰۷ ۱۲:۱۲:۲۲,/Reports/Decision.aspx?LetterSerial=bNf4cjY1zHhSViuzaumzjQ%3d%3d&rt=2&let=8&ct=0&ft=-1
944026,وملی,سرمایه گذاری گروه صنعتی ملی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۱,۱۴۰۱/۰۷/۳۰ ۰۷:۴۲:۲۵,۱۴۰۱/۰۷/۳۰ ۰۷:۴۲:۲۵,/Reports/Decision.aspx?LetterSerial=8kXaeNcFEcTRs9VxWVr%2bRQ%3d%3d&rt=2&let=8&ct=0&ft=-1
939631,وملی,سرمایه گذاری گروه صنعتی ملی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۱,۱۴۰۱/۰۶/۳۰ ۰۹:۱۶:۴۶,۱۴۰۱/۰۶/۳۰ ۰۹:۱۶:۴۶,/Reports/Decision.aspx?LetterSerial=07tfuFziF3ndzzI5MAVzWg%3d%3d&rt=2&let=8&ct=0&ft=-1
925923,وملی,سرمایه گذاری گروه صنعتی ملی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۱,۱۴۰۱/۰۵/۲۹ ۱۴:۵۵:۵۴,۱۴۰۱/۰۵/۲۹ ۱۴:۵۵:۵۴,/Reports/Decision.aspx?LetterSerial=qVv5xLxZQrKb7elqbcJ76w%3d%3d&rt=2&let=8&ct=0&ft=-1
