TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074233,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۶ ۱۳:۰۱:۰۴,۱۴۰۲/۰۶/۰۶ ۱۳:۰۱:۰۴,/Reports/Decision.aspx?LetterSerial=BwKpHJe7SpMdMkKXaBIZdA%3d%3d&rt=3&let=58&ct=0&ft=-1
1062220,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۲:۵۷:۵۳,۱۴۰۲/۰۵/۰۴ ۱۲:۵۷:۵۳,/Reports/Decision.aspx?LetterSerial=iXQQQaQQQFry962UqUUrQQQaQQQIOXagZg%3d%3d&rt=3&let=58&ct=0&ft=-1
1044976,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۴ ۰۹:۳۶:۳۳,۱۴۰۲/۰۴/۰۴ ۰۹:۳۶:۳۳,/Reports/Decision.aspx?LetterSerial=vWaZyCQuf9Eluy%2byGTyUVA%3d%3d&rt=3&let=58&ct=0&ft=-1
1029134,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۳ ۱۳:۲۳:۵۹,۱۴۰۲/۰۳/۰۳ ۱۳:۲۳:۵۹,/Reports/Decision.aspx?LetterSerial=mpwi1SLDLqFiL0zqi9ODjw%3d%3d&rt=3&let=58&ct=0&ft=-1
1017313,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۶ ۰۹:۵۰:۵۸,۱۴۰۲/۰۲/۰۶ ۰۹:۵۰:۵۸,/Reports/Decision.aspx?LetterSerial=Dwn8CxPykHQQQaQQQvC7ZNR2xIhA%3d%3d&rt=3&let=58&ct=0&ft=-1
1006596,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۷ ۱۱:۵۳:۵۳,۱۴۰۲/۰۱/۰۷ ۱۱:۵۳:۵۳,/Reports/Decision.aspx?LetterSerial=cGZABFc%2bX3hAcHTtz8EPUQ%3d%3d&rt=3&let=58&ct=0&ft=-1
995348,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۳ ۱۲:۳۱:۳۰,۱۴۰۱/۱۲/۰۳ ۱۲:۳۱:۳۰,/Reports/Decision.aspx?LetterSerial=x9MSCLAd5ZzclPHjUfg%2bbQ%3d%3d&rt=3&let=58&ct=0&ft=-1
985540,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۳:۰۲:۱۱,۱۴۰۱/۱۱/۰۵ ۱۳:۰۲:۱۱,/Reports/Decision.aspx?LetterSerial=u0eDiWHXqAjcDWQQQaQQQxYRgQsg%3d%3d&rt=3&let=58&ct=0&ft=-1
972508,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۴ ۱۴:۱۲:۴۶,۱۴۰۱/۱۰/۰۴ ۱۴:۱۲:۴۶,/Reports/Decision.aspx?LetterSerial=nXD9JcYUn9Z4NeEywu4gKA%3d%3d&rt=3&let=58&ct=0&ft=-1
961946,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۶ ۱۰:۰۱:۲۳,۱۴۰۱/۰۹/۰۶ ۱۰:۰۱:۲۳,/Reports/Decision.aspx?LetterSerial=k8Uin7cH15ofUwU44jYtMg%3d%3d&rt=3&let=58&ct=0&ft=-1
949835,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۴ ۱۲:۵۸:۴۰,۱۴۰۱/۰۸/۰۴ ۱۲:۵۸:۴۰,/Reports/Decision.aspx?LetterSerial=7ZXTn%2bvpQ2qYLBe8hofqNw%3d%3d&rt=3&let=58&ct=0&ft=-1
941066,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۴ ۱۵:۲۹:۲۶,۱۴۰۱/۰۷/۰۴ ۱۵:۲۹:۲۶,/Reports/Decision.aspx?LetterSerial=nfo5FuJIpRHhlbdZ9s91qg%3d%3d&rt=3&let=58&ct=0&ft=-1
928244,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۲ ۱۵:۰۷:۴۵,۱۴۰۱/۰۶/۰۲ ۱۵:۰۷:۴۵,/Reports/Decision.aspx?LetterSerial=wuuQABt6Ji44jG7Z8%2btiUA%3d%3d&rt=3&let=58&ct=0&ft=-1
917205,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۳ ۰۸:۰۷:۰۸,۱۴۰۱/۰۵/۰۳ ۰۸:۰۷:۰۸,/Reports/Decision.aspx?LetterSerial=U856FH0OV9P7zh7sOdVT4Q%3d%3d&rt=3&let=58&ct=0&ft=-1
901774,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۰,۱۴۰۱/۰۴/۰۵ ۱۳:۰۷:۳۰,۱۴۰۱/۰۴/۰۵ ۱۳:۰۷:۳۰,/Reports/Decision.aspx?LetterSerial=FlR8bqDX6aYyVdlfL8fgaw%3d%3d&rt=3&let=58&ct=0&ft=-1
885432,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۰,۱۴۰۱/۰۳/۰۴ ۱۳:۰۶:۵۷,۱۴۰۱/۰۳/۰۴ ۱۳:۰۶:۵۷,/Reports/Decision.aspx?LetterSerial=WP1LKt%2b7Whwiq2ZIl8gyIQ%3d%3d&rt=3&let=58&ct=0&ft=-1
875626,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۰,۱۴۰۱/۰۲/۰۷ ۱۱:۳۸:۴۸,۱۴۰۱/۰۲/۰۷ ۱۱:۳۸:۴۸,/Reports/Decision.aspx?LetterSerial=hEvR%2BodyUeof3QvPCeUJ9Q%3D%3D&rt=3&let=58&ct=0&ft=-1
864725,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۰,۱۴۰۱/۰۱/۰۸ ۱۰:۳۷:۴۸,۱۴۰۱/۰۱/۰۸ ۱۰:۳۷:۴۸,/Reports/Decision.aspx?LetterSerial=qr1zI9CQ2tC7co5mWFhPcA%3D%3D&rt=3&let=58&ct=0&ft=-1
855558,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰,ن-۳۰,۱۴۰۰/۱۲/۰۴ ۱۲:۳۷:۲۰,۱۴۰۰/۱۲/۰۴ ۱۲:۳۷:۲۰,/Reports/Decision.aspx?LetterSerial=0HHJe8dKPv3J1bjihSj3bg%3D%3D&rt=3&let=58&ct=0&ft=-1
845234,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰,ن-۳۰,۱۴۰۰/۱۱/۰۵ ۱۲:۴۷:۵۴,۱۴۰۰/۱۱/۰۵ ۱۲:۴۷:۵۴,/Reports/Decision.aspx?LetterSerial=Mt4W7VCMhm5KtNiOqQQQaQQQtPfg%3D%3D&rt=3&let=58&ct=0&ft=-1
834871,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۹/۳۰,ن-۳۰,۱۴۰۰/۱۰/۰۶ ۱۲:۵۷:۰۴,۱۴۰۰/۱۰/۰۶ ۱۲:۵۷:۰۴,/Reports/Decision.aspx?LetterSerial=7v1lJo8i8rEscq6yRNAQrA%3D%3D&rt=3&let=58&ct=0&ft=-1
821283,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۸/۳۰,ن-۳۰,۱۴۰۰/۰۹/۰۴ ۱۲:۰۷:۴۱,۱۴۰۰/۰۹/۰۴ ۱۲:۰۷:۴۱,/Reports/Decision.aspx?LetterSerial=Aoi6qE%2BI9mrSaty3yirOqA%3D%3D&rt=3&let=58&ct=0&ft=-1
809348,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۷/۳۰,ن-۳۰,۱۴۰۰/۰۸/۰۵ ۱۸:۲۱:۲۳,۱۴۰۰/۰۸/۰۵ ۱۸:۲۱:۲۳,/Reports/Decision.aspx?LetterSerial=oPFUCl6hOtw5xcXY4f0FeQ%3D%3D&rt=3&let=58&ct=0&ft=-1
800021,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۶/۳۱,ن-۳۰,۱۴۰۰/۰۷/۰۷ ۱۳:۰۵:۵۳,۱۴۰۰/۰۷/۰۷ ۱۳:۰۵:۵۳,/Reports/Decision.aspx?LetterSerial=6QQQaQQQ4O6L7vWLxoNc7PCIGoWg%3D%3D&rt=3&let=58&ct=0&ft=-1
785231,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۵/۳۱,ن-۳۰,۱۴۰۰/۰۶/۰۳ ۱۴:۱۵:۰۵,۱۴۰۰/۰۶/۰۳ ۱۴:۱۵:۰۵,/Reports/Decision.aspx?LetterSerial=NaA4lQwUc6sgnhbX9F9LMg%3D%3D&rt=3&let=58&ct=0&ft=-1
779062,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۴/۳۱,ن-۳۰,۱۴۰۰/۰۵/۱۰ ۱۳:۴۰:۳۰,۱۴۰۰/۰۵/۱۰ ۱۳:۴۰:۳۰,/Reports/Decision.aspx?LetterSerial=JX2yNCgkRxPBPfaF5rscXA%3D%3D&rt=3&let=58&ct=0&ft=-1
762276,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۳/۳۱,ن-۳۰,۱۴۰۰/۰۴/۰۸ ۱۴:۳۵:۳۷,۱۴۰۰/۰۴/۰۸ ۱۴:۳۵:۳۷,/Reports/Decision.aspx?LetterSerial=op0bZ45Z2%2BRQHMSPi0ldfg%3D%3D&rt=3&let=58&ct=0&ft=-1
751157,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۲/۳۱,ن-۳۰,۱۴۰۰/۰۳/۰۵ ۱۲:۵۱:۰۷,۱۴۰۰/۰۳/۰۵ ۱۲:۵۱:۰۷,/Reports/Decision.aspx?LetterSerial=ZjDFeI4YDMF1W%2BdGGUVQQQaQQQQg%3D%3D&rt=3&let=58&ct=0&ft=-1
739659,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۱/۳۱,ن-۳۰,۱۴۰۰/۰۲/۰۵ ۱۶:۰۱:۴۰,۱۴۰۰/۰۲/۰۵ ۱۶:۰۱:۴۰,/Reports/Decision.aspx?LetterSerial=%2Bz4LqKtluq%2Bs2uUVaz6ihA%3D%3D&rt=3&let=58&ct=0&ft=-1
732808,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۲/۳۰,ن-۳۰,۱۴۰۰/۰۱/۱۱ ۱۳:۰۸:۳۲,۱۴۰۰/۰۱/۱۱ ۱۳:۰۸:۳۲,/Reports/Decision.aspx?LetterSerial=7LGuGFRKL4zCmx3bkF%2BQQQaQQQFQ%3D%3D&rt=3&let=58&ct=0&ft=-1
724478,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۱/۳۰,ن-۳۰,۱۳۹۹/۱۲/۰۴ ۱۳:۰۵:۱۳,۱۳۹۹/۱۲/۰۴ ۱۳:۰۵:۱۳,/Reports/Decision.aspx?LetterSerial=aMPw2zQQQaQQQYo2oORy2scI1yiw%3D%3D&rt=3&let=58&ct=0&ft=-1
715733,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۰/۳۰,ن-۳۰,۱۳۹۹/۱۱/۰۶ ۱۲:۴۲:۵۶,۱۳۹۹/۱۱/۰۶ ۱۲:۴۲:۵۶,/Reports/Decision.aspx?LetterSerial=y8E1pFtH4dKulJ4Fj63PDQ%3D%3D&rt=3&let=58&ct=0&ft=-1
706246,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۹/۳۰,ن-۳۰,۱۳۹۹/۱۰/۰۷ ۱۲:۲۴:۵۲,۱۳۹۹/۱۰/۰۷ ۱۲:۲۴:۵۲,/Reports/Decision.aspx?LetterSerial=iSQWY2aQQQaQQQTfdzZyO9trnEhA%3D%3D&rt=3&let=58&ct=0&ft=-1
696751,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۸/۳۰,ن-۳۰,۱۳۹۹/۰۹/۰۵ ۱۳:۴۷:۵۸,۱۳۹۹/۰۹/۰۵ ۱۳:۴۷:۵۸,/Reports/Decision.aspx?LetterSerial=QQQaQQQSORgESour%2BEW1dmGJQhYg%3D%3D&rt=3&let=58&ct=0&ft=-1
686274,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۷/۳۰,ن-۳۰,۱۳۹۹/۰۸/۰۷ ۱۵:۵۱:۰۲,۱۳۹۹/۰۸/۰۷ ۱۵:۵۱:۰۲,/Reports/Decision.aspx?LetterSerial=nRbDDmfha6hV4Sw5bQ3lfQ%3D%3D&rt=3&let=58&ct=0&ft=-1
675740,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۶/۳۱,ن-۳۰,۱۳۹۹/۰۷/۰۷ ۱۱:۵۹:۴۵,۱۳۹۹/۰۷/۰۷ ۱۱:۵۹:۴۵,/Reports/Decision.aspx?LetterSerial=yHr65xDM0eISSOkdMMisPA%3D%3D&rt=3&let=58&ct=0&ft=-1
667269,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۵/۳۱,ن-۳۰,۱۳۹۹/۰۶/۰۴ ۱۳:۵۶:۱۸,۱۳۹۹/۰۶/۰۴ ۱۳:۵۶:۱۸,/Reports/Decision.aspx?LetterSerial=M8Im8v94TkEgXRJLCgQitw%3D%3D&rt=3&let=58&ct=0&ft=-1
657988,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۴/۳۱,ن-۳۰,۱۳۹۹/۰۵/۰۵ ۱۵:۵۵:۱۴,۱۳۹۹/۰۵/۰۵ ۱۵:۵۵:۱۴,/Reports/Decision.aspx?LetterSerial=SXC7TGwQQQaQQQjbiSkOT4JeNwjQ%3D%3D&rt=3&let=58&ct=0&ft=-1
644903,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۳/۳۱,ن-۳۰,۱۳۹۹/۰۴/۰۵ ۱۱:۲۴:۰۴,۱۳۹۹/۰۴/۰۵ ۱۱:۲۴:۰۴,/Reports/Decision.aspx?LetterSerial=ZDHDVAaOJu00PSwS9Foj3A%3D%3D&rt=3&let=58&ct=0&ft=-1
635865,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۲/۳۱,ن-۳۰,۱۳۹۹/۰۳/۰۳ ۱۳:۲۸:۲۵,۱۳۹۹/۰۳/۰۳ ۱۳:۲۸:۲۵,/Reports/Decision.aspx?LetterSerial=%2BVwjLDhSSowfRpoOUjGLkg%3D%3D&rt=3&let=58&ct=0&ft=-1
625618,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۱/۳۱,ن-۳۰,۱۳۹۹/۰۲/۰۳ ۱۴:۲۰:۴۸,۱۳۹۹/۰۲/۰۳ ۱۴:۲۰:۴۸,/Reports/Decision.aspx?LetterSerial=5ECllGySM0OIa7YOtaozmQ%3D%3D&rt=3&let=58&ct=0&ft=-1
617301,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۸/۱۲/۲۹,ن-۳۰,۱۳۹۹/۰۱/۰۹ ۱۱:۰۹:۱۶,۱۳۹۹/۰۱/۰۹ ۱۱:۰۹:۱۶,/Reports/Decision.aspx?LetterSerial=Q1PrjZG3zZBLHFJ3pgtn4w%3D%3D&rt=3&let=58&ct=0&ft=-1
610812,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۸/۱۱/۳۰,ن-۳۰,۱۳۹۸/۱۲/۰۵ ۱۵:۲۸:۰۳,۱۳۹۸/۱۲/۰۵ ۱۵:۲۸:۰۳,/Reports/Decision.aspx?LetterSerial=oRLrSZz%2B5qxOdB2z%2BPP%2BUQ%3D%3D&rt=3&let=58&ct=0&ft=-1
602991,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۸/۱۰/۳۰,ن-۳۰,۱۳۹۸/۱۱/۰۵ ۰۹:۱۳:۴۲,۱۳۹۸/۱۱/۰۵ ۰۹:۱۳:۴۲,/Reports/Decision.aspx?LetterSerial=0zLMQQQaQQQNkbhhuXwJGJPGyUcA%3D%3D&rt=3&let=58&ct=0&ft=-1
595672,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۸/۰۹/۳۰,ن-۳۰,۱۳۹۸/۱۰/۰۴ ۰۹:۰۷:۳۸,۱۳۹۸/۱۰/۰۴ ۰۹:۰۷:۳۸,/Reports/Decision.aspx?LetterSerial=MLPflYp8P4Gt0bIpn8g7Iw%3D%3D&rt=3&let=58&ct=0&ft=-1
586649,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۸/۰۸/۳۰,ن-۳۰,۱۳۹۸/۰۹/۰۵ ۱۱:۰۸:۵۳,۱۳۹۸/۰۹/۰۵ ۱۱:۰۸:۵۳,/Reports/Decision.aspx?LetterSerial=fEDteRsUYx7A5zvyjoDfvw%3D%3D&rt=3&let=58&ct=0&ft=-1
578871,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۸/۰۷/۳۰,ن-۳۰,۱۳۹۸/۰۸/۰۴ ۱۰:۰۲:۴۷,۱۳۹۸/۰۸/۰۴ ۱۰:۰۲:۴۷,/Reports/Decision.aspx?LetterSerial=KAx%2B7f2PdOn7xanK7ogRrA%3D%3D&rt=3&let=58&ct=0&ft=-1
572614,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۸/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۳۹۸/۰۷/۰۴ ۱۵:۲۱:۵۸,۱۳۹۸/۰۷/۰۴ ۱۵:۲۱:۵۸,/Reports/Decision.aspx?LetterSerial=buXnClKHHcbALvD1BHrzJA%3D%3D&rt=3&let=58&ct=0&ft=-1
572360,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۸/۰۶/۳۱,ن-۳۰,۱۳۹۸/۰۷/۰۴ ۱۳:۳۲:۱۸,۱۳۹۸/۰۷/۰۴ ۱۳:۳۲:۱۸,/Reports/Decision.aspx?LetterSerial=WH581wks4jLwOMDOJkmWag%3D%3D&rt=3&let=58&ct=0&ft=-1
566012,وپارس,بانک پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۸/۰۵/۳۱,ن-۳۰,۱۳۹۸/۰۶/۰۵ ۰۸:۳۳:۱۹,۱۳۹۸/۰۶/۰۵ ۰۸:۳۳:۱۹,/Reports/Decision.aspx?LetterSerial=s9ZCvzvcACPI8Bh4KeSL9A%3D%3D&rt=3&let=58&ct=0&ft=-1
