TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074302,وپخش,هلدینگ داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۱,۱۴۰۲/۰۶/۰۴ ۱۳:۳۳:۲۴,۱۴۰۲/۰۶/۰۴ ۱۳:۳۳:۲۴,/Reports/Decision.aspx?LetterSerial=C11vorqQhg%2bkK6qcFUn3qw%3d%3d&rt=2&let=8&ct=0&ft=-1
1064807,وپخش,هلدینگ داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۱,۱۴۰۲/۰۵/۰۷ ۱۳:۱۰:۱۸,۱۴۰۲/۰۵/۰۷ ۱۳:۱۰:۱۸,/Reports/Decision.aspx?LetterSerial=QQQaQQQ37DFK2ZWSdvMmvzphooaQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1045818,وپخش,هلدینگ داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۱,۱۴۰۲/۰۴/۰۵ ۱۲:۰۹:۵۰,۱۴۰۲/۰۴/۰۵ ۱۲:۰۹:۵۰,/Reports/Decision.aspx?LetterSerial=Ajjzb2bAtdukD2UrduL%2b9A%3d%3d&rt=2&let=8&ct=0&ft=-1
1031681,وپخش,هلدینگ داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۱,۱۴۰۲/۰۳/۰۶ ۱۷:۴۴:۵۱,۱۴۰۲/۰۳/۰۶ ۱۷:۴۴:۵۱,/Reports/Decision.aspx?LetterSerial=73BLf56zA36wrP2CRb2zgQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1015912,وپخش,هلدینگ داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۱,۱۴۰۲/۰۲/۰۴ ۱۱:۳۷:۵۲,۱۴۰۲/۰۲/۰۴ ۱۱:۳۷:۵۲,/Reports/Decision.aspx?LetterSerial=aTxnttecejqeMYAUEGxjdA%3d%3d&rt=2&let=8&ct=0&ft=-1
1005663,وپخش,هلدینگ داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۱,۱۴۰۱/۱۲/۲۸ ۱۴:۴۰:۲۳,۱۴۰۱/۱۲/۲۸ ۱۴:۴۰:۲۳,/Reports/Decision.aspx?LetterSerial=l5GhBDxWATQQQaQQQXi2bQ7addXQ%3d%3d&rt=2&let=8&ct=0&ft=-1
995614,وپخش,هلدینگ داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۱,۱۴۰۱/۱۲/۰۲ ۱۶:۲۷:۲۵,۱۴۰۱/۱۲/۰۲ ۱۶:۲۷:۲۵,/Reports/Decision.aspx?LetterSerial=7MK8Bpbab9mRPBLSWRyQQQaQQQpQ%3d%3d&rt=2&let=8&ct=0&ft=-1
985544,وپخش,هلدینگ داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۱,۱۴۰۱/۱۱/۰۲ ۱۴:۱۸:۵۰,۱۴۰۱/۱۱/۰۲ ۱۴:۱۸:۵۰,/Reports/Decision.aspx?LetterSerial=3XWY3fggZU%2bB2D25l7NgpQ%3d%3d&rt=2&let=8&ct=0&ft=-1
974001,وپخش,هلدینگ داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۱,۱۴۰۱/۱۰/۰۳ ۱۴:۰۲:۵۴,۱۴۰۱/۱۰/۰۳ ۱۴:۰۲:۵۴,/Reports/Decision.aspx?LetterSerial=lO7iAJiYZIwzsJorr%2bfLEw%3d%3d&rt=2&let=8&ct=0&ft=-1
961697,وپخش,هلدینگ داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۱,۱۴۰۱/۰۹/۰۶ ۱۰:۳۱:۲۶,۱۴۰۱/۰۹/۰۶ ۱۰:۳۱:۲۶,/Reports/Decision.aspx?LetterSerial=d3viGGKZkHKgwASJUC1T5A%3d%3d&rt=2&let=8&ct=0&ft=-1
951257,وپخش,هلدینگ داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۱,۱۴۰۱/۰۸/۰۴ ۱۵:۵۴:۵۱,۱۴۰۱/۰۸/۰۴ ۱۵:۵۴:۵۱,/Reports/Decision.aspx?LetterSerial=DTQtXJBoxjZpyl3fdJJfJA%3d%3d&rt=2&let=8&ct=0&ft=-1
951240,وپخش,هلدینگ داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۱,۱۴۰۱/۰۸/۰۴ ۱۳:۲۸:۰۰,۱۴۰۱/۰۸/۰۴ ۱۳:۲۸:۰۰,/Reports/Decision.aspx?LetterSerial=9bQKsx1U6uNWLW%2bCn2iERw%3d%3d&rt=2&let=8&ct=0&ft=-1
941450,وپخش,هلدینگ داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۱,۱۴۰۱/۰۷/۰۶ ۱۶:۰۱:۴۲,۱۴۰۱/۰۷/۰۶ ۱۶:۰۱:۴۲,/Reports/Decision.aspx?LetterSerial=c%2bmuPsrB06zAiyOgyplRhw%3d%3d&rt=2&let=8&ct=0&ft=-1
927275,وپخش,هلدینگ داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۱,۱۴۰۱/۰۶/۰۲ ۱۶:۰۵:۲۸,۱۴۰۱/۰۶/۰۲ ۱۶:۰۵:۲۸,/Reports/Decision.aspx?LetterSerial=TrYLmOI0gb%2bzrdsVv0gAFA%3d%3d&rt=2&let=8&ct=0&ft=-1
916551,وپخش,هلدینگ داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۱,۱۴۰۱/۰۵/۰۲ ۱۳:۱۲:۵۴,۱۴۰۱/۰۵/۰۲ ۱۳:۱۲:۵۴,/Reports/Decision.aspx?LetterSerial=9wsCDzRpMTU4T3B3je49fA%3d%3d&rt=2&let=8&ct=0&ft=-1
896462,وپخش,هلدینگ داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۱,۱۴۰۱/۰۴/۰۵ ۱۴:۱۱:۰۹,۱۴۰۱/۰۴/۰۵ ۱۴:۱۱:۰۹,/Reports/Decision.aspx?LetterSerial=6v5p5L4NPZ5VrIUb7KKRmg%3d%3d&rt=2&let=8&ct=0&ft=-1
886847,وپخش,هلدینگ داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۱,۱۴۰۱/۰۳/۰۴ ۰۸:۴۶:۲۰,۱۴۰۱/۰۳/۰۴ ۰۸:۴۶:۲۰,/Reports/Decision.aspx?LetterSerial=Gu9ghA2VAMAtPM60uGqI3w%3d%3d&rt=2&let=8&ct=0&ft=-1
873106,وپخش,هلدینگ داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۱,۱۴۰۱/۰۲/۰۶ ۱۴:۵۱:۳۰,۱۴۰۱/۰۲/۰۶ ۱۴:۵۱:۳۰,/Reports/Decision.aspx?LetterSerial=jD1OPiWQQQaQQQaw1a5QFVBLEkwg%3D%3D&rt=2&let=8&ct=0&ft=-1
865934,وپخش,هلدینگ داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۱,۱۴۰۱/۰۱/۳۰ ۱۰:۳۱:۵۵,۱۴۰۱/۰۱/۳۰ ۱۰:۳۱:۵۵,/Reports/Decision.aspx?LetterSerial=2MXSQUvwNUCjxbpQQQaQQQwp0Hvg%3D%3D&rt=2&let=8&ct=0&ft=-1
856073,وپخش,هلدینگ داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰,ن-۳۱,۱۴۰۰/۱۲/۰۴ ۰۸:۵۵:۱۰,۱۴۰۰/۱۲/۰۴ ۰۸:۵۵:۱۰,/Reports/Decision.aspx?LetterSerial=vDRR900Ugdygi8NpMiHQoA%3D%3D&rt=2&let=8&ct=0&ft=-1
845082,وپخش,هلدینگ داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰,ن-۳۱,۱۴۰۰/۱۱/۰۳ ۱۵:۲۴:۲۳,۱۴۰۰/۱۱/۰۳ ۱۵:۲۴:۲۳,/Reports/Decision.aspx?LetterSerial=adYok323AG3LOAc4iU3M1g%3D%3D&rt=2&let=8&ct=0&ft=-1
834579,وپخش,هلدینگ داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۹/۳۰,ن-۳۱,۱۴۰۰/۱۰/۰۴ ۱۴:۵۴:۳۵,۱۴۰۰/۱۰/۰۴ ۱۴:۵۴:۳۵,/Reports/Decision.aspx?LetterSerial=PQKt8znmduLJzC2%2BpASQDA%3D%3D&rt=2&let=8&ct=0&ft=-1
821043,وپخش,هلدینگ داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۸/۳۰,ن-۳۱,۱۴۰۰/۰۹/۰۶ ۱۶:۵۱:۱۱,۱۴۰۰/۰۹/۰۶ ۱۶:۵۱:۱۱,/Reports/Decision.aspx?LetterSerial=l7D5Y6Xgt8WDaHeGfpLthQ%3D%3D&rt=2&let=8&ct=0&ft=-1
808791,وپخش,هلدینگ داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۷/۳۰,ن-۳۱,۱۴۰۰/۰۸/۰۳ ۰۹:۴۴:۴۶,۱۴۰۰/۰۸/۰۳ ۰۹:۴۴:۴۶,/Reports/Decision.aspx?LetterSerial=iC82kuANm%2BB2OWSTsQQQaQQQgDrA%3D%3D&rt=2&let=8&ct=0&ft=-1
800007,وپخش,هلدینگ داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۶/۳۱,ن-۳۱,۱۴۰۰/۰۷/۰۶ ۱۵:۲۲:۲۴,۱۴۰۰/۰۷/۰۶ ۱۵:۲۲:۲۴,/Reports/Decision.aspx?LetterSerial=gjXz7aMblxAp5xYyteMQQQaQQQww%3D%3D&rt=2&let=8&ct=0&ft=-1
784825,وپخش,هلدینگ داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۵/۳۱,ن-۳۱,۱۴۰۰/۰۶/۰۶ ۱۵:۴۹:۲۸,۱۴۰۰/۰۶/۰۶ ۱۵:۴۹:۲۸,/Reports/Decision.aspx?LetterSerial=BEL46XG1%2BKvgvCovG5G%2B2Q%3D%3D&rt=2&let=8&ct=0&ft=-1
776314,وپخش,هلدینگ داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۴/۳۱,ن-۳۱,۱۴۰۰/۰۵/۰۶ ۱۶:۵۰:۱۳,۱۴۰۰/۰۵/۰۶ ۱۶:۵۰:۱۳,/Reports/Decision.aspx?LetterSerial=QiQQQaQQQQQQaQQQhcOdRzQQQaQQQdjhM290G8sg%3D%3D&rt=2&let=8&ct=0&ft=-1
762157,وپخش,هلدینگ داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۳/۳۱,ن-۳۱,۱۴۰۰/۰۴/۰۶ ۱۲:۳۱:۰۷,۱۴۰۰/۰۴/۰۶ ۱۲:۳۱:۰۷,/Reports/Decision.aspx?LetterSerial=57eyoJSLCW5SSMxmmNxnmw%3D%3D&rt=2&let=8&ct=0&ft=-1
749869,وپخش,هلدینگ داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۲/۳۱(اصلاحیه),ن-۳۱,۱۴۰۰/۰۳/۰۲ ۱۷:۴۰:۰۳,۱۴۰۰/۰۳/۰۲ ۱۷:۴۰:۰۳,/Reports/Decision.aspx?LetterSerial=sF3VafRhwOfgvAy9gBe3nQ%3D%3D&rt=2&let=8&ct=0&ft=-1
748908,وپخش,هلدینگ داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۲/۳۱,ن-۳۱,۱۴۰۰/۰۳/۰۲ ۱۴:۱۰:۰۵,۱۴۰۰/۰۳/۰۲ ۱۴:۱۰:۰۵,/Reports/Decision.aspx?LetterSerial=QDx9h%2BQQQaQQQIJF9bjPk0S4Ck2g%3D%3D&rt=2&let=8&ct=0&ft=-1
738690,وپخش,هلدینگ داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۱/۳۱,ن-۳۱,۱۴۰۰/۰۲/۰۱ ۱۳:۰۹:۳۲,۱۴۰۰/۰۲/۰۱ ۱۳:۰۹:۳۲,/Reports/Decision.aspx?LetterSerial=PKB4hZfmJfuwQOiHlRkzLg%3D%3D&rt=2&let=8&ct=0&ft=-1
730754,وپخش,هلدینگ داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۲/۳۰,ن-۳۱,۱۳۹۹/۱۲/۲۷ ۱۵:۰۹:۲۵,۱۳۹۹/۱۲/۲۷ ۱۵:۰۹:۲۵,/Reports/Decision.aspx?LetterSerial=%2BXQYgN2dvQQQaQQQbhCJqKAjEywQ%3D%3D&rt=2&let=8&ct=0&ft=-1
723587,وپخش,هلدینگ داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۱/۳۰,ن-۳۱,۱۳۹۹/۱۲/۰۳ ۱۷:۰۷:۰۰,۱۳۹۹/۱۲/۰۳ ۱۷:۰۷:۰۰,/Reports/Decision.aspx?LetterSerial=v%2BPnTz4ZP6yS9NBeM5l9Ew%3D%3D&rt=2&let=8&ct=0&ft=-1
714871,وپخش,هلدینگ داروپخش,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۰/۳۰,ن-۳۱,۱۳۹۹/۱۱/۰۶ ۱۰:۲۹:۳۸,۱۳۹۹/۱۱/۰۶ ۱۰:۲۹:۳۸,/Reports/Decision.aspx?LetterSerial=kMY1HkASb7yoNV9RAFdmMQ%3D%3D&rt=2&let=8&ct=0&ft=-1
