TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1084954,وپویا,سرمایه گذاری پویا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۶/۳۱,ن-۳۱,۱۴۰۲/۰۷/۰۱ ۱۴:۲۱:۵۵,۱۴۰۲/۰۷/۰۱ ۱۴:۲۱:۵۵,/Reports/Decision.aspx?LetterSerial=NGYNMrs1veLiczQmIoapfw%3d%3d&rt=2&let=8&ct=0&ft=-1
1074260,وپویا,سرمایه گذاری پویا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۱,۱۴۰۲/۰۶/۰۵ ۱۴:۵۴:۲۶,۱۴۰۲/۰۶/۰۵ ۱۴:۵۴:۲۶,/Reports/Decision.aspx?LetterSerial=awQ7R9mRO3y5QQQaQQQYSoSPTrnA%3d%3d&rt=2&let=8&ct=0&ft=-1
1062522,وپویا,سرمایه گذاری پویا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۱,۱۴۰۲/۰۵/۰۲ ۱۴:۲۴:۳۸,۱۴۰۲/۰۵/۰۲ ۱۴:۲۴:۳۸,/Reports/Decision.aspx?LetterSerial=opJpAp3faYXWwL10tzPTTw%3d%3d&rt=2&let=8&ct=0&ft=-1
1044975,وپویا,سرمایه گذاری پویا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۱,۱۴۰۲/۰۴/۰۶ ۰۷:۲۱:۴۲,۱۴۰۲/۰۴/۰۶ ۰۷:۲۱:۴۲,/Reports/Decision.aspx?LetterSerial=B%2byjFs3YNWwKn5RwkG9V6w%3d%3d&rt=2&let=8&ct=0&ft=-1
1029769,وپویا,سرمایه گذاری پویا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۱,۱۴۰۲/۰۳/۰۳ ۱۴:۴۰:۵۴,۱۴۰۲/۰۳/۰۳ ۱۴:۴۰:۵۴,/Reports/Decision.aspx?LetterSerial=NCbRDihD0gcIgodoSrHnOg%3d%3d&rt=2&let=8&ct=0&ft=-1
1015990,وپویا,سرمایه گذاری پویا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۱,۱۴۰۲/۰۲/۰۵ ۱۴:۵۵:۱۱,۱۴۰۲/۰۲/۰۵ ۱۴:۵۵:۱۱,/Reports/Decision.aspx?LetterSerial=5cD3iP2b5w2lF27tVwRQOw%3d%3d&rt=2&let=8&ct=0&ft=-1
1006632,وپویا,سرمایه گذاری پویا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۱,۱۴۰۲/۰۱/۰۸ ۱۲:۲۸:۰۵,۱۴۰۲/۰۱/۰۸ ۱۲:۲۸:۰۵,/Reports/Decision.aspx?LetterSerial=7iGDDMBJiWzxdkq47Wtb3A%3d%3d&rt=2&let=8&ct=0&ft=-1
995077,وپویا,سرمایه گذاری پویا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۱,۱۴۰۱/۱۲/۰۳ ۰۸:۲۴:۲۷,۱۴۰۱/۱۲/۰۳ ۰۸:۲۴:۲۷,/Reports/Decision.aspx?LetterSerial=kDqk64wAqoQyfS3MvxMPpw%3d%3d&rt=2&let=8&ct=0&ft=-1
984970,وپویا,سرمایه گذاری پویا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۱,۱۴۰۱/۱۱/۰۵ ۱۳:۲۸:۵۳,۱۴۰۱/۱۱/۰۵ ۱۳:۲۸:۵۳,/Reports/Decision.aspx?LetterSerial=YbNFKL%2bTQf2sHDMTmiPsxQ%3d%3d&rt=2&let=8&ct=0&ft=-1
974082,وپویا,سرمایه گذاری پویا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۱,۱۴۰۱/۱۰/۰۵ ۱۱:۵۲:۰۵,۱۴۰۱/۱۰/۰۵ ۱۱:۵۲:۰۵,/Reports/Decision.aspx?LetterSerial=w10In9%2bOA70IvrWaZGUyXw%3d%3d&rt=2&let=8&ct=0&ft=-1
