TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074767,وکغدیر,بین المللی توسعه صنایع و معادن غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۱,۱۴۰۲/۰۶/۰۷ ۰۹:۳۵:۰۶,۱۴۰۲/۰۶/۰۷ ۰۹:۳۵:۰۶,/Reports/Decision.aspx?LetterSerial=QQQaQQQGYryQQQaQQQd7WEagSCzxnalIqg%3d%3d&rt=2&let=8&ct=0&ft=-1
1065531,وکغدیر,بین المللی توسعه صنایع و معادن غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱(اصلاحیه),ن-۳۱,۱۴۰۲/۰۵/۰۸ ۰۹:۳۳:۵۹,۱۴۰۲/۰۵/۰۸ ۰۹:۳۳:۵۹,/Reports/Decision.aspx?LetterSerial=uuClesCZ8VqX1vA8dPi7qQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1062046,وکغدیر,بین المللی توسعه صنایع و معادن غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۰,ن-۳۱,۱۴۰۲/۰۵/۰۴ ۱۰:۴۵:۰۵,۱۴۰۲/۰۵/۰۴ ۱۰:۴۵:۰۵,/Reports/Decision.aspx?LetterSerial=l7QCwOC1RVQQQaQQQNbc7dHxAONg%3d%3d&rt=2&let=8&ct=0&ft=-1
1044659,وکغدیر,بین المللی توسعه صنایع و معادن غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۱,۱۴۰۲/۰۴/۰۶ ۱۲:۳۸:۰۶,۱۴۰۲/۰۴/۰۶ ۱۲:۳۸:۰۶,/Reports/Decision.aspx?LetterSerial=AT1DYjKzDa6v1lXfT9AR5w%3d%3d&rt=2&let=8&ct=0&ft=-1
1032778,وکغدیر,بین المللی توسعه صنایع و معادن غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱(اصلاحیه),ن-۳۱,۱۴۰۲/۰۳/۰۸ ۱۰:۰۴:۴۲,۱۴۰۲/۰۳/۰۸ ۱۰:۰۴:۴۲,/Reports/Decision.aspx?LetterSerial=txuG6nYwTWP69%2biNO09Q1Q%3d%3d&rt=2&let=8&ct=0&ft=-1
1031772,وکغدیر,بین المللی توسعه صنایع و معادن غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۱,۱۴۰۲/۰۳/۰۷ ۱۵:۴۸:۴۸,۱۴۰۲/۰۳/۰۷ ۱۵:۴۸:۴۸,/Reports/Decision.aspx?LetterSerial=pVTrXoDQQQaQQQFkAhvc8pZB4Dew%3d%3d&rt=2&let=8&ct=0&ft=-1
1017234,وکغدیر,بین المللی توسعه صنایع و معادن غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۱,۱۴۰۲/۰۲/۱۰ ۱۲:۳۲:۳۵,۱۴۰۲/۰۲/۱۰ ۱۲:۳۲:۳۵,/Reports/Decision.aspx?LetterSerial=RsfZ4sOz4aqlH8%2bF0QQQaQQQ3ZsQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1005098,وکغدیر,بین المللی توسعه صنایع و معادن غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۱,۱۴۰۱/۱۲/۲۹ ۱۳:۳۵:۱۵,۱۴۰۱/۱۲/۲۹ ۱۳:۳۵:۱۵,/Reports/Decision.aspx?LetterSerial=exTizudaP%2bzOrkCZkeNVQQQaQQQg%3d%3d&rt=2&let=8&ct=0&ft=-1
996071,وکغدیر,بین المللی توسعه صنایع و معادن غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۱,۱۴۰۱/۱۲/۰۶ ۱۴:۳۶:۲۴,۱۴۰۱/۱۲/۰۶ ۱۴:۳۶:۲۴,/Reports/Decision.aspx?LetterSerial=Lh2F8MrsZMeiHdqUCXVQQQaQQQZw%3d%3d&rt=2&let=8&ct=0&ft=-1
985699,وکغدیر,بین المللی توسعه صنایع و معادن غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۱,۱۴۰۱/۱۱/۰۴ ۱۶:۲۹:۳۴,۱۴۰۱/۱۱/۰۴ ۱۶:۲۹:۳۴,/Reports/Decision.aspx?LetterSerial=tiSkSC4%2b0omuxXMZiIUl%2bQ%3d%3d&rt=2&let=8&ct=0&ft=-1
974068,وکغدیر,بین المللی توسعه صنایع و معادن غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۱,۱۴۰۱/۱۰/۱۴ ۱۶:۰۱:۴۱,۱۴۰۱/۱۰/۱۴ ۱۶:۰۱:۴۱,/Reports/Decision.aspx?LetterSerial=teeWV%2b3l8kFLZbrRMYskTQ%3d%3d&rt=2&let=8&ct=0&ft=-1
962699,وکغدیر,بین المللی توسعه صنایع و معادن غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۱,۱۴۰۱/۰۹/۰۶ ۱۳:۴۱:۵۶,۱۴۰۱/۰۹/۰۶ ۱۳:۴۱:۵۶,/Reports/Decision.aspx?LetterSerial=mZyog76t6tEKs3LAegMQhg%3d%3d&rt=2&let=8&ct=0&ft=-1
952497,وکغدیر,بین المللی توسعه صنایع و معادن غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۱,۱۴۰۱/۰۸/۰۸ ۱۶:۰۳:۲۷,۱۴۰۱/۰۸/۰۸ ۱۶:۰۳:۲۷,/Reports/Decision.aspx?LetterSerial=w2CoKo9W8ZZwqbdBjzeJfg%3d%3d&rt=2&let=8&ct=0&ft=-1
940418,وکغدیر,بین المللی توسعه صنایع و معادن غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۱,۱۴۰۱/۰۷/۰۴ ۱۱:۰۱:۲۳,۱۴۰۱/۰۷/۰۴ ۱۱:۰۱:۲۳,/Reports/Decision.aspx?LetterSerial=JE4io5AiZhPzdsDwNffX0w%3d%3d&rt=2&let=8&ct=0&ft=-1
927951,وکغدیر,بین المللی توسعه صنایع و معادن غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۱,۱۴۰۱/۰۶/۰۲ ۱۴:۴۷:۱۶,۱۴۰۱/۰۶/۰۲ ۱۴:۴۷:۱۶,/Reports/Decision.aspx?LetterSerial=SfshXQ9r5c04sS5dPw8SQQQaQQQw%3d%3d&rt=2&let=8&ct=0&ft=-1
919436,وکغدیر,بین المللی توسعه صنایع و معادن غدیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۱,۱۴۰۱/۰۵/۰۵ ۱۴:۳۴:۱۳,۱۴۰۱/۰۵/۰۵ ۱۴:۳۴:۱۳,/Reports/Decision.aspx?LetterSerial=SrjaXevwrTo%2bj8o1r5uFVQ%3d%3d&rt=2&let=8&ct=0&ft=-1
