TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
467436,وگردش,بانک گردشگری,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۷/۰۵/۳۱,ن-۳۰,۱۳۹۷/۰۶/۰۵ ۱۷:۳۶:۳۳,۱۳۹۷/۰۶/۰۵ ۱۷:۳۶:۳۳,/Reports/Decision.aspx?LetterSerial=0y3FOuGbzxlReCi1PEwNjQ%3d%3d&rt=3&let=58&ct=0
459969,وگردش,بانک گردشگری,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۷/۰۴/۳۱,ن-۳۰,۱۳۹۷/۰۵/۰۳ ۱۴:۲۷:۵۲,۱۳۹۷/۰۵/۰۳ ۱۴:۲۷:۵۲,/Reports/Decision.aspx?LetterSerial=Vg7OZmoZb5kdSzC7JMYOZA%3d%3d&rt=3&let=58&ct=0
450718,وگردش,بانک گردشگری,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۷/۰۳/۳۱,ن-۳۰,۱۳۹۷/۰۴/۰۵ ۱۸:۱۸:۲۴,۱۳۹۷/۰۴/۰۵ ۱۸:۱۸:۲۴,/Reports/Decision.aspx?LetterSerial=pU5NOfxstr65JYRzallXPA%3d%3d&rt=3&let=58&ct=0
443575,وگردش,بانک گردشگری,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۷/۰۲/۳۱,ن-۳۰,۱۳۹۷/۰۳/۰۵ ۱۸:۲۵:۰۹,۱۳۹۷/۰۳/۰۵ ۱۸:۲۵:۰۹,/Reports/Decision.aspx?LetterSerial=NJxNMDK07CijykYz59ft7g%3d%3d&rt=3&let=58&ct=0
436367,وگردش,بانک گردشگری,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۷/۰۱/۳۱,ن-۳۰,۱۳۹۷/۰۲/۰۵ ۱۶:۵۴:۱۹,۱۳۹۷/۰۲/۰۵ ۱۶:۵۴:۱۹,/Reports/Decision.aspx?LetterSerial=15JdmucRX7otqCtWCGTUPA%3d%3d&rt=3&let=58&ct=0
431554,وگردش,بانک گردشگری,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۶/۱۲/۲۹,ن-۳۰,۱۳۹۷/۰۱/۰۵ ۱۶:۱۶:۲۹,۱۳۹۷/۰۱/۰۵ ۱۶:۱۶:۲۹,/Reports/Decision.aspx?LetterSerial=P%2bdQHXSuUK9IxDpUlQvy7A%3d%3d&rt=3&let=58&ct=0
431540,وگردش,بانک گردشگری,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۶/۱۱/۳۰(اصلاحیه),ن-۳۰,۱۳۹۷/۰۱/۰۵ ۱۵:۳۵:۵۶,۱۳۹۷/۰۱/۰۵ ۱۵:۳۵:۵۶,/Reports/Decision.aspx?LetterSerial=NwuGc%2b0lyoLYExJSbM4vJQ%3d%3d&rt=3&let=58&ct=0
431534,وگردش,بانک گردشگری,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۶/۱۰/۳۰(اصلاحیه),ن-۳۰,۱۳۹۷/۰۱/۰۵ ۱۵:۲۸:۰۱,۱۳۹۷/۰۱/۰۵ ۱۵:۲۸:۰۱,/Reports/Decision.aspx?LetterSerial=fFTSMGIbVcV4UA0qukzjxA%3d%3d&rt=3&let=58&ct=0
428913,وگردش,بانک گردشگری,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۶/۱۱/۳۰,ن-۳۰,۱۳۹۶/۱۲/۲۲ ۱۶:۱۹:۵۹,۱۳۹۶/۱۲/۲۲ ۱۶:۱۹:۵۹,/Reports/Decision.aspx?LetterSerial=wbvg0RZVqruxaE9mn82X1A%3d%3d&rt=3&let=58&ct=0
428900,وگردش,بانک گردشگری,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۶/۱۰/۳۰,ن-۳۰,۱۳۹۶/۱۲/۲۲ ۱۶:۰۱:۵۸,۱۳۹۶/۱۲/۲۲ ۱۶:۰۱:۵۸,/Reports/Decision.aspx?LetterSerial=OmJBFhtTmBc3OOX1HvSORQ%3d%3d&rt=3&let=58&ct=0
