TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1076693,پارس,پتروشیمی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۷ ۱۵:۵۳:۱۶,۱۴۰۲/۰۶/۰۷ ۱۵:۵۳:۱۶,/Reports/Decision.aspx?LetterSerial=4Ss%2bzgDJIcNaI76i6W9Stg%3d%3d&rt=0&let=58&ct=0&ft=-1
1064928,پارس,پتروشیمی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۷ ۱۷:۰۰:۵۴,۱۴۰۲/۰۵/۰۷ ۱۷:۰۰:۵۴,/Reports/Decision.aspx?LetterSerial=lFTU5zQx2oTS2i8BmBx6FA%3d%3d&rt=0&let=58&ct=0&ft=-1
1060398,پارس,پتروشیمی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۲۹ ۱۸:۳۶:۳۶,۱۴۰۲/۰۴/۲۹ ۱۸:۳۶:۳۶,/Reports/Decision.aspx?LetterSerial=ZS8Vt6LfMoYcKZp7OCbLvA%3d%3d&rt=0&let=58&ct=0&ft=-1
1047545,پارس,پتروشیمی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۹:۴۷:۱۲,۱۴۰۲/۰۴/۰۷ ۱۹:۴۷:۱۲,/Reports/Decision.aspx?LetterSerial=wV4kU9kLxM5Y8ecMXXsT%2bQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1040059,پارس,پتروشیمی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۳/۲۴ ۰۱:۲۰:۱۰,۱۴۰۲/۰۳/۲۴ ۰۱:۲۰:۱۰,/Reports/Decision.aspx?LetterSerial=DneWFQGyoxHx%2beRNolHVXA%3d%3d&rt=0&let=58&ct=0&ft=-1
1032256,پارس,پتروشیمی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۶:۳۹:۲۳,۱۴۰۲/۰۳/۰۷ ۱۶:۳۹:۲۳,/Reports/Decision.aspx?LetterSerial=hTgD3hnuzbNUFE1H6wcTJw%3d%3d&rt=0&let=58&ct=0&ft=-1
1032064,پارس,پتروشیمی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۱:۵۷:۴۹,۱۴۰۲/۰۳/۰۷ ۱۱:۵۷:۴۹,/Reports/Decision.aspx?LetterSerial=%2bT8Un5PoGAQIVUyYhhCaUg%3d%3d&rt=0&let=58&ct=0&ft=-1
1019528,پارس,پتروشیمی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۰ ۲۰:۱۴:۱۷,۱۴۰۲/۰۲/۱۰ ۲۰:۱۴:۱۷,/Reports/Decision.aspx?LetterSerial=hvFORu%2bHKhMmOlf3WrgjKw%3d%3d&rt=0&let=58&ct=0&ft=-1
1009335,پارس,پتروشیمی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۹ ۱۸:۴۶:۴۶,۱۴۰۲/۰۱/۰۹ ۱۸:۴۶:۴۶,/Reports/Decision.aspx?LetterSerial=ij77sH4CsEqEhHkpVQ1XQg%3d%3d&rt=0&let=58&ct=0&ft=-1
997671,پارس,پتروشیمی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۷ ۱۷:۰۸:۱۶,۱۴۰۱/۱۲/۰۷ ۱۷:۰۸:۱۶,/Reports/Decision.aspx?LetterSerial=yN4DrQQQaQQQnW9whj0jdKeXoyQQQaQQQQ%3d%3d&rt=0&let=58&ct=0&ft=-1
987777,پارس,پتروشیمی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۶:۴۵:۳۸,۱۴۰۱/۱۱/۰۵ ۱۶:۴۵:۳۸,/Reports/Decision.aspx?LetterSerial=rbfMhUCAlMmZyqPGAzKQQQaQQQMg%3d%3d&rt=0&let=58&ct=0&ft=-1
984378,پارس,پتروشیمی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۲۹ ۱۷:۳۵:۴۹,۱۴۰۱/۱۰/۲۹ ۱۷:۳۵:۴۹,/Reports/Decision.aspx?LetterSerial=M9fi7ZTmREc19eFubOBcpQ%3d%3d&rt=0&let=58&ct=0&ft=-1
976376,پارس,پتروشیمی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۱۰ ۱۵:۵۶:۲۶,۱۴۰۱/۱۰/۱۰ ۱۵:۵۶:۲۶,/Reports/Decision.aspx?LetterSerial=Uua2GLLcvD0lYg0wqH66cg%3d%3d&rt=0&let=58&ct=0&ft=-1
970246,پارس,پتروشیمی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۹/۲۰ ۱۶:۴۸:۲۲,۱۴۰۱/۰۹/۲۰ ۱۶:۴۸:۲۲,/Reports/Decision.aspx?LetterSerial=4d73%2bhhV4%2bA0NDYlCZtlHA%3d%3d&rt=0&let=58&ct=0&ft=-1
965488,پارس,پتروشیمی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۹/۰۸ ۱۶:۵۷:۲۴,۱۴۰۱/۰۹/۰۸ ۱۶:۵۷:۲۴,/Reports/Decision.aspx?LetterSerial=rAjr2RGYLi%2bP2SUnl7Yzfw%3d%3d&rt=0&let=58&ct=0&ft=-1
965052,پارس,پتروشیمی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۷ ۱۹:۳۴:۰۸,۱۴۰۱/۰۹/۰۷ ۱۹:۳۴:۰۸,/Reports/Decision.aspx?LetterSerial=HZEZWAeBkB4swot0W6H6mA%3d%3d&rt=0&let=58&ct=0&ft=-1
953621,پارس,پتروشیمی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۲۹(اصلاحیه),ن-۳۰,۱۴۰۱/۰۸/۱۱ ۱۶:۰۹:۵۵,۱۴۰۱/۰۸/۱۱ ۱۶:۰۹:۵۵,/Reports/Decision.aspx?LetterSerial=y3hr7pu2mGz2biB8fn8EVQ%3d%3d&rt=0&let=58&ct=0&ft=-1
952076,پارس,پتروشیمی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۲۹,ن-۳۰,۱۴۰۱/۰۸/۰۷ ۱۷:۳۳:۲۵,۱۴۰۱/۰۸/۰۷ ۱۷:۳۳:۲۵,/Reports/Decision.aspx?LetterSerial=xPgaZR0QzkBdxX5%2bZSVmPw%3d%3d&rt=0&let=58&ct=0&ft=-1
949078,پارس,پتروشیمی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۳۰ ۱۹:۳۰:۰۳,۱۴۰۱/۰۷/۳۰ ۱۹:۳۰:۰۳,/Reports/Decision.aspx?LetterSerial=OFC85FjpRpN3NU0JtaAY3w%3d%3d&rt=0&let=58&ct=0&ft=-1
946057,پارس,پتروشیمی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۲۳ ۰۰:۵۵:۵۰,۱۴۰۱/۰۷/۲۳ ۰۰:۵۵:۵۰,/Reports/Decision.aspx?LetterSerial=PN4D%2bif9XPWfGvkK2uT5lg%3d%3d&rt=0&let=58&ct=0&ft=-1
943045,پارس,پتروشیمی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۱۰ ۱۹:۲۶:۲۸,۱۴۰۱/۰۷/۱۰ ۱۹:۲۶:۲۸,/Reports/Decision.aspx?LetterSerial=8d4idhcm707VN1BvMl5z9A%3d%3d&rt=0&let=58&ct=0&ft=-1
