TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1076102,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۱,۱۴۰۲/۰۶/۰۶ ۱۷:۰۶:۱۶,۱۴۰۲/۰۶/۰۶ ۱۷:۰۶:۱۶,/Reports/Decision.aspx?LetterSerial=aNyKvTBFKt104EF1NDSrog%3d%3d&rt=2&let=8&ct=0&ft=-1
1064803,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۱,۱۴۰۲/۰۵/۰۷ ۱۱:۲۸:۳۱,۱۴۰۲/۰۵/۰۷ ۱۱:۲۸:۳۱,/Reports/Decision.aspx?LetterSerial=SftiSBUykjoPQh8DP8zNRQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1046868,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۱,۱۴۰۲/۰۴/۰۶ ۱۴:۵۸:۰۴,۱۴۰۲/۰۴/۰۶ ۱۴:۵۸:۰۴,/Reports/Decision.aspx?LetterSerial=7bNA3brPcPp%2bXkgTLmM6BA%3d%3d&rt=2&let=8&ct=0&ft=-1
1031802,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۱,۱۴۰۲/۰۳/۰۷ ۱۲:۴۲:۰۳,۱۴۰۲/۰۳/۰۷ ۱۲:۴۲:۰۳,/Reports/Decision.aspx?LetterSerial=ZNBIdHbambzmY79OAj0reQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1018686,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۱,۱۴۰۲/۰۲/۱۰ ۱۱:۲۴:۰۴,۱۴۰۲/۰۲/۱۰ ۱۱:۲۴:۰۴,/Reports/Decision.aspx?LetterSerial=5UpnaxZQQQaQQQwxPaM60bqu79jQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1005514,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۱,۱۴۰۲/۰۱/۰۷ ۱۵:۱۹:۵۶,۱۴۰۲/۰۱/۰۷ ۱۵:۱۹:۵۶,/Reports/Decision.aspx?LetterSerial=oj6sRrcN3JgpRHQQQaQQQxG3hxlw%3d%3d&rt=2&let=8&ct=0&ft=-1
996718,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۱,۱۴۰۱/۱۲/۰۷ ۱۰:۵۵:۵۷,۱۴۰۱/۱۲/۰۷ ۱۰:۵۵:۵۷,/Reports/Decision.aspx?LetterSerial=4PsK6oVgyo6DB%2bOwjGpjvQ%3d%3d&rt=2&let=8&ct=0&ft=-1
986887,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۱,۱۴۰۱/۱۱/۰۵ ۱۳:۲۴:۲۰,۱۴۰۱/۱۱/۰۵ ۱۳:۲۴:۲۰,/Reports/Decision.aspx?LetterSerial=DoLtfnralim2G4La8GClsg%3d%3d&rt=2&let=8&ct=0&ft=-1
975517,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۱,۱۴۰۱/۱۰/۰۸ ۱۲:۳۰:۱۶,۱۴۰۱/۱۰/۰۸ ۱۲:۳۰:۱۶,/Reports/Decision.aspx?LetterSerial=oew7jBFewUwhizXS8dGJlA%3d%3d&rt=2&let=8&ct=0&ft=-1
964122,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۱,۱۴۰۱/۰۹/۰۶ ۱۷:۰۹:۴۶,۱۴۰۱/۰۹/۰۶ ۱۷:۰۹:۴۶,/Reports/Decision.aspx?LetterSerial=DQKZq2ZDWteF3qFXHpJssA%3d%3d&rt=2&let=8&ct=0&ft=-1
951773,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۱,۱۴۰۱/۰۸/۰۷ ۱۲:۳۸:۱۹,۱۴۰۱/۰۸/۰۷ ۱۲:۳۸:۱۹,/Reports/Decision.aspx?LetterSerial=AwTcWxiatozSuUeh2vWVNg%3d%3d&rt=2&let=8&ct=0&ft=-1
942170,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۱,۱۴۰۱/۰۷/۰۹ ۱۷:۵۹:۳۴,۱۴۰۱/۰۷/۰۹ ۱۷:۵۹:۳۴,/Reports/Decision.aspx?LetterSerial=QQQQaQQQ7OJsehLy8%2bbaJH5O%2bBNQ%3d%3d&rt=2&let=8&ct=0&ft=-1
931409,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۱,۱۴۰۱/۰۶/۰۷ ۱۳:۵۲:۴۳,۱۴۰۱/۰۶/۰۷ ۱۳:۵۲:۴۳,/Reports/Decision.aspx?LetterSerial=42skTUi6EnTTzqIwvQQQaQQQdiYA%3d%3d&rt=2&let=8&ct=0&ft=-1
918763,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۱,۱۴۰۱/۰۵/۰۵ ۱۷:۲۱:۱۸,۱۴۰۱/۰۵/۰۵ ۱۷:۲۱:۱۸,/Reports/Decision.aspx?LetterSerial=FQQQaQQQ%2bmSk%2by1YXjZMU9OVOHPQ%3d%3d&rt=2&let=8&ct=0&ft=-1
903113,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۱,۱۴۰۱/۰۴/۰۸ ۰۹:۴۴:۴۲,۱۴۰۱/۰۴/۰۸ ۰۹:۴۴:۴۲,/Reports/Decision.aspx?LetterSerial=dyawogvSjz8LltdBI5hAyA%3d%3d&rt=2&let=8&ct=0&ft=-1
888597,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۱,۱۴۰۱/۰۳/۰۸ ۱۶:۰۵:۳۴,۱۴۰۱/۰۳/۰۸ ۱۶:۰۵:۳۴,/Reports/Decision.aspx?LetterSerial=E1Ohu6PjUfbVDQQQaQQQGBpxyQQQaQQQqA%3d%3d&rt=2&let=8&ct=0&ft=-1
876064,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۱,۱۴۰۱/۰۲/۰۸ ۱۱:۴۹:۴۹,۱۴۰۱/۰۲/۰۸ ۱۱:۴۹:۴۹,/Reports/Decision.aspx?LetterSerial=DPu42VEpF1CxwQMmbEM7Ug%3D%3D&rt=2&let=8&ct=0&ft=-1
864398,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۱,۱۴۰۱/۰۱/۰۴ ۲۲:۴۲:۲۶,۱۴۰۱/۰۱/۰۴ ۲۲:۴۲:۲۶,/Reports/Decision.aspx?LetterSerial=wk7SiyVuTNuV4pK94KzHyQ%3D%3D&rt=2&let=8&ct=0&ft=-1
856699,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰,ن-۳۱,۱۴۰۰/۱۲/۰۷ ۱۴:۴۵:۵۳,۱۴۰۰/۱۲/۰۷ ۱۴:۴۵:۵۳,/Reports/Decision.aspx?LetterSerial=fhcZklaLjf7LeA6ypzKJyA%3D%3D&rt=2&let=8&ct=0&ft=-1
848410,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰,ن-۳۱,۱۴۰۰/۱۱/۰۶ ۱۵:۲۰:۴۴,۱۴۰۰/۱۱/۰۶ ۱۵:۲۰:۴۴,/Reports/Decision.aspx?LetterSerial=irTYnipZVY23cMDbNIlMOw%3D%3D&rt=2&let=8&ct=0&ft=-1
840034,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۶/۳۱(اصلاحیه),ن-۳۱,۱۴۰۰/۱۰/۱۸ ۱۹:۵۷:۱۶,۱۴۰۰/۱۰/۱۸ ۱۹:۵۷:۱۶,/Reports/Decision.aspx?LetterSerial=eh4xt4knmAG824QQQaQQQfUe7OJQ%3D%3D&rt=2&let=8&ct=0&ft=-1
835821,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۹/۳۰,ن-۳۱,۱۴۰۰/۱۰/۰۶ ۱۴:۳۴:۰۶,۱۴۰۰/۱۰/۰۶ ۱۴:۳۴:۰۶,/Reports/Decision.aspx?LetterSerial=umCPh0XQivJTR6t8D4OXug%3D%3D&rt=2&let=8&ct=0&ft=-1
823095,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۸/۳۰,ن-۳۱,۱۴۰۰/۰۹/۰۶ ۱۷:۱۳:۳۵,۱۴۰۰/۰۹/۰۶ ۱۷:۱۳:۳۵,/Reports/Decision.aspx?LetterSerial=e8zVQQQaQQQIrkibjcw2RQQQaQQQqN4BNw%3D%3D&rt=2&let=8&ct=0&ft=-1
810784,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۷/۳۰,ن-۳۱,۱۴۰۰/۰۸/۰۸ ۱۴:۰۹:۳۴,۱۴۰۰/۰۸/۰۸ ۱۴:۰۹:۳۴,/Reports/Decision.aspx?LetterSerial=AV6bLc753lW4ZlpvKPn3eg%3D%3D&rt=2&let=8&ct=0&ft=-1
800319,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۶/۳۱,ن-۳۱,۱۴۰۰/۰۷/۱۰ ۱۵:۱۰:۲۰,۱۴۰۰/۰۷/۱۰ ۱۵:۱۰:۲۰,/Reports/Decision.aspx?LetterSerial=Nf9QQQaQQQJFU%2BtqAXybou0FSH3Q%3D%3D&rt=2&let=8&ct=0&ft=-1
786399,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۵/۳۱,ن-۳۱,۱۴۰۰/۰۶/۰۶ ۱۷:۰۵:۴۴,۱۴۰۰/۰۶/۰۶ ۱۷:۰۵:۴۴,/Reports/Decision.aspx?LetterSerial=qk%2BjOU%2B3aiAra73yfDtc2A%3D%3D&rt=2&let=8&ct=0&ft=-1
777559,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۴/۳۱,ن-۳۱,۱۴۰۰/۰۵/۰۶ ۱۶:۵۴:۵۹,۱۴۰۰/۰۵/۰۶ ۱۶:۵۴:۵۹,/Reports/Decision.aspx?LetterSerial=qKHOFNCy1sLnqOD00FYaxQ%3D%3D&rt=2&let=8&ct=0&ft=-1
764064,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۳/۳۱,ن-۳۱,۱۴۰۰/۰۴/۰۷ ۲۱:۲۴:۵۲,۱۴۰۰/۰۴/۰۷ ۲۱:۲۴:۵۲,/Reports/Decision.aspx?LetterSerial=JEd8UCB6LpAmukbiAoE0gw%3D%3D&rt=2&let=8&ct=0&ft=-1
762381,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۲/۳۰(اصلاحیه),ن-۳۱,۱۴۰۰/۰۴/۰۶ ۱۵:۴۱:۰۱,۱۴۰۰/۰۴/۰۶ ۱۵:۴۱:۰۱,/Reports/Decision.aspx?LetterSerial=2zYB4rj8A59TT907PsnIAQ%3D%3D&rt=2&let=8&ct=0&ft=-1
751573,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۲/۳۱,ن-۳۱,۱۴۰۰/۰۳/۰۵ ۱۸:۳۳:۲۴,۱۴۰۰/۰۳/۰۵ ۱۸:۳۳:۲۴,/Reports/Decision.aspx?LetterSerial=FNdzCrb2WwrgH602zZo02g%3D%3D&rt=2&let=8&ct=0&ft=-1
741054,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۱/۳۱,ن-۳۱,۱۴۰۰/۰۲/۰۷ ۱۷:۲۸:۳۵,۱۴۰۰/۰۲/۰۷ ۱۷:۲۸:۳۵,/Reports/Decision.aspx?LetterSerial=0EgR8FTwGqtiU7qNCK5IsA%3D%3D&rt=2&let=8&ct=0&ft=-1
733232,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۲/۳۰,ن-۳۱,۱۴۰۰/۰۱/۱۴ ۱۸:۲۶:۲۳,۱۴۰۰/۰۱/۱۴ ۱۸:۲۶:۲۳,/Reports/Decision.aspx?LetterSerial=bsa%2BkIzv5wgxor%2BdQQQaQQQT76DQ%3D%3D&rt=2&let=8&ct=0&ft=-1
724922,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۱/۳۰,ن-۳۱,۱۳۹۹/۱۲/۰۵ ۱۶:۲۳:۳۵,۱۳۹۹/۱۲/۰۵ ۱۶:۲۳:۳۵,/Reports/Decision.aspx?LetterSerial=OchdOrwG1aKE5oOZBuqMEw%3D%3D&rt=2&let=8&ct=0&ft=-1
715887,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۰/۳۰,ن-۳۱,۱۳۹۹/۱۱/۰۵ ۱۳:۴۳:۳۵,۱۳۹۹/۱۱/۰۵ ۱۳:۴۳:۳۵,/Reports/Decision.aspx?LetterSerial=kyuNN%2B09IIQQQaQQQh9MQk%2BIFVZA%3D%3D&rt=2&let=8&ct=0&ft=-1
704355,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۹/۳۰,ن-۳۱,۱۳۹۹/۱۰/۰۷ ۱۸:۴۳:۰۶,۱۳۹۹/۱۰/۰۷ ۱۸:۴۳:۰۶,/Reports/Decision.aspx?LetterSerial=xXdTzDjseqceuJ1s%2BYEdbQ%3D%3D&rt=2&let=8&ct=0&ft=-1
697705,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۸/۳۰,ن-۳۱,۱۳۹۹/۰۹/۰۵ ۱۸:۲۷:۲۸,۱۳۹۹/۰۹/۰۵ ۱۸:۲۷:۲۸,/Reports/Decision.aspx?LetterSerial=fsJLipEDJ5blnz%2Byszu3rw%3D%3D&rt=2&let=8&ct=0&ft=-1
697611,پارسان,گروه گسترش نفت و گاز پارسیان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۷/۳۰(اصلاحیه),ن-۳۱,۱۳۹۹/۰۹/۰۵ ۱۷:۱۹:۳۹,۱۳۹۹/۰۹/۰۵ ۱۷:۱۹:۳۹,/Reports/Decision.aspx?LetterSerial=BhFX%2B3ts7O%2BIv3IYryb3FA%3D%3D&rt=2&let=8&ct=0&ft=-1
