TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074505,پخش,پخش البرز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۱ ۱۷:۵۵:۲۲,۱۴۰۲/۰۶/۰۱ ۱۷:۵۵:۲۲,/Reports/Decision.aspx?LetterSerial=M5Y2dxqoGqAn2N%2bvDaZn5w%3d%3d&rt=5&let=58&ct=0&ft=-1
1062684,پخش,پخش البرز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۳ ۱۴:۴۶:۰۳,۱۴۰۲/۰۵/۰۳ ۱۴:۴۶:۰۳,/Reports/Decision.aspx?LetterSerial=pmNmG6AQQQaQQQzdZqTkdGPVpmkg%3d%3d&rt=5&let=58&ct=0&ft=-1
1045620,پخش,پخش البرز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۴ ۱۸:۰۶:۰۸,۱۴۰۲/۰۴/۰۴ ۱۸:۰۶:۰۸,/Reports/Decision.aspx?LetterSerial=Kj3RyESohenvjL%2b5esnmZg%3d%3d&rt=5&let=58&ct=0&ft=-1
1030169,پخش,پخش البرز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۳ ۰۹:۵۰:۱۳,۱۴۰۲/۰۳/۰۳ ۰۹:۵۰:۱۳,/Reports/Decision.aspx?LetterSerial=gV1UaMfrggcaR5IhqJgQhw%3d%3d&rt=5&let=58&ct=0&ft=-1
1016042,پخش,پخش البرز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۵ ۱۳:۲۷:۲۷,۱۴۰۲/۰۲/۰۵ ۱۳:۲۷:۲۷,/Reports/Decision.aspx?LetterSerial=uXUl9P6n187Ieqc4H0uthg%3d%3d&rt=5&let=58&ct=0&ft=-1
1007068,پخش,پخش البرز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۷ ۱۱:۲۹:۱۵,۱۴۰۲/۰۱/۰۷ ۱۱:۲۹:۱۵,/Reports/Decision.aspx?LetterSerial=ymT9Tm9Y5CWuQ5spkNeV6A%3d%3d&rt=5&let=58&ct=0&ft=-1
996208,پخش,پخش البرز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۳ ۱۶:۵۴:۱۶,۱۴۰۱/۱۲/۰۳ ۱۶:۵۴:۱۶,/Reports/Decision.aspx?LetterSerial=ax0oNjtQ2xp5FF4QQQaQQQBhnL1A%3d%3d&rt=5&let=58&ct=0&ft=-1
986788,پخش,پخش البرز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۱:۰۹:۲۸,۱۴۰۱/۱۱/۰۴ ۱۱:۰۹:۲۸,/Reports/Decision.aspx?LetterSerial=NvsRObnBnUcBSrEjYfoQQQQaQQQQ%3d%3d&rt=5&let=58&ct=0&ft=-1
975598,پخش,پخش البرز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۱۸:۵۱:۰۹,۱۴۰۱/۱۰/۰۵ ۱۸:۵۱:۰۹,/Reports/Decision.aspx?LetterSerial=XNAaJfnTGT4CESnq6thJOA%3d%3d&rt=5&let=58&ct=0&ft=-1
961514,پخش,پخش البرز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۵ ۱۱:۰۶:۵۳,۱۴۰۱/۰۹/۰۵ ۱۱:۰۶:۵۳,/Reports/Decision.aspx?LetterSerial=c5kKuTROf3QQQaQQQ8ijql0BnwyQ%3d%3d&rt=5&let=58&ct=0&ft=-1
951065,پخش,پخش البرز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۴ ۱۱:۱۷:۱۳,۱۴۰۱/۰۸/۰۴ ۱۱:۱۷:۱۳,/Reports/Decision.aspx?LetterSerial=S2kWC6Pxkn7Wue2gxozl6w%3d%3d&rt=5&let=58&ct=0&ft=-1
940664,پخش,پخش البرز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۲ ۱۱:۴۳:۲۸,۱۴۰۱/۰۷/۰۲ ۱۱:۴۳:۲۸,/Reports/Decision.aspx?LetterSerial=A3jpkJJFdTy4YOpaKwSj8Q%3d%3d&rt=5&let=58&ct=0&ft=-1
928254,پخش,پخش البرز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۲ ۱۶:۱۹:۲۹,۱۴۰۱/۰۶/۰۲ ۱۶:۱۹:۲۹,/Reports/Decision.aspx?LetterSerial=iQQQaQQQryiQt9iTpmaxSDA8Dwug%3d%3d&rt=5&let=58&ct=0&ft=-1
