TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075713,پدرخش,تولیدی و صنعتی درخشان تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۶:۰۳:۵۲,۱۴۰۲/۰۶/۰۵ ۱۶:۰۳:۵۲,/Reports/Decision.aspx?LetterSerial=hM7QL6Ru886poW1qaL4vtQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1062299,پدرخش,تولیدی و صنعتی درخشان تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۷ ۱۱:۳۷:۴۰,۱۴۰۲/۰۵/۰۷ ۱۱:۳۷:۴۰,/Reports/Decision.aspx?LetterSerial=1FoMi2Bb7nVh6y20fVp3WQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1046424,پدرخش,تولیدی و صنعتی درخشان تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۶ ۱۶:۴۶:۳۸,۱۴۰۲/۰۴/۰۶ ۱۶:۴۶:۳۸,/Reports/Decision.aspx?LetterSerial=I0xm2aatnjdupX0lfkbP8Q%3d%3d&rt=0&let=58&ct=0&ft=-1
1031822,پدرخش,تولیدی و صنعتی درخشان تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۶ ۱۸:۴۵:۱۷,۱۴۰۲/۰۳/۰۶ ۱۸:۴۵:۱۷,/Reports/Decision.aspx?LetterSerial=Cukcz90qF7DUyPksEyiS3g%3d%3d&rt=0&let=58&ct=0&ft=-1
1026580,پدرخش,تولیدی و صنعتی درخشان تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۲۷ ۱۱:۳۷:۵۶,۱۴۰۲/۰۲/۲۷ ۱۱:۳۷:۵۶,/Reports/Decision.aspx?LetterSerial=rQQQaQQQqyXDhkKJTjF389FbD7NQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1017493,پدرخش,تولیدی و صنعتی درخشان تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۹ ۱۴:۱۷:۲۰,۱۴۰۲/۰۲/۰۹ ۱۴:۱۷:۲۰,/Reports/Decision.aspx?LetterSerial=cRHjlumL0usYti4xBiQyLg%3d%3d&rt=0&let=58&ct=0&ft=-1
1005208,پدرخش,تولیدی و صنعتی درخشان تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۱/۱۲/۲۸ ۱۷:۳۱:۱۷,۱۴۰۱/۱۲/۲۸ ۱۷:۳۱:۱۷,/Reports/Decision.aspx?LetterSerial=wf%2buN9MBjr68747pmgaT2w%3d%3d&rt=0&let=58&ct=0&ft=-1
995721,پدرخش,تولیدی و صنعتی درخشان تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۳ ۱۴:۲۳:۲۴,۱۴۰۱/۱۲/۰۳ ۱۴:۲۳:۲۴,/Reports/Decision.aspx?LetterSerial=nmO6TbQoA0Ol%2blPYNJskQQQaQQQg%3d%3d&rt=0&let=58&ct=0&ft=-1
986147,پدرخش,تولیدی و صنعتی درخشان تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۵:۱۲:۳۸,۱۴۰۱/۱۱/۰۴ ۱۵:۱۲:۳۸,/Reports/Decision.aspx?LetterSerial=627JjMYBwsNx45VwAPfGtA%3d%3d&rt=0&let=58&ct=0&ft=-1
974820,پدرخش,تولیدی و صنعتی درخشان تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۱۶:۴۳:۰۴,۱۴۰۱/۱۰/۰۵ ۱۶:۴۳:۰۴,/Reports/Decision.aspx?LetterSerial=rR7ldUviscEkzlJrVpILIg%3d%3d&rt=0&let=58&ct=0&ft=-1
963467,پدرخش,تولیدی و صنعتی درخشان تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۷ ۱۲:۲۶:۴۶,۱۴۰۱/۰۹/۰۷ ۱۲:۲۶:۴۶,/Reports/Decision.aspx?LetterSerial=1Uc3SkjZH0MjhcGDOZMDjA%3d%3d&rt=0&let=58&ct=0&ft=-1
951917,پدرخش,تولیدی و صنعتی درخشان تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۷ ۱۷:۲۳:۰۶,۱۴۰۱/۰۸/۰۷ ۱۷:۲۳:۰۶,/Reports/Decision.aspx?LetterSerial=jHGG%2bPw08rBnKTaWTZxDWg%3d%3d&rt=0&let=58&ct=0&ft=-1
942444,پدرخش,تولیدی و صنعتی درخشان تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۹ ۱۴:۵۸:۵۲,۱۴۰۱/۰۷/۰۹ ۱۴:۵۸:۵۲,/Reports/Decision.aspx?LetterSerial=aNxcWFQQQaQQQPZ5JisfJJqNbMRg%3d%3d&rt=0&let=58&ct=0&ft=-1
931880,پدرخش,تولیدی و صنعتی درخشان تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۷ ۱۴:۳۵:۱۸,۱۴۰۱/۰۶/۰۷ ۱۴:۳۵:۱۸,/Reports/Decision.aspx?LetterSerial=fBQQQaQQQMG2PI8AZC2m0f4LJt2g%3d%3d&rt=0&let=58&ct=0&ft=-1
919411,پدرخش,تولیدی و صنعتی درخشان تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۵ ۱۳:۴۸:۰۶,۱۴۰۱/۰۵/۰۵ ۱۳:۴۸:۰۶,/Reports/Decision.aspx?LetterSerial=EqGdwIcY9noM4VZYD1STYA%3d%3d&rt=0&let=58&ct=0&ft=-1
902298,پدرخش,تولیدی و صنعتی درخشان تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۰,۱۴۰۱/۰۴/۰۶ ۰۹:۵۳:۵۶,۱۴۰۱/۰۴/۰۶ ۰۹:۵۳:۵۶,/Reports/Decision.aspx?LetterSerial=94wx0xjj%2bUl%2bOJPiXDEAqA%3d%3d&rt=0&let=58&ct=0&ft=-1
888245,پدرخش,تولیدی و صنعتی درخشان تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۰,۱۴۰۱/۰۳/۰۷ ۰۸:۳۸:۱۶,۱۴۰۱/۰۳/۰۷ ۰۸:۳۸:۱۶,/Reports/Decision.aspx?LetterSerial=lZpKXQx9nih6jjk7WPUm2A%3d%3d&rt=0&let=58&ct=0&ft=-1
884080,پدرخش,تولیدی و صنعتی درخشان تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۰/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۱/۰۲/۲۹ ۱۷:۰۱:۲۲,۱۴۰۱/۰۲/۲۹ ۱۷:۰۱:۲۲,/Reports/Decision.aspx?LetterSerial=8KkqppG6A%2bRcUDqjjFuMfg%3d%3d&rt=0&let=58&ct=0&ft=-1
879174,پدرخش,تولیدی و صنعتی درخشان تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۰,۱۴۰۱/۰۲/۱۹ ۱۵:۲۳:۱۶,۱۴۰۱/۰۲/۱۹ ۱۵:۲۳:۱۶,/Reports/Decision.aspx?LetterSerial=1Sor4DQo%2Bdtye25XQQQaQQQ0zVvA%3D%3D&rt=0&let=58&ct=0&ft=-1
864027,پدرخش,تولیدی و صنعتی درخشان تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۰,۱۴۰۰/۱۲/۲۸ ۱۳:۵۹:۳۲,۱۴۰۰/۱۲/۲۸ ۱۳:۵۹:۳۲,/Reports/Decision.aspx?LetterSerial=ZVmRPYgURijmN6N4dZ5sEQ%3D%3D&rt=0&let=58&ct=0&ft=-1
857435,پدرخش,تولیدی و صنعتی درخشان تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰,ن-۳۰,۱۴۰۰/۱۲/۰۷ ۰۹:۳۶:۲۹,۱۴۰۰/۱۲/۰۷ ۰۹:۳۶:۲۹,/Reports/Decision.aspx?LetterSerial=yHutckoGrDBZoCbMJCv%2BBw%3D%3D&rt=0&let=58&ct=0&ft=-1
848153,پدرخش,تولیدی و صنعتی درخشان تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰,ن-۳۰,۱۴۰۰/۱۱/۰۵ ۱۴:۴۹:۴۲,۱۴۰۰/۱۱/۰۵ ۱۴:۴۹:۴۲,/Reports/Decision.aspx?LetterSerial=KcTKwygzvjMVprCZ71TN0w%3D%3D&rt=0&let=58&ct=0&ft=-1
835386,پدرخش,تولیدی و صنعتی درخشان تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۹/۳۰,ن-۳۰,۱۴۰۰/۱۰/۰۵ ۱۳:۱۶:۲۰,۱۴۰۰/۱۰/۰۵ ۱۳:۱۶:۲۰,/Reports/Decision.aspx?LetterSerial=1SMwKk9i2BW8PvbnaN2XkQ%3D%3D&rt=0&let=58&ct=0&ft=-1
823411,پدرخش,تولیدی و صنعتی درخشان تهران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۸/۳۰,ن-۳۰,۱۴۰۰/۰۹/۰۷ ۰۹:۴۹:۵۲,۱۴۰۰/۰۹/۰۷ ۰۹:۴۹:۵۲,/Reports/Decision.aspx?LetterSerial=VzK29R%2Bho6NmhurfmwLcZg%3D%3D&rt=0&let=58&ct=0&ft=-1
