TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1083543,پردیس,سرمایه گذاری پردیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۶/۳۱,ن-۳۱,۱۴۰۲/۰۷/۰۱ ۱۰:۵۲:۰۶,۱۴۰۲/۰۷/۰۱ ۱۰:۵۲:۰۶,/Reports/Decision.aspx?LetterSerial=ACWcjraqDu6vIHcfHPB2sQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1073641,پردیس,سرمایه گذاری پردیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۱,۱۴۰۲/۰۵/۳۱ ۱۷:۳۰:۳۲,۱۴۰۲/۰۵/۳۱ ۱۷:۳۰:۳۲,/Reports/Decision.aspx?LetterSerial=zvVJhodRjLHPjmb9b6LDpg%3d%3d&rt=2&let=8&ct=0&ft=-1
1060985,پردیس,سرمایه گذاری پردیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۱,۱۴۰۲/۰۴/۳۱ ۱۸:۴۸:۴۵,۱۴۰۲/۰۴/۳۱ ۱۸:۴۸:۴۵,/Reports/Decision.aspx?LetterSerial=EtTQDDfjEkGj08cx8Xs6HQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1043614,پردیس,سرمایه گذاری پردیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۱,۱۴۰۲/۰۳/۳۱ ۲۱:۵۰:۳۶,۱۴۰۲/۰۳/۳۱ ۲۱:۵۰:۳۶,/Reports/Decision.aspx?LetterSerial=7yr6nAnxQQQaQQQXQ%2bE5ECY8Oqtg%3d%3d&rt=2&let=8&ct=0&ft=-1
1028477,پردیس,سرمایه گذاری پردیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۱,۱۴۰۲/۰۳/۰۱ ۱۴:۰۲:۳۹,۱۴۰۲/۰۳/۰۱ ۱۴:۰۲:۳۹,/Reports/Decision.aspx?LetterSerial=oaQtPQQQaQQQUydXOGKhbqdMMMtA%3d%3d&rt=2&let=8&ct=0&ft=-1
1015755,پردیس,سرمایه گذاری پردیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۱,۱۴۰۲/۰۲/۰۴ ۲۰:۳۷:۳۳,۱۴۰۲/۰۲/۰۴ ۲۰:۳۷:۳۳,/Reports/Decision.aspx?LetterSerial=alPy4LIUqWn1tmeZaB%2bT4w%3d%3d&rt=2&let=8&ct=0&ft=-1
1005366,پردیس,سرمایه گذاری پردیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۱,۱۴۰۱/۱۲/۲۸ ۲۰:۳۰:۴۳,۱۴۰۱/۱۲/۲۸ ۲۰:۳۰:۴۳,/Reports/Decision.aspx?LetterSerial=SfTztSAQPoZRzGCwZol9bw%3d%3d&rt=2&let=8&ct=0&ft=-1
994517,پردیس,سرمایه گذاری پردیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۱,۱۴۰۱/۱۱/۳۰ ۲۰:۵۰:۴۷,۱۴۰۱/۱۱/۳۰ ۲۰:۵۰:۴۷,/Reports/Decision.aspx?LetterSerial=pxuZOrZ37ncQ%2bGlTTyYDfQ%3d%3d&rt=2&let=8&ct=0&ft=-1
984000,پردیس,سرمایه گذاری پردیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۱,۱۴۰۱/۱۰/۲۸ ۱۹:۳۰:۱۹,۱۴۰۱/۱۰/۲۸ ۱۹:۳۰:۱۹,/Reports/Decision.aspx?LetterSerial=gH%2b64LUzvnegnx6QkPuKoQ%3d%3d&rt=2&let=8&ct=0&ft=-1
973638,پردیس,سرمایه گذاری پردیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۱,۱۴۰۱/۱۰/۰۱ ۱۳:۵۳:۵۸,۱۴۰۱/۱۰/۰۱ ۱۳:۵۳:۵۸,/Reports/Decision.aspx?LetterSerial=2HIZBdh8LoaQQQaQQQtrD3hB1Xig%3d%3d&rt=2&let=8&ct=0&ft=-1
958985,پردیس,سرمایه گذاری پردیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۱,۱۴۰۱/۰۹/۰۱ ۱۰:۴۶:۵۰,۱۴۰۱/۰۹/۰۱ ۱۰:۴۶:۵۰,/Reports/Decision.aspx?LetterSerial=NrUzyVx3NtIZVLXdPFH55Q%3d%3d&rt=2&let=8&ct=0&ft=-1
949435,پردیس,سرمایه گذاری پردیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۱,۱۴۰۱/۰۸/۰۱ ۱۵:۳۵:۳۱,۱۴۰۱/۰۸/۰۱ ۱۵:۳۵:۳۱,/Reports/Decision.aspx?LetterSerial=bkKvb2iIxaoo6TBIPmdIRw%3d%3d&rt=2&let=8&ct=0&ft=-1
940218,پردیس,سرمایه گذاری پردیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۱,۱۴۰۱/۰۶/۳۰ ۱۶:۵۰:۴۴,۱۴۰۱/۰۶/۳۰ ۱۶:۵۰:۴۴,/Reports/Decision.aspx?LetterSerial=AFED7RO1m5L9ZhVRFwFCag%3d%3d&rt=2&let=8&ct=0&ft=-1
927663,پردیس,سرمایه گذاری پردیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۱,۱۴۰۱/۰۵/۳۱ ۲۱:۵۴:۴۸,۱۴۰۱/۰۵/۳۱ ۲۱:۵۴:۴۸,/Reports/Decision.aspx?LetterSerial=hYMo74J3H%2bRUQvZD8Bcpig%3d%3d&rt=2&let=8&ct=0&ft=-1
915675,پردیس,سرمایه گذاری پردیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۱,۱۴۰۱/۰۵/۰۱ ۱۴:۴۲:۰۲,۱۴۰۱/۰۵/۰۱ ۱۴:۴۲:۰۲,/Reports/Decision.aspx?LetterSerial=GPQbGIApPoPPQQQaQQQDTwNYEGaQ%3d%3d&rt=2&let=8&ct=0&ft=-1
899939,پردیس,سرمایه گذاری پردیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۱,۱۴۰۱/۰۳/۳۱ ۲۱:۲۵:۵۲,۱۴۰۱/۰۳/۳۱ ۲۱:۲۵:۵۲,/Reports/Decision.aspx?LetterSerial=kzGs86AVI2Xm8pcOjxQfOg%3d%3d&rt=2&let=8&ct=0&ft=-1
886999,پردیس,سرمایه گذاری پردیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۱,۱۴۰۱/۰۳/۰۳ ۲۲:۳۲:۰۵,۱۴۰۱/۰۳/۰۳ ۲۲:۳۲:۰۵,/Reports/Decision.aspx?LetterSerial=1zf6lmP71cS2Ny3MmRNsqw%3d%3d&rt=2&let=8&ct=0&ft=-1
871355,پردیس,سرمایه گذاری پردیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۱,۱۴۰۱/۰۱/۳۱ ۱۷:۵۰:۵۱,۱۴۰۱/۰۱/۳۱ ۱۷:۵۰:۵۱,/Reports/Decision.aspx?LetterSerial=zJpUrj5Byd3asXPlEzG2Gg%3D%3D&rt=2&let=8&ct=0&ft=-1
864540,پردیس,سرمایه گذاری پردیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۱,۱۴۰۰/۱۲/۲۸ ۲۳:۵۶:۲۸,۱۴۰۰/۱۲/۲۸ ۲۳:۵۶:۲۸,/Reports/Decision.aspx?LetterSerial=BepvPb9hUpkY3IUcjGdyoA%3D%3D&rt=2&let=8&ct=0&ft=-1
854915,پردیس,سرمایه گذاری پردیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰,ن-۳۱,۱۴۰۰/۱۲/۰۱ ۱۷:۳۲:۰۲,۱۴۰۰/۱۲/۰۱ ۱۷:۳۲:۰۲,/Reports/Decision.aspx?LetterSerial=X8VFy5%2BAmuOXSlfC2bcKyQ%3D%3D&rt=2&let=8&ct=0&ft=-1
844555,پردیس,سرمایه گذاری پردیس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰,ن-۳۱,۱۴۰۰/۱۰/۳۰ ۲۰:۱۶:۱۳,۱۴۰۰/۱۰/۳۰ ۲۰:۱۶:۱۳,/Reports/Decision.aspx?LetterSerial=6vFnbL3GJUtPcLQksuK7Yw%3D%3D&rt=2&let=8&ct=0&ft=-1
