TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075782,پکرمان,گروه صنعتی بارز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۶ ۱۳:۴۱:۳۴,۱۴۰۲/۰۶/۰۶ ۱۳:۴۱:۳۴,/Reports/Decision.aspx?LetterSerial=e3pEd7Y6eBY4g9eR0c53dA%3d%3d&rt=0&let=58&ct=0&ft=-1
1062440,پکرمان,گروه صنعتی بارز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۳:۳۴:۴۴,۱۴۰۲/۰۵/۰۴ ۱۳:۳۴:۴۴,/Reports/Decision.aspx?LetterSerial=YD2PzDGP4Ay89SQQQaQQQpNZ8yLA%3d%3d&rt=0&let=58&ct=0&ft=-1
1046651,پکرمان,گروه صنعتی بارز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۶ ۱۹:۵۱:۴۲,۱۴۰۲/۰۴/۰۶ ۱۹:۵۱:۴۲,/Reports/Decision.aspx?LetterSerial=48p3gApWfIAnyBvJLdlJDQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1041193,پکرمان,گروه صنعتی بارز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۳/۲۷ ۱۷:۴۷:۳۴,۱۴۰۲/۰۳/۲۷ ۱۷:۴۷:۳۴,/Reports/Decision.aspx?LetterSerial=V85rLLF7egNgvhGprPollA%3d%3d&rt=0&let=58&ct=0&ft=-1
1031847,پکرمان,گروه صنعتی بارز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۶ ۱۷:۵۵:۴۵,۱۴۰۲/۰۳/۰۶ ۱۷:۵۵:۴۵,/Reports/Decision.aspx?LetterSerial=GcOvAi8vBasQQQaQQQ2vWcvjWn5g%3d%3d&rt=0&let=58&ct=0&ft=-1
1018277,پکرمان,گروه صنعتی بارز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۸ ۱۲:۱۴:۳۶,۱۴۰۲/۰۲/۰۸ ۱۲:۱۴:۳۶,/Reports/Decision.aspx?LetterSerial=gExxzyjFOdBfsuVNsToQUQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1009057,پکرمان,گروه صنعتی بارز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۹ ۱۳:۳۲:۴۴,۱۴۰۲/۰۱/۰۹ ۱۳:۳۲:۴۴,/Reports/Decision.aspx?LetterSerial=osZJ16WkvBSHGtQhAOsQQQaQQQFg%3d%3d&rt=0&let=58&ct=0&ft=-1
996546,پکرمان,گروه صنعتی بارز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۶ ۱۸:۵۳:۳۶,۱۴۰۱/۱۲/۰۶ ۱۸:۵۳:۳۶,/Reports/Decision.aspx?LetterSerial=fMiZmomMPv5mEoksZOLyYA%3d%3d&rt=0&let=58&ct=0&ft=-1
987579,پکرمان,گروه صنعتی بارز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۴:۴۲:۱۱,۱۴۰۱/۱۱/۰۵ ۱۴:۴۲:۱۱,/Reports/Decision.aspx?LetterSerial=dNN4dDzgPufNr6zEqSSP2A%3d%3d&rt=0&let=58&ct=0&ft=-1
970890,پکرمان,گروه صنعتی بارز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۱۴:۰۰:۵۶,۱۴۰۱/۱۰/۰۵ ۱۴:۰۰:۵۶,/Reports/Decision.aspx?LetterSerial=PmOSCUJD4kZ7QQQaQQQs4LtfciiQ%3d%3d&rt=0&let=58&ct=0&ft=-1
963110,پکرمان,گروه صنعتی بارز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۶ ۱۸:۲۱:۳۹,۱۴۰۱/۰۹/۰۶ ۱۸:۲۱:۳۹,/Reports/Decision.aspx?LetterSerial=CzyQbGrXUa6500iTkVK5QQQaQQQA%3d%3d&rt=0&let=58&ct=0&ft=-1
951616,پکرمان,گروه صنعتی بارز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۵ ۱۵:۴۲:۳۷,۱۴۰۱/۰۸/۰۵ ۱۵:۴۲:۳۷,/Reports/Decision.aspx?LetterSerial=I2jGmQy4E9NFbL7lCzaHxg%3d%3d&rt=0&let=58&ct=0&ft=-1
949148,پکرمان,گروه صنعتی بارز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۳۰ ۲۲:۲۵:۴۷,۱۴۰۱/۰۷/۳۰ ۲۲:۲۵:۴۷,/Reports/Decision.aspx?LetterSerial=QBco16avAX9nMVY9VXN38g%3d%3d&rt=0&let=58&ct=0&ft=-1
942601,پکرمان,گروه صنعتی بارز,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۹ ۱۸:۳۲:۵۳,۱۴۰۱/۰۷/۰۹ ۱۸:۳۲:۵۳,/Reports/Decision.aspx?LetterSerial=mJadFHdOgoUv4Alu8N2CCQ%3d%3d&rt=0&let=58&ct=0&ft=-1
