TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075997,پی پاد,پرداخت الکترونیک پاسارگاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۶ ۰۹:۳۸:۰۳,۱۴۰۲/۰۶/۰۶ ۰۹:۳۸:۰۳,/Reports/Decision.aspx?LetterSerial=HfPdiqmJPENCvhKzSwudTA%3d%3d&rt=5&let=58&ct=0&ft=-1
1065196,پی پاد,پرداخت الکترونیک پاسارگاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۷ ۱۵:۰۳:۰۵,۱۴۰۲/۰۵/۰۷ ۱۵:۰۳:۰۵,/Reports/Decision.aspx?LetterSerial=ZewQvKYAgZUmOOQKdKAwXg%3d%3d&rt=5&let=58&ct=0&ft=-1
1046161,پی پاد,پرداخت الکترونیک پاسارگاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۵ ۱۳:۰۴:۳۵,۱۴۰۲/۰۴/۰۵ ۱۳:۰۴:۳۵,/Reports/Decision.aspx?LetterSerial=%2bjnxXdpbycrrluBVnw03yQ%3d%3d&rt=5&let=58&ct=0&ft=-1
1031612,پی پاد,پرداخت الکترونیک پاسارگاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۶ ۱۶:۲۱:۲۸,۱۴۰۲/۰۳/۰۶ ۱۶:۲۱:۲۸,/Reports/Decision.aspx?LetterSerial=XGJ3Si8bMQRoVxSQ2kZTXw%3d%3d&rt=5&let=58&ct=0&ft=-1
1018789,پی پاد,پرداخت الکترونیک پاسارگاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۱۱ ۱۳:۴۳:۵۴,۱۴۰۲/۰۲/۱۱ ۱۳:۴۳:۵۴,/Reports/Decision.aspx?LetterSerial=qCoHaPFD9etJhbXWIT0QYg%3d%3d&rt=5&let=58&ct=0&ft=-1
1018694,پی پاد,پرداخت الکترونیک پاسارگاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۹ ۱۵:۱۳:۱۹,۱۴۰۲/۰۲/۰۹ ۱۵:۱۳:۱۹,/Reports/Decision.aspx?LetterSerial=8t%2bQw62U51rVPzN9tFxUGg%3d%3d&rt=5&let=58&ct=0&ft=-1
1009430,پی پاد,پرداخت الکترونیک پاسارگاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۱۰ ۱۲:۳۵:۴۵,۱۴۰۲/۰۱/۱۰ ۱۲:۳۵:۴۵,/Reports/Decision.aspx?LetterSerial=5PGvqOhWlqjCCGh3CUoojg%3d%3d&rt=5&let=58&ct=0&ft=-1
996710,پی پاد,پرداخت الکترونیک پاسارگاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۶ ۱۰:۳۲:۰۵,۱۴۰۱/۱۲/۰۶ ۱۰:۳۲:۰۵,/Reports/Decision.aspx?LetterSerial=zQlzoqdE4rPgHQQQaQQQKqiy3YHA%3d%3d&rt=5&let=58&ct=0&ft=-1
987810,پی پاد,پرداخت الکترونیک پاسارگاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۶:۱۰:۳۷,۱۴۰۱/۱۱/۰۵ ۱۶:۱۰:۳۷,/Reports/Decision.aspx?LetterSerial=7ITsciAQUgmEr9H1reDKqA%3d%3d&rt=5&let=58&ct=0&ft=-1
975062,پی پاد,پرداخت الکترونیک پاسارگاد,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۱۲:۳۹:۱۶,۱۴۰۱/۱۰/۰۵ ۱۲:۳۹:۱۶,/Reports/Decision.aspx?LetterSerial=N92enC9ICUxdAd3%2bIloFEw%3d%3d&rt=5&let=58&ct=0&ft=-1
