TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1067533,چدن,تولیدی چدن سازان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۷ ۱۰:۵۰:۲۳,۱۴۰۲/۰۶/۰۷ ۱۰:۵۰:۲۳,/Reports/Decision.aspx?LetterSerial=rbDs2ODQQQaQQQTLNEksRq8UAvxw%3d%3d&rt=0&let=58&ct=0&ft=-1
1063389,چدن,تولیدی چدن سازان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۰۹:۵۴:۳۳,۱۴۰۲/۰۵/۰۴ ۰۹:۵۴:۳۳,/Reports/Decision.aspx?LetterSerial=QdEtHDy7JSjHEnSWuUYhDA%3d%3d&rt=0&let=58&ct=0&ft=-1
1046475,چدن,تولیدی چدن سازان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۵ ۱۸:۱۰:۱۴,۱۴۰۲/۰۴/۰۵ ۱۸:۱۰:۱۴,/Reports/Decision.aspx?LetterSerial=iMLCBwUrQLtnC%2bJU6hmvlw%3d%3d&rt=0&let=58&ct=0&ft=-1
1031654,چدن,تولیدی چدن سازان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۱:۰۴:۲۲,۱۴۰۲/۰۳/۰۷ ۱۱:۰۴:۲۲,/Reports/Decision.aspx?LetterSerial=WUY3LB8t%2bRWnOHrxsFV2iQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1018531,چدن,تولیدی چدن سازان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۰ ۱۸:۱۱:۰۲,۱۴۰۲/۰۲/۱۰ ۱۸:۱۱:۰۲,/Reports/Decision.aspx?LetterSerial=vUWRb916Uw5fMF827pVnNQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1014458,چدن,تولیدی چدن سازان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۱/۲۹ ۱۳:۵۰:۲۰,۱۴۰۲/۰۱/۲۹ ۱۳:۵۰:۲۰,/Reports/Decision.aspx?LetterSerial=RYfQQQaQQQMFQwG5utgGxgjaPLLQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1007039,چدن,تولیدی چدن سازان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۸ ۱۰:۱۰:۴۴,۱۴۰۲/۰۱/۰۸ ۱۰:۱۰:۴۴,/Reports/Decision.aspx?LetterSerial=M3Wz4rgoPemJ%2bnx%2beg3Qpw%3d%3d&rt=0&let=58&ct=0&ft=-1
995836,چدن,تولیدی چدن سازان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۶ ۱۶:۱۶:۵۸,۱۴۰۱/۱۲/۰۶ ۱۶:۱۶:۵۸,/Reports/Decision.aspx?LetterSerial=tXMdNmc3FJ47jSx2U4NG6w%3d%3d&rt=0&let=58&ct=0&ft=-1
987360,چدن,تولیدی چدن سازان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۳:۱۸:۵۷,۱۴۰۱/۱۱/۰۵ ۱۳:۱۸:۵۷,/Reports/Decision.aspx?LetterSerial=5FxyKXHvD6kgNBN7qC5PLQ%3d%3d&rt=0&let=58&ct=0&ft=-1
975319,چدن,تولیدی چدن سازان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۱۰ ۱۳:۰۷:۳۹,۱۴۰۱/۱۰/۱۰ ۱۳:۰۷:۳۹,/Reports/Decision.aspx?LetterSerial=rJnspMF2X4zCLbXlwBhBBg%3d%3d&rt=0&let=58&ct=0&ft=-1
963513,چدن,تولیدی چدن سازان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۶ ۱۶:۳۴:۰۸,۱۴۰۱/۰۹/۰۶ ۱۶:۳۴:۰۸,/Reports/Decision.aspx?LetterSerial=P2DV80oT6E0jcQ6Cg0D5WQ%3d%3d&rt=0&let=58&ct=0&ft=-1
955425,چدن,تولیدی چدن سازان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۸/۲۱ ۱۵:۲۶:۴۶,۱۴۰۱/۰۸/۲۱ ۱۵:۲۶:۴۶,/Reports/Decision.aspx?LetterSerial=QQQaQQQ4Y%2bKkB1aOUc7RWAaErUgg%3d%3d&rt=0&let=58&ct=0&ft=-1
952353,چدن,تولیدی چدن سازان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۷ ۲۰:۳۹:۲۷,۱۴۰۱/۰۸/۰۷ ۲۰:۳۹:۲۷,/Reports/Decision.aspx?LetterSerial=zQQQaQQQQQQaQQQs6LZFFtXbiwi1Z5BgSw%3d%3d&rt=0&let=58&ct=0&ft=-1
942567,چدن,تولیدی چدن سازان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۱۰ ۱۶:۰۸:۲۵,۱۴۰۱/۰۷/۱۰ ۱۶:۰۸:۲۵,/Reports/Decision.aspx?LetterSerial=AO45aL7S0QQQaQQQu1jXQHIDFeNw%3d%3d&rt=0&let=58&ct=0&ft=-1
931114,چدن,تولیدی چدن سازان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۷ ۰۹:۵۹:۴۲,۱۴۰۱/۰۶/۰۷ ۰۹:۵۹:۴۲,/Reports/Decision.aspx?LetterSerial=0o3AOOaygNmVnx8NQQQaQQQyiWsQ%3d%3d&rt=0&let=58&ct=0&ft=-1
916110,چدن,تولیدی چدن سازان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۵ ۱۴:۲۹:۵۳,۱۴۰۱/۰۵/۰۵ ۱۴:۲۹:۵۳,/Reports/Decision.aspx?LetterSerial=LXrVkhirFJeXjfRBq0K5DA%3d%3d&rt=0&let=58&ct=0&ft=-1
903503,چدن,تولیدی چدن سازان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۰,۱۴۰۱/۰۴/۰۷ ۱۷:۴۱:۳۷,۱۴۰۱/۰۴/۰۷ ۱۷:۴۱:۳۷,/Reports/Decision.aspx?LetterSerial=vB4QQQaQQQOHGIcZjuvHtMT7Gesw%3d%3d&rt=0&let=58&ct=0&ft=-1
888563,چدن,تولیدی چدن سازان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۰,۱۴۰۱/۰۳/۰۷ ۱۴:۵۸:۵۵,۱۴۰۱/۰۳/۰۷ ۱۴:۵۸:۵۵,/Reports/Decision.aspx?LetterSerial=IlEVb1p9iucbBYUnAJ3gEQ%3d%3d&rt=0&let=58&ct=0&ft=-1
875940,چدن,تولیدی چدن سازان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۰,۱۴۰۱/۰۲/۰۷ ۱۶:۲۶:۵۵,۱۴۰۱/۰۲/۰۷ ۱۶:۲۶:۵۵,/Reports/Decision.aspx?LetterSerial=YNx9P1POB0nDjd8NFilrdQ%3D%3D&rt=0&let=58&ct=0&ft=-1
865696,چدن,تولیدی چدن سازان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۰,۱۴۰۱/۰۱/۰۹ ۱۵:۱۸:۵۶,۱۴۰۱/۰۱/۰۹ ۱۵:۱۸:۵۶,/Reports/Decision.aspx?LetterSerial=oXVh5Sse9S5MlNgPRHJoFw%3D%3D&rt=0&let=58&ct=0&ft=-1
857544,چدن,تولیدی چدن سازان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰,ن-۳۰,۱۴۰۰/۱۲/۰۷ ۱۳:۲۰:۵۰,۱۴۰۰/۱۲/۰۷ ۱۳:۲۰:۵۰,/Reports/Decision.aspx?LetterSerial=J17bYz3ZIt5NUhQtYr9lAg%3D%3D&rt=0&let=58&ct=0&ft=-1
848231,چدن,تولیدی چدن سازان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰,ن-۳۰,۱۴۰۰/۱۱/۰۶ ۱۵:۱۶:۳۱,۱۴۰۰/۱۱/۰۶ ۱۵:۱۶:۳۱,/Reports/Decision.aspx?LetterSerial=RHWuOzGmosNI8gZg%2Bo6tPA%3D%3D&rt=0&let=58&ct=0&ft=-1
835737,چدن,تولیدی چدن سازان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۹/۳۰,ن-۳۰,۱۴۰۰/۱۰/۰۷ ۱۵:۴۶:۲۲,۱۴۰۰/۱۰/۰۷ ۱۵:۴۶:۲۲,/Reports/Decision.aspx?LetterSerial=NnfaXwuqyJE92mqn4OgV6A%3D%3D&rt=0&let=58&ct=0&ft=-1
823842,چدن,تولیدی چدن سازان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۸/۳۰,ن-۳۰,۱۴۰۰/۰۹/۰۷ ۱۷:۲۶:۲۶,۱۴۰۰/۰۹/۰۷ ۱۷:۲۶:۲۶,/Reports/Decision.aspx?LetterSerial=emB1f706I2y2WQczEdmgjg%3D%3D&rt=0&let=58&ct=0&ft=-1
811497,چدن,تولیدی چدن سازان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۷/۳۰,ن-۳۰,۱۴۰۰/۰۸/۰۸ ۱۶:۱۸:۱۷,۱۴۰۰/۰۸/۰۸ ۱۶:۱۸:۱۷,/Reports/Decision.aspx?LetterSerial=4bR%2BWNOD95ww3VtwwwS4Pg%3D%3D&rt=0&let=58&ct=0&ft=-1
801447,چدن,تولیدی چدن سازان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۶/۳۱,ن-۳۰,۱۴۰۰/۰۷/۱۰ ۱۲:۱۷:۲۵,۱۴۰۰/۰۷/۱۰ ۱۲:۱۷:۲۵,/Reports/Decision.aspx?LetterSerial=NQQQaQQQEt1U30gSfLussJAsUlwg%3D%3D&rt=0&let=58&ct=0&ft=-1
786743,چدن,تولیدی چدن سازان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۵/۳۱,ن-۳۰,۱۴۰۰/۰۶/۰۷ ۱۵:۰۵:۳۲,۱۴۰۰/۰۶/۰۷ ۱۵:۰۵:۳۲,/Reports/Decision.aspx?LetterSerial=Y2eAMvYPKnB0z4BGASoBNw%3D%3D&rt=0&let=58&ct=0&ft=-1
777150,چدن,تولیدی چدن سازان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۴/۳۱,ن-۳۰,۱۴۰۰/۰۵/۰۵ ۱۲:۰۶:۲۶,۱۴۰۰/۰۵/۰۵ ۱۲:۰۶:۲۶,/Reports/Decision.aspx?LetterSerial=3Vkp7hTjfu2DTtKu6%2BcIzQ%3D%3D&rt=0&let=58&ct=0&ft=-1
763902,چدن,تولیدی چدن سازان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۳/۳۱,ن-۳۰,۱۴۰۰/۰۴/۰۷ ۱۷:۰۱:۵۷,۱۴۰۰/۰۴/۰۷ ۱۷:۰۱:۵۷,/Reports/Decision.aspx?LetterSerial=OZt2btammc1qtvAJRSzljg%3D%3D&rt=0&let=58&ct=0&ft=-1
751254,چدن,تولیدی چدن سازان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۲/۳۱,ن-۳۰,۱۴۰۰/۰۳/۰۵ ۱۶:۲۲:۲۸,۱۴۰۰/۰۳/۰۵ ۱۶:۲۲:۲۸,/Reports/Decision.aspx?LetterSerial=l0vifZhw9MgTeVQ1%2BJDcfg%3D%3D&rt=0&let=58&ct=0&ft=-1
740177,چدن,تولیدی چدن سازان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۱/۳۱,ن-۳۰,۱۴۰۰/۰۲/۰۷ ۱۵:۲۰:۴۹,۱۴۰۰/۰۲/۰۷ ۱۵:۲۰:۴۹,/Reports/Decision.aspx?LetterSerial=YTmpSNlYCxm3vaBgoq0APA%3D%3D&rt=0&let=58&ct=0&ft=-1
732187,چدن,تولیدی چدن سازان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۲/۳۰,ن-۳۰,۱۴۰۰/۰۱/۰۸ ۱۸:۰۸:۲۳,۱۴۰۰/۰۱/۰۸ ۱۸:۰۸:۲۳,/Reports/Decision.aspx?LetterSerial=Q1PlSwcyxQQQaQQQ1CJYRO0tDd7g%3D%3D&rt=0&let=58&ct=0&ft=-1
