TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075110,چکاپا,گروه صنایع کاغذ پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۴ ۱۷:۰۳:۱۰,۱۴۰۲/۰۶/۰۴ ۱۷:۰۳:۱۰,/Reports/Decision.aspx?LetterSerial=Q27qIucIWsUIPCu7pTgEsw%3d%3d&rt=0&let=58&ct=0&ft=-1
1063556,چکاپا,گروه صنایع کاغذ پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۳ ۱۱:۴۴:۲۴,۱۴۰۲/۰۵/۰۳ ۱۱:۴۴:۲۴,/Reports/Decision.aspx?LetterSerial=vFne08r5IXT6zvYN0S%2buAA%3d%3d&rt=0&let=58&ct=0&ft=-1
1045243,چکاپا,گروه صنایع کاغذ پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۴ ۱۱:۳۷:۴۵,۱۴۰۲/۰۴/۰۴ ۱۱:۳۷:۴۵,/Reports/Decision.aspx?LetterSerial=mnFT2ZiMFbrdnt1pE71x4g%3d%3d&rt=0&let=58&ct=0&ft=-1
1030648,چکاپا,گروه صنایع کاغذ پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۳ ۱۵:۳۳:۱۲,۱۴۰۲/۰۳/۰۳ ۱۵:۳۳:۱۲,/Reports/Decision.aspx?LetterSerial=LcGcJKzFxkFf9TwiXJuyog%3d%3d&rt=0&let=58&ct=0&ft=-1
1016815,چکاپا,گروه صنایع کاغذ پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۵ ۱۳:۳۴:۳۸,۱۴۰۲/۰۲/۰۵ ۱۳:۳۴:۳۸,/Reports/Decision.aspx?LetterSerial=usOIgFo8gBVqOAHnwFCilQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1006195,چکاپا,گروه صنایع کاغذ پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۵ ۱۰:۴۱:۵۷,۱۴۰۲/۰۱/۰۵ ۱۰:۴۱:۵۷,/Reports/Decision.aspx?LetterSerial=q6beaJQnQlNyBk1ffWPUkA%3d%3d&rt=0&let=58&ct=0&ft=-1
996284,چکاپا,گروه صنایع کاغذ پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۳ ۱۷:۳۶:۴۰,۱۴۰۱/۱۲/۰۳ ۱۷:۳۶:۴۰,/Reports/Decision.aspx?LetterSerial=TafyqJfrnEDapq5bS97%2brA%3d%3d&rt=0&let=58&ct=0&ft=-1
992973,چکاپا,گروه صنایع کاغذ پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۱/۲۴ ۱۳:۱۰:۴۷,۱۴۰۱/۱۱/۲۴ ۱۳:۱۰:۴۷,/Reports/Decision.aspx?LetterSerial=mzaZ%2b%2bmzPizGvDqaBlQ1HA%3d%3d&rt=0&let=58&ct=0&ft=-1
987362,چکاپا,گروه صنایع کاغذ پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۰:۳۳:۲۷,۱۴۰۱/۱۱/۰۵ ۱۰:۳۳:۲۷,/Reports/Decision.aspx?LetterSerial=aoGyZHfqMPD8bpwmxLfFAw%3d%3d&rt=0&let=58&ct=0&ft=-1
974818,چکاپا,گروه صنایع کاغذ پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۴ ۱۷:۱۱:۰۹,۱۴۰۱/۱۰/۰۴ ۱۷:۱۱:۰۹,/Reports/Decision.aspx?LetterSerial=VRu3YmdsPSlMnz9bCpwb5g%3d%3d&rt=0&let=58&ct=0&ft=-1
