TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1077109,کترام,تولیدی کاشی تکسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۶/۰۸ ۲۰:۰۱:۰۵,۱۴۰۲/۰۶/۰۸ ۲۰:۰۱:۰۵,/Reports/Decision.aspx?LetterSerial=GCxQmqPRcKWdUe72mAadXg%3d%3d&rt=0&let=58&ct=0&ft=-1
1074542,کترام,تولیدی کاشی تکسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۲:۲۴:۲۸,۱۴۰۲/۰۶/۰۵ ۱۲:۲۴:۲۸,/Reports/Decision.aspx?LetterSerial=eVnyCWB7rVlLXErtzFTXmg%3d%3d&rt=0&let=58&ct=0&ft=-1
1064742,کترام,تولیدی کاشی تکسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۲۰:۴۷:۰۱,۱۴۰۲/۰۵/۰۴ ۲۰:۴۷:۰۱,/Reports/Decision.aspx?LetterSerial=wvmej4PUenA7iC2sbdyQdw%3d%3d&rt=0&let=58&ct=0&ft=-1
1044935,کترام,تولیدی کاشی تکسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۵ ۱۷:۳۱:۵۸,۱۴۰۲/۰۴/۰۵ ۱۷:۳۱:۵۸,/Reports/Decision.aspx?LetterSerial=No1oefrqofoIyteThbfa5w%3d%3d&rt=0&let=58&ct=0&ft=-1
1030934,کترام,تولیدی کاشی تکسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۴ ۲۰:۰۵:۲۴,۱۴۰۲/۰۳/۰۴ ۲۰:۰۵:۲۴,/Reports/Decision.aspx?LetterSerial=kdDEbH9u5dqbrhtZEXwtPg%3d%3d&rt=0&let=58&ct=0&ft=-1
1018165,کترام,تولیدی کاشی تکسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۸ ۱۸:۱۹:۴۷,۱۴۰۲/۰۲/۰۸ ۱۸:۱۹:۴۷,/Reports/Decision.aspx?LetterSerial=l0fX7EMbc9kvQpoBmqEwtg%3d%3d&rt=0&let=58&ct=0&ft=-1
1008316,کترام,تولیدی کاشی تکسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۸ ۱۳:۵۴:۴۴,۱۴۰۲/۰۱/۰۸ ۱۳:۵۴:۴۴,/Reports/Decision.aspx?LetterSerial=FQhWhQN0nvfIrQPJwXw4Wg%3d%3d&rt=0&let=58&ct=0&ft=-1
996566,کترام,تولیدی کاشی تکسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۷ ۲۱:۴۵:۰۰,۱۴۰۱/۱۲/۰۷ ۲۱:۴۵:۰۰,/Reports/Decision.aspx?LetterSerial=YOAyT7LqZI9dxHREwLtisw%3d%3d&rt=0&let=58&ct=0&ft=-1
987126,کترام,تولیدی کاشی تکسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۹:۱۱:۲۸,۱۴۰۱/۱۱/۰۵ ۱۹:۱۱:۲۸,/Reports/Decision.aspx?LetterSerial=R3J4os4dkGVZoUUXD0cfJw%3d%3d&rt=0&let=58&ct=0&ft=-1
974189,کترام,تولیدی کاشی تکسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۲۰:۴۹:۰۲,۱۴۰۱/۱۰/۰۵ ۲۰:۴۹:۰۲,/Reports/Decision.aspx?LetterSerial=OxcznqDOJ7eB3nZ3RPrHjQ%3d%3d&rt=0&let=58&ct=0&ft=-1
962875,کترام,تولیدی کاشی تکسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۵ ۲۰:۳۳:۴۵,۱۴۰۱/۰۹/۰۵ ۲۰:۳۳:۴۵,/Reports/Decision.aspx?LetterSerial=xfZ13IeThQTFED9uY2F8TA%3d%3d&rt=0&let=58&ct=0&ft=-1
950939,کترام,تولیدی کاشی تکسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۵ ۱۹:۰۰:۲۱,۱۴۰۱/۰۸/۰۵ ۱۹:۰۰:۲۱,/Reports/Decision.aspx?LetterSerial=jz3JxNzp0wOzH9rOdOl%2bHQ%3d%3d&rt=0&let=58&ct=0&ft=-1
943071,کترام,تولیدی کاشی تکسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۱۰ ۱۵:۱۶:۴۱,۱۴۰۱/۰۷/۱۰ ۱۵:۱۶:۴۱,/Reports/Decision.aspx?LetterSerial=XhTMbvGF9uFs9rEQQQaQQQNiKrSA%3d%3d&rt=0&let=58&ct=0&ft=-1
940731,کترام,تولیدی کاشی تکسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۷ ۰۸:۲۱:۲۶,۱۴۰۱/۰۷/۰۷ ۰۸:۲۱:۲۶,/Reports/Decision.aspx?LetterSerial=G3APSE5aMmzQQQaQQQix42DnfR4A%3d%3d&rt=0&let=58&ct=0&ft=-1
930421,کترام,تولیدی کاشی تکسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۵ ۱۵:۳۸:۵۷,۱۴۰۱/۰۶/۰۵ ۱۵:۳۸:۵۷,/Reports/Decision.aspx?LetterSerial=yQY8Z9QTNV4lsBq49atRUw%3d%3d&rt=0&let=58&ct=0&ft=-1
917313,کترام,تولیدی کاشی تکسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۳ ۱۶:۰۹:۱۳,۱۴۰۱/۰۵/۰۳ ۱۶:۰۹:۱۳,/Reports/Decision.aspx?LetterSerial=mbc636baB9I2a879xwMYTA%3d%3d&rt=0&let=58&ct=0&ft=-1
914084,کترام,تولیدی کاشی تکسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۴/۳۰ ۰۸:۲۱:۱۶,۱۴۰۱/۰۴/۳۰ ۰۸:۲۱:۱۶,/Reports/Decision.aspx?LetterSerial=QQQaQQQ6z0vECC8n82ys9AjZYR4g%3d%3d&rt=0&let=58&ct=0&ft=-1
