TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1076745,کحافظ,کاشی و سرامیک حافظ,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۶/۰۷ ۱۱:۴۵:۵۸,۱۴۰۲/۰۶/۰۷ ۱۱:۴۵:۵۸,/Reports/Decision.aspx?LetterSerial=vqVUUQDcw%2b5%2baL2V7g5wXA%3d%3d&rt=0&let=58&ct=0&ft=-1
1076426,کحافظ,کاشی و سرامیک حافظ,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۷ ۱۰:۴۵:۴۲,۱۴۰۲/۰۶/۰۷ ۱۰:۴۵:۴۲,/Reports/Decision.aspx?LetterSerial=CE9i7QQQaQQQ5D3SrC4O05P6JZ4A%3d%3d&rt=0&let=58&ct=0&ft=-1
1065214,کحافظ,کاشی و سرامیک حافظ,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۵/۰۷ ۱۵:۱۹:۰۵,۱۴۰۲/۰۵/۰۷ ۱۵:۱۹:۰۵,/Reports/Decision.aspx?LetterSerial=83rf9u5cdNLIOjrz5j%2bi2Q%3d%3d&rt=0&let=58&ct=0&ft=-1
1063736,کحافظ,کاشی و سرامیک حافظ,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۷ ۱۴:۰۳:۰۶,۱۴۰۲/۰۵/۰۷ ۱۴:۰۳:۰۶,/Reports/Decision.aspx?LetterSerial=TQs5fkxmoW0letoAiHt8pw%3d%3d&rt=0&let=58&ct=0&ft=-1
1047503,کحافظ,کاشی و سرامیک حافظ,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۲:۴۰:۰۴,۱۴۰۲/۰۴/۰۷ ۱۲:۴۰:۰۴,/Reports/Decision.aspx?LetterSerial=8OdaSpmG8rP0HZhnoEQQQQaQQQxg%3d%3d&rt=0&let=58&ct=0&ft=-1
1031838,کحافظ,کاشی و سرامیک حافظ,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۰۹:۱۲:۴۰,۱۴۰۲/۰۳/۰۷ ۰۹:۱۲:۴۰,/Reports/Decision.aspx?LetterSerial=GLUuM78B5xQnbCFLRpJPGw%3d%3d&rt=0&let=58&ct=0&ft=-1
1017973,کحافظ,کاشی و سرامیک حافظ,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۶ ۱۷:۲۴:۳۹,۱۴۰۲/۰۲/۰۶ ۱۷:۲۴:۳۹,/Reports/Decision.aspx?LetterSerial=ajE1JJhLDeNM8L78ViNsfg%3d%3d&rt=0&let=58&ct=0&ft=-1
1017320,کحافظ,کاشی و سرامیک حافظ,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۰۶ ۱۶:۴۸:۳۸,۱۴۰۲/۰۲/۰۶ ۱۶:۴۸:۳۸,/Reports/Decision.aspx?LetterSerial=edUGpdb0VU0MExiNdgJYrw%3d%3d&rt=0&let=58&ct=0&ft=-1
1005972,کحافظ,کاشی و سرامیک حافظ,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۵ ۱۳:۱۱:۵۲,۱۴۰۲/۰۱/۰۵ ۱۳:۱۱:۵۲,/Reports/Decision.aspx?LetterSerial=EhvweDY6rOqVuBFagTbNcg%3d%3d&rt=0&let=58&ct=0&ft=-1
997315,کحافظ,کاشی و سرامیک حافظ,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۷ ۱۸:۱۸:۳۳,۱۴۰۱/۱۲/۰۷ ۱۸:۱۸:۳۳,/Reports/Decision.aspx?LetterSerial=aiCzpI5uuhCTOMA20PO%2bWA%3d%3d&rt=0&let=58&ct=0&ft=-1
