TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075512,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۶ ۱۲:۲۷:۲۳,۱۴۰۲/۰۶/۰۶ ۱۲:۲۷:۲۳,/Reports/Decision.aspx?LetterSerial=gSoCFIDApcN9qaAL41ecJA%3d%3d&rt=0&let=58&ct=0&ft=-1
1064931,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۷ ۱۲:۳۱:۴۱,۱۴۰۲/۰۵/۰۷ ۱۲:۳۱:۴۱,/Reports/Decision.aspx?LetterSerial=gJ8mtmHB2%2brleq8bQMr4kg%3d%3d&rt=0&let=58&ct=0&ft=-1
1047448,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۲:۴۹:۴۱,۱۴۰۲/۰۴/۰۷ ۱۲:۴۹:۴۱,/Reports/Decision.aspx?LetterSerial=dJOlURPF8iACYgreQuteJA%3d%3d&rt=0&let=58&ct=0&ft=-1
1032132,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۲:۴۳:۳۵,۱۴۰۲/۰۳/۰۷ ۱۲:۴۳:۳۵,/Reports/Decision.aspx?LetterSerial=YJ49EQQQaQQQijf2FEjv%2bARmqH3A%3d%3d&rt=0&let=58&ct=0&ft=-1
1019257,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۰ ۱۷:۲۸:۰۴,۱۴۰۲/۰۲/۱۰ ۱۷:۲۸:۰۴,/Reports/Decision.aspx?LetterSerial=NZR7RjotMVhiF94RR59QyQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1019176,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۱۰ ۱۲:۲۱:۵۷,۱۴۰۲/۰۲/۱۰ ۱۲:۲۱:۵۷,/Reports/Decision.aspx?LetterSerial=YJyApnhghB89JJW5rSewYQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1008864,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۹ ۱۳:۱۲:۰۹,۱۴۰۲/۰۱/۰۹ ۱۳:۱۲:۰۹,/Reports/Decision.aspx?LetterSerial=tCyk7PyU7JwUVlkB6xVIuw%3d%3d&rt=0&let=58&ct=0&ft=-1
997154,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۷ ۱۷:۴۷:۱۷,۱۴۰۱/۱۲/۰۷ ۱۷:۴۷:۱۷,/Reports/Decision.aspx?LetterSerial=qkLrS2uuiHd50HigN%2bJGYg%3d%3d&rt=0&let=58&ct=0&ft=-1
987398,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۴:۳۴:۱۲,۱۴۰۱/۱۱/۰۵ ۱۴:۳۴:۱۲,/Reports/Decision.aspx?LetterSerial=hOvD6FxdJSLK8yV7VrhdKw%3d%3d&rt=0&let=58&ct=0&ft=-1
976561,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۱۰ ۱۴:۴۵:۰۸,۱۴۰۱/۱۰/۱۰ ۱۴:۴۵:۰۸,/Reports/Decision.aspx?LetterSerial=zWveMMe9YJbZvKJLzclneQ%3d%3d&rt=0&let=58&ct=0&ft=-1
964142,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۷ ۱۲:۳۳:۵۷,۱۴۰۱/۰۹/۰۷ ۱۲:۳۳:۵۷,/Reports/Decision.aspx?LetterSerial=qVVR%2b3F5Q6TxIWyjsn7bJA%3d%3d&rt=0&let=58&ct=0&ft=-1
952019,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۷ ۱۶:۲۶:۱۱,۱۴۰۱/۰۸/۰۷ ۱۶:۲۶:۱۱,/Reports/Decision.aspx?LetterSerial=vsruVQomcL2dcD%2bHkW7%2bfg%3d%3d&rt=0&let=58&ct=0&ft=-1
943049,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۱۰ ۱۵:۴۳:۳۶,۱۴۰۱/۰۷/۱۰ ۱۵:۴۳:۳۶,/Reports/Decision.aspx?LetterSerial=xQQQaQQQCS0qQQQaQQQcDYPxF2%2bl5oEHNQ%3d%3d&rt=0&let=58&ct=0&ft=-1
931211,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۶ ۱۵:۰۱:۰۵,۱۴۰۱/۰۶/۰۶ ۱۵:۰۱:۰۵,/Reports/Decision.aspx?LetterSerial=%2bPg4yjMGTlyBJb2oy3B8tA%3d%3d&rt=0&let=58&ct=0&ft=-1
918944,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۴ ۱۶:۴۹:۴۸,۱۴۰۱/۰۵/۰۴ ۱۶:۴۹:۴۸,/Reports/Decision.aspx?LetterSerial=xIjQQQaQQQS4k7sK9xJYvu7FVnQQQaQQQA%3d%3d&rt=0&let=58&ct=0&ft=-1
915619,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۴/۲۹ ۱۷:۵۰:۲۲,۱۴۰۱/۰۴/۲۹ ۱۷:۵۰:۲۲,/Reports/Decision.aspx?LetterSerial=WXLkv%2bGGyiyJzQQQaQQQcgDB5u2Q%3d%3d&rt=0&let=58&ct=0&ft=-1
903629,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۰,۱۴۰۱/۰۴/۰۷ ۱۴:۱۹:۴۴,۱۴۰۱/۰۴/۰۷ ۱۴:۱۹:۴۴,/Reports/Decision.aspx?LetterSerial=5BzkZf8QQQaQQQUtBZxRYEQ3se9Q%3d%3d&rt=0&let=58&ct=0&ft=-1
887824,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۰,۱۴۰۱/۰۳/۰۴ ۱۷:۳۵:۲۸,۱۴۰۱/۰۳/۰۴ ۱۷:۳۵:۲۸,/Reports/Decision.aspx?LetterSerial=XQQQaQQQgBECDcQQQaQQQrQoHXQMjq8FGg%3d%3d&rt=0&let=58&ct=0&ft=-1
882432,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۰/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۱/۰۲/۲۷ ۱۳:۳۴:۱۴,۱۴۰۱/۰۲/۲۷ ۱۳:۳۴:۱۴,/Reports/Decision.aspx?LetterSerial=1arwUfF9rKewZDQQQaQQQ3QQQaQQQMiQQQaQQQyw%3D%3D&rt=0&let=58&ct=0&ft=-1
876121,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۲/۰۷ ۱۸:۱۶:۲۰,۱۴۰۱/۰۲/۰۷ ۱۸:۱۶:۲۰,/Reports/Decision.aspx?LetterSerial=NJ83rrW%2BjZQHgor9SEGiIg%3D%3D&rt=0&let=58&ct=0&ft=-1
875734,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۰,۱۴۰۱/۰۲/۰۷ ۱۴:۰۲:۵۹,۱۴۰۱/۰۲/۰۷ ۱۴:۰۲:۵۹,/Reports/Decision.aspx?LetterSerial=CuAT0JuYc%2BRh5oz%2B2A8FQA%3D%3D&rt=0&let=58&ct=0&ft=-1
872537,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۰/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۱/۰۱/۳۰ ۱۷:۵۰:۲۷,۱۴۰۱/۰۱/۳۰ ۱۷:۵۰:۲۷,/Reports/Decision.aspx?LetterSerial=ZWdG5ZuX1RUPtrJf2kJHZg%3D%3D&rt=0&let=58&ct=0&ft=-1
866698,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۱/۰۱/۱۵ ۱۶:۳۰:۴۸,۱۴۰۱/۰۱/۱۵ ۱۶:۳۰:۴۸,/Reports/Decision.aspx?LetterSerial=Tc1wbOVWNZS9OKx1hE9M%2BQ%3D%3D&rt=0&let=58&ct=0&ft=-1
865606,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۰,۱۴۰۱/۰۱/۰۹ ۱۴:۴۷:۰۰,۱۴۰۱/۰۱/۰۹ ۱۴:۴۷:۰۰,/Reports/Decision.aspx?LetterSerial=nGdUeP5QQQaQQQ8PbJHjvHCvEObg%3D%3D&rt=0&let=58&ct=0&ft=-1
856806,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰,ن-۳۰,۱۴۰۰/۱۲/۰۴ ۱۲:۴۶:۴۶,۱۴۰۰/۱۲/۰۴ ۱۲:۴۶:۴۶,/Reports/Decision.aspx?LetterSerial=kYFARZk88Y%2BCDoj66QKmXg%3D%3D&rt=0&let=58&ct=0&ft=-1
845536,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰,ن-۳۰,۱۴۰۰/۱۱/۰۲ ۱۸:۰۶:۱۶,۱۴۰۰/۱۱/۰۲ ۱۸:۰۶:۱۶,/Reports/Decision.aspx?LetterSerial=QQQaQQQeQk3ghdoj%2B6%2BS3rRMT18Q%3D%3D&rt=0&let=58&ct=0&ft=-1
835909,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۹/۳۰,ن-۳۰,۱۴۰۰/۱۰/۰۶ ۱۷:۰۰:۰۷,۱۴۰۰/۱۰/۰۶ ۱۷:۰۰:۰۷,/Reports/Decision.aspx?LetterSerial=Qr1FRYqViB7KlKo5GIH3gQ%3D%3D&rt=0&let=58&ct=0&ft=-1
822882,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۸/۳۰,ن-۳۰,۱۴۰۰/۰۹/۰۶ ۱۷:۰۸:۳۲,۱۴۰۰/۰۹/۰۶ ۱۷:۰۸:۳۲,/Reports/Decision.aspx?LetterSerial=W0h1fBxZYJkhyMdQQQaQQQDU7ZXQ%3D%3D&rt=0&let=58&ct=0&ft=-1
811708,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۷/۳۰,ن-۳۰,۱۴۰۰/۰۸/۰۸ ۱۶:۴۰:۴۹,۱۴۰۰/۰۸/۰۸ ۱۶:۴۰:۴۹,/Reports/Decision.aspx?LetterSerial=NMnvcEMly67fhjH1EoVifg%3D%3D&rt=0&let=58&ct=0&ft=-1
801677,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۶/۳۱,ن-۳۰,۱۴۰۰/۰۷/۱۰ ۱۵:۳۰:۳۰,۱۴۰۰/۰۷/۱۰ ۱۵:۳۰:۳۰,/Reports/Decision.aspx?LetterSerial=xx5SvQQQaQQQ1EiY1ZIQQQaQQQTKunZyMg%3D%3D&rt=0&let=58&ct=0&ft=-1
786484,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۵/۳۱,ن-۳۰,۱۴۰۰/۰۶/۰۷ ۱۳:۵۸:۰۹,۱۴۰۰/۰۶/۰۷ ۱۳:۵۸:۰۹,/Reports/Decision.aspx?LetterSerial=aiPlEzigNN3WPz5EhgZn5Q%3D%3D&rt=0&let=58&ct=0&ft=-1
777541,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۴/۳۱,ن-۳۰,۱۴۰۰/۰۵/۰۵ ۱۷:۰۵:۲۵,۱۴۰۰/۰۵/۰۵ ۱۷:۰۵:۲۵,/Reports/Decision.aspx?LetterSerial=c%2B20n1OsB6mDKP5yQh6wQQQaQQQg%3D%3D&rt=0&let=58&ct=0&ft=-1
763714,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۳/۳۱,ن-۳۰,۱۴۰۰/۰۴/۰۷ ۱۳:۱۸:۱۴,۱۴۰۰/۰۴/۰۷ ۱۳:۱۸:۱۴,/Reports/Decision.aspx?LetterSerial=qvi3ETuM4c8cRytSZ9QQQaQQQzyQ%3D%3D&rt=0&let=58&ct=0&ft=-1
751394,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۲/۳۱,ن-۳۰,۱۴۰۰/۰۳/۰۵ ۱۳:۲۵:۰۷,۱۴۰۰/۰۳/۰۵ ۱۳:۲۵:۰۷,/Reports/Decision.aspx?LetterSerial=e0QQQaQQQaWKnU2S1d32sTBDhGjg%3D%3D&rt=0&let=58&ct=0&ft=-1
741254,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۱/۳۱,ن-۳۰,۱۴۰۰/۰۲/۰۷ ۱۵:۰۴:۰۹,۱۴۰۰/۰۲/۰۷ ۱۵:۰۴:۰۹,/Reports/Decision.aspx?LetterSerial=YCsx8aVNcxvMfPXKKMPAQQQaQQQQ%3D%3D&rt=0&let=58&ct=0&ft=-1
733279,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۲/۳۰,ن-۳۰,۱۴۰۰/۰۱/۱۴ ۱۶:۵۳:۰۶,۱۴۰۰/۰۱/۱۴ ۱۶:۵۳:۰۶,/Reports/Decision.aspx?LetterSerial=SqOQTm0JeKFAOoAWQQQaQQQ8zuVA%3D%3D&rt=0&let=58&ct=0&ft=-1
725453,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۱/۳۰,ن-۳۰,۱۳۹۹/۱۲/۰۶ ۱۵:۳۱:۱۴,۱۳۹۹/۱۲/۰۶ ۱۵:۳۱:۱۴,/Reports/Decision.aspx?LetterSerial=%2BYWhbTGRUF9SiIeDJVHjuw%3D%3D&rt=0&let=58&ct=0&ft=-1
716931,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۰/۳۰,ن-۳۰,۱۳۹۹/۱۱/۰۷ ۱۵:۲۲:۰۲,۱۳۹۹/۱۱/۰۷ ۱۵:۲۲:۰۲,/Reports/Decision.aspx?LetterSerial=VECUPXAxfGg38wXXP1rrjQ%3D%3D&rt=0&let=58&ct=0&ft=-1
706718,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۹/۳۰,ن-۳۰,۱۳۹۹/۱۰/۰۷ ۱۳:۳۹:۳۳,۱۳۹۹/۱۰/۰۷ ۱۳:۳۹:۳۳,/Reports/Decision.aspx?LetterSerial=qZDi1fEApnY2mpE7u0aEog%3D%3D&rt=0&let=58&ct=0&ft=-1
697123,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۸/۳۰,ن-۳۰,۱۳۹۹/۰۹/۰۵ ۰۹:۴۳:۳۶,۱۳۹۹/۰۹/۰۵ ۰۹:۴۳:۳۶,/Reports/Decision.aspx?LetterSerial=9x6A86KfVBimhsBDh4Za2w%3D%3D&rt=0&let=58&ct=0&ft=-1
688032,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۷/۳۰,ن-۳۰,۱۳۹۹/۰۸/۱۰ ۱۳:۱۳:۲۱,۱۳۹۹/۰۸/۱۰ ۱۳:۱۳:۲۱,/Reports/Decision.aspx?LetterSerial=r9YV8QeH9C5kB8SOKKAgCw%3D%3D&rt=0&let=58&ct=0&ft=-1
676927,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۶/۳۱,ن-۳۰,۱۳۹۹/۰۷/۰۷ ۱۵:۴۰:۲۸,۱۳۹۹/۰۷/۰۷ ۱۵:۴۰:۲۸,/Reports/Decision.aspx?LetterSerial=1a6Hh9FvKgocozIQQQaQQQs47KGw%3D%3D&rt=0&let=58&ct=0&ft=-1
667663,کرماشا,صنایع پتروشیمی کرمانشاه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۵/۳۱,ن-۳۰,۱۳۹۹/۰۶/۰۵ ۱۰:۱۹:۴۲,۱۳۹۹/۰۶/۰۵ ۱۰:۱۹:۴۲,/Reports/Decision.aspx?LetterSerial=wOVzxM9WM8b5qYLYTmGaKw%3D%3D&rt=0&let=58&ct=0&ft=-1
