TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075213,کروی,توسعه معادن روی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۱,۱۴۰۲/۰۶/۰۴ ۱۷:۴۹:۴۱,۱۴۰۲/۰۶/۰۴ ۱۷:۴۹:۴۱,/Reports/Decision.aspx?LetterSerial=stjmpuk91JXjRtiWYfuwng%3d%3d&rt=2&let=8&ct=0&ft=-1
1063989,کروی,توسعه معادن روی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۱,۱۴۰۲/۰۵/۰۳ ۱۹:۳۵:۳۹,۱۴۰۲/۰۵/۰۳ ۱۹:۳۵:۳۹,/Reports/Decision.aspx?LetterSerial=vYK%2b%2be9QQQaQQQqUvsXO8JQQQaQQQ1cyQQQaQQQA%3d%3d&rt=2&let=8&ct=0&ft=-1
1044810,کروی,توسعه معادن روی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۱,۱۴۰۲/۰۴/۰۳ ۱۶:۴۱:۵۴,۱۴۰۲/۰۴/۰۳ ۱۶:۴۱:۵۴,/Reports/Decision.aspx?LetterSerial=sFxpwusUKCNFizjeIo7j7g%3d%3d&rt=2&let=8&ct=0&ft=-1
1030829,کروی,توسعه معادن روی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۱,۱۴۰۲/۰۳/۰۳ ۱۸:۲۴:۰۵,۱۴۰۲/۰۳/۰۳ ۱۸:۲۴:۰۵,/Reports/Decision.aspx?LetterSerial=nrYHr%2bhU3CJVrRXRGwEioQ%3d%3d&rt=2&let=8&ct=0&ft=-1
1015809,کروی,توسعه معادن روی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۱,۱۴۰۲/۰۲/۰۴ ۱۷:۵۵:۱۹,۱۴۰۲/۰۲/۰۴ ۱۷:۵۵:۱۹,/Reports/Decision.aspx?LetterSerial=RxpWo4152VOL7Y4uFmHzXA%3d%3d&rt=2&let=8&ct=0&ft=-1
1006021,کروی,توسعه معادن روی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۱,۱۴۰۱/۱۲/۲۸ ۱۶:۵۷:۲۵,۱۴۰۱/۱۲/۲۸ ۱۶:۵۷:۲۵,/Reports/Decision.aspx?LetterSerial=H7imgWKJ0cFe2S%2bgE8QJjQ%3d%3d&rt=2&let=8&ct=0&ft=-1
995186,کروی,توسعه معادن روی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۱,۱۴۰۱/۱۲/۰۱ ۱۸:۵۶:۲۲,۱۴۰۱/۱۲/۰۱ ۱۸:۵۶:۲۲,/Reports/Decision.aspx?LetterSerial=0mKRqwi9tjxLkzbQQQaQQQL9cF%2bA%3d%3d&rt=2&let=8&ct=0&ft=-1
987804,کروی,توسعه معادن روی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۱,۱۴۰۱/۱۱/۰۵ ۱۵:۲۷:۴۶,۱۴۰۱/۱۱/۰۵ ۱۵:۲۷:۴۶,/Reports/Decision.aspx?LetterSerial=WXpSEGwHUku8z9LvPOgdkw%3d%3d&rt=2&let=8&ct=0&ft=-1
974297,کروی,توسعه معادن روی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۱,۱۴۰۱/۱۰/۰۳ ۱۷:۴۷:۱۵,۱۴۰۱/۱۰/۰۳ ۱۷:۴۷:۱۵,/Reports/Decision.aspx?LetterSerial=G5L8WPuMVQQQaQQQ6NOHQwejYByw%3d%3d&rt=2&let=8&ct=0&ft=-1
962783,کروی,توسعه معادن روی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۱,۱۴۰۱/۰۹/۰۳ ۰۹:۵۸:۴۶,۱۴۰۱/۰۹/۰۳ ۰۹:۵۸:۴۶,/Reports/Decision.aspx?LetterSerial=HMIvYqTF7v1Q5Utb2WHt4w%3d%3d&rt=2&let=8&ct=0&ft=-1
950411,کروی,توسعه معادن روی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۱,۱۴۰۱/۰۸/۰۲ ۱۸:۲۸:۴۸,۱۴۰۱/۰۸/۰۲ ۱۸:۲۸:۴۸,/Reports/Decision.aspx?LetterSerial=ty5lSveu4wlpHJdSgvzbSw%3d%3d&rt=2&let=8&ct=0&ft=-1
941475,کروی,توسعه معادن روی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۱,۱۴۰۱/۰۷/۰۴ ۱۶:۵۷:۲۵,۱۴۰۱/۰۷/۰۴ ۱۶:۵۷:۲۵,/Reports/Decision.aspx?LetterSerial=qjBXHu4OqmOg0zn72JVWig%3d%3d&rt=2&let=8&ct=0&ft=-1
932844,کروی,توسعه معادن روی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱(اصلاحیه),ن-۳۱,۱۴۰۱/۰۶/۰۹ ۱۴:۰۷:۲۳,۱۴۰۱/۰۶/۰۹ ۱۴:۰۷:۲۳,/Reports/Decision.aspx?LetterSerial=XGUXcmrfaf8EWYJaBlfhKw%3d%3d&rt=2&let=8&ct=0&ft=-1
928869,کروی,توسعه معادن روی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۱,۱۴۰۱/۰۶/۰۵ ۱۲:۳۵:۲۴,۱۴۰۱/۰۶/۰۵ ۱۲:۳۵:۲۴,/Reports/Decision.aspx?LetterSerial=WK97A68bktTSWJJpR9wBUQ%3d%3d&rt=2&let=8&ct=0&ft=-1
918094,کروی,توسعه معادن روی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۱,۱۴۰۱/۰۵/۰۳ ۱۵:۴۲:۵۰,۱۴۰۱/۰۵/۰۳ ۱۵:۴۲:۵۰,/Reports/Decision.aspx?LetterSerial=LRfMD4QQQaQQQEyOdkhoLgE4Y9gQ%3d%3d&rt=2&let=8&ct=0&ft=-1
902245,کروی,توسعه معادن روی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۱,۱۴۰۱/۰۴/۰۵ ۱۵:۲۵:۴۹,۱۴۰۱/۰۴/۰۵ ۱۵:۲۵:۴۹,/Reports/Decision.aspx?LetterSerial=oAKg1MU8Mqud8MgWPwj0Ag%3d%3d&rt=2&let=8&ct=0&ft=-1
887226,کروی,توسعه معادن روی ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۱,۱۴۰۱/۰۳/۰۳ ۱۷:۵۵:۱۹,۱۴۰۱/۰۳/۰۳ ۱۷:۵۵:۱۹,/Reports/Decision.aspx?LetterSerial=O9GllPTKBItpVNRr5zNYEw%3d%3d&rt=2&let=8&ct=0&ft=-1
