TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1076437,کساوه,صنایع کاشی و سرامیک سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۷ ۱۷:۰۴:۵۵,۱۴۰۲/۰۶/۰۷ ۱۷:۰۴:۵۵,/Reports/Decision.aspx?LetterSerial=LyLG68bpa65dMh9aqpHpBA%3d%3d&rt=0&let=58&ct=0&ft=-1
1064254,کساوه,صنایع کاشی و سرامیک سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۲:۲۰:۴۰,۱۴۰۲/۰۵/۰۴ ۱۲:۲۰:۴۰,/Reports/Decision.aspx?LetterSerial=8cbS1eF2sJ2bRuZvKhGZ9w%3d%3d&rt=0&let=58&ct=0&ft=-1
1047936,کساوه,صنایع کاشی و سرامیک سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۶:۱۴:۰۶,۱۴۰۲/۰۴/۰۷ ۱۶:۱۴:۰۶,/Reports/Decision.aspx?LetterSerial=lI73ffETws9QQQaQQQIQQQaQQQ9ZQQQaQQQruDUw%3d%3d&rt=0&let=58&ct=0&ft=-1
1031882,کساوه,صنایع کاشی و سرامیک سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۳:۰۷:۳۰,۱۴۰۲/۰۳/۰۷ ۱۳:۰۷:۳۰,/Reports/Decision.aspx?LetterSerial=P5UUHHOidtXD0zNLdQSQQQaQQQdw%3d%3d&rt=0&let=58&ct=0&ft=-1
1019496,کساوه,صنایع کاشی و سرامیک سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۰ ۲۰:۳۲:۳۱,۱۴۰۲/۰۲/۱۰ ۲۰:۳۲:۳۱,/Reports/Decision.aspx?LetterSerial=vTJBCKz85Q10wMcDdFguqw%3d%3d&rt=0&let=58&ct=0&ft=-1
1008824,کساوه,صنایع کاشی و سرامیک سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۸ ۱۶:۰۱:۲۶,۱۴۰۲/۰۱/۰۸ ۱۶:۰۱:۲۶,/Reports/Decision.aspx?LetterSerial=5xXlztkQQQaQQQYnlUUV4XjgrnPA%3d%3d&rt=0&let=58&ct=0&ft=-1
997438,کساوه,صنایع کاشی و سرامیک سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۷ ۱۳:۱۸:۱۸,۱۴۰۱/۱۲/۰۷ ۱۳:۱۸:۱۸,/Reports/Decision.aspx?LetterSerial=Ontrp%2bgPIsFxq0RjbORgcw%3d%3d&rt=0&let=58&ct=0&ft=-1
987682,کساوه,صنایع کاشی و سرامیک سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۹:۰۲:۳۰,۱۴۰۱/۱۱/۰۵ ۱۹:۰۲:۳۰,/Reports/Decision.aspx?LetterSerial=o9aCynnCilbSvMvnTXRAQw%3d%3d&rt=0&let=58&ct=0&ft=-1
976182,کساوه,صنایع کاشی و سرامیک سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۱۰ ۱۵:۱۹:۰۸,۱۴۰۱/۱۰/۱۰ ۱۵:۱۹:۰۸,/Reports/Decision.aspx?LetterSerial=hvpbKVmqMC7tkx%2b5fCdSSA%3d%3d&rt=0&let=58&ct=0&ft=-1
976170,کساوه,صنایع کاشی و سرامیک سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۰۷ ۱۷:۱۵:۴۶,۱۴۰۱/۱۰/۰۷ ۱۷:۱۵:۴۶,/Reports/Decision.aspx?LetterSerial=k0%2bLoxImeKiX71H%2bby8prA%3d%3d&rt=0&let=58&ct=0&ft=-1
975969,کساوه,صنایع کاشی و سرامیک سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۰۷ ۱۶:۴۵:۴۱,۱۴۰۱/۱۰/۰۷ ۱۶:۴۵:۴۱,/Reports/Decision.aspx?LetterSerial=7UWAbz8yG5rpsX37iBPg4Q%3d%3d&rt=0&let=58&ct=0&ft=-1
973353,کساوه,صنایع کاشی و سرامیک سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۹/۳۰ ۱۱:۱۱:۴۲,۱۴۰۱/۰۹/۳۰ ۱۱:۱۱:۴۲,/Reports/Decision.aspx?LetterSerial=iN5mrB6PIg3GYjDMRyn2Sw%3d%3d&rt=0&let=58&ct=0&ft=-1
964698,کساوه,صنایع کاشی و سرامیک سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۷ ۱۷:۴۹:۴۸,۱۴۰۱/۰۹/۰۷ ۱۷:۴۹:۴۸,/Reports/Decision.aspx?LetterSerial=bVqrixtL3DhhJEVGnKcUrg%3d%3d&rt=0&let=58&ct=0&ft=-1
951531,کساوه,صنایع کاشی و سرامیک سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۴ ۲۰:۴۰:۱۴,۱۴۰۱/۰۸/۰۴ ۲۰:۴۰:۱۴,/Reports/Decision.aspx?LetterSerial=X%2bSQlgeM5Tdar67P%2bq87vg%3d%3d&rt=0&let=58&ct=0&ft=-1
942546,کساوه,صنایع کاشی و سرامیک سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۹ ۱۷:۱۳:۳۲,۱۴۰۱/۰۷/۰۹ ۱۷:۱۳:۳۲,/Reports/Decision.aspx?LetterSerial=9q0kdRQkGduRTQn9w638nA%3d%3d&rt=0&let=58&ct=0&ft=-1
931841,کساوه,صنایع کاشی و سرامیک سینا,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۷ ۱۴:۲۱:۴۵,۱۴۰۱/۰۶/۰۷ ۱۴:۲۱:۴۵,/Reports/Decision.aspx?LetterSerial=TfDlV94GAJ847sK5bjv1gA%3d%3d&rt=0&let=58&ct=0&ft=-1
