TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1074828,کساپا,سایپا شیشه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۴ ۱۰:۳۷:۳۴,۱۴۰۲/۰۶/۰۴ ۱۰:۳۷:۳۴,/Reports/Decision.aspx?LetterSerial=GZlcikgAZSXPaIUNQLnfBg%3d%3d&rt=0&let=58&ct=0&ft=-1
1063480,کساپا,سایپا شیشه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۳ ۱۱:۱۷:۰۵,۱۴۰۲/۰۵/۰۳ ۱۱:۱۷:۰۵,/Reports/Decision.aspx?LetterSerial=XTXD3EiXgXpwQcvstAA5MA%3d%3d&rt=0&let=58&ct=0&ft=-1
1060387,کساپا,سایپا شیشه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۲۹ ۱۷:۱۶:۱۹,۱۴۰۲/۰۴/۲۹ ۱۷:۱۶:۱۹,/Reports/Decision.aspx?LetterSerial=C0MQU4O8DCav5Zba3pkDpQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1047651,کساپا,سایپا شیشه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۴:۴۸:۳۱,۱۴۰۲/۰۴/۰۷ ۱۴:۴۸:۳۱,/Reports/Decision.aspx?LetterSerial=gs0S5BNlndxzLj2EnQF4gA%3d%3d&rt=0&let=58&ct=0&ft=-1
1045409,کساپا,سایپا شیشه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۴ ۱۵:۰۴:۴۴,۱۴۰۲/۰۴/۰۴ ۱۵:۰۴:۴۴,/Reports/Decision.aspx?LetterSerial=Jon7gZqxbe9QQQaQQQOgE8xdc06w%3d%3d&rt=0&let=58&ct=0&ft=-1
1030407,کساپا,سایپا شیشه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۳ ۱۵:۰۵:۴۹,۱۴۰۲/۰۳/۰۳ ۱۵:۰۵:۴۹,/Reports/Decision.aspx?LetterSerial=T7W07P26Fmy9ncFQQQaQQQfiZMmg%3d%3d&rt=0&let=58&ct=0&ft=-1
1027430,کساپا,سایپا شیشه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۳۰ ۱۷:۲۴:۳۳,۱۴۰۲/۰۲/۳۰ ۱۷:۲۴:۳۳,/Reports/Decision.aspx?LetterSerial=dVQzBYxK9QVHsuTTnFlQQQaQQQmA%3d%3d&rt=0&let=58&ct=0&ft=-1
1016657,کساپا,سایپا شیشه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۵ ۱۲:۲۲:۲۸,۱۴۰۲/۰۲/۰۵ ۱۲:۲۲:۲۸,/Reports/Decision.aspx?LetterSerial=FqLlrbK06AEqGeJ3xvdF4g%3d%3d&rt=0&let=58&ct=0&ft=-1
1013253,کساپا,سایپا شیشه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۱/۲۷ ۰۸:۰۶:۲۴,۱۴۰۲/۰۱/۲۷ ۰۸:۰۶:۲۴,/Reports/Decision.aspx?LetterSerial=J%2bLuLqFQVuW34jGZIa2QQQaQQQVg%3d%3d&rt=0&let=58&ct=0&ft=-1
1006028,کساپا,سایپا شیشه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۱/۱۲/۲۸ ۱۷:۰۳:۵۴,۱۴۰۱/۱۲/۲۸ ۱۷:۰۳:۵۴,/Reports/Decision.aspx?LetterSerial=d8wfEKHyTD8zH5Ywax205Q%3d%3d&rt=0&let=58&ct=0&ft=-1
996499,کساپا,سایپا شیشه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۴ ۱۴:۱۷:۰۳,۱۴۰۱/۱۲/۰۴ ۱۴:۱۷:۰۳,/Reports/Decision.aspx?LetterSerial=81Q36eokJjCuS1BFHn7IBQ%3d%3d&rt=0&let=58&ct=0&ft=-1
987190,کساپا,سایپا شیشه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۱:۴۱:۰۱,۱۴۰۱/۱۱/۰۵ ۱۱:۴۱:۰۱,/Reports/Decision.aspx?LetterSerial=RaIwzvUkISRJw3hMIMNJ8g%3d%3d&rt=0&let=58&ct=0&ft=-1
984197,کساپا,سایپا شیشه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۲۸ ۱۷:۱۱:۲۶,۱۴۰۱/۱۰/۲۸ ۱۷:۱۱:۲۶,/Reports/Decision.aspx?LetterSerial=EyE050paJTl8kQN5jOWEpQ%3d%3d&rt=0&let=58&ct=0&ft=-1
982045,کساپا,سایپا شیشه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۲۷ ۱۲:۴۷:۳۸,۱۴۰۱/۱۰/۲۷ ۱۲:۴۷:۳۸,/Reports/Decision.aspx?LetterSerial=LbacuZbzvh4jd7xC9nes4g%3d%3d&rt=0&let=58&ct=0&ft=-1
974272,کساپا,سایپا شیشه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۴ ۱۲:۴۵:۱۰,۱۴۰۱/۱۰/۰۴ ۱۲:۴۵:۱۰,/Reports/Decision.aspx?LetterSerial=yOx2h9%2bLgQKil7q1gz7XxA%3d%3d&rt=0&let=58&ct=0&ft=-1
963101,کساپا,سایپا شیشه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۵ ۱۱:۴۶:۲۸,۱۴۰۱/۰۹/۰۵ ۱۱:۴۶:۲۸,/Reports/Decision.aspx?LetterSerial=RgKPbm9eG%2btc3nQQQaQQQaeh6o7g%3d%3d&rt=0&let=58&ct=0&ft=-1
956918,کساپا,سایپا شیشه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۸/۲۱ ۱۷:۰۰:۲۳,۱۴۰۱/۰۸/۲۱ ۱۷:۰۰:۲۳,/Reports/Decision.aspx?LetterSerial=TFLRo17eeIlYnLAeNyylsA%3d%3d&rt=0&let=58&ct=0&ft=-1
956683,کساپا,سایپا شیشه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۸/۲۱ ۱۴:۵۴:۵۶,۱۴۰۱/۰۸/۲۱ ۱۴:۵۴:۵۶,/Reports/Decision.aspx?LetterSerial=WM7V4m6jR4AQQQaQQQiPaDhBoD6w%3d%3d&rt=0&let=58&ct=0&ft=-1
956524,کساپا,سایپا شیشه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۸/۱۹ ۱۲:۴۱:۳۱,۱۴۰۱/۰۸/۱۹ ۱۲:۴۱:۳۱,/Reports/Decision.aspx?LetterSerial=AC%2bopgPa2I0F194w84C0MA%3d%3d&rt=0&let=58&ct=0&ft=-1
950866,کساپا,سایپا شیشه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۵ ۰۹:۴۸:۰۳,۱۴۰۱/۰۸/۰۵ ۰۹:۴۸:۰۳,/Reports/Decision.aspx?LetterSerial=hTCFGOSRQcgpf%2biuP9HYuQ%3d%3d&rt=0&let=58&ct=0&ft=-1
947719,کساپا,سایپا شیشه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۳۰ ۱۵:۳۰:۱۵,۱۴۰۱/۰۷/۳۰ ۱۵:۳۰:۱۵,/Reports/Decision.aspx?LetterSerial=XsACMS4jHJAveGBCTYydjQ%3d%3d&rt=0&let=58&ct=0&ft=-1
940681,کساپا,سایپا شیشه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۲ ۱۴:۱۰:۳۶,۱۴۰۱/۰۷/۰۲ ۱۴:۱۰:۳۶,/Reports/Decision.aspx?LetterSerial=LoPZWAsmtBQQQaQQQgRIkdVd2f3A%3d%3d&rt=0&let=58&ct=0&ft=-1
931923,کساپا,سایپا شیشه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۷ ۱۵:۰۷:۵۳,۱۴۰۱/۰۶/۰۷ ۱۵:۰۷:۵۳,/Reports/Decision.aspx?LetterSerial=DiQBgX86mw1smQVgrZc4NA%3d%3d&rt=0&let=58&ct=0&ft=-1
916135,کساپا,سایپا شیشه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۴/۳۰ ۱۴:۵۵:۰۷,۱۴۰۱/۰۴/۳۰ ۱۴:۵۵:۰۷,/Reports/Decision.aspx?LetterSerial=k2MlQQQaQQQhw7Z536ehX8SleXCQ%3d%3d&rt=0&let=58&ct=0&ft=-1
915083,کساپا,سایپا شیشه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۴/۲۹ ۱۰:۲۳:۲۰,۱۴۰۱/۰۴/۲۹ ۱۰:۲۳:۲۰,/Reports/Decision.aspx?LetterSerial=naZe4Aw%2bpWvPmDUOw9go2w%3d%3d&rt=0&let=58&ct=0&ft=-1
902264,کساپا,سایپا شیشه,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۰,۱۴۰۱/۰۴/۰۵ ۱۴:۴۶:۱۱,۱۴۰۱/۰۴/۰۵ ۱۴:۴۶:۱۱,/Reports/Decision.aspx?LetterSerial=8iVQQQaQQQ0i%2bAQQQaQQQmeXjG%2bUklhb1A%3d%3d&rt=0&let=58&ct=0&ft=-1
