TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1076013,کسرا,سرامیکهای صنعتی اردکان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۶ ۱۳:۴۹:۱۰,۱۴۰۲/۰۶/۰۶ ۱۳:۴۹:۱۰,/Reports/Decision.aspx?LetterSerial=G%2bosgXgsl5uxutfcdtmBrg%3d%3d&rt=0&let=58&ct=0&ft=-1
1058177,کسرا,سرامیکهای صنعتی اردکان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۳ ۱۹:۴۴:۲۳,۱۴۰۲/۰۵/۰۳ ۱۹:۴۴:۲۳,/Reports/Decision.aspx?LetterSerial=E49eOiiMxUJQQQaQQQt%2bwFfDa9%2bw%3d%3d&rt=0&let=58&ct=0&ft=-1
1047273,کسرا,سرامیکهای صنعتی اردکان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۶ ۲۳:۲۰:۵۱,۱۴۰۲/۰۴/۰۶ ۲۳:۲۰:۵۱,/Reports/Decision.aspx?LetterSerial=GZQQQaQQQjQQQaQQQS2MqfyD26%2bzg4Q58w%3d%3d&rt=0&let=58&ct=0&ft=-1
1041476,کسرا,سرامیکهای صنعتی اردکان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۳/۲۸ ۱۸:۱۶:۲۸,۱۴۰۲/۰۳/۲۸ ۱۸:۱۶:۲۸,/Reports/Decision.aspx?LetterSerial=FX5cy4bEzwjYoobUh%2boBBQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1030511,کسرا,سرامیکهای صنعتی اردکان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۶ ۲۰:۴۹:۳۵,۱۴۰۲/۰۳/۰۶ ۲۰:۴۹:۳۵,/Reports/Decision.aspx?LetterSerial=e1MYguMlE2Zc7i7b4HMWJA%3d%3d&rt=0&let=58&ct=0&ft=-1
1017175,کسرا,سرامیکهای صنعتی اردکان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۵ ۲۱:۲۰:۰۳,۱۴۰۲/۰۲/۰۵ ۲۱:۲۰:۰۳,/Reports/Decision.aspx?LetterSerial=sWiR556QNKhFKt81brkvNQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1006564,کسرا,سرامیکهای صنعتی اردکان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۶ ۱۷:۴۲:۲۸,۱۴۰۲/۰۱/۰۶ ۱۷:۴۲:۲۸,/Reports/Decision.aspx?LetterSerial=oTtpMq1lrMHhM3HVQQQaQQQAPQhw%3d%3d&rt=0&let=58&ct=0&ft=-1
997142,کسرا,سرامیکهای صنعتی اردکان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۶ ۲۰:۲۱:۳۰,۱۴۰۱/۱۲/۰۶ ۲۰:۲۱:۳۰,/Reports/Decision.aspx?LetterSerial=58TSVRMHtL6HuK7lIJWgpg%3d%3d&rt=0&let=58&ct=0&ft=-1
987630,کسرا,سرامیک های صنعتی اردکان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۶:۱۲:۵۲,۱۴۰۱/۱۱/۰۵ ۱۶:۱۲:۵۲,/Reports/Decision.aspx?LetterSerial=8ipc33YduuNVYGGPyuAgtA%3d%3d&rt=0&let=58&ct=0&ft=-1
975690,کسرا,سرامیک های صنعتی اردکان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۷ ۱۵:۵۶:۱۶,۱۴۰۱/۱۰/۰۷ ۱۵:۵۶:۱۶,/Reports/Decision.aspx?LetterSerial=Cjqv6KG17jhPJTChERWoSA%3d%3d&rt=0&let=58&ct=0&ft=-1
