TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1076390,کسرام,پارس سرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۷ ۱۷:۱۷:۱۶,۱۴۰۲/۰۶/۰۷ ۱۷:۱۷:۱۶,/Reports/Decision.aspx?LetterSerial=5LMo15UxfG8IVh7oaL8DhA%3d%3d&rt=0&let=58&ct=0&ft=-1
1063028,کسرام,پارس سرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۲ ۱۵:۵۳:۵۰,۱۴۰۲/۰۵/۰۲ ۱۵:۵۳:۵۰,/Reports/Decision.aspx?LetterSerial=LsgpH%2boBkRiVvrYjKj1JeQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1046000,کسرام,پارس سرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۵ ۱۲:۴۶:۵۴,۱۴۰۲/۰۴/۰۵ ۱۲:۴۶:۵۴,/Reports/Decision.aspx?LetterSerial=AWohLfYjWgHVH2BYTeHv0A%3d%3d&rt=0&let=58&ct=0&ft=-1
1030065,کسرام,پارس سرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۲ ۱۹:۵۳:۴۸,۱۴۰۲/۰۳/۰۲ ۱۹:۵۳:۴۸,/Reports/Decision.aspx?LetterSerial=2VBKLvcGliQTxsjsKRGy1A%3d%3d&rt=0&let=58&ct=0&ft=-1
1016421,کسرام,پارس سرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۴ ۲۱:۴۲:۵۴,۱۴۰۲/۰۲/۰۴ ۲۱:۴۲:۵۴,/Reports/Decision.aspx?LetterSerial=GGLVEpuQIJHVbQYFKJF77A%3d%3d&rt=0&let=58&ct=0&ft=-1
1006536,کسرام,پارس سرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۶ ۰۸:۴۸:۰۲,۱۴۰۲/۰۱/۰۶ ۰۸:۴۸:۰۲,/Reports/Decision.aspx?LetterSerial=kGXpYPQRMXIiC7pNVvNwWg%3d%3d&rt=0&let=58&ct=0&ft=-1
997227,کسرام,پارس سرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۷ ۰۸:۲۴:۲۳,۱۴۰۱/۱۲/۰۷ ۰۸:۲۴:۲۳,/Reports/Decision.aspx?LetterSerial=kTHT7M4R6QQQaQQQW0KSMPQ6%2b6eA%3d%3d&rt=0&let=58&ct=0&ft=-1
986428,کسرام,پارس سرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۳ ۲۰:۲۱:۵۱,۱۴۰۱/۱۱/۰۳ ۲۰:۲۱:۵۱,/Reports/Decision.aspx?LetterSerial=FQrIBD9IlWFPWCcflXRMBQ%3d%3d&rt=0&let=58&ct=0&ft=-1
976509,کسرام,پارس سرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۱۰ ۱۴:۴۰:۳۶,۱۴۰۱/۱۰/۱۰ ۱۴:۴۰:۳۶,/Reports/Decision.aspx?LetterSerial=Ft6lEb4TQ%2bFm4E8vahfwFA%3d%3d&rt=0&let=58&ct=0&ft=-1
963599,کسرام,پارس سرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۵ ۲۰:۵۲:۲۲,۱۴۰۱/۰۹/۰۵ ۲۰:۵۲:۲۲,/Reports/Decision.aspx?LetterSerial=Zx0iDgpE0W0EDSpPuBRBRw%3d%3d&rt=0&let=58&ct=0&ft=-1
