TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075280,کسعدی,کارخانجات کاشی و سرامیک سعدی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۴:۱۲:۳۵,۱۴۰۲/۰۶/۰۵ ۱۴:۱۲:۳۵,/Reports/Decision.aspx?LetterSerial=7DcPiLUxdZgEzeV8fajgQA%3d%3d&rt=0&let=58&ct=0&ft=-1
1061912,کسعدی,کارخانجات کاشی و سرامیک سعدی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۶:۰۸:۵۳,۱۴۰۲/۰۵/۰۴ ۱۶:۰۸:۵۳,/Reports/Decision.aspx?LetterSerial=b0aJFz4d4qQjtFe6OkNo1Q%3d%3d&rt=0&let=58&ct=0&ft=-1
1047406,کسعدی,کارخانجات کاشی و سرامیک سعدی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۵:۱۸:۳۱,۱۴۰۲/۰۴/۰۷ ۱۵:۱۸:۳۱,/Reports/Decision.aspx?LetterSerial=1O6w6JUunpasCed411DSig%3d%3d&rt=0&let=58&ct=0&ft=-1
1029334,کسعدی,کارخانجات کاشی و سرامیک سعدی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۲ ۱۴:۰۰:۵۳,۱۴۰۲/۰۳/۰۲ ۱۴:۰۰:۵۳,/Reports/Decision.aspx?LetterSerial=kwJ4wMfujfHXq872GsOoNw%3d%3d&rt=0&let=58&ct=0&ft=-1
1027086,کسعدی,کارخانجات کاشی و سرامیک سعدی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۲۷ ۱۹:۱۵:۴۲,۱۴۰۲/۰۲/۲۷ ۱۹:۱۵:۴۲,/Reports/Decision.aspx?LetterSerial=CKunFCiJmlEiU3pT%2bSerGw%3d%3d&rt=0&let=58&ct=0&ft=-1
1016482,کسعدی,کارخانجات کاشی و سرامیک سعدی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۵ ۱۷:۵۶:۱۴,۱۴۰۲/۰۲/۰۵ ۱۷:۵۶:۱۴,/Reports/Decision.aspx?LetterSerial=Ih73TwmiyuEk0HIgPfpKvA%3d%3d&rt=0&let=58&ct=0&ft=-1
1009246,کسعدی,کارخانجات کاشی و سرامیک سعدی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۹ ۱۶:۲۱:۰۶,۱۴۰۲/۰۱/۰۹ ۱۶:۲۱:۰۶,/Reports/Decision.aspx?LetterSerial=8Q8krCLwsXoYcjAh3dA3Cg%3d%3d&rt=0&let=58&ct=0&ft=-1
994911,کسعدی,کارخانجات کاشی و سرامیک سعدی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۶ ۱۲:۲۳:۰۰,۱۴۰۱/۱۲/۰۶ ۱۲:۲۳:۰۰,/Reports/Decision.aspx?LetterSerial=cIWFUQQQaQQQxQkz8c2cCdrUeT4A%3d%3d&rt=0&let=58&ct=0&ft=-1
986161,کسعدی,کارخانجات کاشی و سرامیک سعدی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۰۹:۱۱:۳۱,۱۴۰۱/۱۱/۰۵ ۰۹:۱۱:۳۱,/Reports/Decision.aspx?LetterSerial=5AFsT4rk5M03p66pkLsVXA%3d%3d&rt=0&let=58&ct=0&ft=-1
973727,کسعدی,کارخانجات کاشی و سرامیک سعدی,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۷ ۱۷:۳۶:۱۴,۱۴۰۱/۱۰/۰۷ ۱۷:۳۶:۱۴,/Reports/Decision.aspx?LetterSerial=hY5m%2bJRQElQe94gHOfgesQ%3d%3d&rt=0&let=58&ct=0&ft=-1
