TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1077042,کشرق,صنعتی و معدنی شمالشرق شاهرود,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۷ ۱۷:۰۹:۵۸,۱۴۰۲/۰۶/۰۷ ۱۷:۰۹:۵۸,/Reports/Decision.aspx?LetterSerial=9D%2b7r3nQQQaQQQEQQQaQQQ1IKAtatmPVnA%3d%3d&rt=0&let=58&ct=0&ft=-1
1065217,کشرق,صنعتی و معدنی شمالشرق شاهرود,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۷ ۱۵:۳۰:۵۶,۱۴۰۲/۰۵/۰۷ ۱۵:۳۰:۵۶,/Reports/Decision.aspx?LetterSerial=EN1QQQaQQQrHIXGsPj6eviGiv2qw%3d%3d&rt=0&let=58&ct=0&ft=-1
1047806,کشرق,صنعتی و معدنی شمالشرق شاهرود,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۴:۳۳:۲۹,۱۴۰۲/۰۴/۰۷ ۱۴:۳۳:۲۹,/Reports/Decision.aspx?LetterSerial=JIwyo4J5uOsrElLa3RDuLw%3d%3d&rt=0&let=58&ct=0&ft=-1
1041800,کشرق,صنعتی و معدنی شمالشرق شاهرود,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۳/۲۸ ۱۷:۲۵:۱۲,۱۴۰۲/۰۳/۲۸ ۱۷:۲۵:۱۲,/Reports/Decision.aspx?LetterSerial=rL6rp6%2bfl9NgqsB8G5bK%2bA%3d%3d&rt=0&let=58&ct=0&ft=-1
1032375,کشرق,صنعتی و معدنی شمالشرق شاهرود,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۴:۲۳:۰۴,۱۴۰۲/۰۳/۰۷ ۱۴:۲۳:۰۴,/Reports/Decision.aspx?LetterSerial=MyzhkeOAVSbbgMKr2iD%2bRA%3d%3d&rt=0&let=58&ct=0&ft=-1
1025518,کشرق,صنعتی و معدنی شمالشرق شاهرود,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۲۴ ۱۵:۳۷:۴۲,۱۴۰۲/۰۲/۲۴ ۱۵:۳۷:۴۲,/Reports/Decision.aspx?LetterSerial=Eykhx%2b5UKb2CJa5WIY040w%3d%3d&rt=0&let=58&ct=0&ft=-1
1021360,کشرق,صنعتی و معدنی شمالشرق شاهرود,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۱۶ ۰۸:۴۴:۰۵,۱۴۰۲/۰۲/۱۶ ۰۸:۴۴:۰۵,/Reports/Decision.aspx?LetterSerial=970xuumrsmQQQaQQQyZ3leLPG5Zg%3d%3d&rt=0&let=58&ct=0&ft=-1
1020962,کشرق,صنعتی و معدنی شمالشرق شاهرود,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۱۳ ۱۴:۳۸:۱۶,۱۴۰۲/۰۲/۱۳ ۱۴:۳۸:۱۶,/Reports/Decision.aspx?LetterSerial=qziK1Togc3EZDmTa2ssr%2bg%3d%3d&rt=0&let=58&ct=0&ft=-1
1019521,کشرق,صنعتی و معدنی شمالشرق شاهرود,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۰ ۱۶:۱۰:۱۳,۱۴۰۲/۰۲/۱۰ ۱۶:۱۰:۱۳,/Reports/Decision.aspx?LetterSerial=f1Q58z9SUrPBD7VaDBLgPw%3d%3d&rt=0&let=58&ct=0&ft=-1
1009289,کشرق,صنعتی و معدنی شمالشرق شاهرود,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۹ ۱۵:۱۸:۰۰,۱۴۰۲/۰۱/۰۹ ۱۵:۱۸:۰۰,/Reports/Decision.aspx?LetterSerial=09hTzQdD8S5wui3vtHflIg%3d%3d&rt=0&let=58&ct=0&ft=-1
997773,کشرق,صنعتی و معدنی شمالشرق شاهرود,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۷ ۱۹:۴۰:۳۴,۱۴۰۱/۱۲/۰۷ ۱۹:۴۰:۳۴,/Reports/Decision.aspx?LetterSerial=YBhUE8QVKZIIYIKG1KKTUg%3d%3d&rt=0&let=58&ct=0&ft=-1
987878,کشرق,صنعتی و معدنی شمالشرق شاهرود,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۶:۳۸:۰۹,۱۴۰۱/۱۱/۰۵ ۱۶:۳۸:۰۹,/Reports/Decision.aspx?LetterSerial=Xpv8cThX4naDlYeW27VAcA%3d%3d&rt=0&let=58&ct=0&ft=-1
984329,کشرق,صنعتی و معدنی شمالشرق شاهرود,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۲۸ ۲۰:۰۶:۵۴,۱۴۰۱/۱۰/۲۸ ۲۰:۰۶:۵۴,/Reports/Decision.aspx?LetterSerial=0%2bhM4zpfPmxsZ71hv3F5dA%3d%3d&rt=0&let=58&ct=0&ft=-1
976776,کشرق,صنعتی و معدنی شمالشرق شاهرود,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۱۰ ۱۵:۳۵:۲۱,۱۴۰۱/۱۰/۱۰ ۱۵:۳۵:۲۱,/Reports/Decision.aspx?LetterSerial=B%2bIPHYlfdMHCgoUx%2bmMGUw%3d%3d&rt=0&let=58&ct=0&ft=-1
976736,کشرق,صنعتی و معدنی شمالشرق شاهرود,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۱۰ ۱۵:۲۸:۱۹,۱۴۰۱/۱۰/۱۰ ۱۵:۲۸:۱۹,/Reports/Decision.aspx?LetterSerial=1H1O6rvYmpMRlK11PbzRpw%3d%3d&rt=0&let=58&ct=0&ft=-1
963415,کشرق,صنعتی و معدنی شمالشرق شاهرود,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۷ ۱۵:۰۸:۳۴,۱۴۰۱/۰۹/۰۷ ۱۵:۰۸:۳۴,/Reports/Decision.aspx?LetterSerial=P43IvnNv3DgbcMZ8CUW7zw%3d%3d&rt=0&let=58&ct=0&ft=-1
