TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075089,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۱:۳۹:۵۲,۱۴۰۲/۰۶/۰۵ ۱۱:۳۹:۵۲,/Reports/Decision.aspx?LetterSerial=1RJXC3Fs%2bjC7iKwmcWf7GQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1063763,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۱:۵۵:۵۷,۱۴۰۲/۰۵/۰۴ ۱۱:۵۵:۵۷,/Reports/Decision.aspx?LetterSerial=NVDjgH4yC2m0KOldymhLjQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1059524,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۲۸ ۱۵:۵۸:۰۴,۱۴۰۲/۰۴/۲۸ ۱۵:۵۸:۰۴,/Reports/Decision.aspx?LetterSerial=3RFnlrPtwa5noApQQQaQQQ3juqzA%3d%3d&rt=0&let=58&ct=0&ft=-1
1046208,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۵ ۱۵:۰۷:۱۲,۱۴۰۲/۰۴/۰۵ ۱۵:۰۷:۱۲,/Reports/Decision.aspx?LetterSerial=TXGDtvMWq7dkH4YxaZt4uQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1030554,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۳ ۱۵:۱۷:۳۴,۱۴۰۲/۰۳/۰۳ ۱۵:۱۷:۳۴,/Reports/Decision.aspx?LetterSerial=TxFJimoXXlrQXYfp0lggMg%3d%3d&rt=0&let=58&ct=0&ft=-1
1016743,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۰۵ ۱۶:۰۴:۴۸,۱۴۰۲/۰۲/۰۵ ۱۶:۰۴:۴۸,/Reports/Decision.aspx?LetterSerial=o9RKYpCCmESKwVzsOFMDYA%3d%3d&rt=0&let=58&ct=0&ft=-1
1016731,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۵ ۱۶:۰۲:۳۸,۱۴۰۲/۰۲/۰۵ ۱۶:۰۲:۳۸,/Reports/Decision.aspx?LetterSerial=gVFbS20s5tzjhomVQDETBA%3d%3d&rt=0&let=58&ct=0&ft=-1
1009759,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۱۴ ۱۶:۲۷:۳۵,۱۴۰۲/۰۱/۱۴ ۱۶:۲۷:۳۵,/Reports/Decision.aspx?LetterSerial=YWQQQaQQQyNn89k6dVZMBO66lKtA%3d%3d&rt=0&let=58&ct=0&ft=-1
997279,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۷ ۰۹:۵۷:۴۷,۱۴۰۱/۱۲/۰۷ ۰۹:۵۷:۴۷,/Reports/Decision.aspx?LetterSerial=Pys72d32BGJ%2bxqroNnalkw%3d%3d&rt=0&let=58&ct=0&ft=-1
986723,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۳:۲۵:۳۵,۱۴۰۱/۱۱/۰۵ ۱۳:۲۵:۳۵,/Reports/Decision.aspx?LetterSerial=xICAPscfuLpV72TCHjgmuw%3d%3d&rt=0&let=58&ct=0&ft=-1
975285,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۵ ۱۴:۲۸:۲۶,۱۴۰۱/۱۰/۰۵ ۱۴:۲۸:۲۶,/Reports/Decision.aspx?LetterSerial=Qbh5zeskOsTsgk2vvRcizQ%3d%3d&rt=0&let=58&ct=0&ft=-1
968522,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۹/۱۵ ۱۶:۰۲:۰۰,۱۴۰۱/۰۹/۱۵ ۱۶:۰۲:۰۰,/Reports/Decision.aspx?LetterSerial=yO1e5vCUTCCPbUX9fDwiOQ%3d%3d&rt=0&let=58&ct=0&ft=-1
963301,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۵ ۱۵:۳۵:۵۴,۱۴۰۱/۰۹/۰۵ ۱۵:۳۵:۵۴,/Reports/Decision.aspx?LetterSerial=rjgtIJgeGCkz10dGVHZh9g%3d%3d&rt=0&let=58&ct=0&ft=-1
956706,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۸/۲۱ ۱۴:۲۴:۲۰,۱۴۰۱/۰۸/۲۱ ۱۴:۲۴:۲۰,/Reports/Decision.aspx?LetterSerial=U0%2bRglgy1CW%2b5bKQfcVtLg%3d%3d&rt=0&let=58&ct=0&ft=-1
952114,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۸/۰۷ ۱۴:۵۸:۴۵,۱۴۰۱/۰۸/۰۷ ۱۴:۵۸:۴۵,/Reports/Decision.aspx?LetterSerial=3ktfeY0qf6Xp%2by5kbUO7yA%3d%3d&rt=0&let=58&ct=0&ft=-1
951360,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۴ ۱۷:۴۸:۱۷,۱۴۰۱/۰۸/۰۴ ۱۷:۴۸:۱۷,/Reports/Decision.aspx?LetterSerial=x1kNSaa1p4v9UsmrfWNJmA%3d%3d&rt=0&let=58&ct=0&ft=-1
941362,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۴ ۱۷:۰۰:۱۲,۱۴۰۱/۰۷/۰۴ ۱۷:۰۰:۱۲,/Reports/Decision.aspx?LetterSerial=abAaev4wbQQQaQQQMfCjgr4aGU1A%3d%3d&rt=0&let=58&ct=0&ft=-1
927909,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۵ ۱۳:۵۰:۳۵,۱۴۰۱/۰۶/۰۵ ۱۳:۵۰:۳۵,/Reports/Decision.aspx?LetterSerial=yQQQaQQQcIy6BdkmbxnbQyK0yGmg%3d%3d&rt=0&let=58&ct=0&ft=-1
918943,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۵ ۱۲:۵۱:۰۲,۱۴۰۱/۰۵/۰۵ ۱۲:۵۱:۰۲,/Reports/Decision.aspx?LetterSerial=NA7bUawwU%2bnD24d7yvU6Bw%3d%3d&rt=0&let=58&ct=0&ft=-1
915150,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۴/۲۹ ۱۱:۱۱:۴۴,۱۴۰۱/۰۴/۲۹ ۱۱:۱۱:۴۴,/Reports/Decision.aspx?LetterSerial=qy%2bQVbhbWLbCxrLevJE8lg%3d%3d&rt=0&let=58&ct=0&ft=-1
901366,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۰,۱۴۰۱/۰۴/۰۵ ۰۸:۴۹:۲۳,۱۴۰۱/۰۴/۰۵ ۰۸:۴۹:۲۳,/Reports/Decision.aspx?LetterSerial=UUzSTY7L4rD8ATPvQzguOw%3d%3d&rt=0&let=58&ct=0&ft=-1
887758,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۰,۱۴۰۱/۰۳/۰۴ ۱۵:۳۸:۱۵,۱۴۰۱/۰۳/۰۴ ۱۵:۳۸:۱۵,/Reports/Decision.aspx?LetterSerial=Sx5mJDaQQQaQQQSChpw0mOMhXKRQ%3d%3d&rt=0&let=58&ct=0&ft=-1
877475,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۰/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۱/۰۲/۱۱ ۱۶:۲۵:۲۸,۱۴۰۱/۰۲/۱۱ ۱۶:۲۵:۲۸,/Reports/Decision.aspx?LetterSerial=iQusrU%2Bi9OqoEBB0jg%2B2XQ%3D%3D&rt=0&let=58&ct=0&ft=-1
874650,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۰,۱۴۰۱/۰۲/۰۵ ۱۵:۰۳:۰۵,۱۴۰۱/۰۲/۰۵ ۱۵:۰۳:۰۵,/Reports/Decision.aspx?LetterSerial=mb%2BSkw6WBLP3jth0QQQaQQQohT0g%3D%3D&rt=0&let=58&ct=0&ft=-1
866208,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۰,۱۴۰۱/۰۱/۱۴ ۱۴:۱۸:۴۵,۱۴۰۱/۰۱/۱۴ ۱۴:۱۸:۴۵,/Reports/Decision.aspx?LetterSerial=%2Bn7SRpmzscvnlGSFbhfSKw%3D%3D&rt=0&let=58&ct=0&ft=-1
856906,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰,ن-۳۰,۱۴۰۰/۱۲/۰۴ ۱۴:۵۵:۵۹,۱۴۰۰/۱۲/۰۴ ۱۴:۵۵:۵۹,/Reports/Decision.aspx?LetterSerial=DWnukB780BGZNTeZi9lEQA%3D%3D&rt=0&let=58&ct=0&ft=-1
847860,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰,ن-۳۰,۱۴۰۰/۱۱/۰۵ ۱۰:۱۷:۱۷,۱۴۰۰/۱۱/۰۵ ۱۰:۱۷:۱۷,/Reports/Decision.aspx?LetterSerial=hqEGPgs9KqPK%2BozRxM8cFQ%3D%3D&rt=0&let=58&ct=0&ft=-1
835448,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۹/۳۰,ن-۳۰,۱۴۰۰/۱۰/۰۵ ۱۴:۰۵:۵۱,۱۴۰۰/۱۰/۰۵ ۱۴:۰۵:۵۱,/Reports/Decision.aspx?LetterSerial=UptMFG9PAPgwm8dU%2BM9KaQ%3D%3D&rt=0&let=58&ct=0&ft=-1
823049,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۸/۳۰,ن-۳۰,۱۴۰۰/۰۹/۰۶ ۱۳:۱۸:۳۵,۱۴۰۰/۰۹/۰۶ ۱۳:۱۸:۳۵,/Reports/Decision.aspx?LetterSerial=rxcACgELsOvwKBXXdNQ7EA%3D%3D&rt=0&let=58&ct=0&ft=-1
810959,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۷/۳۰,ن-۳۰,۱۴۰۰/۰۸/۰۸ ۰۸:۴۲:۳۶,۱۴۰۰/۰۸/۰۸ ۰۸:۴۲:۳۶,/Reports/Decision.aspx?LetterSerial=JrXncWna0edEWp1C8V2GhQ%3D%3D&rt=0&let=58&ct=0&ft=-1
799048,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۶/۳۱,ن-۳۰,۱۴۰۰/۰۷/۰۶ ۰۹:۲۳:۵۰,۱۴۰۰/۰۷/۰۶ ۰۹:۲۳:۵۰,/Reports/Decision.aspx?LetterSerial=zpG9jN8MKHYIgWUqU7C5pw%3D%3D&rt=0&let=58&ct=0&ft=-1
786330,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۵/۳۱,ن-۳۰,۱۴۰۰/۰۶/۰۶ ۱۲:۵۳:۱۰,۱۴۰۰/۰۶/۰۶ ۱۲:۵۳:۱۰,/Reports/Decision.aspx?LetterSerial=uwK3PvrTlYFy4HrvnL%2B80g%3D%3D&rt=0&let=58&ct=0&ft=-1
777089,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۴/۳۱,ن-۳۰,۱۴۰۰/۰۵/۰۵ ۱۴:۰۹:۱۱,۱۴۰۰/۰۵/۰۵ ۱۴:۰۹:۱۱,/Reports/Decision.aspx?LetterSerial=gGpVRtY7tZMscwYJlRRLgQ%3D%3D&rt=0&let=58&ct=0&ft=-1
762343,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۳/۳۱,ن-۳۰,۱۴۰۰/۰۴/۰۵ ۱۷:۳۱:۳۸,۱۴۰۰/۰۴/۰۵ ۱۷:۳۱:۳۸,/Reports/Decision.aspx?LetterSerial=aN6Ej5tfWHfYRXSyw3zsxA%3D%3D&rt=0&let=58&ct=0&ft=-1
751164,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۲/۳۱,ن-۳۰,۱۴۰۰/۰۳/۰۵ ۱۰:۰۰:۳۵,۱۴۰۰/۰۳/۰۵ ۱۰:۰۰:۳۵,/Reports/Decision.aspx?LetterSerial=Xfz%2BqxyBm0QJ8HNR7LIO7A%3D%3D&rt=0&let=58&ct=0&ft=-1
741893,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۱/۳۱,ن-۳۰,۱۴۰۰/۰۲/۱۱ ۱۳:۲۲:۳۳,۱۴۰۰/۰۲/۱۱ ۱۳:۲۲:۳۳,/Reports/Decision.aspx?LetterSerial=DWa5dEp%2BjMbFvDuGSvbbVA%3D%3D&rt=0&let=58&ct=0&ft=-1
735123,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۲/۳۰(اصلاحیه),ن-۳۰,۱۴۰۰/۰۱/۲۱ ۱۵:۲۸:۰۸,۱۴۰۰/۰۱/۲۱ ۱۵:۲۸:۰۸,/Reports/Decision.aspx?LetterSerial=JEgp3PcCRpea3CrC98ODnA%3D%3D&rt=0&let=58&ct=0&ft=-1
732635,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۲/۳۰,ن-۳۰,۱۴۰۰/۰۱/۱۱ ۱۲:۱۰:۴۶,۱۴۰۰/۰۱/۱۱ ۱۲:۱۰:۴۶,/Reports/Decision.aspx?LetterSerial=bzmYQQQaQQQ4ddEWOxQmFo0rpjOw%3D%3D&rt=0&let=58&ct=0&ft=-1
724417,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۱/۳۰,ن-۳۰,۱۳۹۹/۱۲/۰۴ ۱۲:۳۲:۰۶,۱۳۹۹/۱۲/۰۴ ۱۲:۳۲:۰۶,/Reports/Decision.aspx?LetterSerial=g7QQQaQQQi4irQM1lXPAPfn9ycog%3D%3D&rt=0&let=58&ct=0&ft=-1
716166,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۰/۳۰,ن-۳۰,۱۳۹۹/۱۱/۰۵ ۱۶:۵۴:۰۵,۱۳۹۹/۱۱/۰۵ ۱۶:۵۴:۰۵,/Reports/Decision.aspx?LetterSerial=W%2BiYjoooKwSrLnsVuV3B%2BA%3D%3D&rt=0&let=58&ct=0&ft=-1
706387,کفرا,فرآورده های نسوز ایران,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۰۹/۳۰,ن-۳۰,۱۳۹۹/۱۰/۰۷ ۰۹:۳۸:۰۷,۱۳۹۹/۱۰/۰۷ ۰۹:۳۸:۰۷,/Reports/Decision.aspx?LetterSerial=MEtnE8kNisrZTBF8DJHvPg%3D%3D&rt=0&let=58&ct=0&ft=-1
