TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075558,کلر,کلرپارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۸:۳۴:۵۸,۱۴۰۲/۰۶/۰۵ ۱۸:۳۴:۵۸,/Reports/Decision.aspx?LetterSerial=gvXbmit7fdn9niNC3ClBPQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1064193,کلر,کلرپارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۷:۱۹:۱۲,۱۴۰۲/۰۵/۰۴ ۱۷:۱۹:۱۲,/Reports/Decision.aspx?LetterSerial=Ubr9TX5DUrTrzL2AGbZeKA%3d%3d&rt=0&let=58&ct=0&ft=-1
1045125,کلر,کلرپارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۵ ۱۶:۳۷:۴۵,۱۴۰۲/۰۴/۰۵ ۱۶:۳۷:۴۵,/Reports/Decision.aspx?LetterSerial=xJlN7UxOQQQaQQQfoeNQQQaQQQDtyd5cUA%3d%3d&rt=0&let=58&ct=0&ft=-1
1032060,کلر,کلرپارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۷:۳۹:۳۸,۱۴۰۲/۰۳/۰۷ ۱۷:۳۹:۳۸,/Reports/Decision.aspx?LetterSerial=6swQQQaQQQzP%2bp3QsNBbb%2bIrnwJw%3d%3d&rt=0&let=58&ct=0&ft=-1
1021894,کلر,کلرپارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۱۷ ۰۷:۵۱:۳۸,۱۴۰۲/۰۲/۱۷ ۰۷:۵۱:۳۸,/Reports/Decision.aspx?LetterSerial=LXo3oQQQaQQQzKA1FqKk7WDsypRg%3d%3d&rt=0&let=58&ct=0&ft=-1
1017114,کلر,کلرپارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۶ ۱۵:۴۱:۱۸,۱۴۰۲/۰۲/۰۶ ۱۵:۴۱:۱۸,/Reports/Decision.aspx?LetterSerial=QQQaQQQbGw0QQQaQQQQQQaQQQMXsCR0ggp5x%2bHTA%3d%3d&rt=0&let=58&ct=0&ft=-1
1010295,کلر,کلرپارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۱/۲۸ ۰۸:۴۸:۳۶,۱۴۰۲/۰۱/۲۸ ۰۸:۴۸:۳۶,/Reports/Decision.aspx?LetterSerial=3nZEPmrfflivikM5MDZTaA%3d%3d&rt=0&let=58&ct=0&ft=-1
1006977,کلر,کلرپارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۷ ۱۶:۲۹:۵۶,۱۴۰۲/۰۱/۰۷ ۱۶:۲۹:۵۶,/Reports/Decision.aspx?LetterSerial=z9nOFnulKFh8ROXX7xpPAQ%3d%3d&rt=0&let=58&ct=0&ft=-1
996392,کلر,کلرپارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۳ ۱۹:۱۰:۳۷,۱۴۰۱/۱۲/۰۳ ۱۹:۱۰:۳۷,/Reports/Decision.aspx?LetterSerial=7BEThpg4U%2bNTFte1qgXdaw%3d%3d&rt=0&let=58&ct=0&ft=-1
985879,کلر,کلرپارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۷:۱۰:۲۷,۱۴۰۱/۱۱/۰۴ ۱۷:۱۰:۲۷,/Reports/Decision.aspx?LetterSerial=0vpUsi5Y35QQQaQQQDDyi6LJ%2b2HA%3d%3d&rt=0&let=58&ct=0&ft=-1
