TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
501480,کهرام,تولیدی گرانیت بهسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۷/۰۹/۳۰,ن-۳۰,۱۳۹۷/۱۰/۰۳ ۰۸:۲۲:۲۸,۱۳۹۷/۱۰/۰۳ ۰۸:۲۲:۲۸,/Reports/Decision.aspx?LetterSerial=nQVCKx10P5HoUsCzrWRM%2bw%3d%3d&rt=0&let=58&ct=0
494426,کهرام,تولیدی گرانیت بهسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۷/۰۸/۳۰,ن-۳۰,۱۳۹۷/۰۹/۰۳ ۰۹:۲۳:۲۲,۱۳۹۷/۰۹/۰۳ ۰۹:۲۳:۲۲,/Reports/Decision.aspx?LetterSerial=Oiql8b5711OQQQaQQQzigPCWj8Dg%3d%3d&rt=0&let=58&ct=0
483183,کهرام,تولیدی گرانیت بهسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۷/۰۷/۳۰,ن-۳۰,۱۳۹۷/۰۸/۰۱ ۱۰:۰۲:۲۹,۱۳۹۷/۰۸/۰۱ ۱۰:۰۲:۲۹,/Reports/Decision.aspx?LetterSerial=NJ7oqGSguAX7g8OsmKlFZw%3d%3d&rt=0&let=58&ct=0
472856,کهرام,تولیدی گرانیت بهسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۷/۰۶/۳۱,ن-۳۰,۱۳۹۷/۰۷/۰۱ ۱۴:۵۹:۳۳,۱۳۹۷/۰۷/۰۱ ۱۴:۵۹:۳۳,/Reports/Decision.aspx?LetterSerial=XZEcDdDJB3QQQaQQQd9J9O1q6BAg%3d%3d&rt=0&let=58&ct=0
466673,کهرام,تولیدی گرانیت بهسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۷/۰۵/۳۱,ن-۳۰,۱۳۹۷/۰۶/۰۱ ۱۱:۱۹:۲۸,۱۳۹۷/۰۶/۰۱ ۱۱:۱۹:۲۸,/Reports/Decision.aspx?LetterSerial=7vMNHaXRnAzmA20yqSuTWw%3d%3d&rt=0&let=58&ct=0
459797,کهرام,تولیدی گرانیت بهسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۷/۰۴/۳۱,ن-۳۰,۱۳۹۷/۰۵/۰۲ ۱۶:۳۷:۰۸,۱۳۹۷/۰۵/۰۲ ۱۶:۳۷:۰۸,/Reports/Decision.aspx?LetterSerial=96rMrqq7YkHtclTUpfQ5Yw%3d%3d&rt=0&let=58&ct=0
449356,کهرام,تولیدی گرانیت بهسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۷/۰۳/۳۱,ن-۳۰,۱۳۹۷/۰۴/۰۲ ۰۹:۵۱:۲۳,۱۳۹۷/۰۴/۰۲ ۰۹:۵۱:۲۳,/Reports/Decision.aspx?LetterSerial=qUl6wEuboAZH3bwybtdY5w%3d%3d&rt=0&let=58&ct=0
443069,کهرام,تولیدی گرانیت بهسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۷/۰۲/۳۱,ن-۳۰,۱۳۹۷/۰۳/۰۳ ۰۸:۲۹:۵۷,۱۳۹۷/۰۳/۰۳ ۰۸:۲۹:۵۷,/Reports/Decision.aspx?LetterSerial=zNVfHp8hdqanQrNdCkdFTA%3d%3d&rt=0&let=58&ct=0
435148,کهرام,تولیدی گرانیت بهسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۷/۰۱/۳۱,ن-۳۰,۱۳۹۷/۰۲/۰۲ ۱۳:۳۰:۰۹,۱۳۹۷/۰۲/۰۲ ۱۳:۳۰:۰۹,/Reports/Decision.aspx?LetterSerial=FlZg8U04dbr2yP6R16uaiQ%3d%3d&rt=0&let=58&ct=0
431421,کهرام,تولیدی گرانیت بهسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۶/۱۲/۲۹,ن-۳۰,۱۳۹۷/۰۱/۰۶ ۱۲:۰۴:۴۳,۱۳۹۷/۰۱/۰۶ ۱۲:۰۴:۴۳,/Reports/Decision.aspx?LetterSerial=0zYTJ4TGpqhWDAf3dAZeng%3d%3d&rt=0&let=58&ct=0
418736,کهرام,تولیدی گرانیت بهسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۶/۱۱/۳۰(اصلاحیه),ن-۳۰,۱۳۹۶/۱۲/۰۲ ۱۲:۴۲:۴۱,۱۳۹۶/۱۲/۰۲ ۱۲:۴۲:۴۱,/Reports/Decision.aspx?LetterSerial=PNQQQaQQQBTVrCHgxKz90fmEBTlA%3d%3d&rt=0&let=58&ct=0
410993,کهرام,تولیدی گرانیت بهسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۶/۱۰/۳۰,ن-۳۰,۱۳۹۶/۱۱/۰۱ ۱۱:۱۵:۰۰,۱۳۹۶/۱۱/۰۱ ۱۱:۱۵:۰۰,/Reports/Decision.aspx?LetterSerial=1QQQaQQQx2Dp842oKvWWjscvXHsg%3d%3d&rt=0&let=58&ct=0
401161,کهرام,تولیدی گرانیت بهسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۶/۰۹/۳۰,ن-۳۰,۱۳۹۶/۱۰/۰۲ ۱۵:۰۶:۴۳,۱۳۹۶/۱۰/۰۲ ۱۵:۰۶:۴۳,/Reports/Decision.aspx?LetterSerial=KhFbbIsXDComsCnMDOFnIQ%3d%3d&rt=0&let=58&ct=0
394358,کهرام,تولیدی گرانیت بهسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۶/۰۸/۳۰,ن-۳۰,۱۳۹۶/۰۹/۰۴ ۱۴:۵۱:۵۴,۱۳۹۶/۰۹/۰۴ ۱۴:۵۱:۵۴,/Reports/Decision.aspx?LetterSerial=QQQaQQQN6Z9tCwdyDQsHtwPQQQaQQQxlqw%3d%3d&rt=0&let=58&ct=0
386096,کهرام,تولیدی گرانیت بهسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۶/۰۷/۳۰,ن-۳۰,۱۳۹۶/۰۸/۰۳ ۱۲:۴۳:۱۷,۱۳۹۶/۰۸/۰۳ ۱۲:۴۳:۱۷,/Reports/Decision.aspx?LetterSerial=gc%2bdCMszJIE4yROw9qBtDQ%3d%3d&rt=0&let=58&ct=0
379932,کهرام,تولیدی گرانیت بهسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۶/۰۶/۳۱,ن-۳۰,۱۳۹۶/۰۷/۰۳ ۱۰:۳۲:۵۵,۱۳۹۶/۰۷/۰۳ ۱۰:۳۲:۵۵,/Reports/Decision.aspx?LetterSerial=lC61UIPtDnGQQQaQQQLAALg%2b7bLQ%3d%3d&rt=0&let=58&ct=0
373976,کهرام,تولیدی گرانیت بهسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۶/۰۵/۳۱,ن-۳۰,۱۳۹۶/۰۶/۰۲ ۱۳:۵۷:۰۷,۱۳۹۶/۰۶/۰۲ ۱۳:۵۷:۰۷,/Reports/Decision.aspx?LetterSerial=ARWz9vgmOEz4MXY0MKeeCg%3d%3d&rt=0&let=58&ct=0
366583,کهرام,تولیدی گرانیت بهسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۶/۰۴/۳۱,ن-۳۰,۱۳۹۶/۰۵/۰۲ ۱۴:۴۳:۴۷,۱۳۹۶/۰۵/۰۲ ۱۴:۴۳:۴۷,/Reports/Decision.aspx?LetterSerial=E77dST2Yo3CP5z2CbWTSUw%3d%3d&rt=0&let=58&ct=0
359389,کهرام,تولیدی گرانیت بهسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۶/۰۳/۳۱,ن-۳۰,۱۳۹۶/۰۴/۰۱ ۱۱:۱۴:۵۴,۱۳۹۶/۰۴/۰۱ ۱۱:۱۴:۵۴,/Reports/Decision.aspx?LetterSerial=k8P6LnuS2EUsMutcZKSafw%3d%3d&rt=0&let=58&ct=0
349554,کهرام,تولیدی گرانیت بهسرام,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۶/۰۲/۳۱,ن-۳۰,۱۳۹۶/۰۳/۰۲ ۱۲:۳۹:۵۷,۱۳۹۶/۰۳/۰۲ ۱۲:۳۹:۵۷,/Reports/Decision.aspx?LetterSerial=2na%2fAwGQg9mrzCRe2o4IRg%3d%3d&rt=0&let=58
