TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1076629,کگل,معدنی و صنعتی گل گهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۷ ۱۶:۱۷:۳۶,۱۴۰۲/۰۶/۰۷ ۱۶:۱۷:۳۶,/Reports/Decision.aspx?LetterSerial=UAUelrurZY5ZFODLYnFhyQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1063583,کگل,معدنی و صنعتی گل گهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۳:۵۰:۳۱,۱۴۰۲/۰۵/۰۴ ۱۳:۵۰:۳۱,/Reports/Decision.aspx?LetterSerial=dEyWxzWp9TmT2bD%2bxi3g8Q%3d%3d&rt=0&let=58&ct=0&ft=-1
1062061,کگل,معدنی و صنعتی گل گهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۵/۰۱ ۱۵:۴۵:۰۵,۱۴۰۲/۰۵/۰۱ ۱۵:۴۵:۰۵,/Reports/Decision.aspx?LetterSerial=gyNhQQQaQQQUeXYHiav0q%2bohP98Q%3d%3d&rt=0&let=58&ct=0&ft=-1
1046647,کگل,معدنی و صنعتی گل گهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۰۶ ۱۹:۳۵:۲۴,۱۴۰۲/۰۴/۰۶ ۱۹:۳۵:۲۴,/Reports/Decision.aspx?LetterSerial=94iP9BPXluwbTcQQQaQQQ5JzoNlg%3d%3d&rt=0&let=58&ct=0&ft=-1
1045025,کگل,معدنی و صنعتی گل گهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۶ ۱۹:۰۶:۴۹,۱۴۰۲/۰۴/۰۶ ۱۹:۰۶:۴۹,/Reports/Decision.aspx?LetterSerial=1qB9ov2J2ax3e5uiBp%2bBOw%3d%3d&rt=0&let=58&ct=0&ft=-1
1041792,کگل,معدنی و صنعتی گل گهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۳/۲۸ ۱۷:۲۳:۳۲,۱۴۰۲/۰۳/۲۸ ۱۷:۲۳:۳۲,/Reports/Decision.aspx?LetterSerial=DFB%2bptVN8MD8BORDqq910Q%3d%3d&rt=0&let=58&ct=0&ft=-1
1041218,کگل,معدنی و صنعتی گل گهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۳/۲۸ ۱۳:۵۲:۰۱,۱۴۰۲/۰۳/۲۸ ۱۳:۵۲:۰۱,/Reports/Decision.aspx?LetterSerial=dRbpKxFnQwWgGvceTBv29g%3d%3d&rt=0&let=58&ct=0&ft=-1
1031494,کگل,معدنی و صنعتی گل گهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۶:۰۱:۰۳,۱۴۰۲/۰۳/۰۷ ۱۶:۰۱:۰۳,/Reports/Decision.aspx?LetterSerial=RaUgXrri01gDTzXkH1cXDg%3d%3d&rt=0&let=58&ct=0&ft=-1
1027301,کگل,معدنی و صنعتی گل گهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۲۸ ۲۳:۰۳:۲۶,۱۴۰۲/۰۲/۲۸ ۲۳:۰۳:۲۶,/Reports/Decision.aspx?LetterSerial=8LdQQQaQQQD%2bqOfOLU43sZUsL0ew%3d%3d&rt=0&let=58&ct=0&ft=-1
1017454,کگل,معدنی و صنعتی گل گهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۰ ۱۴:۵۰:۱۹,۱۴۰۲/۰۲/۱۰ ۱۴:۵۰:۱۹,/Reports/Decision.aspx?LetterSerial=OPcTXpo5GQVa8WjhGHGTtg%3d%3d&rt=0&let=58&ct=0&ft=-1
1006960,کگل,معدنی و صنعتی گل گهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۹ ۱۴:۰۳:۱۲,۱۴۰۲/۰۱/۰۹ ۱۴:۰۳:۱۲,/Reports/Decision.aspx?LetterSerial=bckT6kiqgALTufMhVVgVdQ%3d%3d&rt=0&let=58&ct=0&ft=-1
996329,کگل,معدنی و صنعتی گل گهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۷ ۱۴:۱۱:۳۰,۱۴۰۱/۱۲/۰۷ ۱۴:۱۱:۳۰,/Reports/Decision.aspx?LetterSerial=plEIIinOWWaDse7mDp1ftQ%3d%3d&rt=0&let=58&ct=0&ft=-1
987134,کگل,معدنی و صنعتی گل گهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۸:۱۲:۰۰,۱۴۰۱/۱۱/۰۵ ۱۸:۱۲:۰۰,/Reports/Decision.aspx?LetterSerial=yBwnxSNcD2oWN5ctb9UFeQ%3d%3d&rt=0&let=58&ct=0&ft=-1
984721,کگل,معدنی و صنعتی گل گهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۳۰ ۱۹:۲۰:۵۶,۱۴۰۱/۱۰/۳۰ ۱۹:۲۰:۵۶,/Reports/Decision.aspx?LetterSerial=LUgNqstPP507HQQQaQQQ%2bJQYQQQaQQQQQQaQQQhg%3d%3d&rt=0&let=58&ct=0&ft=-1
984693,کگل,معدنی و صنعتی گل گهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۳۰ ۱۸:۵۰:۴۱,۱۴۰۱/۱۰/۳۰ ۱۸:۵۰:۴۱,/Reports/Decision.aspx?LetterSerial=Im8xBlSqS5FgxraekQihbA%3d%3d&rt=0&let=58&ct=0&ft=-1
976089,کگل,معدنی و صنعتی گل گهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۷ ۱۶:۱۴:۴۱,۱۴۰۱/۱۰/۰۷ ۱۶:۱۴:۴۱,/Reports/Decision.aspx?LetterSerial=%2bZN6fzbmWAioPG6j%2bybMag%3d%3d&rt=0&let=58&ct=0&ft=-1
976072,کگل,معدنی و صنعتی گل گهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۰۷ ۱۵:۱۶:۲۶,۱۴۰۱/۱۰/۰۷ ۱۵:۱۶:۲۶,/Reports/Decision.aspx?LetterSerial=s52zrFc1XPQiZexn2JiByQ%3d%3d&rt=0&let=58&ct=0&ft=-1
975782,کگل,معدنی و صنعتی گل گهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۰۷ ۱۵:۱۰:۴۶,۱۴۰۱/۱۰/۰۷ ۱۵:۱۰:۴۶,/Reports/Decision.aspx?LetterSerial=79Rl0tgZgSg2GFrOrhPn7Q%3d%3d&rt=0&let=58&ct=0&ft=-1
974919,کگل,معدنی و صنعتی گل گهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۰۴ ۲۲:۱۶:۳۱,۱۴۰۱/۱۰/۰۴ ۲۲:۱۶:۳۱,/Reports/Decision.aspx?LetterSerial=CJkwbCJsftAtCWuX%2b2lqwg%3d%3d&rt=0&let=58&ct=0&ft=-1
962959,کگل,معدنی و صنعتی گل گهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۷ ۱۸:۱۲:۵۳,۱۴۰۱/۰۹/۰۷ ۱۸:۱۲:۵۳,/Reports/Decision.aspx?LetterSerial=2aMUhtjH6aOZsYIOhTlmJg%3d%3d&rt=0&let=58&ct=0&ft=-1
956789,کگل,معدنی و صنعتی گل گهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۸/۲۳ ۱۲:۳۸:۴۳,۱۴۰۱/۰۸/۲۳ ۱۲:۳۸:۴۳,/Reports/Decision.aspx?LetterSerial=ozZutHNDPf7yQSKfZDXtEw%3d%3d&rt=0&let=58&ct=0&ft=-1
951234,کگل,معدنی و صنعتی گل گهر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۷ ۱۶:۵۱:۵۳,۱۴۰۱/۰۸/۰۷ ۱۶:۵۱:۵۳,/Reports/Decision.aspx?LetterSerial=mh18e5RUmGY71%2bDci8xd7Q%3d%3d&rt=0&let=58&ct=0&ft=-1
