TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1076563,کیمیاتک,دارویی آرایشی بهداشتی آریان کیمیا تک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۷ ۱۳:۲۴:۳۴,۱۴۰۲/۰۶/۰۷ ۱۳:۲۴:۳۴,/Reports/Decision.aspx?LetterSerial=6gAaC9spdXStgT7NEAnIXA%3d%3d&rt=0&let=58&ct=0&ft=-1
1062799,کیمیاتک,دارویی آرایشی بهداشتی آریان کیمیا تک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۷ ۱۶:۰۶:۰۱,۱۴۰۲/۰۵/۰۷ ۱۶:۰۶:۰۱,/Reports/Decision.aspx?LetterSerial=ywmjINKNEGZstwaB7QQQaQQQJR1A%3d%3d&rt=0&let=58&ct=0&ft=-1
1047712,کیمیاتک,دارویی آرایشی بهداشتی آریان کیمیا تک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۴:۴۰:۴۶,۱۴۰۲/۰۴/۰۷ ۱۴:۴۰:۴۶,/Reports/Decision.aspx?LetterSerial=Hg52bKgbvn4rjd546FiUdQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1032398,کیمیاتک,دارویی آرایشی بهداشتی آریان کیمیا تک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۹:۱۵:۴۱,۱۴۰۲/۰۳/۰۷ ۱۹:۱۵:۴۱,/Reports/Decision.aspx?LetterSerial=R2Dx19dkFBrpSu8K9hJnjg%3d%3d&rt=0&let=58&ct=0&ft=-1
1026334,کیمیاتک,دارویی آرایشی بهداشتی آریان کیمیا تک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۲۵ ۲۱:۲۲:۵۸,۱۴۰۲/۰۲/۲۵ ۲۱:۲۲:۵۸,/Reports/Decision.aspx?LetterSerial=u0kjLb2JbPymsQQQaQQQrEl834mw%3d%3d&rt=0&let=58&ct=0&ft=-1
1019430,کیمیاتک,دارویی آرایشی بهداشتی آریان کیمیا تک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۰ ۱۶:۰۳:۱۶,۱۴۰۲/۰۲/۱۰ ۱۶:۰۳:۱۶,/Reports/Decision.aspx?LetterSerial=oHnUZv%2byhuaezMyh3yBDNg%3d%3d&rt=0&let=58&ct=0&ft=-1
1009349,کیمیاتک,دارویی آرایشی بهداشتی آریان کیمیا تک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۹ ۲۱:۲۲:۱۱,۱۴۰۲/۰۱/۰۹ ۲۱:۲۲:۱۱,/Reports/Decision.aspx?LetterSerial=4PDPVDifK3LA9qzqTlG0FQ%3d%3d&rt=0&let=58&ct=0&ft=-1
997528,کیمیاتک,دارویی آرایشی بهداشتی آریان کیمیا تک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۷ ۱۶:۲۵:۴۳,۱۴۰۱/۱۲/۰۷ ۱۶:۲۵:۴۳,/Reports/Decision.aspx?LetterSerial=TiVslNtySkZLIMkKsM7KJg%3d%3d&rt=0&let=58&ct=0&ft=-1
987762,کیمیاتک,دارویی آرایشی بهداشتی آریان کیمیا تک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۷:۱۹:۴۰,۱۴۰۱/۱۱/۰۵ ۱۷:۱۹:۴۰,/Reports/Decision.aspx?LetterSerial=yIJbFKRWqKwqi6z49p55XQ%3d%3d&rt=0&let=58&ct=0&ft=-1
976192,کیمیاتک,دارویی آرایشی بهداشتی آریان کیمیا تک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۷ ۱۸:۰۳:۲۵,۱۴۰۱/۱۰/۰۷ ۱۸:۰۳:۲۵,/Reports/Decision.aspx?LetterSerial=bXIfypzSHmkPHZ09uBHIVA%3d%3d&rt=0&let=58&ct=0&ft=-1
965011,کیمیاتک,دارویی آرایشی بهداشتی آریان کیمیا تک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۷ ۱۸:۰۱:۲۱,۱۴۰۱/۰۹/۰۷ ۱۸:۰۱:۲۱,/Reports/Decision.aspx?LetterSerial=%2bTN09lBQQQaQQQ4hXvZLRNqpo3vw%3d%3d&rt=0&let=58&ct=0&ft=-1
955710,کیمیاتک,دارویی آرایشی بهداشتی آریان کیمیا تک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۸/۱۷ ۱۲:۴۱:۵۱,۱۴۰۱/۰۸/۱۷ ۱۲:۴۱:۵۱,/Reports/Decision.aspx?LetterSerial=zZLvbQQQaQQQgZQlUA3oFa5usqQw%3d%3d&rt=0&let=58&ct=0&ft=-1
952244,کیمیاتک,دارویی آرایشی بهداشتی آریان کیمیا تک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۷ ۱۷:۲۶:۱۴,۱۴۰۱/۰۸/۰۷ ۱۷:۲۶:۱۴,/Reports/Decision.aspx?LetterSerial=XFfrHvqqYcxArtNOF4DMBw%3d%3d&rt=0&let=58&ct=0&ft=-1
949054,کیمیاتک,دارویی آرایشی بهداشتی آریان کیمیا تک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۳۰ ۱۸:۳۹:۵۶,۱۴۰۱/۰۷/۳۰ ۱۸:۳۹:۵۶,/Reports/Decision.aspx?LetterSerial=shQQQQaQQQCj7K9%2bDP9TFBlR8oFw%3d%3d&rt=0&let=58&ct=0&ft=-1
942818,کیمیاتک,دارویی آرایشی بهداشتی آریان کیمیا تک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۱۰ ۱۱:۱۳:۱۰,۱۴۰۱/۰۷/۱۰ ۱۱:۱۳:۱۰,/Reports/Decision.aspx?LetterSerial=NBu20BPZeZ2vQb3AXcB5PA%3d%3d&rt=0&let=58&ct=0&ft=-1
931731,کیمیاتک,دارویی آرایشی بهداشتی آریان کیمیا تک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۷ ۱۶:۰۸:۰۷,۱۴۰۱/۰۶/۰۷ ۱۶:۰۸:۰۷,/Reports/Decision.aspx?LetterSerial=uJqF34gRljeqpdRJnjvS4A%3d%3d&rt=0&let=58&ct=0&ft=-1
919705,کیمیاتک,دارویی آرایشی بهداشتی آریان کیمیا تک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۵ ۱۸:۱۸:۳۹,۱۴۰۱/۰۵/۰۵ ۱۸:۱۸:۳۹,/Reports/Decision.aspx?LetterSerial=6xLm%2buHxUsw29%2bezfDXA0A%3d%3d&rt=0&let=58&ct=0&ft=-1
914529,کیمیاتک,دارویی آرایشی بهداشتی آریان کیمیا تک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۴/۲۸ ۱۴:۰۹:۲۷,۱۴۰۱/۰۴/۲۸ ۱۴:۰۹:۲۷,/Reports/Decision.aspx?LetterSerial=TeMVXjdGrkf75k%2bF8ztAbg%3d%3d&rt=0&let=58&ct=0&ft=-1
903695,کیمیاتک,دارویی آرایشی بهداشتی آریان کیمیا تک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۰,۱۴۰۱/۰۴/۰۷ ۱۴:۱۳:۰۶,۱۴۰۱/۰۴/۰۷ ۱۴:۱۳:۰۶,/Reports/Decision.aspx?LetterSerial=SB4sEOClcX8sgQXzLMAiVw%3d%3d&rt=0&let=58&ct=0&ft=-1
899472,کیمیاتک,دارویی آرایشی بهداشتی آریان کیمیا تک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۰/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۱/۰۳/۳۰ ۱۸:۳۷:۲۷,۱۴۰۱/۰۳/۳۰ ۱۸:۳۷:۲۷,/Reports/Decision.aspx?LetterSerial=e%2b9nxLCrt3%2b7yKE37PTazw%3d%3d&rt=0&let=58&ct=0&ft=-1
888874,کیمیاتک,دارویی آرایشی بهداشتی آریان کیمیا تک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۲/۳۱,ن-۳۰,۱۴۰۱/۰۳/۰۷ ۱۵:۳۶:۱۴,۱۴۰۱/۰۳/۰۷ ۱۵:۳۶:۱۴,/Reports/Decision.aspx?LetterSerial=bWJoQQQaQQQ9wlGRwawM0FcnYAAQ%3d%3d&rt=0&let=58&ct=0&ft=-1
876746,کیمیاتک,دارویی آرایشی بهداشتی آریان کیمیا تک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۱/۳۱,ن-۳۰,۱۴۰۱/۰۲/۱۰ ۱۵:۱۳:۴۸,۱۴۰۱/۰۲/۱۰ ۱۵:۱۳:۴۸,/Reports/Decision.aspx?LetterSerial=pfu5xTi9yPmnCQQQaQQQSxAL%2BZMg%3D%3D&rt=0&let=58&ct=0&ft=-1
865869,کیمیاتک,دارویی آرایشی بهداشتی آریان کیمیا تک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۲/۲۹,ن-۳۰,۱۴۰۱/۰۱/۱۰ ۱۸:۳۸:۳۳,۱۴۰۱/۰۱/۱۰ ۱۸:۳۸:۳۳,/Reports/Decision.aspx?LetterSerial=i7WoTRQdJB9nMM4eNoYgKQ%3D%3D&rt=0&let=58&ct=0&ft=-1
857929,کیمیاتک,دارویی آرایشی بهداشتی آریان کیمیا تک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۱/۳۰,ن-۳۰,۱۴۰۰/۱۲/۰۷ ۱۷:۲۲:۴۳,۱۴۰۰/۱۲/۰۷ ۱۷:۲۲:۴۳,/Reports/Decision.aspx?LetterSerial=VZPHC65ZHMegHQ%2BmDwpgkA%3D%3D&rt=0&let=58&ct=0&ft=-1
848923,کیمیاتک,دارویی آرایشی بهداشتی آریان کیمیا تک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۱۰/۳۰,ن-۳۰,۱۴۰۰/۱۱/۰۶ ۱۹:۱۱:۰۷,۱۴۰۰/۱۱/۰۶ ۱۹:۱۱:۰۷,/Reports/Decision.aspx?LetterSerial=Dq%2Bm7%2BsqjHepgjbsgH2QMA%3D%3D&rt=0&let=58&ct=0&ft=-1
836688,کیمیاتک,دارویی آرایشی بهداشتی آریان کیمیا تک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۹/۳۰,ن-۳۰,۱۴۰۰/۱۰/۰۷ ۱۷:۳۷:۳۱,۱۴۰۰/۱۰/۰۷ ۱۷:۳۷:۳۱,/Reports/Decision.aspx?LetterSerial=rUoHDgLHUTTW%2BXfTdoXsXQ%3D%3D&rt=0&let=58&ct=0&ft=-1
823634,کیمیاتک,دارویی آرایشی بهداشتی آریان کیمیا تک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۸/۳۰,ن-۳۰,۱۴۰۰/۰۹/۰۷ ۱۳:۰۳:۲۵,۱۴۰۰/۰۹/۰۷ ۱۳:۰۳:۲۵,/Reports/Decision.aspx?LetterSerial=Hq45jHfGLgwRxai4nofw0g%3D%3D&rt=0&let=58&ct=0&ft=-1
811077,کیمیاتک,دارویی آرایشی بهداشتی آریان کیمیا تک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۷/۳۰,ن-۳۰,۱۴۰۰/۰۸/۰۵ ۱۷:۳۶:۲۵,۱۴۰۰/۰۸/۰۵ ۱۷:۳۶:۲۵,/Reports/Decision.aspx?LetterSerial=3qJzriTyXJnu80QQQaQQQwL6DwNg%3D%3D&rt=0&let=58&ct=0&ft=-1
801005,کیمیاتک,دارویی آرایشی بهداشتی آریان کیمیا تک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۶/۳۱,ن-۳۰,۱۴۰۰/۰۷/۰۷ ۱۸:۰۸:۰۳,۱۴۰۰/۰۷/۰۷ ۱۸:۰۸:۰۳,/Reports/Decision.aspx?LetterSerial=HNkaiqLh28PibxSne1jKpg%3D%3D&rt=0&let=58&ct=0&ft=-1
786990,کیمیاتک,دارویی آرایشی بهداشتی آریان کیمیا تک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۵/۳۱,ن-۳۰,۱۴۰۰/۰۶/۰۷ ۱۳:۱۰:۱۲,۱۴۰۰/۰۶/۰۷ ۱۳:۱۰:۱۲,/Reports/Decision.aspx?LetterSerial=aRvnf%2BaEkmm39CVLQmwn5g%3D%3D&rt=0&let=58&ct=0&ft=-1
777025,کیمیاتک,دارویی آرایشی بهداشتی آریان کیمیا تک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۴/۳۱,ن-۳۰,۱۴۰۰/۰۵/۰۵ ۰۹:۱۴:۰۰,۱۴۰۰/۰۵/۰۵ ۰۹:۱۴:۰۰,/Reports/Decision.aspx?LetterSerial=xpP9gTBBPSwtAGoPrDVTHA%3D%3D&rt=0&let=58&ct=0&ft=-1
765293,کیمیاتک,دارویی آرایشی بهداشتی آریان کیمیا تک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۳/۳۱,ن-۳۰,۱۴۰۰/۰۴/۰۹ ۱۲:۲۱:۵۰,۱۴۰۰/۰۴/۰۹ ۱۲:۲۱:۵۰,/Reports/Decision.aspx?LetterSerial=Xx187f1FzIy3BnjqoW2xaw%3D%3D&rt=0&let=58&ct=0&ft=-1
765273,کیمیاتک,دارویی آرایشی بهداشتی آریان کیمیا تک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۲/۳۱,ن-۳۰,۱۴۰۰/۰۴/۰۹ ۱۱:۵۴:۴۸,۱۴۰۰/۰۴/۰۹ ۱۱:۵۴:۴۸,/Reports/Decision.aspx?LetterSerial=23aBaXWVYDph6RawWufveQ%3D%3D&rt=0&let=58&ct=0&ft=-1
765227,کیمیاتک,دارویی آرایشی بهداشتی آریان کیمیا تک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۴۰۰/۰۱/۳۱,ن-۳۰,۱۴۰۰/۰۴/۰۹ ۱۱:۳۸:۴۱,۱۴۰۰/۰۴/۰۹ ۱۱:۳۸:۴۱,/Reports/Decision.aspx?LetterSerial=LgeVtvQ66KROGRXvz0Mrfw%3D%3D&rt=0&let=58&ct=0&ft=-1
748857,کیمیاتک,دارویی آرایشی بهداشتی آریان کیمیا تک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به ۱۳۹۹/۱۲/۳۰,ن-۳۰,۱۴۰۰/۰۳/۰۱ ۱۵:۰۱:۰۳,۱۴۰۰/۰۳/۰۱ ۱۵:۰۱:۰۳,/Reports/Decision.aspx?LetterSerial=2Y538xdX3CMEo04%2BRwAc6Q%3D%3D&rt=0&let=58&ct=0&ft=-1
