TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1076296,گدنا,تهیه توزیع غذای دنا آفرین فدک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۷ ۱۵:۱۱:۳۸,۱۴۰۲/۰۶/۰۷ ۱۵:۱۱:۳۸,/Reports/Decision.aspx?LetterSerial=EQQQaQQQs5wQnbk23bDFJQQQaQQQikwsmA%3d%3d&rt=5&let=58&ct=0&ft=-1
1063376,گدنا,تهیه توزیع غذای دنا آفرین فدک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۳ ۱۷:۲۵:۰۴,۱۴۰۲/۰۵/۰۳ ۱۷:۲۵:۰۴,/Reports/Decision.aspx?LetterSerial=x55eDHQQQaQQQW5OLHEHs4Xdpt9w%3d%3d&rt=5&let=58&ct=0&ft=-1
1060194,گدنا,تهیه توزیع غذای دنا آفرین فدک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۲۹ ۱۲:۰۱:۰۱,۱۴۰۲/۰۴/۲۹ ۱۲:۰۱:۰۱,/Reports/Decision.aspx?LetterSerial=Fs%2beFzIJvPpZkKTQRMAODg%3d%3d&rt=5&let=58&ct=0&ft=-1
1047399,گدنا,تهیه توزیع غذای دنا آفرین فدک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۱:۰۹:۴۴,۱۴۰۲/۰۴/۰۷ ۱۱:۰۹:۴۴,/Reports/Decision.aspx?LetterSerial=i0RlYNewdI0XK9e4IUzDog%3d%3d&rt=5&let=58&ct=0&ft=-1
1041457,گدنا,تهیه توزیع غذای دنا آفرین فدک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۴/۰۳ ۱۵:۴۳:۵۹,۱۴۰۲/۰۴/۰۳ ۱۵:۴۳:۵۹,/Reports/Decision.aspx?LetterSerial=oKLOv3eYPXzQQQaQQQGwEVs9cyJQ%3d%3d&rt=5&let=58&ct=0&ft=-1
1031453,گدنا,تهیه توزیع غذای دنا آفرین فدک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۱۴:۰۴:۴۷,۱۴۰۲/۰۳/۰۷ ۱۴:۰۴:۴۷,/Reports/Decision.aspx?LetterSerial=jmp1hBSCnTmQCcbyPG1inQ%3d%3d&rt=5&let=58&ct=0&ft=-1
1019147,گدنا,تهیه توزیع غذای دنا آفرین فدک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۰ ۱۲:۱۶:۵۹,۱۴۰۲/۰۲/۱۰ ۱۲:۱۶:۵۹,/Reports/Decision.aspx?LetterSerial=SZXEOMm7%2bpwuXX0M4W0OVw%3d%3d&rt=5&let=58&ct=0&ft=-1
1015850,گدنا,تهیه توزیع غذای دنا آفرین فدک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۰۴ ۰۹:۳۸:۳۷,۱۴۰۲/۰۲/۰۴ ۰۹:۳۸:۳۷,/Reports/Decision.aspx?LetterSerial=Mv8WK3wEQWCiSVi4QVCWJg%3d%3d&rt=5&let=58&ct=0&ft=-1
1006818,گدنا,تهیه توزیع غذای دنا آفرین فدک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۷ ۱۵:۳۶:۳۷,۱۴۰۲/۰۱/۰۷ ۱۵:۳۶:۳۷,/Reports/Decision.aspx?LetterSerial=90HpPonu7iTMu4Czmn54Ag%3d%3d&rt=5&let=58&ct=0&ft=-1
997128,گدنا,تهیه توزیع غذای دنا آفرین فدک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۷ ۱۴:۲۷:۵۶,۱۴۰۱/۱۲/۰۷ ۱۴:۲۷:۵۶,/Reports/Decision.aspx?LetterSerial=g4f3iCOCUEr4e6a80A2VYA%3d%3d&rt=5&let=58&ct=0&ft=-1
987247,گدنا,تهیه توزیع غذای دنا آفرین فدک,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۴ ۱۸:۳۷:۰۹,۱۴۰۱/۱۱/۰۴ ۱۸:۳۷:۰۹,/Reports/Decision.aspx?LetterSerial=pYCWnRiqdJ0pRAcdePLFqw%3d%3d&rt=5&let=58&ct=0&ft=-1
