TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075612,شبصیر,تولیدات پتروشیمی قائد بصیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۷ ۱۶:۱۷:۳۸,۱۴۰۲/۰۶/۰۷ ۱۶:۱۷:۳۸,/Reports/Decision.aspx?LetterSerial=GesiTwZE47yrbuWE%2bG4J4g%3d%3d&rt=0&let=58&ct=0&ft=-1
1062210,شبصیر,تولیدات پتروشیمی قائد بصیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۶:۴۷:۳۱,۱۴۰۲/۰۵/۰۴ ۱۶:۴۷:۳۱,/Reports/Decision.aspx?LetterSerial=OQQQaQQQ%2bcJ4YaSp2PjyRurHvufQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1046616,شبصیر,تولیدات پتروشیمی قائد بصیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۷ ۱۶:۰۰:۱۷,۱۴۰۲/۰۴/۰۷ ۱۶:۰۰:۱۷,/Reports/Decision.aspx?LetterSerial=fdxoEvbWlat3K4TVqstzKQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1030165,شبصیر,تولیدات پتروشیمی قائد بصیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۷ ۲۰:۱۷:۵۹,۱۴۰۲/۰۳/۰۷ ۲۰:۱۷:۵۹,/Reports/Decision.aspx?LetterSerial=IpCXgQ29WC5dFCMJB6WEIQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1019364,شبصیر,تولیدات پتروشیمی قائد بصیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۱۰ ۲۲:۲۴:۳۳,۱۴۰۲/۰۲/۱۰ ۲۲:۲۴:۳۳,/Reports/Decision.aspx?LetterSerial=QQQaQQQ0SUD0u6mTLQapx7WmfqiQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1019748,شبصیر,تولیدات پتروشیمی قائد بصیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۱۰ ۲۱:۴۶:۰۶,۱۴۰۲/۰۲/۱۰ ۲۱:۴۶:۰۶,/Reports/Decision.aspx?LetterSerial=qpsOYrAwDbT1ocmXYGC5JQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1006680,شبصیر,تولیدات پتروشیمی قائد بصیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۸ ۱۶:۰۲:۳۴,۱۴۰۲/۰۱/۰۸ ۱۶:۰۲:۳۴,/Reports/Decision.aspx?LetterSerial=GCVqz9dxagfgMKGE2i8WTg%3d%3d&rt=0&let=58&ct=0&ft=-1
995516,شبصیر,تولیدات پتروشیمی قائد بصیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۶ ۱۹:۰۸:۵۹,۱۴۰۱/۱۲/۰۶ ۱۹:۰۸:۵۹,/Reports/Decision.aspx?LetterSerial=RHJqVsfCoHFk6LSdglXAwQ%3d%3d&rt=0&let=58&ct=0&ft=-1
985135,شبصیر,تولیدات پتروشیمی قائد بصیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۰/۳۰,ن-۳۰,۱۴۰۱/۱۱/۰۵ ۱۹:۰۸:۲۶,۱۴۰۱/۱۱/۰۵ ۱۹:۰۸:۲۶,/Reports/Decision.aspx?LetterSerial=jssb34%2bvpLodEg7cEeIOhw%3d%3d&rt=0&let=58&ct=0&ft=-1
975016,شبصیر,تولیدات پتروشیمی قائد بصیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۹/۳۰,ن-۳۰,۱۴۰۱/۱۰/۰۷ ۱۸:۳۰:۰۹,۱۴۰۱/۱۰/۰۷ ۱۸:۳۰:۰۹,/Reports/Decision.aspx?LetterSerial=k3FffhrwWb3X7IBYepmxjA%3d%3d&rt=0&let=58&ct=0&ft=-1
974990,شبصیر,تولیدات پتروشیمی قائد بصیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۰۵ ۰۹:۱۷:۱۹,۱۴۰۱/۱۰/۰۵ ۰۹:۱۷:۱۹,/Reports/Decision.aspx?LetterSerial=I2QQQaQQQ7cHZQQQaQQQ4JMhnd2ZzcjaYg%3d%3d&rt=0&let=58&ct=0&ft=-1
974955,شبصیر,تولیدات پتروشیمی قائد بصیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۱۰/۰۵ ۰۹:۱۶:۲۹,۱۴۰۱/۱۰/۰۵ ۰۹:۱۶:۲۹,/Reports/Decision.aspx?LetterSerial=6SE0RPpx0hPJHQQQaQQQl5CAABOQ%3d%3d&rt=0&let=58&ct=0&ft=-1
968679,شبصیر,تولیدات پتروشیمی قائد بصیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۹/۱۵ ۱۹:۱۰:۵۴,۱۴۰۱/۰۹/۱۵ ۱۹:۱۰:۵۴,/Reports/Decision.aspx?LetterSerial=1hxLQQQaQQQ6KIVYjzmva8cHlASA%3d%3d&rt=0&let=58&ct=0&ft=-1
966908,شبصیر,تولیدات پتروشیمی قائد بصیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰(اصلاحیه),ن-۳۰,۱۴۰۱/۰۹/۱۴ ۱۱:۴۵:۱۶,۱۴۰۱/۰۹/۱۴ ۱۱:۴۵:۱۶,/Reports/Decision.aspx?LetterSerial=XRoFeFlX0joMG20FlIY32Q%3d%3d&rt=0&let=58&ct=0&ft=-1
962238,شبصیر,تولیدات پتروشیمی قائد بصیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۸/۳۰,ن-۳۰,۱۴۰۱/۰۹/۰۷ ۱۵:۴۵:۳۶,۱۴۰۱/۰۹/۰۷ ۱۵:۴۵:۳۶,/Reports/Decision.aspx?LetterSerial=Pow9qgYu8XUWOJG%2bhjWP8w%3d%3d&rt=0&let=58&ct=0&ft=-1
951251,شبصیر,تولیدات پتروشیمی قائد بصیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۷/۳۰,ن-۳۰,۱۴۰۱/۰۸/۰۷ ۱۸:۴۱:۴۶,۱۴۰۱/۰۸/۰۷ ۱۸:۴۱:۴۶,/Reports/Decision.aspx?LetterSerial=pDBPbJ5tvKalka4NrxxdGg%3d%3d&rt=0&let=58&ct=0&ft=-1
948381,شبصیر,تولیدات پتروشیمی قائد بصیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱(اصلاحیه),ن-۳۰,۱۴۰۱/۰۷/۳۰ ۱۰:۰۶:۰۹,۱۴۰۱/۰۷/۳۰ ۱۰:۰۶:۰۹,/Reports/Decision.aspx?LetterSerial=Yrp1OxzLiTYax88o8bG4aQ%3d%3d&rt=0&let=58&ct=0&ft=-1
941332,شبصیر,تولیدات پتروشیمی قائد بصیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۶/۳۱,ن-۳۰,۱۴۰۱/۰۷/۰۹ ۱۵:۵۳:۲۸,۱۴۰۱/۰۷/۰۹ ۱۵:۵۳:۲۸,/Reports/Decision.aspx?LetterSerial=oRt%2bIPePQSV5fuOwcPvcHg%3d%3d&rt=0&let=58&ct=0&ft=-1
930229,شبصیر,تولیدات پتروشیمی قائد بصیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۵/۳۱,ن-۳۰,۱۴۰۱/۰۶/۰۶ ۱۰:۰۲:۴۴,۱۴۰۱/۰۶/۰۶ ۱۰:۰۲:۴۴,/Reports/Decision.aspx?LetterSerial=BFJa9u6f7VfBh9F9cDdeXQ%3d%3d&rt=0&let=58&ct=0&ft=-1
917446,شبصیر,تولیدات پتروشیمی قائد بصیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۴/۳۱,ن-۳۰,۱۴۰۱/۰۵/۰۵ ۰۸:۳۹:۴۳,۱۴۰۱/۰۵/۰۵ ۰۸:۳۹:۴۳,/Reports/Decision.aspx?LetterSerial=OJF5PduCQQQaQQQr6urUcQQQaQQQc1V3cQ%3d%3d&rt=0&let=58&ct=0&ft=-1
903162,شبصیر,تولیدات پتروشیمی قائد بصیر,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۰۳/۳۱,ن-۳۰,۱۴۰۱/۰۴/۰۷ ۱۴:۴۵:۴۷,۱۴۰۱/۰۴/۰۷ ۱۴:۴۵:۴۷,/Reports/Decision.aspx?LetterSerial=yblcBTKtnSMRUDG3q9jE2Q%3d%3d&rt=0&let=58&ct=0&ft=-1
