TracingNo,Symbol,CompanyName,Title,LetterCode,SentDateTime,PublishDateTime,Url
1075589,شدوص,دوده صنعتی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۵/۳۱,ن-۳۰,۱۴۰۲/۰۶/۰۵ ۱۵:۰۷:۳۱,۱۴۰۲/۰۶/۰۵ ۱۵:۰۷:۳۱,/Reports/Decision.aspx?LetterSerial=9d1hIEuIHYG%2bvHOB8gfyIw%3d%3d&rt=0&let=58&ct=0&ft=-1
1066160,شدوص,دوده صنعتی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۵/۰۹ ۱۱:۳۶:۰۴,۱۴۰۲/۰۵/۰۹ ۱۱:۳۶:۰۴,/Reports/Decision.aspx?LetterSerial=Vj20nY7cdgQQQaQQQuhSyyDC2QQQaQQQ1w%3d%3d&rt=0&let=58&ct=0&ft=-1
1064491,شدوص,دوده صنعتی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۴/۳۱,ن-۳۰,۱۴۰۲/۰۵/۰۴ ۱۳:۵۶:۲۶,۱۴۰۲/۰۵/۰۴ ۱۳:۵۶:۲۶,/Reports/Decision.aspx?LetterSerial=RWM9vQEVZ1Ib4F3m%2bxSKrQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1046288,شدوص,دوده صنعتی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۳/۳۱,ن-۳۰,۱۴۰۲/۰۴/۰۵ ۱۴:۳۱:۴۱,۱۴۰۲/۰۴/۰۵ ۱۴:۳۱:۴۱,/Reports/Decision.aspx?LetterSerial=CUcYEqwekqSW8pqipjFzBw%3d%3d&rt=0&let=58&ct=0&ft=-1
1029204,شدوص,دوده صنعتی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۲/۳۱,ن-۳۰,۱۴۰۲/۰۳/۰۴ ۱۴:۱۹:۱۳,۱۴۰۲/۰۳/۰۴ ۱۴:۱۹:۱۳,/Reports/Decision.aspx?LetterSerial=zPLxmrrqU8VrDFITDSI9PQ%3d%3d&rt=0&let=58&ct=0&ft=-1
1018082,شدوص,دوده صنعتی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۰۶ ۱۹:۱۷:۲۴,۱۴۰۲/۰۲/۰۶ ۱۹:۱۷:۲۴,/Reports/Decision.aspx?LetterSerial=jcnf2e70M0ePKJNyUBon1A%3d%3d&rt=0&let=58&ct=0&ft=-1
1017369,شدوص,دوده صنعتی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱(اصلاحیه),ن-۳۰,۱۴۰۲/۰۲/۰۶ ۱۰:۰۰:۲۲,۱۴۰۲/۰۲/۰۶ ۱۰:۰۰:۲۲,/Reports/Decision.aspx?LetterSerial=mbYEoI8FtsHhLrY4qbQYbw%3d%3d&rt=0&let=58&ct=0&ft=-1
1016235,شدوص,دوده صنعتی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۲/۰۱/۳۱,ن-۳۰,۱۴۰۲/۰۲/۰۴ ۱۵:۱۱:۰۷,۱۴۰۲/۰۲/۰۴ ۱۵:۱۱:۰۷,/Reports/Decision.aspx?LetterSerial=Fn9ve8tJU2CmZnMGDVkV6Q%3d%3d&rt=0&let=58&ct=0&ft=-1
1006722,شدوص,دوده صنعتی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۲/۲۹,ن-۳۰,۱۴۰۲/۰۱/۰۶ ۱۲:۳۷:۱۲,۱۴۰۲/۰۱/۰۶ ۱۲:۳۷:۱۲,/Reports/Decision.aspx?LetterSerial=K99H6Rsk5DLRKkfc9tweuA%3d%3d&rt=0&let=58&ct=0&ft=-1
996299,شدوص,دوده صنعتی پارس,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۱/۱۱/۳۰,ن-۳۰,۱۴۰۱/۱۲/۰۳ ۱۶:۵۲:۰۶,۱۴۰۱/۱۲/۰۳ ۱۶:۵۲:۰۶,/Reports/Decision.aspx?LetterSerial=IKmWiR5jBMjJ1YZBwMGC2Q%3d%3d&rt=0&let=58&ct=0&ft=-1
