,vahed,esm,tolid,foroosh,nerkh_foroosh,mablagh_forosh,Year,Month,Day,nemad
6,مگاوات ساعت,خارج از بازار,255816,255816,420869,107665,1399,08,30,آبادا
5,مگا وات ساعت,انرژي برق,135946,135946,187111,25437,1399,08,30,آبادا
4,مگاوات ساعت,آمادگي,205811,205811,67528,13898,1399,08,30,آبادا
4,مگاوات ساعت,آمادگي,398820,398820,85951,34279,1399,09,30,آبادا
5,مگا وات ساعت,انرژي برق,378009,378009,277959,105071,1399,09,30,آبادا
6,مگاوات ساعت,خارج از بازار,89712,89712,508851,45650,1399,09,30,آبادا
4,مگاوات ساعت,آمادگي,339079,339079,86534,29342,1399,10,30,آبادا
5,مگا وات ساعت,انرژي برق,333288,333288,257009,85658,1399,10,30,آبادا
6,مگاوات ساعت,خارج از بازار,89712,89712,508851,45650,1399,10,30,آبادا
4,مگاوات ساعت,آمادگي,264928,264928,78818,20881,1399,11,30,آبادا
5,مگا وات ساعت,انرژي برق,264928,264928,178977,47416,1399,11,30,آبادا
6,مگاوات ساعت,خارج از بازار,90072,90072,508882,45836,1399,11,30,آبادا
4,مگاوات ساعت,آمادگي,215477,215477,76941,16579,1399,12,30,آبادا
5,مگا وات ساعت,انرژي برق,198310,198310,347093,68832,1399,12,30,آبادا
6,مگاوات ساعت,خارج از بازار,135504,135504,510561,69183,1399,12,30,آبادا
7,مگاوات ساعت,درآمد جانبي,0,0,0,0,1400,01,31,آبادا
6,مگاوات ساعت,خارج از بازار,146642,146642,544421,79835,1400,01,31,آبادا
5,مگاوات ساعت,آمادگي,253358,253358,71523,18121,1400,01,31,آبادا
4,مگا وات ساعت,انرژي برق,223358,223358,209883,46879,1400,01,31,آبادا
6,مگاوات ساعت,خارج از بازار,156240,156240,509293,79572,1400,02,31,آبادا
5,مگاوات ساعت,آمادگي,261760,261760,106968,28000,1400,02,31,آبادا
4,مگا وات ساعت,انرژي برق,257760,257760,372439,96000,1400,02,31,آبادا
6,مگاوات ساعت,خارج از بازار,155496,155496,527711,82057,1400,03,31,آبادا
5,مگاوات ساعت,آمادگي,272504,272504,139447,38000,1400,03,31,آبادا
4,مگا وات ساعت,انرژي برق,262504,262504,526640,138245,1400,03,31,آبادا
6,مگاوات ساعت,خارج از بازار,108038,108038,549334,59349,1400,04,31,آبادا
5,مگاوات ساعت,آمادگي,298249,298249,314375,93762,1400,04,31,آبادا
4,مگا وات ساعت,انرژي برق,298702,298702,685539,204772,1400,04,31,آبادا
6,مگاوات ساعت,خارج از بازار,178032,178032,535331,95306,1400,05,31,آبادا
5,مگاوات ساعت,آمادگي,229973,229973,326125,75000,1400,05,31,آبادا
4,مگا وات ساعت,انرژي برق,232708,232708,657476,153000,1400,05,31,آبادا
6,مگاوات ساعت,خارج از بازار,111600,111600,536299,59851,1400,06,31,آبادا
5,مگاوات ساعت,آمادگي,243831,243831,196066,47807,1400,06,31,آبادا
4,مگا وات ساعت,انرژي برق,247778,247778,660055,163547,1400,06,31,آبادا
6,مگاوات ساعت,خارج از بازار,105840,105840,540892,57248,1400,07,30,آبادا
5,مگاوات ساعت,آمادگي,203843,203843,132499,27009,1400,07,30,آبادا
4,مگا وات ساعت,انرژي برق,206263,206263,621958,128287,1400,07,30,آبادا
6,مگاوات ساعت,خارج از بازار,109800,109800,546521,60008,1400,08,30,آبادا
5,مگاوات ساعت,آمادگي,303837,303837,91914,27927,1400,08,30,آبادا
4,مگا وات ساعت,انرژي برق,298288,298288,593276,176967,1400,08,30,آبادا
7,مگاوات ساعت,انرژي - بورس انرژي,0,0,0,0,1400,09,30,آبادا
6,مگاوات ساعت,انرژي - قراردادهاي دوجانبه,70128,70128,556326,39014,1400,09,30,آبادا
5,مگاوات ساعت,آمادگي,409777,409777,85446,35014,1400,09,30,آبادا
4,مگا وات ساعت,انرژي برق,395628,395628,607968,240529,1400,09,30,آبادا
7,مگاوات ساعت,انرژي - بورس انرژي,0,0,0,0,1400,10,30,آبادا
6,مگاوات ساعت,انرژي - قراردادهاي دوجانبه,68742,68742,553432,38044,1400,10,30,آبادا
5,مگاوات ساعت,آمادگي,384251,384251,72494,27856,1400,10,30,آبادا
4,مگا وات ساعت,انرژي برق,366424,366424,556541,203930,1400,10,30,آبادا
4,مگا وات ساعت,انرژي برق,292844,292844,504897,147856,1400,11,30,آبادا
5,مگاوات ساعت,آمادگي,296680,296680,74656,22149,1400,11,30,آبادا
6,مگاوات ساعت,انرژي - قراردادهاي دوجانبه,69851,69851,555754,38820,1400,11,30,آبادا
7,مگاوات ساعت,انرژي - بورس انرژي,0,0,0,0,1400,12,29,آبادا
6,مگاوات ساعت,انرژي - قراردادهاي دوجانبه,7667,7667,700013,5367,1400,12,29,آبادا
4,مگا وات ساعت,انرژي برق,374362,374362,575585,215477,1400,12,29,آبادا
5,مگاوات ساعت,آمادگي,349842,349842,68454,23948,1400,12,29,آبادا
6,مگاوات ساعت,انرژي - قراردادهاي دوجانبه,8348,8348,699928,5843,1401,01,31,آبادا
5,مگاوات ساعت,آمادگي,364143,364143,63154,22997,1401,01,31,آبادا
4,مگاوات ساعت,انرژي برق,366569,366569,619799,227199,1401,01,31,آبادا
6,مگاوات ساعت,انرژي - قراردادهاي دوجانبه,119918,119918,583674,69993,1401,02,31,آبادا
4,مگاوات ساعت,انرژي برق,207288,207288,685722,142142,1401,02,31,آبادا
5,مگاوات ساعت,آمادگي,203121,203121,106700,21673,1401,02,31,آبادا
6,مگاوات ساعت,انرژي - قراردادهاي دوجانبه,157205,157205,584657,91911,1401,03,31,آبادا
5,مگاوات ساعت,آمادگي,84520,84520,43422,3670,1401,03,31,آبادا
4,مگاوات ساعت,انرژي برق,84413,84413,652459,55076,1401,03,31,آبادا
7,مگاوات ساعت,انرژي - بورس انرژي,0,0,0,0,1401,03,31,آبادا
7,مگاوات ساعت,انرژي - بورس انرژي,0,0,0,0,1401,04,31,آبادا
6,مگاوات ساعت,انرژي - قراردادهاي دوجانبه,123333,123333,585099,72162,1401,04,31,آبادا
5,مگاوات ساعت,آمادگي,167665,167665,248454,41657,1401,04,31,آبادا
4,مگاوات ساعت,انرژي برق,167298,167298,668125,111776,1401,04,31,آبادا
7,مگاوات ساعت,انرژي - بورس انرژي,0,0,0,0,1401,05,31,آبادا
6,مگاوات ساعت,انرژي - قراردادهاي دوجانبه,119814,119814,583680,69933,1401,05,31,آبادا
4,مگاوات ساعت,انرژي برق,124953,124953,752995,94089,1401,05,31,آبادا
5,مگاوات ساعت,آمادگي,123134,123134,231894,28554,1401,05,31,آبادا
7,مگاوات ساعت,انرژي - بورس انرژي,27080,27080,774040,20961,1401,06,31,آبادا
6,مگاوات ساعت,انرژي - قراردادهاي دوجانبه,118174,118174,614797,72653,1401,06,31,آبادا
4,مگاوات ساعت,انرژي برق,174084,174084,721158,125542,1401,06,31,آبادا
5,مگاوات ساعت,آمادگي,237493,237493,194629,46223,1401,06,31,آبادا
8,مگاوات ساعت,انرژي - بورس انرژي,0,0,0,0,1401,07,30,آبادا
7,مگاوات ساعت,انرژي - قراردادهاي دوجانبه,115535,115535,696672,80490,1401,07,30,آبادا
5,مگاوات ساعت,انرژي برق,115917,115917,872107,101092,1401,07,30,آبادا
6,مگاوات ساعت,آمادگي,114036,114036,164571,18767,1401,07,30,آبادا
8,مگاوات ساعت,انرژي - بورس انرژي,0,0,0,0,1401,08,30,آبادا
6,مگاوات ساعت,آمادگي,197000,128046,132702,16992,1401,08,30,آبادا
7,مگاوات ساعت,انرژي - قراردادهاي دوجانبه,115614,115614,696775,80557,1401,08,30,آبادا
5,مگاوات ساعت,انرژي برق,173962,128954,837446,107992,1401,08,30,آبادا
6,مگاوات ساعت,آمادگي,139803,139803,93832,13118,1401,09,30,آبادا
7,مگاوات ساعت,انرژي - قراردادهاي دوجانبه,105329,105329,698345,73556,1401,09,30,آبادا
5,مگاوات ساعت,انرژي برق,141583,141583,798888,113109,1401,09,30,آبادا
7,مگاوات ساعت,انرژي - قراردادهاي دوجانبه,123250,123250,697582,85977,1401,10,30,آبادا
8,مگاوات ساعت,انرژي - بورس انرژي,0,0,0,0,1401,10,30,آبادا
6,مگاوات ساعت,آمادگي,154650,154650,88613,13704,1401,10,30,آبادا
5,مگاوات ساعت,انرژي برق,156458,156458,759079,118764,1401,10,30,آبادا
8,مگاوات ساعت,انرژي - بورس انرژي,0,0,0,0,1401,11,30,آبادا
6,مگاوات ساعت,آمادگي,151683,151683,76113,11545,1401,11,30,آبادا
7,مگاوات ساعت,انرژي - قراردادهاي دوجانبه,151690,151690,696031,105581,1401,11,30,آبادا
5,مگاوات ساعت,انرژي برق,155788,155788,672048,104697,1401,11,30,آبادا
7,مگاوات ساعت,انرژي - قراردادهاي دوجانبه,87783,87783,698928,61354,1401,12,29,آبادا
8,مگاوات ساعت,انرژي - بورس انرژي,0,0,0,0,1401,12,29,آبادا
6,مگاوات ساعت,آمادگي,212026,212026,74203,15733,1401,12,29,آبادا
5,مگاوات ساعت,انرژي برق,196739,196739,700080,137733,1401,12,29,آبادا
7,مگاوات ساعت,انرژي - قراردادهاي دوجانبه,123474,123474,882550,108972,1402,01,31,آبادا
8,مگاوات ساعت,انرژي - بورس انرژي,0,0,0,0,1402,01,31,آبادا
5,مگا وات ساعت,انرژي برق,149288,149288,982396,146660,1402,01,31,آبادا
6,مگاوات ساعت,آمادگي,193292,193292,59211,11445,1402,01,31,آبادا
5,مگا وات ساعت,انرژي برق,271008,271008,1043460,282786,1402,02,31,آبادا
6,مگاوات ساعت,آمادگي,265523,265523,119523,31736,1402,02,31,آبادا
7,مگاوات ساعت,انرژي - قراردادهاي دوجانبه,9270,9270,1033873,9584,1402,02,31,آبادا
5,مگا وات ساعت,انرژي برق,303207,303207,1056473,320330,1402,03,31,آبادا
6,مگاوات ساعت,آمادگي,302508,302508,206824,62566,1402,03,31,آبادا
7,مگاوات ساعت,انرژي - قراردادهاي دوجانبه,9393,9393,1033536,9708,1402,03,31,آبادا
7,مگا وات ساعت,انرژي برق,320748,320748,1078663,345979,1402,04,31,آبادا
6,مگاوات ساعت,آمادگي,318338,318338,294395,93717,1402,04,31,آبادا
5,مگاوات ساعت,انرژي - قراردادهاي دوجانبه,9201,9201,1031953,9495,1402,04,31,آبادا
7,مگاوات ساعت,انرژي - قراردادهاي دوجانبه,9476,9476,1032398,9783,1402,05,31,آبادا
5,مگا وات ساعت,انرژي برق,387570,387570,1075573,416860,1402,05,31,آبادا
6,مگاوات ساعت,آمادگي,385971,385971,321496,124088,1402,05,31,آبادا
4,0,درمان,0,0,0,0,1401,10,30,آواپارس
4,0,درمان,-8525,0,159732,12,1401,11,30,آواپارس
4,159732,درمان,-13875,0,770339,19,1401,12,30,آواپارس
4,770339,درمان,0,0,770339,18,1402,01,31,آواپارس
4,770339,درمان,0,0,770339,17,1402,02,31,آواپارس
4,770339,درمان,288019,16,1748677,24,1402,03,31,آواپارس
4,1748677,درمان,0,0,1748677,24,1402,04,31,آواپارس
4,1748677,درمان,104499,29,1847579,22,1402,05,31,آواپارس
4,0,درمان,0,0,0,0,1401,01,31,اتکام
4,0,درمان,0,0,0,0,1401,02,31,اتکام
4,0,درمان,0,0,0,0,1401,03,31,اتکام
4,0,درمان,0,0,0,0,1401,04,31,اتکام
4,0,درمان,0,0,0,0,1401,05,31,اتکام
4,0,درمان,0,0,0,0,1401,06,31,اتکام
4,0,درمان,0,0,0,0,1401,07,30,اتکام
4,0,درمان,0,0,0,0,1401,08,30,اتکام
4,0,درمان,0,0,0,0,1401,09,30,اتکام
4,0,درمان,0,0,0,0,1401,10,30,اتکام
4,0,درمان,0,0,0,0,1401,11,30,اتکام
4,0,درمان,0,0,0,0,1401,12,29,اتکام
4,0,درمان,0,0,0,0,1402,01,31,اتکام
4,0,درمان,0,0,0,0,1402,02,31,اتکام
4,0,درمان,0,0,0,0,1402,03,31,اتکام
4,0,درمان,0,0,0,0,1402,04,30,اتکام
4,0,درمان,0,0,0,0,1402,05,31,اتکام
4,227389,درمان,0,0,227389,31,1401,01,31,اتکایی
4,227389,درمان,14875,16,226513,23,1401,02,31,اتکایی
4,226513,درمان,63949,45,387972,30,1401,03,31,اتکایی
4,387972,درمان,10847,64,385622,24,1401,04,31,اتکایی
4,385622,درمان,0,0,385622,22,1401,05,31,اتکایی
4,385622,درمان,206444,67,698519,28,1401,06,31,اتکایی
4,698519,درمان,0,0,698519,25,1401,07,30,اتکایی
4,698519,درمان,124125,76,1028756,31,1401,08,30,اتکایی
4,1028756,درمان,0,0,1028756,24,1401,09,30,اتکایی
4,0,درمان,0,0,0,0,1401,10,30,اتکایی
4,0,درمان,214190,61,322040,68,1401,11,30,اتکایی
4,322040,درمان,74769,40,465900,42,1401,12,29,اتکایی
4,465900,درمان,75666,87,600493,42,1402,01,31,اتکایی
4,600493,درمان,62322,48,816467,37,1402,02,31,اتکایی
4,816467,درمان,71032,29,870126,34,1402,03,31,اتکایی
4,870126,درمان,85908,70,984023,34,1402,04,31,اتکایی
4,984023,درمان,-232,-1,984023,30,1402,05,31,اتکایی
8,دستگاه,محصولات لوازم خانگي کوچک-شرکت فرعي.,1635,5816,13093191,76150,1399,10,30,انتخاب
7,دستگاه,محصولات صوتي و تصويري-شرکت فرعي.,33061,30407,53358569,1622474,1399,10,30,انتخاب
6,دستگاه,محصولات گازسوز  و سرمايشي-شرکت فرعي.,5870,4104,55993177,229796,1399,10,30,انتخاب
5,دستگاه,محصولات شوينده-شرکت فرعي.,51519,35374,78985781,2794043,1399,10,30,انتخاب
4,دستگاه,محصولات برودتي-شرکت اصلي.,30891,27242,150096359,4088925,1399,10,30,انتخاب
7,دستگاه,محصولات صوتي و تصويري-شرکت فرعي.,23268,18006,84669499,1524559,1399,11,30,انتخاب
6,دستگاه,محصولات گازسوز  و سرمايشي-شرکت فرعي.,7526,5715,53806124,307502,1399,11,30,انتخاب
5,دستگاه,محصولات شوينده-شرکت فرعي.,57875,47708,79214367,3779159,1399,11,30,انتخاب
4,دستگاه,محصولات برودتي-شرکت اصلي.,34903,29187,167970535,4902556,1399,11,30,انتخاب
8,دستگاه,محصولات لوازم خانگي کوچک-شرکت فرعي.,4100,7540,20123475,151731,1399,12,30,انتخاب
7,دستگاه,محصولات صوتي و تصويري-شرکت فرعي.,54551,56487,73387027,4145413,1399,12,30,انتخاب
